#TimeStamp Tx Ty Tz Qx Qy Qz Qw
0.829420  0.0036937 -0.0067163  0.2104469 0.0018226 -0.0184895 -0.0034521 0.9998214
0.933147  0.0084170 -0.0096137  0.2315374 0.0001797 -0.0214656 -0.0046723 0.9997587
1.036910  0.0113430 -0.0121150  0.2571371 -0.0015395 -0.0241801 -0.0057776 0.9996897
1.140497  0.0128395 -0.0142886  0.2830207 -0.0016604 -0.0259437 -0.0073521 0.9996350
1.244242  0.0144972 -0.0162168  0.3110530 -0.0017399 -0.0280083 -0.0085541 0.9995696
1.347979  0.0154329 -0.0187393  0.3391026 -0.0019884 -0.0293172 -0.0087335 0.9995300
1.451596  0.0170842 -0.0210772  0.3683766 -0.0023371 -0.0312362 -0.0114800 0.9994434
1.555212  0.0192365 -0.0241704  0.3986703 -0.0025287 -0.0332668 -0.0138816 0.9993469
1.658960  0.0203249 -0.0271626  0.4301461 -0.0015385 -0.0353194 -0.0179316 0.9992140
1.762569  0.0206110 -0.0300377  0.4609148 -0.0004223 -0.0368213 -0.0211676 0.9990976
1.866302  0.0210798 -0.0329604  0.4918823 0.0003622 -0.0387174 -0.0263186 0.9989035
1.969923  0.0217768 -0.0368116  0.5238878 -0.0002175 -0.0400776 -0.0302612 0.9987382
2.073666  0.0232476 -0.0413470  0.5565087 -0.0015105 -0.0419705 -0.0335938 0.9985528
2.177281  0.0253853 -0.0454037  0.5883526 -0.0025509 -0.0440528 -0.0375537 0.9983199
2.281017  0.0277076 -0.0502986  0.6200684 -0.0030958 -0.0460797 -0.0417335 0.9980608
2.384639  0.0304923 -0.0559471  0.6530225 -0.0033969 -0.0487689 -0.0466214 0.9977156
2.488250  0.0332694 -0.0622005  0.6862263 -0.0037160 -0.0512041 -0.0515110 0.9973520
2.591988  0.0366370 -0.0694348  0.7205374 -0.0054580 -0.0539906 -0.0574500 0.9968725
2.695832  0.0400410 -0.0775756  0.7547039 -0.0082840 -0.0567916 -0.0647758 0.9962481
2.799367  0.0449395 -0.0861346  0.7886113 -0.0114445 -0.0594225 -0.0715078 0.9956026
2.903084  0.0507223 -0.0954191  0.8234270 -0.0142129 -0.0623328 -0.0784193 0.9948683
3.006768  0.0574347 -0.1041223  0.8584629 -0.0157156 -0.0657719 -0.0854333 0.9940464
