#frame_time_stamp time_pre_proc time_post_proc
0.933038 0.014181 0.014328
1.036778 0.014247 0.014349
1.140398 0.013397 0.013497
1.244137 0.009826 0.009928
1.347751 0.010470 0.010575
1.451492 0.009795 0.009912
1.555107 0.012694 0.012797
1.658847 0.013189 0.013290
1.762586 0.008403 0.008497
1.866202 0.009569 0.009669
1.969964 0.010153 0.010252
2.073559 0.009231 0.009349
2.177298 0.007644 0.007744
2.281050 0.008321 0.008424
2.384674 0.007836 0.007936
2.488425 0.010013 0.010118
2.592012 0.009115 0.009218
2.695755 0.007225 0.007324
2.799368 0.011249 0.011354
2.903108 0.008994 0.009095
3.006750 0.010127 0.010228
3.110482 0.010704 0.010807
3.214204 0.009689 0.009795
3.317943 0.008162 0.008254
3.421685 0.008956 0.009053
3.525427 0.010080 0.010179
3.629166 0.010716 0.010805
3.732909 0.010890 0.010977
3.836660 0.009695 0.009776
3.940409 0.007654 0.007742
4.044264 0.008243 0.008328
4.148122 0.008275 0.008362
4.251862 0.009952 0.010042
4.355725 0.007273 0.007365
4.459611 0.007845 0.007928
4.563456 0.007852 0.007936
4.667325 0.008763 0.008848
4.771058 0.007107 0.007194
4.874947 0.007694 0.007783
4.978668 0.008882 0.008974
5.082534 0.012611 0.012699
5.186400 0.011991 0.012079
5.290138 0.010776 0.010858
5.394003 0.007988 0.008074
5.497872 0.010300 0.010388
5.601734 0.009409 0.009499
5.705475 0.009775 0.009862
5.809345 0.007622 0.007707
5.913083 0.008514 0.008627
6.016968 0.008952 0.009043
6.120823 0.011357 0.011445
6.224565 0.011371 0.011466
6.328440 0.012412 0.012503
6.432181 0.012030 0.012127
6.535919 0.010625 0.010702
6.639619 0.011340 0.011422
6.743256 0.011877 0.011959
6.847019 0.009589 0.009673
6.950676 0.011260 0.011329
7.054434 0.010949 0.011104
7.158126 0.010500 0.010598
7.261837 0.011222 0.011322
7.365577 0.005847 0.005994
7.469315 0.005924 0.006023
7.572928 0.011588 0.011687
7.676672 0.005773 0.005878
7.780431 0.005946 0.006053
7.884150 0.010532 0.010642
7.987818 0.009945 0.010049
8.091556 0.008129 0.008230
8.195302 0.005869 0.005975
8.299053 0.009092 0.009184
8.402730 0.005932 0.006049
8.506356 0.005669 0.005783
8.610085 0.010479 0.010585
8.713700 0.010858 0.010963
8.817441 0.009759 0.009868
8.921074 0.008791 0.008911
9.024545 0.006558 0.006669
9.128182 0.011886 0.011990
9.231657 0.011023 0.011123
9.335267 0.011477 0.011577
9.438799 0.010400 0.010500
9.542373 0.011158 0.011270
9.646095 0.009977 0.010082
9.749609 0.011154 0.011256
9.853097 0.010427 0.010532
9.956711 0.008529 0.008635
10.060450 0.006932 0.007035
10.164070 0.012425 0.012525
10.267680 0.009750 0.009864
10.371450 0.007931 0.008046
10.475040 0.009401 0.009512
10.578780 0.007541 0.007653
10.682420 0.009443 0.009550
10.786180 0.009112 0.009215
10.889870 0.011495 0.011597
10.993530 0.010867 0.010995
11.097270 0.009488 0.009595
11.201020 0.010254 0.010357
11.304710 0.009593 0.009697
11.408450 0.008474 0.008578
11.512140 0.006935 0.007038
11.615900 0.006635 0.006738
11.719550 0.007957 0.008058
11.823280 0.008404 0.008508
11.927030 0.009498 0.009605
12.030770 0.008811 0.008922
12.134510 0.011746 0.011852
12.238130 0.010611 0.010722
12.341890 0.008343 0.008455
12.445490 0.009836 0.009943
12.549220 0.010581 0.010694
12.652870 0.010798 0.010908
12.756590 0.010910 0.011017
12.860200 0.010892 0.011001
12.963810 0.009829 0.009941
13.067550 0.007880 0.007985
13.171180 0.009176 0.009281
13.274910 0.008905 0.009016
13.378650 0.010667 0.010775
13.482410 0.010761 0.010861
13.586010 0.010179 0.010282
13.689750 0.007889 0.007990
13.793480 0.007006 0.007111
13.897120 0.007740 0.007848
14.000840 0.008928 0.009033
14.104450 0.007368 0.007476
14.208070 0.008901 0.009016
14.311810 0.007554 0.007668
14.415430 0.008765 0.008874
14.519060 0.008944 0.009055
14.622780 0.010496 0.010599
14.726400 0.010982 0.011084
14.830140 0.009872 0.009974
14.933760 0.010169 0.010274
15.037370 0.009715 0.009828
15.141110 0.007667 0.007770
15.244850 0.009179 0.009288
15.348490 0.007061 0.007167
15.452310 0.008583 0.008683
15.555950 0.009246 0.009354
15.659670 0.009881 0.009990
15.763460 0.007646 0.007750
15.867170 0.006922 0.007026
15.970910 0.007015 0.007117
16.074630 0.008487 0.008612
16.178490 0.008393 0.008499
16.282150 0.007578 0.007679
16.385890 0.007722 0.007823
16.489610 0.008475 0.008575
16.593230 0.007441 0.007546
16.696990 0.008534 0.008643
16.800590 0.007502 0.007613
16.904950 0.007367 0.007474
17.008130 0.008799 0.008903
17.111810 0.009799 0.009906
17.215680 0.007560 0.007661
