#frame_time_stamp time_pre_proc time_post_proc
1403715893.084058 0.009072 0.009203
1403715893.134058 0.008739 0.008827
1403715893.184058 0.010366 0.010433
1403715893.234058 0.009888 0.009953
1403715893.284058 0.010672 0.010738
1403715893.334058 0.009370 0.009435
1403715893.384058 0.008723 0.008780
1403715893.434058 0.009747 0.009823
1403715893.484058 0.010896 0.010967
1403715893.534058 0.015182 0.015266
1403715893.584058 0.011190 0.011261
1403715893.634058 0.010525 0.010594
1403715893.684058 0.011519 0.011591
1403715893.734058 0.009501 0.009588
1403715893.784058 0.010898 0.010965
1403715893.834058 0.009353 0.009418
1403715893.884058 0.009882 0.009934
1403715893.934058 0.010779 0.010844
1403715893.984058 0.012775 0.012862
1403715894.034058 0.010893 0.010962
1403715894.084058 0.009935 0.010009
1403715894.134058 0.008376 0.008440
1403715894.184058 0.009897 0.009961
1403715894.234058 0.010401 0.010464
1403715894.284058 0.008982 0.009043
1403715894.334058 0.010397 0.010465
1403715894.384058 0.014165 0.014251
1403715894.434058 0.011574 0.011638
1403715894.484058 0.006938 0.007004
1403715894.534058 0.010430 0.010495
1403715894.584058 0.010706 0.010772
1403715894.634058 0.006490 0.006580
1403715894.684058 0.011624 0.011696
1403715894.734058 0.011306 0.011362
1403715894.784058 0.012206 0.012275
1403715894.834058 0.013327 0.013392
1403715894.884058 0.010020 0.010106
1403715894.934058 0.011477 0.011544
1403715894.984058 0.011499 0.011564
1403715895.034058 0.006191 0.006284
1403715895.084058 0.010975 0.011036
1403715895.134058 0.010706 0.010783
1403715895.184058 0.012098 0.012183
1403715895.234058 0.011350 0.011420
1403715895.284058 0.011692 0.011779
1403715895.334058 0.013365 0.013451
1403715895.384058 0.010812 0.010878
1403715895.434058 0.012035 0.012108
1403715895.484058 0.012904 0.012989
1403715895.534058 0.130668 0.130726
1403715895.584058 0.011820 0.011883
1403715895.634058 0.011962 0.012049
1403715895.684058 0.109466 0.109526
1403715895.734058 0.011593 0.011662
1403715895.784058 0.012405 0.012491
1403715895.834058 0.010747 0.010806
1403715895.884058 0.013778 0.013849
1403715895.934058 0.011182 0.011270
1403715895.984058 0.010323 0.010395
1403715896.034058 0.010869 0.010936
1403715896.084058 0.011023 0.011096
1403715896.134058 0.010291 0.010385
1403715896.184058 0.009779 0.009856
1403715896.234058 0.009685 0.009756
1403715896.284058 0.011341 0.011405
1403715896.334058 0.009950 0.010035
1403715896.384058 0.009211 0.009285
1403715896.434058 0.011188 0.011251
1403715896.484058 0.009928 0.010006
1403715896.534058 0.007202 0.007287
1403715896.584058 0.006897 0.006971
1403715896.634058 0.010927 0.010992
1403715896.684058 0.010962 0.011032
1403715896.734058 0.010174 0.010264
1403715896.784058 0.081284 0.081352
1403715896.834058 0.012067 0.012140
1403715896.884058 0.010571 0.010661
1403715896.934058 0.095423 0.095490
1403715896.984058 0.012405 0.012476
1403715897.034058 0.009772 0.009857
1403715897.084058 0.089282 0.089350
1403715897.134058 0.011469 0.011538
1403715897.184058 0.011354 0.011446
1403715897.234058 0.085320 0.085388
1403715897.284058 0.008975 0.009041
1403715897.334058 0.008028 0.008097
1403715897.384058 0.011054 0.011138
1403715897.434058 0.101629 0.101691
1403715897.484058 0.009517 0.009594
1403715897.534058 0.009587 0.009671
1403715897.584058 0.100879 0.100936
1403715897.634058 0.012713 0.012785
1403715897.684058 0.013143 0.013208
1403715897.734058 0.010520 0.010606
1403715897.784058 0.007371 0.007438
1403715897.834058 0.010759 0.010825
1403715897.884058 0.010875 0.010934
1403715897.934058 0.009970 0.010055
1403715897.984058 0.091341 0.091408
1403715898.034058 0.008414 0.008496
1403715898.084058 0.010691 0.010777
1403715898.134058 0.096077 0.096138
1403715898.184058 0.010381 0.010439
1403715898.234058 0.010668 0.010753
1403715898.284058 0.011665 0.011738
1403715898.334058 0.009758 0.009849
1403715898.384058 0.091844 0.091904
1403715898.434058 0.138539 0.138608
1403715898.484058 0.010128 0.010202
1403715898.534058 0.010654 0.010740
1403715898.584058 0.008313 0.008402
1403715898.634058 0.007066 0.007152
1403715898.684058 0.008810 0.008896
1403715898.734058 0.224573 0.224649
1403715898.784058 0.013651 0.013737
1403715898.834058 0.011042 0.011116
1403715898.884058 0.010368 0.010455
1403715898.934058 0.010476 0.010534
1403715898.984058 0.009897 0.009983
1403715899.034058 0.008745 0.008813
1403715899.084058 0.009204 0.009301
1403715899.134058 0.011227 0.011298
1403715899.184058 0.012077 0.012160
1403715899.234058 0.010920 0.010987
1403715899.284058 0.009714 0.009800
1403715899.334058 0.010205 0.010281
1403715899.384058 0.011881 0.011972
1403715899.434058 0.009594 0.009661
1403715899.484058 0.007450 0.007524
1403715899.534058 0.010194 0.010284
1403715899.584058 0.010187 0.010258
1403715899.634058 0.011650 0.011716
1403715899.684058 0.011277 0.011365
1403715899.734058 0.011064 0.011153
1403715899.784058 0.010087 0.010153
1403715899.834058 0.008705 0.008790
1403715899.884058 0.006572 0.006645
1403715899.934058 0.006283 0.006368
1403715899.984058 0.010159 0.010223
1403715900.034058 0.005544 0.005631
