#frame_time_stamp time_pre_proc time_post_proc
1.766667 0.013186 0.013299
1.800000 0.011027 0.011094
1.833333 0.009876 0.009968
1.866667 0.012432 0.012546
1.900000 0.011092 0.011148
1.933333 0.011866 0.011922
1.966667 0.012926 0.012984
2.000000 0.013249 0.013324
2.033333 0.011214 0.011272
2.066667 0.010833 0.010933
2.100000 0.009789 0.009876
2.133333 0.010895 0.010998
2.166667 0.012590 0.012698
2.200000 0.013056 0.013144
2.233333 0.009262 0.009345
2.266667 0.012721 0.012840
2.300000 0.010601 0.010652
2.333333 0.011902 0.011959
2.366667 0.012401 0.012500
2.400000 0.013419 0.013508
2.433333 0.009166 0.009258
2.466667 0.013153 0.013208
2.500000 0.011488 0.011541
2.533333 0.011342 0.011395
2.566667 0.012447 0.012554
2.600000 0.013419 0.013505
2.633333 0.011306 0.011367
2.666667 0.013342 0.013401
2.700000 0.011984 0.012054
2.733333 0.012009 0.012063
2.766667 0.011209 0.011343
2.800000 0.011154 0.011296
2.833333 0.013167 0.013285
2.866667 0.013212 0.013264
2.900000 0.012679 0.012806
2.933333 0.014021 0.014132
2.966667 0.013380 0.013435
3.000000 0.011516 0.011653
3.033333 0.011810 0.011903
3.066667 0.013624 0.013675
3.100000 0.013580 0.013683
3.133333 0.013217 0.013325
3.166667 0.013036 0.013087
3.200000 0.013668 0.013774
3.233333 0.013779 0.013891
3.266667 0.012530 0.012621
3.300000 0.013210 0.013313
3.333333 0.012775 0.012884
3.366667 0.013208 0.013285
3.400000 0.013078 0.013178
3.433333 0.013683 0.013788
3.466667 0.012193 0.012293
3.500000 0.012863 0.012961
3.533333 0.013671 0.013780
3.566667 0.013152 0.013200
3.600000 0.006657 0.006751
3.633333 0.012639 0.012749
3.666667 0.013035 0.013083
3.700000 0.013899 0.014007
3.733333 0.014663 0.014777
3.766667 0.013091 0.013142
3.800000 0.013003 0.013115
3.833333 0.011771 0.011874
3.866667 0.011561 0.011644
3.900000 0.013344 0.013443
3.933333 0.013283 0.013392
3.966667 0.013156 0.013202
4.000000 0.013359 0.013462
4.033333 0.014673 0.014769
4.066667 0.010967 0.011032
4.100000 0.013763 0.013864
4.133333 0.014178 0.014287
4.166667 0.013483 0.013537
4.200000 0.013680 0.013778
4.233333 0.014374 0.014482
4.266667 0.009949 0.010010
4.300000 0.013570 0.013668
4.333333 0.014519 0.014629
4.366667 0.013388 0.013484
4.400000 0.013181 0.013285
4.433333 0.013720 0.013831
4.466667 0.009673 0.009728
4.500000 0.013610 0.013711
4.533333 0.015335 0.015391
4.566667 0.013632 0.013687
4.600000 0.012087 0.012240
4.633333 0.010632 0.010719
4.666667 0.010456 0.010505
4.700000 0.012925 0.013025
4.733333 0.014607 0.014716
4.766667 0.011234 0.011288
4.800000 0.012972 0.013073
4.833333 0.011876 0.012031
4.866667 0.010290 0.010343
4.900000 0.013154 0.013269
4.933333 0.012832 0.012948
4.966667 0.010834 0.010887
5.000000 0.012329 0.012472
5.033333 0.012916 0.013024
5.066667 0.010911 0.010966
5.100000 0.008392 0.008506
5.133333 0.013344 0.013451
5.166667 0.010903 0.010956
5.200000 0.013663 0.013763
5.233333 0.013543 0.013652
5.266667 0.010622 0.010669
5.300000 0.012461 0.012562
5.333333 0.014217 0.014368
5.366667 0.012977 0.013031
5.400000 0.011076 0.011164
5.433333 0.010740 0.010828
5.466667 0.013559 0.013612
5.500000 0.013528 0.013636
5.533333 0.013474 0.013585
5.566667 0.013094 0.013189
5.600000 0.012720 0.012832
5.633333 0.014020 0.014129
5.666667 0.013340 0.013387
5.700000 0.011385 0.011433
5.733333 0.009970 0.010064
5.766667 0.020921 0.021118
5.800000 0.011293 0.011360
5.833333 0.011483 0.011544
5.866667 0.012538 0.012641
5.900000 0.011417 0.011481
5.933333 0.010529 0.010646
5.966667 0.014088 0.014186
6.000000 0.009799 0.009891
6.033333 0.011752 0.011802
6.066667 0.012523 0.012625
6.100000 0.011537 0.011593
6.133333 0.011534 0.011592
6.166667 0.013674 0.013764
6.200000 0.011320 0.011419
6.233333 0.012048 0.012095
6.266667 0.012966 0.013016
6.300000 0.011286 0.011341
6.333333 0.012115 0.012168
6.366667 0.013957 0.014046
6.400000 0.012350 0.012450
6.433333 0.012874 0.013019
6.466667 0.013317 0.013366
6.500000 0.011293 0.011381
6.533333 0.013559 0.013672
6.566667 0.013035 0.013090
6.600000 0.005793 0.005890
6.633333 0.009599 0.009721
6.666667 0.012518 0.012628
6.700000 0.011324 0.011407
