#frame_time_stamp time_pre_proc time_post_proc
1520617231.108153 0.007333 0.007457
1520617231.158155 0.012471 0.012549
1520617231.208247 0.011509 0.011620
1520617231.258158 0.010590 0.010649
1520617231.308139 0.009874 0.009935
1520617231.358140 0.011740 0.011799
1520617231.408142 0.008730 0.008809
1520617231.458143 0.010034 0.010089
1520617231.508146 0.008799 0.008852
1520617231.558146 0.010389 0.010451
1520617231.608149 0.008662 0.008718
1520617231.658149 0.011158 0.011218
1520617231.708106 0.010519 0.010576
1520617231.758107 0.012392 0.012451
1520617231.808109 0.010374 0.010435
1520617231.858111 0.011027 0.011083
1520617231.908112 0.010418 0.010477
1520617231.958114 0.010559 0.010618
1520617232.008115 0.010209 0.010268
1520617232.058117 0.010700 0.010757
1520617232.108118 0.009494 0.009552
1520617232.158113 0.011157 0.011220
1520617232.208113 0.012594 0.012647
1520617232.258116 0.010725 0.010786
1520617232.308117 0.009917 0.009969
1520617232.358119 0.011026 0.011080
1520617232.408120 0.007496 0.007553
1520617232.458122 0.012898 0.012957
1520617232.508125 0.009455 0.009512
1520617232.558158 0.012441 0.012499
1520617232.608160 0.009196 0.009283
1520617232.658163 0.010656 0.010712
1520617232.708168 0.010569 0.010625
1520617232.758165 0.012964 0.013026
1520617232.808167 0.011466 0.011522
1520617232.858168 0.012145 0.012204
1520617232.908170 0.009691 0.009745
1520617232.958165 0.011488 0.011544
1520617233.008166 0.009682 0.009740
1520617233.058168 0.010840 0.010894
1520617233.108170 0.008839 0.008898
1520617233.158171 0.010949 0.011005
1520617233.208173 0.009333 0.009394
1520617233.258174 0.011679 0.011754
1520617233.308176 0.009395 0.009464
1520617233.358197 0.010984 0.011042
1520617233.408199 0.009968 0.010022
1520617233.458201 0.011018 0.011074
1520617233.508202 0.012410 0.012463
1520617233.558204 0.010446 0.010500
1520617233.608205 0.012168 0.012223
1520617233.658207 0.011390 0.011445
1520617233.708208 0.009033 0.009089
1520617233.758235 0.011326 0.011382
1520617233.808237 0.012076 0.012134
1520617233.858239 0.011779 0.011834
1520617233.908240 0.011423 0.011477
1520617233.958242 0.012021 0.012077
1520617234.008243 0.012945 0.013006
1520617234.058245 0.014129 0.014185
1520617234.108246 0.013066 0.013120
1520617234.158233 0.011193 0.011249
1520617234.208234 0.015500 0.015604
1520617234.258236 0.010769 0.010853
1520617234.308237 0.009493 0.009551
1520617234.358239 0.008916 0.008970
1520617234.408241 0.009628 0.009709
1520617234.458242 0.011167 0.011225
1520617234.508243 0.010370 0.010438
1520617234.558245 0.011175 0.011235
1520617234.608360 0.011320 0.011374
1520617234.658362 0.010777 0.010836
1520617234.708364 0.011687 0.011743
1520617234.758365 0.012746 0.012829
1520617234.808367 0.011186 0.011249
1520617234.858368 0.010581 0.010641
1520617234.908370 0.011220 0.011282
1520617234.958371 0.009745 0.009805
1520617235.008370 0.008362 0.008446
1520617235.058372 0.011848 0.011912
1520617235.108373 0.009411 0.009510
1520617235.158375 0.009962 0.010026
1520617235.208376 0.013375 0.013458
1520617235.258378 0.010504 0.010566
1520617235.308379 0.011179 0.011289
1520617235.358381 0.011158 0.011241
1520617235.408336 0.009570 0.009629
1520617235.458338 0.009973 0.010033
1520617235.508339 0.015025 0.015123
1520617235.558341 0.010522 0.010582
1520617235.608342 0.011933 0.011993
1520617235.658343 0.010073 0.010136
1520617235.708345 0.012067 0.012125
1520617235.758349 0.011933 0.011998
1520617235.808436 0.012129 0.012186
1520617235.858438 0.012650 0.012714
1520617235.908439 0.008859 0.008940
1520617235.958444 0.010250 0.010307
1520617236.008442 0.012439 0.012496
1520617236.058444 0.011524 0.011673
1520617236.108472 0.010630 0.010693
1520617236.158447 0.010817 0.010898
1520617236.208462 0.011212 0.011271
1520617236.258463 0.010942 0.011004
1520617236.308465 0.011930 0.012015
1520617236.358466 0.010186 0.010252
1520617236.408468 0.012273 0.012332
1520617236.458469 0.011316 0.011384
1520617236.508471 0.011794 0.011879
1520617236.558472 0.010048 0.010106
1520617236.608474 0.009858 0.009940
1520617236.658486 0.011329 0.011380
1520617236.708487 0.009284 0.009366
1520617236.758489 0.009943 0.009997
1520617236.808490 0.010898 0.010983
1520617236.858492 0.009409 0.009466
1520617236.908493 0.011878 0.011957
1520617236.958495 0.009793 0.009851
1520617237.008497 0.011473 0.011552
1520617237.058559 0.010072 0.010129
1520617237.108560 0.010744 0.010823
1520617237.158562 0.009692 0.009743
1520617237.208563 0.011529 0.011609
1520617237.258565 0.010711 0.010769
1520617237.308566 0.006389 0.006471
1520617237.358568 0.012648 0.012706
1520617237.408569 0.011192 0.011253
1520617237.458640 0.006133 0.006215
1520617237.508641 0.011276 0.011335
1520617237.558643 0.012006 0.012087
1520617237.608644 0.011095 0.011154
1520617237.658646 0.010105 0.010187
1520617237.708647 0.010769 0.010831
1520617237.758703 0.009449 0.009547
1520617237.808650 0.011074 0.011134
1520617237.858612 0.012379 0.012463
1520617237.908614 0.011521 0.011582
1520617237.958615 0.012638 0.012721
1520617238.008617 0.012022 0.012076
1520617238.058618 0.010593 0.010676
1520617238.108620 0.012187 0.012249
1520617238.158621 0.012594 0.012678
1520617238.208623 0.011053 0.011112
1520617238.258472 0.010359 0.010442
1520617238.308473 0.009283 0.009342
1520617238.358475 0.010140 0.010220
1520617238.408476 0.011344 0.011404
1520617238.458478 0.010629 0.010714
1520617238.508479 0.010029 0.010090
1520617238.558481 0.009683 0.009766
1520617238.608482 0.010441 0.010500
1520617238.658516 0.011459 0.011575
1520617238.708519 0.009367 0.009425
1520617238.758520 0.010054 0.010134
1520617238.808521 0.011520 0.011573
1520617238.858523 0.009781 0.009862
1520617238.908524 0.010994 0.011051
1520617238.958526 0.010190 0.010271
1520617239.008528 0.010240 0.010299
1520617239.058529 0.012341 0.012422
1520617239.109113 0.112351 0.112403
1520617239.159115 0.008974 0.009090
1520617239.209116 0.011320 0.011424
1520617239.259118 0.010246 0.010327
1520617239.309121 0.010672 0.010770
