#TimeStamp Tx Ty Tz Qx Qy Qz Qw
3192924610.060143 -0.0133853  0.0022970  0.0016554 0.0010600 0.0054180 0.0019453 0.9999829
3192924610.093142 -0.0132222  0.0015053  0.0006958 0.0006118 0.0042313 0.0019447 0.9999890
3192924610.126143 -0.0132258  0.0016094  0.0004477 0.0007853 0.0042280 0.0020384 0.9999887
3192924610.159142 -0.0130224  0.0018846  0.0002529 0.0010381 0.0043816 0.0022672 0.9999873
3192924610.192143 -0.0132922  0.0021796  0.0001792 0.0010877 0.0046965 0.0024177 0.9999855
3192924610.225142 -0.0134224  0.0025372  0.0000448 0.0012236 0.0048948 0.0024681 0.9999842
3192924610.258144 -0.0135400  0.0027294 -0.0000378 0.0013025 0.0050121 0.0025629 0.9999833
3192924610.291143 -0.0135609  0.0027713 -0.0001244 0.0012112 0.0051221 0.0026803 0.9999826
3192924610.324144 -0.0135580  0.0026684 -0.0001732 0.0010634 0.0052065 0.0027606 0.9999821
3192924610.357144 -0.0133255  0.0028753 -0.0001094 0.0012907 0.0051674 0.0026854 0.9999822
3192924610.390145 -0.0137164  0.0025737  0.0000539 0.0013561 0.0052051 0.0026667 0.9999820
3192924610.423144 -0.0137245  0.0025772  0.0001747 0.0013975 0.0052037 0.0026864 0.9999819
3192924610.456146 -0.0136226  0.0025808  0.0002778 0.0014812 0.0050670 0.0026574 0.9999825
3192924610.489145 -0.0133890  0.0026524  0.0004291 0.0012113 0.0049145 0.0027486 0.9999834
3192924610.522146 -0.0130237  0.0023693  0.0006162 0.0008523 0.0048528 0.0028406 0.9999838
3192924610.555146 -0.0122624  0.0019699  0.0008050 0.0006150 0.0048246 0.0027520 0.9999844
3192924610.588146 -0.0113540  0.0018433  0.0009511 0.0005743 0.0047836 0.0027105 0.9999847
3192924610.621146 -0.0101591  0.0019760  0.0009750 0.0008610 0.0044833 0.0025365 0.9999864
3192924610.654148 -0.0085326  0.0019422  0.0012226 0.0009355 0.0039828 0.0022240 0.9999892
3192924610.687147 -0.0070518  0.0015764  0.0016084 0.0007250 0.0034636 0.0017840 0.9999921
3192924610.720147 -0.0044095  0.0005522  0.0020716 0.0004265 0.0028381 0.0015194 0.9999947
3192924610.753148 -0.0002782  0.0006051  0.0020362 0.0006250 0.0022115 0.0015140 0.9999962
