#frame_time_stamp time_pre_proc time_post_proc
3192924610.060143 0.011092 0.011207
3192924610.093142 0.015166 0.015236
3192924610.126143 0.004929 0.005017
3192924610.159142 0.009717 0.009790
3192924610.192143 0.010342 0.010475
3192924610.225142 0.010747 0.010873
3192924610.258144 0.010404 0.010477
3192924610.291143 0.009567 0.009644
3192924610.324144 0.009081 0.009204
3192924610.357144 0.010669 0.010793
3192924610.390145 0.008290 0.008368
3192924610.423144 0.009909 0.009987
3192924610.456146 0.009754 0.009821
3192924610.489145 0.010779 0.010919
3192924610.522146 0.006384 0.006459
3192924610.555146 0.009415 0.009487
3192924610.588146 0.010775 0.010903
3192924610.621146 0.010488 0.010610
3192924610.654148 0.006593 0.006682
3192924610.687147 0.009252 0.009328
3192924610.720147 0.008378 0.008482
3192924610.753148 0.008738 0.008814
3192924610.786149 0.010585 0.010657
3192924610.819148 0.007833 0.007910
3192924610.852149 0.009726 0.009793
3192924610.885149 0.017994 0.018165
3192924610.918149 0.008624 0.008681
3192924610.951149 0.010152 0.010211
3192924610.984150 0.009494 0.009546
3192924611.017149 0.011105 0.011216
3192924611.050150 0.009933 0.009999
3192924611.083150 0.009830 0.009885
3192924611.116151 0.009972 0.010037
3192924611.149150 0.008918 0.008976
3192924611.182152 0.008506 0.008564
3192924611.215151 0.009333 0.009428
3192924611.248152 0.009529 0.009590
3192924611.281152 0.008924 0.008985
3192924611.314153 0.008736 0.008803
3192924611.347152 0.011983 0.012044
3192924611.380154 0.010097 0.010161
3192924611.413153 0.008892 0.008966
3192924611.446154 0.010883 0.010934
3192924611.479154 0.010430 0.010481
3192924611.512155 0.009835 0.009901
3192924611.545154 0.008928 0.009001
3192924611.578155 0.008754 0.008816
3192924611.611155 0.012116 0.012184
3192924611.644155 0.010215 0.010267
3192924611.677156 0.013290 0.013382
3192924611.710156 0.009003 0.009118
3192924611.743155 0.010099 0.010173
3192924611.776157 0.009070 0.009186
3192924611.809157 0.011371 0.011447
3192924611.842157 0.010210 0.010333
3192924611.875158 0.009787 0.009861
3192924611.908158 0.008646 0.008749
3192924611.941158 0.008768 0.008845
3192924611.974159 0.009426 0.009540
3192924612.007158 0.010318 0.010388
3192924612.040159 0.009105 0.009217
3192924612.073159 0.010530 0.010664
3192924612.106160 0.010614 0.010686
3192924612.139159 0.009236 0.009374
3192924612.172161 0.010396 0.010535
3192924612.205160 0.011271 0.011342
3192924612.238161 0.010880 0.010977
3192924612.271161 0.009583 0.009675
3192924612.304162 0.009425 0.009497
3192924612.337161 0.008845 0.008953
3192924612.370162 0.010808 0.010881
3192924612.403162 0.010444 0.010568
3192924612.436162 0.009889 0.009970
3192924612.469163 0.010364 0.010480
3192924612.502163 0.010945 0.011017
3192924612.535163 0.009743 0.009853
3192924612.568164 0.012083 0.012160
3192924612.601163 0.010483 0.010599
3192924612.634164 0.012002 0.012075
3192924612.667164 0.009473 0.009570
3192924612.700165 0.011250 0.011326
3192924612.733164 0.010783 0.010896
3192924612.766166 0.010516 0.010593
3192924612.799166 0.010276 0.010353
3192924612.832166 0.009471 0.009575
3192924612.865166 0.006985 0.007083
3192924612.898167 0.011690 0.011768
3192924612.931166 0.012326 0.012400
3192924612.964168 0.011890 0.012004
3192924612.997167 0.006206 0.006321
3192924613.030168 0.012035 0.012110
3192924613.063168 0.011765 0.011845
3192924613.096169 0.010293 0.010361
3192924613.129168 0.006624 0.006722
3192924613.162169 0.013367 0.013448
3192924613.195169 0.011666 0.011739
3192924613.228169 0.010875 0.010973
3192924613.261169 0.012725 0.012804
3192924613.294170 0.012819 0.012900
3192924613.327169 0.011804 0.011873
3192924613.360171 0.011249 0.011385
3192924613.393171 0.012431 0.012513
3192924613.426171 0.010597 0.010702
3192924613.459172 0.010711 0.010786
3192924613.492172 0.006561 0.006670
3192924613.525172 0.011590 0.011711
3192924613.558173 0.011532 0.011608
3192924613.591172 0.011683 0.011752
3192924613.624173 0.011232 0.011366
3192924613.657173 0.011805 0.011885
3192924613.690174 0.010545 0.010616
3192924613.723173 0.011664 0.011743
3192924613.756175 0.012254 0.012386
3192924613.789175 0.012706 0.012784
3192924613.822175 0.011217 0.011324
3192924613.855175 0.012504 0.012577
3192924613.888175 0.007602 0.007696
3192924613.921175 0.011653 0.011765
3192924613.954176 0.012308 0.012384
3192924613.987176 0.012041 0.012120
3192924614.020176 0.014080 0.014177
3192924614.053177 0.012622 0.012699
3192924614.086177 0.013002 0.013079
3192924614.119177 0.011859 0.011937
3192924614.152178 0.012529 0.012666
3192924614.185178 0.012826 0.012899
3192924614.218178 0.010873 0.010988
3192924614.251178 0.012064 0.012145
3192924614.284179 0.011944 0.012083
3192924614.317178 0.012700 0.012770
3192924614.350180 0.011829 0.011905
3192924614.383179 0.011346 0.011449
3192924614.416180 0.011163 0.011283
3192924614.449181 0.010944 0.011039
3192924614.482181 0.010031 0.010128
3192924614.515181 0.010819 0.010899
3192924614.548181 0.011357 0.011496
3192924614.581181 0.012359 0.012440
3192924614.614182 0.008956 0.009062
3192924614.647182 0.011099 0.011175
3192924614.680182 0.012456 0.012566
3192924614.713182 0.009936 0.010033
3192924614.746183 0.011461 0.011543
3192924614.779183 0.010517 0.010594
3192924614.812183 0.014074 0.014179
3192924614.845184 0.011561 0.011652
3192924614.878184 0.011814 0.011874
3192924614.911184 0.014171 0.014273
3192924614.944185 0.010276 0.010409
3192924614.977185 0.016030 0.016126
3192924615.010185 0.009129 0.009184
3192924615.043186 0.010632 0.010686
3192924615.076186 0.007194 0.007297
3192924615.109186 0.007627 0.007696
3192924615.142187 0.011418 0.011492
3192924615.175187 0.005785 0.005877
3192924615.208187 0.012595 0.012659
3192924615.241187 0.009725 0.009839
3192924615.274188 0.006414 0.006506
3192924615.307187 0.010386 0.010455
3192924615.340189 0.008923 0.009038
3192924615.373188 0.011663 0.011727
3192924615.406189 0.006091 0.006184
3192924615.439189 0.010408 0.010472
3192924615.472189 0.010369 0.010432
3192924615.505189 0.011731 0.011800
3192924615.538189 0.013120 0.013190
3192924615.571190 0.011104 0.011254
3192924615.604190 0.010116 0.010226
3192924615.637191 0.012313 0.012386
3192924615.670191 0.009105 0.009207
3192924615.703191 0.011645 0.011724
3192924615.736192 0.015141 0.015212
3192924615.769192 0.015098 0.015193
3192924615.802192 0.009952 0.010006
3192924615.835193 0.012905 0.012959
3192924615.868193 0.012284 0.012334
3192924615.901193 0.011334 0.011400
3192924615.934193 0.010679 0.010755
3192924615.967194 0.012799 0.012855
3192924616.000194 0.011998 0.012063
3192924616.033195 0.011280 0.011361
3192924616.066195 0.011728 0.011792
3192924616.099195 0.010272 0.010343
3192924616.132195 0.012432 0.012501
3192924616.165195 0.008987 0.009093
3192924616.198195 0.010206 0.010367
3192924616.231195 0.010974 0.011042
3192924616.264197 0.012252 0.012358
3192924616.297196 0.013089 0.013154
3192924616.330198 0.013459 0.013527
3192924616.363197 0.013431 0.013501
3192924616.396198 0.011091 0.011160
3192924616.429198 0.011273 0.011343
3192924616.462198 0.012703 0.012766
3192924616.495198 0.010352 0.010419
3192924616.528198 0.011959 0.012069
3192924616.561199 0.016925 0.017020
3192924616.594199 0.012576 0.012644
3192924616.627199 0.011167 0.011233
3192924616.660200 0.011166 0.011271
3192924616.693200 0.011326 0.011423
3192924616.726200 0.013416 0.013480
3192924616.759201 0.012455 0.012521
3192924616.792201 0.013719 0.013790
3192924616.825201 0.013426 0.013548
3192924616.858202 0.010415 0.010479
3192924616.891201 0.012526 0.012578
3192924616.924201 0.011104 0.011153
3192924616.957202 0.012511 0.012568
3192924616.990203 0.010354 0.010464
3192924617.023203 0.012048 0.012124
3192924617.056203 0.011531 0.011597
3192924617.089203 0.014192 0.014264
3192924617.122205 0.012612 0.012688
3192924617.155204 0.012206 0.012273
3192924617.188204 0.012973 0.013098
3192924617.221204 0.013944 0.014021
3192924617.254206 0.012599 0.012673
3192924617.287205 0.014114 0.014186
3192924617.320206 0.013368 0.013440
3192924617.353206 0.013124 0.013190
3192924617.386207 0.013741 0.013832
3192924617.419206 0.012714 0.012788
3192924617.452207 0.013226 0.013296
3192924617.485207 0.024408 0.024521
3192924617.518207 0.011603 0.011655
3192924617.551208 0.012975 0.013073
3192924617.584208 0.013805 0.013855
3192924617.617208 0.015768 0.015862
3192924617.650209 0.013501 0.013562
3192924617.683208 0.013738 0.013836
3192924617.716209 0.011711 0.011823
3192924617.749209 0.014401 0.014448
3192924617.782209 0.013876 0.013929
3192924617.815209 0.012944 0.012991
3192924617.848211 0.013834 0.013895
3192924617.881210 0.011332 0.011395
3192924617.914210 0.012452 0.012519
3192924617.947211 0.013345 0.013394
3192924617.980212 0.014770 0.014874
3192924618.013212 0.010143 0.010191
3192924618.046212 0.009891 0.009940
3192924618.079212 0.011756 0.011812
3192924618.112212 0.010405 0.010467
3192924618.145213 0.010615 0.010665
3192924618.178213 0.010144 0.010197
3192924618.211213 0.012077 0.012133
3192924618.244215 0.012694 0.012743
3192924618.277214 0.016019 0.016081
3192924618.310214 0.012364 0.012413
3192924618.343215 0.016191 0.016251
3192924618.376215 0.014498 0.014550
3192924618.409214 0.012808 0.012863
3192924618.442216 0.015305 0.015361
3192924618.475215 0.011943 0.012049
3192924618.508216 0.013192 0.013351
3192924618.541216 0.010044 0.010091
3192924618.574217 0.011646 0.011694
3192924618.607216 0.012300 0.012360
3192924618.640218 0.013670 0.013719
3192924618.673217 0.012668 0.012797
3192924618.706218 0.011634 0.011686
3192924618.739218 0.012537 0.012592
3192924618.772218 0.012275 0.012375
3192924618.805218 0.010198 0.010249
3192924618.838220 0.012477 0.012531
3192924618.871219 0.012773 0.012847
3192924618.904219 0.012096 0.012154
3192924618.937220 0.010792 0.010849
3192924618.970221 0.016381 0.016477
3192924619.003220 0.012673 0.012721
3192924619.036221 0.012970 0.013025
3192924619.069221 0.010601 0.010676
3192924619.102221 0.012870 0.012930
3192924619.135221 0.013004 0.013085
3192924619.168222 0.011902 0.011958
3192924619.201221 0.011322 0.011397
3192924619.234223 0.013786 0.013833
3192924619.267222 0.013903 0.013980
3192924619.300223 0.013155 0.013227
3192924619.333222 0.012924 0.012991
3192924619.366224 0.014595 0.014688
3192924619.399223 0.015341 0.015414
3192924619.432224 0.010952 0.011007
3192924619.465224 0.010913 0.010969
3192924619.498225 0.013355 0.013414
3192924619.531224 0.013751 0.013806
3192924619.564226 0.012706 0.012771
3192924619.597225 0.011666 0.011742
3192924619.630226 0.013615 0.013686
3192924619.663226 0.012971 0.013070
3192924619.696227 0.015433 0.015516
3192924619.729226 0.014419 0.014469
3192924619.762227 0.013962 0.014014
3192924619.795227 0.013212 0.013270
3192924619.828227 0.013827 0.013884
3192924619.861228 0.012322 0.012372
3192924619.894228 0.013788 0.013890
3192924619.927227 0.011301 0.011361
3192924619.960229 0.011488 0.011550
3192924619.993229 0.010459 0.010516
3192924620.026229 0.010081 0.010146
3192924620.059229 0.011139 0.011190
3192924620.092230 0.011349 0.011400
3192924620.125230 0.010933 0.011006
3192924620.158231 0.010528 0.010600
3192924620.191230 0.011001 0.011144
3192924620.224231 0.013203 0.013286
3192924620.257231 0.013436 0.013507
3192924620.290232 0.012310 0.012384
3192924620.323231 0.012863 0.012930
3192924620.356233 0.011247 0.011316
3192924620.389232 0.009569 0.009617
3192924620.422233 0.011832 0.011886
3192924620.455232 0.014558 0.014652
3192924620.488234 0.013825 0.013900
3192924620.521233 0.012143 0.012218
