#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1403638522.927830 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
1403638523.677830 0.0056772 0.0113782 0.0023223 -0.0213364 0.0198159 -0.0209586 0.9993562
1403638523.727829 0.0061613 0.0139863 0.0028634 -0.0265506 0.0208186 -0.0232860 0.9991593
1403638524.077830 0.0083579 0.0265068 0.0043397 -0.0375115 0.0275017 -0.0504330 0.9976438
1403638531.927830 0.0144483 0.0313585 0.0206479 -0.0362956 0.1469072 0.0031792 0.9884790
1403638533.377830 0.0144533 0.0313575 0.0206445 -0.0363486 0.1468529 0.0031813 0.9884852
1403638540.627830 0.0167641 -0.0037635 0.0446147 -0.0165690 0.1113844 -0.0151843 0.9935232
1403638541.977829 -0.0196978 -0.0419196 0.1126937 -0.0149528 -0.0699909 -0.0887123 0.9934826
1403638542.227829 -0.0343538 -0.0508289 0.1236054 -0.0205535 -0.1284593 -0.1061390 0.9858044
1403638542.727829 -0.0658060 -0.0606482 0.1471544 0.0080135 -0.2006976 -0.1587549 0.9666712
1403638542.977829 -0.0858497 -0.0676185 0.1528744 -0.0128884 -0.2100740 -0.1414199 0.9673175
1403638543.777829 -0.1558807 -0.0803460 0.1694897 -0.0210765 -0.2614943 -0.1618709 0.9513014
1403638543.977829 -0.1748437 -0.0838092 0.1733672 -0.0191340 -0.3077471 -0.1796133 0.9341652
1403638544.177830 -0.1955480 -0.0889037 0.1760372 -0.0259736 -0.3393717 -0.1788055 0.9231364
1403638544.477829 -0.2254440 -0.0934653 0.1822950 -0.0283358 -0.3500781 -0.1801515 0.9187970
1403638545.027829 -0.2804153 -0.1010461 0.1964185 -0.0210792 -0.3572825 -0.1787096 0.9164975
1403638545.277829 -0.3042041 -0.1010977 0.2047942 -0.0203875 -0.3583836 -0.1811378 0.9156061
1403638546.177830 -0.3884681 -0.1038181 0.2308574 -0.0235924 -0.4750944 -0.2318011 0.8485264
1403638546.777829 -0.4469244 -0.1054764 0.2466411 -0.0283591 -0.5095595 -0.2398879 0.8258321
1403638547.077830 -0.4780550 -0.1085472 0.2521381 -0.0226674 -0.5151193 -0.2517763 0.8189915
1403638547.427830 -0.5170807 -0.1067640 0.2566054 -0.0235435 -0.5148606 -0.2531886 0.8186939
1403638548.227829 -0.6137767 -0.0877043 0.2636397 -0.0295953 -0.5290147 -0.2514406 0.8099661
1403638548.327830 -0.6268205 -0.0874485 0.2621190 -0.0312403 -0.5413338 -0.2549458 0.8006150
1403638549.277829 -0.7632596 -0.0934831 0.2464888 -0.0352648 -0.5894396 -0.2667318 0.7616899
1403638549.477829 -0.7944729 -0.0989410 0.2425945 -0.0383575 -0.5901638 -0.2604244 0.7631609
1403638549.627830 -0.8176747 -0.1010902 0.2389915 -0.0359119 -0.5900193 -0.2570538 0.7645332
1403638549.927830 -0.8636913 -0.1074331 0.2356534 -0.0374744 -0.5881441 -0.2592447 0.7651630
1403638550.177830 -0.9020969 -0.1168876 0.2316172 -0.0406556 -0.5889633 -0.2570023 0.7651268
1403638550.327830 -0.9257515 -0.1250606 0.2293988 -0.0402144 -0.5892102 -0.2588291 0.7643440
1403638550.627830 -0.9720581 -0.1387144 0.2272671 -0.0408759 -0.5939943 -0.2489007 0.7639034
1403638550.777829 -0.9947978 -0.1440181 0.2274561 -0.0371601 -0.5961626 -0.2427876 0.7643712
1403638551.227829 -1.0583210 -0.1594451 0.2332020 -0.0204240 -0.6047494 -0.2211947 0.7648097
1403638551.377830 -1.0757351 -0.1669565 0.2360298 -0.0285754 -0.5984223 -0.2209190 0.7695901
1403638551.527829 -1.0917255 -0.1720203 0.2399504 -0.0366656 -0.5783740 -0.2126441 0.7867157
1403638551.827830 -1.1202660 -0.1827596 0.2538822 -0.0440771 -0.5236130 -0.1825061 0.8310103
1403638552.727829 -1.1675465 -0.2317788 0.3202711 -0.0172055 -0.4847880 -0.1706306 0.8576536
1403638552.877830 -1.1691478 -0.2384511 0.3339677 -0.0165911 -0.4855534 -0.1770084 0.8559384
1403638553.027829 -1.1687925 -0.2449405 0.3488136 -0.0151097 -0.4856953 -0.1891754 0.8532786
1403638553.477829 -1.1599463 -0.2628801 0.3915718 0.0135708 -0.4949578 -0.1871025 0.8484251
1403638553.627830 -1.1515458 -0.2709317 0.4053628 0.0211476 -0.4949354 -0.1932022 0.8469148
1403638553.777829 -1.1421989 -0.2802756 0.4157707 0.0199475 -0.4943960 -0.1971386 0.8463516
1403638554.677830 -1.0627561 -0.3236465 0.4592597 -0.0241242 -0.4857955 -0.2176605 0.8461942
1403638554.827830 -1.0494554 -0.3302225 0.4652963 -0.0253354 -0.4885310 -0.2114139 0.8461677
1403638554.977829 -1.0359470 -0.3373736 0.4710710 -0.0252911 -0.4892612 -0.2049867 0.8473277
1403638555.877830 -0.9519767 -0.3656344 0.5197601 -0.0246223 -0.4422544 -0.2001875 0.8739163
1403638556.327830 -0.9129959 -0.3873769 0.5411720 -0.0392578 -0.4397097 -0.2072005 0.8730304
1403638558.127830 -0.7951403 -0.4825057 0.6955831 -0.0364173 -0.4373667 -0.2124644 0.8730653
1403638558.627830 -0.7773915 -0.5112256 0.7432570 -0.0616379 -0.4292875 -0.2218299 0.8733296
1403638559.227829 -0.7779847 -0.5520635 0.8117386 -0.0332366 -0.4365617 -0.2049590 0.8753862
1403638560.127830 -0.7892236 -0.5798396 0.9203573 -0.0219309 -0.4116410 -0.1993463 0.8890061
1403638560.227829 -0.7912904 -0.5816692 0.9319947 -0.0207443 -0.3894624 -0.1909028 0.9008024
1403638560.327830 -0.7929626 -0.5825683 0.9437978 -0.0152619 -0.3656579 -0.1795701 0.9131352
1403638560.927830 -0.7963376 -0.5843208 1.0099521 0.0015217 -0.2219017 -0.0946391 0.9704642
1403638561.527829 -0.7759264 -0.5989380 1.0535028 0.0077568 -0.1316045 -0.0834178 0.9877558
1403638561.627830 -0.7697182 -0.6003063 1.0589962 0.0032416 -0.1284070 -0.0900003 0.9876240
1403638562.027829 -0.7450698 -0.6015706 1.0800784 0.0031801 -0.1158589 -0.0941563 0.9887878
1403638562.927830 -0.6932482 -0.6137362 1.1026313 0.0142635 0.0416012 -0.0128259 0.9989501
1403638563.177830 -0.6727554 -0.6145002 1.1040659 0.0170119 0.0936132 0.0157863 0.9953381
1403638563.377830 -0.6566391 -0.6121927 1.1039388 0.0345757 0.1211497 0.0228740 0.9917681
1403638564.077830 -0.5875401 -0.6032906 1.0759283 0.0339992 0.1165261 0.0293075 0.9921728
1403638564.277829 -0.5640013 -0.6000879 1.0614457 0.0366718 0.1101776 0.0212531 0.9930077
1403638564.377830 -0.5519427 -0.5986437 1.0529113 0.0389882 0.1074786 0.0172331 0.9932932
1403638564.677830 -0.5138359 -0.5958666 1.0207303 0.0350356 0.1009901 0.0203209 0.9940627
1403638564.877830 -0.4857551 -0.5904578 0.9973328 0.0346967 0.0993882 0.0279956 0.9940495
1403638565.177830 -0.4392356 -0.5706469 0.9619343 0.0329963 0.0984330 0.0331150 0.9940451
1403638565.277829 -0.4224195 -0.5609242 0.9498956 0.0314775 0.0994462 0.0313757 0.9940499
1403638565.427830 -0.3970206 -0.5470191 0.9307988 0.0289899 0.1019513 0.0284692 0.9939592
1403638565.927830 -0.3072206 -0.5051813 0.8564692 0.0221002 0.1248059 -0.0058800 0.9919176
1403638566.027829 -0.2900496 -0.4975465 0.8404962 0.0200558 0.1262039 -0.0055795 0.9917859
1403638566.127830 -0.2726545 -0.4892125 0.8246946 0.0195158 0.1265855 -0.0052089 0.9917500
1403638566.577830 -0.2008223 -0.4397911 0.7551675 0.0127055 0.1224965 -0.0042638 0.9923785
1403638566.677830 -0.1851775 -0.4257941 0.7392198 -0.0028072 0.1209804 -0.0038739 0.9926434
1403638566.877830 -0.1559391 -0.3989243 0.7109684 -0.0381355 0.1180739 -0.0026179 0.9922688
1403638567.077830 -0.1256083 -0.3726781 0.6871435 -0.0306424 0.1150467 -0.0066239 0.9928653
1403638567.177830 -0.1107948 -0.3594727 0.6766871 -0.0084460 0.1150247 -0.0111528 0.9932641
1403638567.377830 -0.0819758 -0.3320112 0.6573341 0.0096644 0.1181638 -0.0175836 0.9927914
1403638567.527829 -0.0618175 -0.3131124 0.6426911 0.0051536 0.1214652 -0.0177191 0.9924241
1403638567.827830 -0.0265643 -0.2789061 0.6132324 -0.0136553 0.1287768 -0.0185948 0.9914052
1403638567.927830 -0.0154497 -0.2696001 0.6035559 -0.0157262 0.1283667 -0.0146370 0.9914941
1403638568.027829 -0.0048558 -0.2615643 0.5941445 -0.0169858 0.1294649 -0.0151936 0.9913221
1403638568.427830 0.0328584 -0.2370382 0.5595900 -0.0168956 0.1325501 -0.0194956 0.9908405
1403638568.827830 0.0598179 -0.2142660 0.5342771 -0.0244910 0.1341965 -0.0205279 0.9904394
1403638569.027829 0.0711844 -0.2072262 0.5242804 -0.0234100 0.1345580 -0.0215222 0.9903954
1403638570.177830 0.0946166 -0.1908538 0.5048140 -0.0128102 0.1343652 -0.0208910 0.9906288
1403638571.077830 0.1027787 -0.1639376 0.5134206 0.0406145 0.2574853 0.1042201 0.9597864
1403638571.277829 0.1155292 -0.1549935 0.5071755 0.0230936 0.3012832 0.0971829 0.9482883
1403638571.677830 0.1440099 -0.1437272 0.4837343 0.0200788 0.3398201 0.0990969 0.9350395
1403638572.077830 0.1763304 -0.1284326 0.4544273 0.0157996 0.4051327 0.1384538 0.9035754
1403638572.377830 0.2051204 -0.1213505 0.4260389 0.0071998 0.4667085 0.1553868 0.8706241
1403638572.977829 0.2741182 -0.1074855 0.3671448 -0.0161397 0.5133076 0.1527317 0.8443506
1403638573.077830 0.2861778 -0.1073522 0.3585950 -0.0190717 0.5123848 0.1521999 0.8449457
1403638573.377830 0.3253872 -0.1054881 0.3356460 -0.0217359 0.5069027 0.1513266 0.8483381
1403638573.677830 0.3678299 -0.1093626 0.3169238 -0.0266391 0.5136807 0.1480499 0.8446915
1403638573.777829 0.3828123 -0.1123463 0.3118950 -0.0251092 0.5210791 0.1465825 0.8404521
1403638573.877830 0.3982440 -0.1155504 0.3072017 -0.0163098 0.5349362 0.1427115 0.8325927
1403638574.077830 0.4297498 -0.1205008 0.2992778 0.0166110 0.5669065 0.1596372 0.8079957
1403638574.177830 0.4450327 -0.1225389 0.2957756 0.0356245 0.5838782 0.1752529 0.7918987
1403638574.777829 0.5280752 -0.1231227 0.2657790 0.0304167 0.6802758 0.2065736 0.7025859
1403638574.927830 0.5458059 -0.1246903 0.2559865 0.0181592 0.6839329 0.2124806 0.6976805
1403638575.027829 0.5576334 -0.1249224 0.2499277 0.0159781 0.6827745 0.2179651 0.6971763
1403638575.177830 0.5753121 -0.1245103 0.2409368 0.0240757 0.6779871 0.2285553 0.6982237
1403638575.477829 0.6117985 -0.1193781 0.2224351 0.0174737 0.6714288 0.2329115 0.7032995
1403638575.727829 0.6440547 -0.1147256 0.2051475 -0.0021598 0.6696384 0.2242915 0.7080064
1403638575.877830 0.6645541 -0.1145846 0.1931934 -0.0124132 0.6682730 0.2214666 0.7100773
1403638576.027829 0.6862199 -0.1168502 0.1816544 -0.0118942 0.6671904 0.2205761 0.7113801
1403638576.327830 0.7338905 -0.1253380 0.1591870 -0.0122615 0.6706387 0.2113688 0.7109266
1403638576.627830 0.7850106 -0.1309105 0.1427435 -0.0300592 0.6763415 0.1982762 0.7087631
1403638576.777829 0.8121222 -0.1329772 0.1370553 -0.0259974 0.6786866 0.1903824 0.7088464
1403638576.927830 0.8396409 -0.1351709 0.1341811 -0.0114837 0.6799173 0.1873538 0.7088577
1403638577.077830 0.8672957 -0.1371328 0.1327460 0.0012339 0.6778840 0.1938019 0.7091632
1403638577.227829 0.8941492 -0.1404932 0.1316454 0.0069321 0.6764697 0.1975968 0.7094337
1403638577.377830 0.9205167 -0.1456313 0.1310934 -0.0026795 0.6795074 0.1889834 0.7089061
1403638577.527829 0.9460146 -0.1523924 0.1311177 -0.0070483 0.6804335 0.1856637 0.7088650
1403638577.827830 0.9964592 -0.1632908 0.1365229 -0.0033937 0.6767637 0.1937139 0.7102495
1403638577.977829 1.0210780 -0.1674058 0.1410052 -0.0037234 0.6765308 0.1919742 0.7109417
1403638578.177830 1.0541604 -0.1751462 0.1482607 0.0052298 0.6733239 0.1966421 0.7126988
1403638578.377830 1.0854445 -0.1853422 0.1548903 0.0186043 0.6688263 0.2078719 0.7135226
1403638578.777829 1.1485103 -0.1971213 0.1692587 0.0137792 0.6731115 0.2006459 0.7116686
1403638578.927830 1.1719046 -0.1995119 0.1750658 0.0071744 0.6757495 0.1937764 0.7111694
1403638579.077830 1.1938450 -0.2033239 0.1807265 0.0058589 0.6759170 0.1904642 0.7119167
1403638579.477829 1.2495569 -0.2217424 0.1963696 0.0225792 0.6696433 0.2037118 0.7138414
1403638579.877830 1.3008164 -0.2329529 0.2139747 0.0258208 0.6323794 0.1639553 0.7566692
1403638580.077830 1.3214731 -0.2356161 0.2235553 0.0260060 0.5765941 0.1331778 0.8056839
1403638580.827830 1.3725743 -0.2307111 0.2584717 0.0047500 0.3714458 0.0853827 0.9245081
1403638581.077830 1.3861959 -0.2337430 0.2643815 0.0001643 0.3588060 0.0819194 0.9298105
1403638581.227829 1.3938622 -0.2375140 0.2677101 -0.0010223 0.3611102 0.0778362 0.9292685
1403638584.227829 1.4091743 -0.3508220 0.3120408 0.0295465 0.3862561 0.0585729 0.9200557
1403638584.677830 1.3837616 -0.3549845 0.3245931 0.0376648 0.3856171 0.0578081 0.9200755
1403638584.977829 1.3594868 -0.3583792 0.3263155 0.0087020 0.3807421 0.0739331 0.9216798
1403638585.427830 1.3211219 -0.3591920 0.3310949 0.0128655 0.3798584 0.0750270 0.9219072
1403638586.377830 1.2394276 -0.3754131 0.3454995 0.0104781 0.3835249 0.0737480 0.9205217
1403638587.427830 1.1441033 -0.3694403 0.3722455 0.0080089 0.3823866 0.0756850 0.9208627
1403638587.627830 1.1246073 -0.3693144 0.3762679 0.0083158 0.3817827 0.0788550 0.9208446
1403638588.027829 1.0853627 -0.3625199 0.3867826 0.0109167 0.3821748 0.0807535 0.9204901
1403638588.927830 0.9918007 -0.3531268 0.4098757 0.0141377 0.3827872 0.0785566 0.9203820
1403638589.127830 0.9705112 -0.3513675 0.4139580 0.0129469 0.3837105 0.0779996 0.9200624
1403638589.327830 0.9484671 -0.3479649 0.4188335 0.0142175 0.3840187 0.0780414 0.9199114
1403638589.877830 0.8875370 -0.3440754 0.4263941 0.0088978 0.3843988 0.0805767 0.9196008
1403638590.177830 0.8548126 -0.3405223 0.4296957 0.0105142 0.3858068 0.0816005 0.9189036
1403638590.827830 0.7864768 -0.3271045 0.4360700 0.0033056 0.3845669 0.0868463 0.9189968
1403638591.227829 0.7468302 -0.3299235 0.4385620 -0.0134975 0.3839247 0.0941109 0.9184567
1403638592.027829 0.6993374 -0.3266734 0.4644156 -0.0216595 0.3818077 0.1046128 0.9180468
1403638592.627830 0.6914224 -0.3541130 0.4871594 0.0010460 0.3228778 0.0832452 0.9427720
1403638592.827830 0.6919190 -0.3671725 0.4907244 -0.0168949 0.3056870 0.0784422 0.9487449
1403638593.327830 0.7031561 -0.3956538 0.5063624 -0.0129828 0.3036805 0.0615718 0.9506937
1403638593.727829 0.7146281 -0.4201315 0.5232655 0.0051580 0.3154308 0.0416771 0.9480189
1403638594.227829 0.7200726 -0.4460936 0.5410674 0.0154781 0.2919654 0.0422054 0.9553718
1403638594.627830 0.7160639 -0.4665681 0.5474097 0.0192588 0.2844574 0.0357970 0.9578266
1403638594.877830 0.7102847 -0.4804234 0.5482682 0.0175313 0.2826915 0.0437974 0.9580501
