#TimeStamp Tx Ty Tz Qx Qy Qz Qw
6.432181 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
6.535919 0.0012826 -0.0002274 0.0364260 0.0014049 0.0179992 -0.0004122 0.9998369
6.639619 0.0038306 -0.0006911 0.0724977 0.0000946 0.0359543 -0.0001895 0.9993534
6.743256 0.0075612 -0.0015093 0.1084972 -0.0000805 0.0540704 -0.0000144 0.9985371
6.847019 0.0126136 -0.0019894 0.1435207 0.0018079 0.0720106 0.0002419 0.9974022
6.950676 0.0188658 -0.0026202 0.1784156 0.0033083 0.0900189 0.0000989 0.9959345
7.054434 0.0265941 -0.0030736 0.2134771 0.0040664 0.1078413 -0.0008428 0.9941595
7.158126 0.0353907 -0.0039566 0.2481102 0.0049176 0.1258667 -0.0010501 0.9920344
7.261837 0.0455772 -0.0049318 0.2825627 0.0081304 0.1435846 -0.0022937 0.9896020
7.365577 0.0571166 -0.0058111 0.3168505 0.0131733 0.1615088 -0.0037297 0.9867763
7.469315 0.0697435 -0.0069589 0.3502777 0.0174050 0.1795047 -0.0051318 0.9835898
7.572928 0.0838970 -0.0083147 0.3843145 0.0189696 0.1974963 -0.0068360 0.9800962
7.676672 0.0992442 -0.0100302 0.4177734 0.0176625 0.2155691 -0.0077143 0.9762983
7.780431 0.1161347 -0.0112837 0.4510369 0.0154693 0.2335057 -0.0096805 0.9721842
7.884150 0.1341859 -0.0127849 0.4838026 0.0146719 0.2516636 -0.0118795 0.9676306
7.987818 0.1529726 -0.0146210 0.5160823 0.0137301 0.2700455 -0.0153867 0.9626267
8.091556 0.1733765 -0.0164244 0.5478345 0.0130234 0.2884149 -0.0178023 0.9572514
8.195302 0.1957622 -0.0178026 0.5790021 0.0120958 0.3063309 -0.0191824 0.9516549
8.299053 0.2189735 -0.0196143 0.6092157 0.0117943 0.3240663 -0.0193488 0.9457629
8.402730 0.2439014 -0.0211027 0.6387116 0.0119173 0.3413463 -0.0191969 0.9396660
8.506356 0.2703018 -0.0228125 0.6676314 0.0119134 0.3581178 -0.0179768 0.9334273
8.610085 0.2975769 -0.0245422 0.6956185 0.0137491 0.3744698 -0.0144956 0.9270238
8.713700 0.3257594 -0.0263055 0.7226875 0.0160102 0.3902073 -0.0143301 0.9204763
8.817441 0.3546344 -0.0280957 0.7492638 0.0186198 0.4053393 -0.0150941 0.9138520
8.921074 0.3846476 -0.0303226 0.7746256 0.0218806 0.4187101 -0.0130637 0.9077623
9.024545 0.4162410 -0.0323349 0.7996734 0.0215557 0.4300213 -0.0120324 0.9024812
9.128182 0.4480762 -0.0343872 0.8241377 0.0206383 0.4400119 -0.0108198 0.8976895
9.231657 0.4802071 -0.0366201 0.8485447 0.0194067 0.4488046 -0.0102109 0.8933608
9.335267 0.5133307 -0.0389085 0.8721132 0.0212498 0.4561247 -0.0100352 0.8896055
9.438799 0.5469688 -0.0410036 0.8951569 0.0236344 0.4624234 -0.0099894 0.8862879
9.542373 0.5805589 -0.0430597 0.9177033 0.0268601 0.4676676 -0.0097750 0.8834421
9.646095 0.6144505 -0.0457457 0.9400767 0.0294916 0.4717356 -0.0081395 0.8812091
9.749609 0.6488052 -0.0487553 0.9621702 0.0325099 0.4741650 -0.0074808 0.8798038
9.853097 0.6829373 -0.0518604 0.9841499 0.0348046 0.4756397 -0.0077829 0.8789169
9.956711 0.7172318 -0.0549690 1.0061877 0.0370496 0.4768688 -0.0077944 0.8781587
10.060450 0.7512841 -0.0580972 1.0280397 0.0385819 0.4779547 -0.0082021 0.8774984
10.164070 0.7858033 -0.0616050 1.0502198 0.0402574 0.4789956 -0.0085364 0.8768522
10.267680 0.8203113 -0.0650369 1.0721766 0.0421194 0.4798843 -0.0089469 0.8762745
10.371450 0.8552856 -0.0684924 1.0943371 0.0434297 0.4807260 -0.0081407 0.8757569
10.475040 0.8896155 -0.0720921 1.1167222 0.0429711 0.4819263 -0.0076789 0.8751238
10.578780 0.9251067 -0.0758193 1.1384072 0.0427251 0.4825324 -0.0077662 0.8748010
10.682420 0.9604077 -0.0796002 1.1607070 0.0431885 0.4837104 -0.0081253 0.8741241
10.786180 0.9955782 -0.0832289 1.1826501 0.0440214 0.4846138 -0.0090136 0.8735733
10.889870 1.0313206 -0.0875694 1.2043549 0.0444280 0.4854000 -0.0099549 0.8731059
10.993530 1.0665668 -0.0914457 1.2258291 0.0455967 0.4862995 -0.0118690 0.8725210
11.097270 1.1017010 -0.0955272 1.2481053 0.0468381 0.4873824 -0.0142728 0.8718147
11.201020 1.1373489 -0.0997910 1.2701042 0.0472686 0.4884705 -0.0157889 0.8711561
11.304710 1.1737459 -0.1040786 1.2920142 0.0462560 0.4895498 -0.0161967 0.8705969
11.408450 1.2099966 -0.1082771 1.3140719 0.0439781 0.4907985 -0.0164793 0.8700064
11.512140 1.2464901 -0.1126369 1.3360803 0.0431679 0.4918269 -0.0158914 0.8694770
11.615900 1.2835577 -0.1168287 1.3579201 0.0431942 0.4925012 -0.0163855 0.8690848
11.719550 1.3200282 -0.1208243 1.3798374 0.0447344 0.4931231 -0.0165904 0.8686502
11.823280 1.3566049 -0.1249577 1.4018836 0.0461981 0.4935291 -0.0169150 0.8683367
11.927030 1.3932630 -0.1294790 1.4239299 0.0461681 0.4935841 -0.0178045 0.8682893
12.030770 1.4301142 -0.1337785 1.4460880 0.0451109 0.4935135 -0.0188244 0.8683634
12.134510 1.4672098 -0.1382577 1.4685378 0.0440244 0.4935018 -0.0201524 0.8683960
12.238130 1.5049026 -0.1428183 1.4912649 0.0437430 0.4933897 -0.0222146 0.8684236
12.341890 1.5420777 -0.1477947 1.5136609 0.0427836 0.4934023 -0.0236343 0.8684268
12.445490 1.5792218 -0.1519899 1.5365870 0.0419947 0.4937372 -0.0252079 0.8682307
12.549220 1.6175642 -0.1562646 1.5591903 0.0399689 0.4938340 -0.0236321 0.8683156
12.652870 1.6558474 -0.1606310 1.5819768 0.0366938 0.4941663 -0.0196724 0.8683699
12.756590 1.6948817 -0.1642909 1.6046786 0.0357372 0.4940331 -0.0161042 0.8685591
12.860200 1.7339301 -0.1680296 1.6273201 0.0384349 0.4937302 -0.0127458 0.8686718
12.963810 1.7724028 -0.1717649 1.6497658 0.0420089 0.4931438 -0.0114980 0.8688568
13.067550 1.8113519 -0.1759553 1.6723813 0.0450719 0.4925188 -0.0109585 0.8690648
13.171180 1.8502500 -0.1799824 1.6954033 0.0474728 0.4921798 -0.0116108 0.8691205
13.274910 1.8898165 -0.1842421 1.7187318 0.0456660 0.4918292 -0.0121981 0.8694078
13.378650 1.9290235 -0.1884836 1.7426558 0.0435803 0.4919558 -0.0115618 0.8694519
13.482410 1.9679158 -0.1926839 1.7663937 0.0423624 0.4919097 -0.0119039 0.8695335
13.586010 2.0065401 -0.1968801 1.7904538 0.0422040 0.4920223 -0.0128705 0.8694638
13.689750 2.0465426 -0.2014415 1.8145458 0.0445630 0.4918113 -0.0135747 0.8694547
13.793480 2.0863843 -0.2054964 1.8384184 0.0459019 0.4913845 -0.0144779 0.8696118
13.897120 2.1262422 -0.2103111 1.8626795 0.0453415 0.4912271 -0.0138212 0.8697408
14.000840 2.1668653 -0.2151141 1.8870119 0.0426398 0.4909335 -0.0111091 0.8700820
14.104450 2.2071943 -0.2194254 1.9114790 0.0418735 0.4910576 -0.0107990 0.8700531
14.208070 2.2474074 -0.2235170 1.9361118 0.0427633 0.4907948 -0.0128965 0.8701296
14.311810 2.2881079 -0.2278436 1.9608002 0.0439179 0.4905986 -0.0138331 0.8701683
14.415430 2.3285513 -0.2322159 1.9852432 0.0435647 0.4903929 -0.0138582 0.8703016
14.519060 2.3689556 -0.2364715 2.0100389 0.0418756 0.4903197 -0.0135705 0.8704303
14.622780 2.4092698 -0.2408080 2.0350485 0.0415298 0.4902435 -0.0131418 0.8704963
14.726400 2.4504275 -0.2451796 2.0598187 0.0420449 0.4895899 -0.0124898 0.8708490
14.830140 2.4914560 -0.2497815 2.0850635 0.0424452 0.4893215 -0.0113673 0.8709958
14.933760 2.5322855 -0.2538322 2.1104717 0.0422518 0.4889901 -0.0114683 0.8711900
15.037370 2.5735059 -0.2584842 2.1358807 0.0426176 0.4885318 -0.0108861 0.8714367
15.141110 2.6149633 -0.2625159 2.1611340 0.0421045 0.4878714 -0.0104220 0.8718372
15.244850 2.6561484 -0.2671546 2.1870253 0.0411811 0.4875821 -0.0108675 0.8720377
15.348490 2.6979251 -0.2714884 2.2128026 0.0411058 0.4869745 -0.0101271 0.8723896
15.452310 2.7397950 -0.2759005 2.2385969 0.0411540 0.4861116 -0.0110360 0.8728574
15.555950 2.7818091 -0.2800088 2.2643344 0.0425698 0.4853270 -0.0114953 0.8732201
15.659670 2.8238020 -0.2840502 2.2905021 0.0416211 0.4846936 -0.0125613 0.8736029
15.763460 2.8657513 -0.2883020 2.3168261 0.0403536 0.4843870 -0.0143189 0.8738053
15.867170 2.9076433 -0.2921714 2.3430939 0.0406312 0.4843015 -0.0160338 0.8738101
15.970910 2.9504006 -0.2969195 2.3703127 0.0395919 0.4844421 -0.0170774 0.8737601
16.074630 2.9929783 -0.3014385 2.3971088 0.0378744 0.4848649 -0.0177563 0.8735881
16.178490 3.0358531 -0.3061101 2.4235330 0.0367833 0.4850972 -0.0181351 0.8734980
16.282150 3.0785105 -0.3104391 2.4502280 0.0361724 0.4856892 -0.0187930 0.8731806
16.385890 3.1214578 -0.3149775 2.4766247 0.0361917 0.4862166 -0.0183669 0.8728953
16.489610 3.1645525 -0.3192647 2.5030625 0.0353456 0.4871322 -0.0180600 0.8724258
16.593230 3.2072918 -0.3234238 2.5293083 0.0329289 0.4885651 -0.0173501 0.8717332
16.696990 3.2500620 -0.3273490 2.5549092 0.0330965 0.4902144 -0.0169061 0.8708092
16.800590 3.2930753 -0.3309293 2.5801873 0.0350430 0.4919257 -0.0205173 0.8696897
16.904950 3.3358996 -0.3349061 2.6048918 0.0367765 0.4947508 -0.0204715 0.8680150
17.008130 3.3790772 -0.3390027 2.6291485 0.0357747 0.4984390 -0.0181623 0.8659959
17.111810 3.4225390 -0.3433902 2.6528127 0.0351451 0.5027505 -0.0160142 0.8635684
17.215680 3.4655230 -0.3465810 2.6760948 0.0363399 0.5081769 -0.0158959 0.8603389
17.319420 3.5093157 -0.3506255 2.6991189 0.0369592 0.5142520 -0.0149786 0.8567114
17.423160 3.5535727 -0.3551405 2.7219269 0.0360557 0.5203820 -0.0139624 0.8530578
17.526900 3.5976112 -0.3594109 2.7433867 0.0380383 0.5266943 -0.0122233 0.8491153
17.630640 3.6419480 -0.3632415 2.7644486 0.0395748 0.5332004 -0.0132870 0.8449584
17.734250 3.6864502 -0.3670013 2.7843080 0.0415375 0.5392609 -0.0151082 0.8409780
17.837990 3.7314978 -0.3713457 2.8040092 0.0401885 0.5458298 -0.0161503 0.8367758
17.941730 3.7763960 -0.3757347 2.8234358 0.0367387 0.5528328 -0.0175046 0.8322979
18.045360 3.8216853 -0.3798115 2.8419490 0.0348120 0.5593593 -0.0181494 0.8279952
18.149090 3.8669748 -0.3840206 2.8597839 0.0351086 0.5658042 -0.0197199 0.8235558
18.252830 3.9126248 -0.3883020 2.8764782 0.0359616 0.5717595 -0.0205346 0.8193755
18.356440 3.9579797 -0.3926408 2.8928170 0.0372679 0.5778769 -0.0204819 0.8150153
18.460060 4.0039749 -0.3971213 2.9085593 0.0375519 0.5840924 -0.0194890 0.8105838
18.563800 4.0502868 -0.4017200 2.9232306 0.0366519 0.5899769 -0.0191939 0.8063594
18.667420 4.0965166 -0.4062729 2.9375708 0.0359492 0.5962449 -0.0191339 0.8017691
18.771200 4.1427631 -0.4107468 2.9508538 0.0364982 0.6024077 -0.0203943 0.7970928
18.874770 4.1888647 -0.4150659 2.9635818 0.0373637 0.6088247 -0.0211593 0.7921419
18.978730 4.2354269 -0.4194931 2.9754217 0.0383204 0.6150931 -0.0214137 0.7872315
19.082260 4.2817707 -0.4240713 2.9867644 0.0398338 0.6214746 -0.0209531 0.7821403
19.185970 4.3293428 -0.4287175 2.9973764 0.0411239 0.6279396 -0.0227785 0.7768409
19.289530 4.3769708 -0.4333794 3.0069404 0.0422464 0.6342892 -0.0234612 0.7715841
19.393230 4.4247942 -0.4382867 3.0161531 0.0407198 0.6410371 -0.0235425 0.7660673
19.496840 4.4734960 -0.4429535 3.0243163 0.0387114 0.6479734 -0.0238063 0.7603060
19.600580 4.5228333 -0.4473633 3.0318468 0.0390248 0.6549682 -0.0246200 0.7542464
19.704200 4.5725236 -0.4521533 3.0382326 0.0384777 0.6617100 -0.0255155 0.7483370
19.807830 4.6219959 -0.4564597 3.0439847 0.0383025 0.6688233 -0.0258312 0.7419845
19.911550 4.6719856 -0.4613035 3.0486393 0.0381266 0.6754957 -0.0268505 0.7358878
20.015160 4.7223339 -0.4664837 3.0525250 0.0379981 0.6824080 -0.0268857 0.7294878
20.118910 4.7728648 -0.4710108 3.0551894 0.0369970 0.6890878 -0.0266699 0.7232413
20.222520 4.8233790 -0.4757941 3.0569587 0.0355014 0.6958945 -0.0257558 0.7168034
20.326140 4.8744459 -0.4804674 3.0578148 0.0349021 0.7025473 -0.0249236 0.7103436
20.429900 4.9248910 -0.4851116 3.0577757 0.0342825 0.7093329 -0.0253851 0.7035816
20.533510 4.9757957 -0.4900041 3.0566769 0.0345204 0.7159721 -0.0273620 0.6967379
20.637100 5.0268154 -0.4946708 3.0546939 0.0346613 0.7227852 -0.0290664 0.6895908
20.740720 5.0785499 -0.4994187 3.0515223 0.0333597 0.7300397 -0.0293487 0.6819588
20.844400 5.1296921 -0.5040656 3.0475578 0.0296822 0.7375867 -0.0291585 0.6739693
20.947990 5.1812625 -0.5087023 3.0420840 0.0288730 0.7453247 -0.0293491 0.6654292
21.051700 5.2325830 -0.5130071 3.0357671 0.0275745 0.7535828 -0.0306239 0.6560600
21.155310 5.2838964 -0.5179520 3.0282741 0.0254938 0.7619834 -0.0319187 0.6463069
21.259050 5.3355737 -0.5224483 3.0190887 0.0251827 0.7701203 -0.0315612 0.6366196
21.362660 5.3864222 -0.5272685 3.0084534 0.0264820 0.7778845 -0.0325294 0.6270058
21.466280 5.4376063 -0.5320869 2.9962502 0.0264543 0.7854653 -0.0306111 0.6175819
21.570090 5.4884300 -0.5369377 2.9828682 0.0275122 0.7929050 -0.0292648 0.6080200
21.673830 5.5389104 -0.5414849 2.9683149 0.0285332 0.8002512 -0.0298828 0.5982398
21.777500 5.5892076 -0.5461537 2.9526980 0.0299171 0.8074517 -0.0315201 0.5883309
21.881240 5.6391926 -0.5508341 2.9357276 0.0305413 0.8144135 -0.0307913 0.5786620
21.984890 5.6891394 -0.5556233 2.9171886 0.0295962 0.8208138 -0.0297281 0.5696535
22.088470 5.7381172 -0.5601363 2.8974783 0.0312730 0.8264437 -0.0297547 0.5613622
22.192090 5.7864580 -0.5648543 2.8777173 0.0331482 0.8319566 -0.0306468 0.5530011
22.295710 5.8345084 -0.5695938 2.8578219 0.0324824 0.8373083 -0.0317488 0.5448410
22.399370 5.8830633 -0.5735506 2.8353624 0.0316851 0.8420570 -0.0323320 0.5374854
22.503010 5.9306021 -0.5792429 2.8127511 0.0308844 0.8464289 -0.0325543 0.5306076
22.606690 5.9778447 -0.5842597 2.7890146 0.0304087 0.8504590 -0.0324390 0.5241590
22.710180 6.0245838 -0.5894789 2.7651701 0.0291986 0.8544357 -0.0325498 0.5177138
22.813790 6.0717192 -0.5944961 2.7401121 0.0266451 0.8581202 -0.0316432 0.5117797
22.917420 6.1186614 -0.5995089 2.7149653 0.0249147 0.8616907 -0.0303935 0.5059097
23.021160 6.1656914 -0.6040729 2.6886458 0.0248206 0.8647726 -0.0285169 0.5007385
23.124640 6.2116599 -0.6083779 2.6618285 0.0272120 0.8669427 -0.0280911 0.4968709
23.228260 6.2574310 -0.6128588 2.6349134 0.0296259 0.8686332 -0.0275225 0.4938028
23.331860 6.3036566 -0.6174196 2.6071198 0.0314030 0.8699567 -0.0278453 0.4913388
23.435500 6.3488884 -0.6222934 2.5802760 0.0300346 0.8713266 -0.0276272 0.4890036
23.539090 6.3947258 -0.6266977 2.5524812 0.0261708 0.8726911 -0.0277749 0.4867791
23.642730 6.4409595 -0.6310270 2.5249989 0.0232171 0.8742781 -0.0284015 0.4840373
23.746450 6.4862604 -0.6355053 2.4971256 0.0204895 0.8753914 -0.0304021 0.4820226
23.850060 6.5315475 -0.6397014 2.4689586 0.0194739 0.8763747 -0.0325831 0.4801317
23.953700 6.5765352 -0.6442455 2.4406338 0.0199779 0.8769577 -0.0334316 0.4789869
24.057300 6.6216116 -0.6486723 2.4117939 0.0204587 0.8771086 -0.0345680 0.4786094
24.160910 6.6663923 -0.6531333 2.3835216 0.0216383 0.8770528 -0.0351433 0.4786179
24.264530 6.7117505 -0.6581078 2.3548200 0.0221973 0.8767721 -0.0354368 0.4790848
24.368140 6.7565536 -0.6628861 2.3266180 0.0226291 0.8764455 -0.0365134 0.4795811
24.471760 6.8017626 -0.6677437 2.2986958 0.0231728 0.8762284 -0.0360327 0.4799880
24.575380 6.8465471 -0.6726754 2.2710626 0.0228755 0.8757556 -0.0364568 0.4808323
24.678990 6.8915725 -0.6774135 2.2435451 0.0223418 0.8749524 -0.0369259 0.4822817
24.782620 6.9363050 -0.6824418 2.2165642 0.0212888 0.8740484 -0.0361729 0.4840223
24.886230 6.9820566 -0.6874091 2.1886737 0.0197765 0.8726427 -0.0354046 0.4866725
24.989850 7.0265040 -0.6918451 2.1624289 0.0180997 0.8711399 -0.0348609 0.4894614
25.093570 7.0720882 -0.6964404 2.1344910 0.0190787 0.8689448 -0.0344614 0.4933391
25.197190 7.1173105 -0.7013911 2.1083162 0.0190397 0.8668386 -0.0340621 0.4970595
25.300820 7.1627917 -0.7055199 2.0822506 0.0204896 0.8641606 -0.0352645 0.5015607
25.404420 7.2085285 -0.7106035 2.0568054 0.0206504 0.8614231 -0.0341699 0.5063164
25.508050 7.2551150 -0.7150863 2.0314384 0.0216341 0.8580352 -0.0344775 0.5119755
25.611670 7.3022709 -0.7197695 2.0064821 0.0226044 0.8541656 -0.0347291 0.5183475
25.715400 7.3497705 -0.7246777 1.9822283 0.0234560 0.8502160 -0.0340690 0.5248066
25.819080 7.3975754 -0.7293624 1.9593313 0.0228199 0.8464917 -0.0330600 0.5308843
25.922790 7.4453335 -0.7342269 1.9366376 0.0239480 0.8423524 -0.0325575 0.5374094
26.026490 7.4926624 -0.7388855 1.9151609 0.0248037 0.8382719 -0.0314807 0.5437775
26.130160 7.5403457 -0.7433044 1.8947375 0.0250879 0.8340591 -0.0303369 0.5502688
26.233850 7.5880880 -0.7479385 1.8746018 0.0255449 0.8294865 -0.0281634 0.5572310
26.337500 7.6344995 -0.7522979 1.8565629 0.0265259 0.8251895 -0.0266971 0.5636008
26.441180 7.6818233 -0.7565860 1.8392901 0.0278399 0.8203546 -0.0249646 0.5706312
26.544820 7.7292838 -0.7610433 1.8221810 0.0288562 0.8147067 -0.0232957 0.5786861
26.648530 7.7772875 -0.7650365 1.8057277 0.0302038 0.8086696 -0.0218937 0.5870791
26.752060 7.8248801 -0.7694161 1.7907674 0.0307534 0.8027257 -0.0206417 0.5951971
26.855810 7.8731260 -0.7738277 1.7770967 0.0313020 0.7967322 -0.0200010 0.6031898
26.959400 7.9220557 -0.7775608 1.7638668 0.0326023 0.7900668 -0.0190524 0.6118566
27.063080 7.9701262 -0.7815443 1.7526016 0.0330010 0.7833932 -0.0171583 0.6204125
27.166660 8.0187187 -0.7853846 1.7416393 0.0341011 0.7755558 -0.0155758 0.6301649
