#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1311870431.799486 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
1311870432.131603 0.0054657 -0.0012590 -0.0021525 0.0138459 0.0043917 -0.0033385 0.9998889
1311870432.231754 0.0065098 -0.0014029 -0.0026395 0.0096915 0.0039047 -0.0053878 0.9999309
1311870434.363534 0.0497440 0.0007025 0.0057126 -0.0150050 0.0086117 0.0043056 0.9998411
1311870435.431784 0.0663521 0.0062730 0.0168275 -0.1225770 -0.0011764 -0.0455667 0.9914117
1311870435.599673 0.0697244 0.0061548 0.0186734 -0.1320721 -0.0031812 -0.0490033 0.9900230
1311870436.131762 0.0788846 0.0051843 0.0257428 -0.1449989 -0.0017077 -0.0526581 0.9880281
1311870436.768050 0.0856909 -0.0017650 0.0300151 -0.1196862 -0.0302977 -0.0341840 0.9917604
1311870437.199925 0.0952536 -0.0065293 0.0303800 -0.0956759 -0.0521597 -0.0277981 0.9936563
1311870437.967868 0.1251780 -0.0154222 0.0380510 -0.0665072 -0.1053613 -0.0420372 0.9913166
1311870439.667868 0.1661412 -0.0268191 0.0592658 -0.0631438 -0.1709414 -0.0836051 0.9796949
1311870439.767878 0.1682533 -0.0279225 0.0620913 -0.0643937 -0.1766483 -0.0889370 0.9781304
1311870439.867821 0.1691079 -0.0285910 0.0647869 -0.0626415 -0.1852940 -0.0917285 0.9763852
1311870441.300230 0.2049716 -0.0274627 0.0878164 -0.1191165 -0.2772591 -0.1857256 0.9351175
1311870441.400106 0.2076915 -0.0270872 0.0885972 -0.1290448 -0.2772262 -0.1888665 0.9331787
1311870441.500170 0.2109855 -0.0260815 0.0897985 -0.1401439 -0.2793210 -0.1918254 0.9303454
1311870441.800208 0.2166029 -0.0243808 0.0943402 -0.1585780 -0.2635637 -0.1912775 0.9320945
1311870443.532274 0.2125399 -0.0462122 0.1165733 -0.0944805 -0.3093769 -0.1390273 0.9359652
1311870444.168597 0.2295561 -0.0508888 0.1284834 -0.0897592 -0.3676952 -0.1931823 0.9052205
1311870444.468622 0.2411942 -0.0510033 0.1329568 -0.0960338 -0.3951415 -0.2061739 0.8900186
1311870444.568395 0.2444197 -0.0505594 0.1344290 -0.1019500 -0.4009057 -0.2078744 0.8863797
1311870444.768245 0.2503661 -0.0473441 0.1391104 -0.1222777 -0.3993868 -0.2148329 0.8828279
1311870445.236342 0.2580789 -0.0439564 0.1484310 -0.1506530 -0.3972287 -0.2328326 0.8748154
1311870446.301025 0.2681226 -0.0498324 0.1765137 -0.1640013 -0.4557773 -0.2597222 0.8354130
1311870446.568393 0.2709209 -0.0527784 0.1841177 -0.1601574 -0.4714670 -0.2630647 0.8263567
1311870446.700430 0.2731077 -0.0550540 0.1885316 -0.1521586 -0.4892134 -0.2748436 0.8136209
1311870448.168500 0.2650352 -0.0724264 0.2138734 -0.1524219 -0.5234186 -0.3613065 0.7564774
1311870448.302001 0.2591558 -0.0734838 0.2140958 -0.1581310 -0.5149059 -0.3626106 0.7605131
1311870448.570594 0.2476174 -0.0741897 0.2156000 -0.1639108 -0.5141028 -0.3635719 0.7593727
1311870449.273412 0.2304402 -0.0771922 0.2218540 -0.1637246 -0.5619893 -0.3664539 0.7232385
1311870449.536434 0.2266090 -0.0796007 0.2272568 -0.1381950 -0.6089434 -0.3813671 0.6816518
1311870449.837832 0.2239766 -0.0829795 0.2382322 -0.1235811 -0.6575828 -0.4017904 0.6252016
1311870450.100915 0.2234849 -0.0812232 0.2464611 -0.1201058 -0.6714879 -0.4126948 0.6036237
1311870450.437316 0.2282055 -0.0792573 0.2516517 -0.1322097 -0.6789462 -0.4127701 0.5925990
