#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1225719856.113233 0.0525536 -0.2933028 0.9545739 -0.0000091 0.0045607 0.0053013 0.9999755
1225719856.563210 -0.0000867 -0.0165250 0.0524049 0.0043767 0.0069120 -0.0004266 0.9999664
1225719856.613211 -0.0000822 -0.0184540 0.0593361 0.0053456 0.0085048 -0.0011261 0.9999489
1225719856.663210 -0.0001141 -0.0207136 0.0656402 0.0066447 0.0097682 -0.0022272 0.9999278
1225719856.713211 -0.0002496 -0.0228713 0.0724112 0.0080714 0.0099150 -0.0030013 0.9999138
1225719856.763204 -0.0004413 -0.0249727 0.0793981 0.0090991 0.0086703 -0.0038732 0.9999135
1225719856.813204 -0.0002223 -0.0275525 0.0861302 0.0096937 0.0060645 -0.0037656 0.9999275
1225719856.863203 0.0001703 -0.0299864 0.0930055 0.0101635 0.0035987 -0.0031689 0.9999369
1225719856.913195 0.0003546 -0.0315380 0.0992105 0.0113851 0.0022714 -0.0031095 0.9999278
1225719856.963195 0.0002869 -0.0335703 0.1060790 0.0126409 0.0020892 -0.0028507 0.9999139
1225719857.013194 -0.0000021 -0.0358647 0.1124460 0.0143773 0.0026377 -0.0034342 0.9998873
1225719857.063195 -0.0004179 -0.0379110 0.1187780 0.0166534 0.0031450 -0.0046212 0.9998457
1225719857.113189 -0.0008624 -0.0402532 0.1258362 0.0183647 0.0035234 -0.0055300 0.9998099
1225719857.163188 -0.0007160 -0.0423094 0.1328634 0.0191251 0.0037677 -0.0060548 0.9997917
1225719857.213188 -0.0007481 -0.0447141 0.1395400 0.0185486 0.0044301 -0.0058712 0.9998009
1225719857.263188 -0.0008051 -0.0470538 0.1465184 0.0181221 0.0048943 -0.0058930 0.9998065
1225719857.313196 -0.0009000 -0.0489914 0.1520870 0.0178760 0.0048964 -0.0062049 0.9998090
1225719857.363181 -0.0007529 -0.0508539 0.1574593 0.0178066 0.0041942 -0.0065473 0.9998112
1225719857.413180 -0.0010008 -0.0525095 0.1636972 0.0180237 0.0036208 -0.0072035 0.9998050
1225719857.463180 -0.0010956 -0.0542871 0.1697851 0.0183961 0.0034398 -0.0078085 0.9997944
1225719857.513173 -0.0012717 -0.0550267 0.1722331 0.0189911 0.0036370 -0.0084540 0.9997773
1225719857.563172 -0.0012972 -0.0570926 0.1786997 0.0192711 0.0026252 -0.0086059 0.9997738
1225719857.613173 -0.0013182 -0.0589927 0.1837935 0.0185731 0.0008457 -0.0087850 0.9997885
1225719857.663172 -0.0012964 -0.0613216 0.1900216 0.0173368 -0.0000109 -0.0081769 0.9998163
1225719857.713165 -0.0010371 -0.0631572 0.1955560 0.0165467 -0.0001021 -0.0076515 0.9998338
1225719857.763166 -0.0011300 -0.0651180 0.2020249 0.0166460 0.0003313 -0.0078247 0.9998308
1225719857.813165 -0.0014422 -0.0670633 0.2078579 0.0169500 0.0009278 -0.0086704 0.9998183
1225719857.863158 -0.0015329 -0.0688181 0.2129299 0.0179406 0.0007306 -0.0089270 0.9997990
1225719857.913161 -0.0015748 -0.0705035 0.2181685 0.0188114 -0.0006209 -0.0090759 0.9997817
1225719857.963157 -0.0014673 -0.0723917 0.2233970 0.0197551 -0.0023599 -0.0088694 0.9997627
