#TimeStamp Tx Ty Tz Qx Qy Qz Qw
0.066667 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
1.666667 0.0380801 -0.0000667 -0.0020895 0.0041443 0.0766863 -0.0449813 0.9960315
1.700000 0.0391956 -0.0000643 -0.0022011 0.0042852 0.0812708 -0.0467534 0.9955857
3.200000 0.0824514 -0.0069048 -0.0246427 0.0052482 0.2705084 -0.1466897 0.9514619
7.733333 0.0107618 0.0168510 -0.0024115 -0.0322210 -0.1561500 0.0548867 0.9856807
8.266667 -0.0026848 0.0080542 -0.0043815 -0.0279787 -0.2274018 0.0903002 0.9692014
9.166667 -0.0232448 -0.0047077 -0.0153669 -0.0080214 -0.3168032 0.1370025 0.9385104
9.500000 -0.0295685 -0.0120056 -0.0206771 0.0017838 -0.3498190 0.1567315 0.9236118
10.533333 -0.0383127 -0.0291175 -0.0365405 0.0247395 -0.4212420 0.1958472 0.8852045
11.133333 -0.0457512 -0.0241166 -0.0477223 -0.0013062 -0.4527760 0.1956290 0.8698974
11.400000 -0.0480003 -0.0176274 -0.0485027 -0.0176553 -0.4497436 0.1848799 0.8736352
12.133333 -0.0514245 0.0025730 -0.0462621 -0.0592549 -0.4231103 0.1488125 0.8918079
12.200000 -0.0507298 0.0046958 -0.0452131 -0.0644400 -0.4162776 0.1421499 0.8957421
12.466667 -0.0477161 0.0143839 -0.0391616 -0.0667419 -0.3792214 0.1298434 0.9137162
12.533333 -0.0464242 0.0155028 -0.0374396 -0.0687353 -0.3700194 0.1251026 0.9179927
12.900000 -0.0384395 0.0205452 -0.0296928 -0.0751334 -0.3196449 0.1036713 0.9388474
13.133333 -0.0324881 0.0223416 -0.0250573 -0.0729121 -0.2875445 0.0919014 0.9505557
14.066667 -0.0131594 0.0206058 -0.0145175 -0.0549391 -0.1564099 0.0460665 0.9850866
14.266667 -0.0087755 0.0189888 -0.0121156 -0.0477104 -0.1331766 0.0368633 0.9892567
19.266667 0.0775973 0.1151465 0.2279551 0.0179436 0.2847010 -0.1702586 0.9432048
20.200000 0.0931068 0.1373825 0.2309538 -0.0562769 0.3334850 -0.1486738 0.9292560
20.533333 0.0935822 0.1428631 0.2323647 -0.0696882 0.3306743 -0.1490430 0.9292923
21.033333 0.0850716 0.1529347 0.2412031 -0.0747287 0.2868742 -0.1237386 0.9469993
21.533333 0.0650598 0.1581435 0.2545003 -0.0760389 0.2342857 -0.1016696 0.9638421
22.533333 0.0288376 0.1719150 0.2695152 -0.0685981 0.0966891 -0.0523730 0.9915657
23.733333 -0.0100015 0.1722221 0.2808973 -0.0613368 -0.0348423 -0.0009173 0.9975084
24.133333 -0.0242588 0.1723381 0.2847504 -0.0504819 -0.0718555 0.0146707 0.9960287
24.666667 -0.0377934 0.1676355 0.2873591 -0.0294110 -0.1021404 0.0367780 0.9936547
25.266667 -0.0409772 0.1595847 0.2909240 0.0040413 -0.1247549 0.0516832 0.9908323
25.500000 -0.0381592 0.1558767 0.2941616 0.0107354 -0.1461710 0.0583028 0.9874814
25.700000 -0.0318610 0.1508998 0.2975352 0.0203234 -0.1677305 0.0786382 0.9824813
26.000000 -0.0234493 0.1421387 0.3013967 0.0215156 -0.2003182 0.1017549 0.9741949
26.100000 -0.0211824 0.1386444 0.3028438 0.0197147 -0.2123508 0.1054789 0.9712840
26.200000 -0.0196923 0.1340384 0.3041537 0.0188558 -0.2208993 0.1080649 0.9691078
26.600000 -0.0173074 0.1105460 0.3128438 -0.0021251 -0.2449603 0.1325418 0.9604284
26.700000 -0.0185626 0.1052999 0.3151348 0.0012475 -0.2456206 0.1355199 0.9598455
27.000000 -0.0229526 0.0820483 0.3260735 0.0065604 -0.2537085 0.1352627 0.9577541
27.200000 -0.0265611 0.0645698 0.3352397 -0.0123018 -0.2562297 0.1330024 0.9573429
27.300000 -0.0284568 0.0550978 0.3398285 -0.0098846 -0.2543864 0.1338895 0.9577387
27.400000 -0.0297985 0.0442541 0.3444311 -0.0148891 -0.2556878 0.1347219 0.9572105
27.500000 -0.0306652 0.0357974 0.3485503 -0.0124781 -0.2567223 0.1342994 0.9570275
27.700000 -0.0314858 0.0180797 0.3561131 -0.0150992 -0.2589723 0.1286443 0.9571604
27.800000 -0.0316034 0.0101150 0.3582791 -0.0163964 -0.2610854 0.1266188 0.9568350
28.300000 -0.0291690 -0.0271303 0.3664772 -0.0104362 -0.2519413 0.1119431 0.9611896
28.733333 -0.0289626 -0.0401309 0.3633871 0.0039162 -0.2293993 0.0966725 0.9685118
31.100000 -0.0436466 -0.0642668 0.3475308 0.0219840 -0.4123477 0.2007712 0.8883563
31.166667 -0.0430516 -0.0641272 0.3460419 0.0191905 -0.4233775 0.2055812 0.8821109
31.200000 -0.0458618 -0.0642000 0.3463039 0.0179393 -0.4277847 0.2056729 0.8799870
31.233333 -0.0464488 -0.0645572 0.3459367 0.0151917 -0.4330204 0.2070779 0.8771438
