#TimeStamp Tx Ty Tz Qx Qy Qz Qw
3192918785.181695 -0.0476463 0.0001254 0.0016100 0.0007835 0.0302374 -0.0108869 0.9994832
3192918785.214694 -0.0507463 0.0015788 0.0020541 -0.0005968 0.0339027 -0.0105675 0.9993691
3192918785.247696 -0.0534499 0.0023189 0.0028989 -0.0027150 0.0378204 -0.0086655 0.9992433
3192918785.280695 -0.0567869 0.0013643 0.0037380 -0.0053253 0.0429108 -0.0054003 0.9990501
3192918785.313696 -0.0575129 0.0023282 0.0048357 -0.0055283 0.0473375 -0.0008209 0.9988633
3192918785.346696 -0.0581369 0.0019700 0.0050711 -0.0051433 0.0516773 0.0034429 0.9986446
3192918785.379697 -0.0601971 0.0011481 0.0056606 -0.0050462 0.0566506 0.0067863 0.9983582
3192918785.412696 -0.0623283 0.0004434 0.0063275 -0.0053320 0.0617373 0.0092277 0.9980356
3192918785.445697 -0.0648755 0.0006339 0.0070865 -0.0053823 0.0666909 0.0115131 0.9976928
3192918785.478697 -0.0670426 -0.0008398 0.0085588 -0.0065699 0.0709869 0.0122759 0.9973801
3192918785.511698 -0.0696677 -0.0008786 0.0102337 -0.0078412 0.0748836 0.0124303 0.9970840
3192918785.544697 -0.0717152 -0.0004774 0.0128079 -0.0086216 0.0779458 0.0130528 0.9968349
3192918785.577698 -0.0734826 -0.0014160 0.0140908 -0.0091739 0.0804349 0.0132792 0.9966292
3192918785.610698 -0.0725868 -0.0020291 0.0152793 -0.0092483 0.0812960 0.0139907 0.9965489
3192918785.643698 -0.0710745 -0.0026136 0.0163462 -0.0083513 0.0819577 0.0148563 0.9964901
3192918785.676698 -0.0728468 -0.0032369 0.0189486 -0.0057156 0.0835641 0.0169326 0.9963421
3192918785.709699 -0.0731441 -0.0048816 0.0206022 -0.0023073 0.0841409 0.0198653 0.9962531
3192918785.742699 -0.0722057 -0.0068084 0.0227193 0.0022083 0.0845017 0.0233991 0.9961461
3192918785.775699 -0.0717398 -0.0086684 0.0248022 0.0071257 0.0850610 0.0273458 0.9959750
3192918785.808699 -0.0719913 -0.0105632 0.0280202 0.0108959 0.0860452 0.0306836 0.9957590
3192918785.841700 -0.0623087 -0.0124113 0.0313261 0.0136676 0.0827205 0.0353294 0.9958526
3192918785.874700 -0.0638720 -0.0143100 0.0346482 0.0166407 0.0845524 0.0392817 0.9955054
3192918785.907700 -0.0684030 -0.0173344 0.0381952 0.0197023 0.0876347 0.0437097 0.9949982
