#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520617231.858111 -0.0073271 -0.0255006 0.0145763 0.0308273 -0.0212253 0.0208180 0.9990824
1520617231.908112 -0.0072794 -0.0243228 0.0162881 0.0274290 -0.0197611 0.0212492 0.9992025
1520617231.958114 -0.0056452 -0.0228971 0.0147385 0.0252060 -0.0170741 0.0183806 0.9993675
1520617232.008115 -0.0053433 -0.0225826 0.0146742 0.0240946 -0.0136972 0.0172110 0.9994677
1520617232.058117 -0.0054805 -0.0204381 0.0135239 0.0252817 -0.0116915 0.0167308 0.9994720
1520617232.108118 -0.0064122 -0.0189213 0.0120111 0.0253758 -0.0111919 0.0192044 0.9994308
1520617232.158113 -0.0055339 -0.0194193 0.0124744 0.0252196 -0.0108124 0.0190397 0.9994421
1520617232.208113 -0.0052292 -0.0197987 0.0126429 0.0221391 -0.0083748 0.0190492 0.9995383
1520617232.258116 -0.0090365 -0.0173713 0.0113352 0.0163590 -0.0027017 0.0181071 0.9996986
1520617232.308117 -0.0066851 -0.0169314 0.0109144 0.0076405 -0.0005896 0.0177799 0.9998125
1520617232.358119 -0.0067192 -0.0155482 0.0102766 0.0021175 0.0005780 0.0187018 0.9998227
1520617232.408120 -0.0057675 -0.0155297 0.0097105 -0.0020473 0.0006088 0.0216054 0.9997643
1520617232.458122 -0.0076845 -0.0142544 0.0090652 -0.0036979 -0.0003391 0.0245774 0.9996910
1520617232.508125 -0.0091165 -0.0132427 0.0083457 -0.0028137 -0.0000953 0.0260050 0.9996579
1520617232.558158 -0.0088287 -0.0138644 0.0083347 0.0030877 -0.0010311 0.0270827 0.9996279
1520617232.608160 -0.0095641 -0.0148140 0.0081431 0.0111576 -0.0008864 0.0294377 0.9995040
1520617232.658163 -0.0101368 -0.0161566 0.0085416 0.0195343 -0.0020583 0.0333096 0.9992520
1520617232.708168 -0.0097968 -0.0168767 0.0074296 0.0243752 -0.0047212 0.0385788 0.9989471
1520617232.758165 -0.0073614 -0.0185390 0.0046272 0.0251928 -0.0044614 0.0392165 0.9989032
1520617232.808167 -0.0072516 -0.0188434 0.0042445 0.0247575 -0.0022151 0.0375071 0.9989872
1520617232.858168 -0.0069377 -0.0186173 0.0038376 0.0242275 -0.0001114 0.0341954 0.9991214
1520617232.908170 -0.0058557 -0.0192206 0.0026128 0.0226076 0.0023209 0.0303200 0.9992819
1520617232.958165 -0.0034180 -0.0175436 0.0027270 0.0210506 0.0041500 0.0283725 0.9993671
1520617233.008166 -0.0036827 -0.0180621 0.0013841 0.0134997 0.0082827 0.0266475 0.9995194
1520617233.058168 -0.0019394 -0.0174639 0.0016077 0.0020510 0.0113088 0.0253924 0.9996115
1520617233.108170 -0.0015201 -0.0161862 0.0010279 -0.0085797 0.0141097 0.0251744 0.9995467
1520617233.158171 -0.0012709 -0.0156437 0.0011275 -0.0130476 0.0157824 0.0265659 0.9994373
1520617233.208173 -0.0001286 -0.0158461 0.0013377 -0.0091501 0.0161906 0.0287270 0.9994143
1520617233.258174 0.0003029 -0.0154265 0.0008542 0.0007049 0.0171113 0.0281037 0.9994583
