#TimeStamp Tx Ty Tz Qx Qy Qz Qw
3192924612.964168 -0.0665331 -0.4558847 0.8875486 -0.0159421 -0.0028585 -0.0043684 0.9998593
3192924613.162169 0.0704916 -0.6171596 0.7836741 -0.0198215 -0.0093478 -0.0051299 0.9997467
3192924616.990203 -0.6993279 -0.4586325 0.5482671 0.0442808 0.0344397 0.0039458 0.9984176
3192924617.914210 0.0762367 -0.3786573 0.9223918 0.0007168 -0.0301973 0.0128304 0.9994614
3192924618.508216 -0.4275610 -0.1011346 0.8983113 -0.0070892 0.0034807 -0.0273187 0.9995956
3192924618.706218 -0.0143833 -0.0039058 0.0145111 0.0150104 0.0106414 -0.0017132 0.9998292
3192924618.739218 -0.0150914 -0.0049311 0.0175503 0.0162114 0.0108156 -0.0027802 0.9998062
3192924618.772218 -0.0147003 -0.0053831 0.0191968 0.0161360 0.0108360 -0.0042838 0.9998019
3192924618.805218 -0.0162227 -0.0059677 0.0215626 0.0143808 0.0118580 -0.0059984 0.9998083
3192924618.838220 -0.0208736 -0.0060799 0.0248477 0.0137589 0.0145510 -0.0073903 0.9997721
3192924618.871219 -0.0231016 -0.0055400 0.0285632 0.0146306 0.0165274 -0.0084857 0.9997203
3192924618.904219 -0.0229657 -0.0057723 0.0289623 0.0141147 0.0180459 -0.0107449 0.9996798
3192924618.937220 -0.0230061 -0.0052161 0.0318875 0.0137399 0.0198130 -0.0135455 0.9996175
3192924618.970221 -0.0226679 -0.0049764 0.0348438 0.0141572 0.0215677 -0.0152877 0.9995502
3192924619.003220 -0.0242723 -0.0055685 0.0364618 0.0143655 0.0244446 -0.0165850 0.9994603
3192924619.036221 -0.0246914 -0.0054019 0.0389138 0.0141260 0.0269247 -0.0168269 0.9993960
3192924619.069221 -0.0292147 -0.0074091 0.0412966 0.0131522 0.0310102 -0.0169677 0.9992885
3192924619.102221 -0.0294905 -0.0079298 0.0432452 0.0139317 0.0327494 -0.0162765 0.9992340
3192924619.135221 -0.0298174 -0.0083164 0.0458916 0.0143330 0.0346819 -0.0148179 0.9991857
3192924619.168222 -0.0296244 -0.0079807 0.0490082 0.0132547 0.0357938 -0.0133877 0.9991816
3192924619.201221 -0.0300340 -0.0083099 0.0513745 0.0097622 0.0368740 -0.0116502 0.9992043
3192924619.234223 -0.0285100 -0.0077794 0.0541594 0.0067260 0.0367380 -0.0090799 0.9992610
3192924619.267222 -0.0296190 -0.0099169 0.0564123 0.0031170 0.0364676 -0.0059181 0.9993125
3192924619.300223 -0.0308992 -0.0099238 0.0595353 0.0007091 0.0355416 -0.0032455 0.9993627
