#TimeStamp Tx Ty Tz Qx Qy Qz Qw
3192924618.541216 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
3192924618.706218 -0.0100631 -0.0030784 0.0111853 0.0152002 0.0096281 -0.0013288 0.9998372
3192924619.267222 -0.0255724 -0.0086375 0.0507359 0.0032080 0.0359638 -0.0062653 0.9993283
3192924621.379240 -0.0421665 -0.0329060 0.2339270 -0.0274027 0.0371902 0.0290104 0.9985111
3192924622.138247 -0.0436450 -0.0414877 0.2970856 -0.0196316 0.0338183 0.0112540 0.9991718
3192924622.369249 -0.0535015 -0.0452099 0.3173175 -0.0130322 0.0406063 0.0046822 0.9990793
3192924622.633251 -0.0612218 -0.0500678 0.3387188 -0.0137810 0.0628227 -0.0022584 0.9979270
3192924623.161256 -0.0564259 -0.0525990 0.3832699 -0.0487857 0.0996211 0.0340658 0.9932447
3192924623.788261 -0.0532015 -0.0633564 0.4304217 -0.0429575 0.1483995 0.0579869 0.9862909
3192924624.184265 -0.0673222 -0.0659515 0.4582556 -0.0115803 0.2062907 0.0501449 0.9771364
3192924624.250266 -0.0710205 -0.0686938 0.4630410 0.0003218 0.2157638 0.0495802 0.9751860
3192924624.712269 -0.0811209 -0.0742735 0.4999224 -0.0208146 0.2324550 0.0518030 0.9710035
3192924625.801279 -0.0690753 -0.0858598 0.5927578 -0.0187891 0.2409298 0.0670348 0.9680424
3192924625.999281 -0.0747383 -0.0891173 0.6120355 -0.0088044 0.2678439 0.0660699 0.9611539
3192924626.098282 -0.0770894 -0.0922777 0.6221365 -0.0022267 0.2833086 0.0610178 0.9570832
3192924626.791289 -0.0640466 -0.0965932 0.6752328 -0.0195278 0.3335955 0.0752827 0.9395027
3192924626.890290 -0.0588166 -0.0995333 0.6823058 -0.0037925 0.3348933 0.0771692 0.9390830
3192924629.662317 -0.0024792 -0.1260007 0.8915586 -0.0265629 0.5068704 0.1057065 0.8551040
3192924629.761318 -0.0003630 -0.1273400 0.9008521 -0.0238117 0.5185059 0.1031443 0.8484963
3192924629.860319 0.0031640 -0.1290246 0.9104210 -0.0217958 0.5291483 0.0999769 0.8423370
