#TimeStamp Tx Ty Tz Qx Qy Qz Qw
2.733333 0.0209381 -0.0080992 -0.0083942 0.0057423 0.0808200 -0.0186481 0.9965377
2.766667 0.0228254 -0.0066720 -0.0094793 0.0076201 0.0840822 -0.0191503 0.9962456
2.800000 0.0272040 -0.0102800 -0.0087953 0.0067682 0.0856276 -0.0191432 0.9961203
2.833333 0.0283325 -0.0089625 -0.0093031 0.0066408 0.0890292 -0.0181869 0.9958408
2.866667 0.0291455 -0.0088260 -0.0089680 0.0062117 0.0920874 -0.0175476 0.9955769
2.900000 0.0280897 -0.0069697 -0.0105665 0.0069475 0.0961854 -0.0174199 0.9951867
2.933333 0.0286079 -0.0070568 -0.0106150 0.0062310 0.0998668 -0.0177102 0.9948237
2.966667 0.0277492 -0.0058669 -0.0101783 0.0065932 0.1037872 -0.0180593 0.9944137
3.000000 0.0264663 -0.0050870 -0.0104785 0.0070576 0.1079331 -0.0192509 0.9939467
3.033333 0.0271612 -0.0032968 -0.0100173 0.0076635 0.1105947 -0.0205552 0.9936234
3.066667 0.0275245 -0.0032074 -0.0101295 0.0072721 0.1136047 -0.0220772 0.9932541
3.100000 0.0270964 -0.0018221 -0.0098585 0.0068726 0.1172467 -0.0216585 0.9928429
3.133333 0.0256570 -0.0008208 -0.0090812 0.0063324 0.1217560 -0.0213656 0.9923099
3.166667 0.0266097 -0.0007139 -0.0094228 0.0057146 0.1255544 -0.0207364 0.9918535
3.200000 0.0271138 -0.0002519 -0.0095788 0.0062751 0.1287625 -0.0209748 0.9914337
3.233333 0.0275621 0.0001361 -0.0106298 0.0066652 0.1318967 -0.0210087 0.9910184
3.266667 0.0270045 0.0004234 -0.0099346 0.0062326 0.1351973 -0.0199341 0.9905986
3.300000 0.0284545 0.0007098 -0.0094359 0.0064819 0.1376338 -0.0195658 0.9902687
3.333333 0.0313320 0.0023294 -0.0089924 0.0073422 0.1387723 -0.0188315 0.9901180
3.366667 0.0320643 0.0013074 -0.0090280 0.0062395 0.1406767 -0.0174906 0.9898814
3.400000 0.0340798 0.0011523 -0.0085903 0.0065507 0.1414744 -0.0173071 0.9897689
3.433333 0.0345768 0.0013546 -0.0085292 0.0065494 0.1425901 -0.0170501 0.9896133
3.466667 0.0365231 0.0023207 -0.0087584 0.0066446 0.1431517 -0.0163015 0.9895442
3.500000 0.0385919 0.0026750 -0.0084687 0.0064028 0.1430943 -0.0156969 0.9895638
3.533333 0.0472905 0.0031855 -0.0089425 0.0066251 0.1407878 -0.0152739 0.9898998
3.566667 0.0503535 0.0029096 -0.0085108 0.0063056 0.1409277 -0.0146687 0.9898911
3.600000 0.0511983 0.0027472 -0.0093593 0.0074363 0.1425475 -0.0153700 0.9896407
3.633333 0.0538728 0.0026411 -0.0081077 0.0080235 0.1417353 -0.0164201 0.9897358
3.666667 0.0563254 0.0023900 -0.0081601 0.0076326 0.1413991 -0.0167500 0.9897816
3.700000 0.0587516 0.0014308 -0.0088799 0.0070796 0.1413396 -0.0170245 0.9897894
3.733333 0.0604976 0.0019716 -0.0080433 0.0083112 0.1411260 -0.0166817 0.9898162
3.766667 0.0625513 0.0024509 -0.0073150 0.0095145 0.1413779 -0.0172318 0.9897600
3.800000 0.0646405 0.0025220 -0.0078890 0.0104507 0.1421879 -0.0177659 0.9896250
3.833333 0.0680356 0.0007773 -0.0071978 0.0102282 0.1427049 -0.0179155 0.9895503
3.866667 0.0703783 0.0010335 -0.0065745 0.0119031 0.1441365 -0.0183111 0.9893168
3.900000 0.0697733 0.0020061 -0.0065412 0.0147598 0.1468888 -0.0187591 0.9888650
3.933333 0.0735561 0.0018283 -0.0047300 0.0164997 0.1475668 -0.0200873 0.9887104
3.966667 0.0752171 0.0028905 -0.0035985 0.0175093 0.1495347 -0.0202171 0.9883947
4.000000 0.0816990 0.0035741 -0.0040764 0.0178074 0.1497882 -0.0196947 0.9883615
4.033333 0.0850356 0.0035622 -0.0033968 0.0185812 0.1519724 -0.0184960 0.9880369
4.066667 0.0938604 0.0042838 -0.0028318 0.0195542 0.1517441 -0.0184779 0.9880536
4.100000 0.0930950 0.0046470 -0.0016722 0.0191206 0.1559194 -0.0181732 0.9874175
4.133333 0.0935348 0.0043363 -0.0021031 0.0183817 0.1593910 -0.0176036 0.9868874
4.166667 0.0944527 0.0043561 -0.0016541 0.0190517 0.1616173 -0.0181758 0.9865022
4.200000 0.0981745 0.0045108 0.0001991 0.0197178 0.1622105 -0.0189583 0.9863769
4.233333 0.0991355 0.0045293 0.0004876 0.0200283 0.1646238 -0.0191344 0.9859674
4.266667 0.1015335 0.0038545 0.0021050 0.0187964 0.1664097 -0.0211036 0.9856516
4.300000 0.1049794 0.0041409 0.0030924 0.0174256 0.1677907 -0.0203688 0.9854581
4.333333 0.1082899 0.0037840 0.0037647 0.0163010 0.1687702 -0.0189840 0.9853377
4.366667 0.1149484 0.0049497 0.0050243 0.0165505 0.1685406 -0.0174767 0.9854008
4.400000 0.1127315 0.0053048 0.0072560 0.0161393 0.1715737 -0.0182446 0.9848701
4.433333 0.1177133 0.0042765 0.0079475 0.0148696 0.1714419 -0.0163847 0.9849457
4.466667 0.1173963 0.0053264 0.0095419 0.0162628 0.1742502 -0.0151149 0.9844511
4.500000 0.1182323 0.0073262 0.0119281 0.0177409 0.1757872 -0.0167762 0.9841253
4.533333 0.1170219 0.0095718 0.0126054 0.0162151 0.1777521 -0.0157290 0.9838160
4.566667 0.1172008 0.0092645 0.0138857 0.0146513 0.1783823 -0.0148231 0.9837405
4.600000 0.1182207 0.0085740 0.0145812 0.0142411 0.1779438 -0.0142895 0.9838338
4.633333 0.1168732 0.0091340 0.0160197 0.0141175 0.1787408 -0.0147726 0.9836840
4.666667 0.1195733 0.0087082 0.0174717 0.0133686 0.1775444 -0.0144768 0.9839155
4.700000 0.1195383 0.0098825 0.0190824 0.0133286 0.1776920 -0.0150228 0.9838812
4.733333 0.1203773 0.0093406 0.0212143 0.0123663 0.1782614 -0.0141333 0.9838039
4.766667 0.1230805 0.0092428 0.0231295 0.0115671 0.1778641 -0.0123977 0.9839090
4.800000 0.1340124 0.0096810 0.0238508 0.0122676 0.1744494 -0.0120684 0.9845157
4.833333 0.1378144 0.0105407 0.0267169 0.0128041 0.1734880 -0.0121121 0.9846783
4.866667 0.1389560 0.0112194 0.0276538 0.0125796 0.1729106 -0.0121561 0.9847822
4.900000 0.1403661 0.0100032 0.0292492 0.0107203 0.1726903 -0.0104216 0.9848627
4.933333 0.1412316 0.0109985 0.0299264 0.0112345 0.1721909 -0.0102354 0.9849464
4.966667 0.1377411 0.0114893 0.0317913 0.0124763 0.1726839 -0.0117496 0.9848282
5.000000 0.1374004 0.0106755 0.0332346 0.0121839 0.1722458 -0.0120880 0.9849045
5.033333 0.1411837 0.0101701 0.0357439 0.0118708 0.1706969 -0.0128413 0.9851684
5.066667 0.1443255 0.0125284 0.0386280 0.0124925 0.1692792 -0.0141427 0.9853874
5.100000 0.1512879 0.0133406 0.0406443 0.0120178 0.1669441 -0.0139031 0.9857951
5.133333 0.1537339 0.0121065 0.0404460 0.0109363 0.1661963 -0.0131527 0.9859443
5.166667 0.1536321 0.0115887 0.0413859 0.0108666 0.1657812 -0.0118085 0.9860319
5.200000 0.1541547 0.0124700 0.0446228 0.0105024 0.1658977 -0.0105220 0.9860309
5.233333 0.1537582 0.0127457 0.0463364 0.0097719 0.1660571 -0.0096758 0.9860203
5.266667 0.1544762 0.0129731 0.0488248 0.0093857 0.1650472 -0.0081816 0.9862071
5.300000 0.1556096 0.0139259 0.0530908 0.0078051 0.1639247 -0.0060697 0.9864233
5.333333 0.1575678 0.0152003 0.0549735 0.0070973 0.1624789 -0.0037155 0.9866795
5.366667 0.1612170 0.0181846 0.0584449 0.0076176 0.1596408 -0.0033123 0.9871402
5.400000 0.1630190 0.0169001 0.0605652 0.0058492 0.1566527 -0.0021246 0.9876341
5.433333 0.1632186 0.0172092 0.0637106 0.0051977 0.1545216 -0.0003130 0.9879757
5.466667 0.1638215 0.0184741 0.0664277 0.0051637 0.1528328 0.0008032 0.9882383
5.500000 0.1670906 0.0200523 0.0691945 0.0047434 0.1498890 0.0020722 0.9886893
5.533333 0.1659502 0.0189404 0.0712063 0.0023795 0.1488241 0.0035939 0.9888543
5.566667 0.1641437 0.0198752 0.0738424 0.0021161 0.1470415 0.0041426 0.9891194
5.600000 0.1675013 0.0210984 0.0768993 0.0018405 0.1433036 0.0057203 0.9896605
5.633333 0.1681955 0.0220971 0.0789516 0.0011035 0.1407063 0.0067167 0.9900280
