#TimeStamp Tx Ty Tz Qx Qy Qz Qw
2.000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
2.733333 0.0144244 -0.0051804 -0.0076691 0.0067402 0.0831197 -0.0186583 0.9963421
2.766667 0.0152679 -0.0052949 -0.0081063 0.0079162 0.0867871 -0.0190759 0.9960127
6.433333 0.1759563 0.0401163 0.1398325 -0.0060479 0.0853805 0.0157219 0.9962060
7.366667 0.1589402 0.0470819 0.2119808 -0.0174972 0.1102796 0.0090715 0.9937052
8.600000 0.1373313 0.0627053 0.3042826 -0.0161456 0.0690566 0.0196807 0.9972879
8.933333 0.1306560 0.0657274 0.3243229 -0.0072345 0.0508382 0.0253640 0.9983585
10.200000 0.0898266 0.0747332 0.3954603 0.0065039 0.0220781 0.0359649 0.9990880
10.566667 0.0818656 0.0772288 0.4183783 0.0070600 -0.0111931 0.0453556 0.9988832
10.766667 0.0759740 0.0801889 0.4308439 0.0043487 -0.0302749 0.0536553 0.9980910
11.300000 0.0618951 0.0844178 0.4601376 -0.0020847 -0.1137842 0.0813036 0.9901710
11.433333 0.0567840 0.0868423 0.4671555 -0.0035179 -0.1325274 0.0882077 0.9872404
11.833333 0.0392845 0.0871261 0.4813243 -0.0111121 -0.1787939 0.1024999 0.9784697
12.100000 0.0195634 0.0903856 0.4938668 -0.0171334 -0.2028546 0.1053151 0.9733782
12.466667 -0.0076031 0.0927279 0.5017478 -0.0242649 -0.2247656 0.1087221 0.9680244
12.700000 -0.0249280 0.0927365 0.5058522 -0.0223210 -0.2479019 0.1101874 0.9622396
14.300000 -0.1209895 0.0947014 0.5422829 -0.0247715 -0.4535330 0.1556940 0.8771850
14.966667 -0.1487121 0.0915929 0.5503718 -0.0199377 -0.5362899 0.1570156 0.8290608
15.166667 -0.1603848 0.0902073 0.5535423 -0.0152781 -0.5569616 0.1571963 0.8153831
15.566667 -0.1785652 0.0871626 0.5585725 -0.0007282 -0.5884300 0.1520800 0.7941166
15.900000 -0.1918988 0.0857170 0.5623328 0.0289842 -0.6165028 0.1607397 0.7702253
16.400000 -0.1974837 0.0863914 0.5637625 0.0436896 -0.6621634 0.1837884 0.7251570
17.533333 -0.2111796 0.0825986 0.5676091 0.0232090 -0.7821451 0.1993611 0.5898860
18.233333 -0.2302031 0.0775254 0.5505567 0.0004414 -0.8279247 0.1840576 0.5297766
18.366667 -0.2336391 0.0780657 0.5447927 -0.0053209 -0.8329414 0.1823086 0.5224404
18.666667 -0.2374871 0.0758675 0.5305543 -0.0155021 -0.8448408 0.1810403 0.5032176
19.066667 -0.2432504 0.0736789 0.5104243 0.0172522 0.8671011 -0.1838515 -0.4626410
19.466667 -0.2495986 0.0649812 0.4897849 0.0186084 0.8896769 -0.1849858 -0.4170240
19.700000 -0.2559739 0.0628397 0.4774607 0.0173705 0.9021500 -0.1903659 -0.3867615
19.766667 -0.2588649 0.0618761 0.4741794 0.0177892 0.9064471 -0.1906209 -0.3764318
20.566667 -0.2858573 0.0538317 0.4201604 0.0248174 0.9469502 -0.1894280 -0.2584308
21.166667 -0.2943891 0.0477851 0.3749859 0.0232912 0.9573131 -0.1892425 -0.2172476
21.666667 -0.2962871 0.0431886 0.3374090 0.0257794 0.9636596 -0.1858213 -0.1901738
22.033333 -0.2984070 0.0359093 0.3099035 0.0287681 0.9691804 -0.1904024 -0.1536512
22.466667 -0.3011340 0.0315129 0.2712175 0.0268754 0.9758450 -0.1876894 -0.1085217
23.100000 -0.3002549 0.0256586 0.2242409 0.0339208 0.9795861 -0.1923144 -0.0477042
23.233333 -0.2982490 0.0223575 0.2117749 0.0348473 0.9800559 -0.1899033 -0.0470399
23.533333 -0.2935639 0.0192006 0.1872162 0.0314258 0.9804736 -0.1891612 -0.0436123
23.833333 -0.2867811 0.0183723 0.1643411 0.0391270 0.9801767 -0.1917263 -0.0310429
24.200000 -0.2872364 0.0159483 0.1358172 0.0351973 0.9816661 -0.1872977 0.0035124
24.433333 -0.2923031 0.0161183 0.1175468 0.0414735 0.9831567 -0.1770526 0.0183062
27.033333 -0.2632616 0.0008056 0.0129954 0.0387378 0.9671494 -0.1291665 0.2154937
27.233333 -0.2638600 0.0020103 0.0009680 0.0357604 0.9599310 -0.1283095 0.2465570
27.300000 -0.2635333 0.0010848 -0.0023423 0.0361817 0.9580895 -0.1277205 0.2538561
27.933333 -0.2589653 -0.0048181 -0.0303245 0.0408030 0.9358728 -0.1265358 0.3262912
28.033333 -0.2550772 -0.0072864 -0.0341791 0.0412837 0.9323765 -0.1271328 0.3358675
28.433333 -0.2395499 -0.0083578 -0.0565542 0.0401838 0.9200585 -0.1269119 0.3684710
28.766667 -0.2254716 -0.0096637 -0.0697345 0.0403998 0.9093890 -0.1259476 0.3943561
29.733333 -0.1856666 -0.0190158 -0.1081927 0.0404711 0.8613728 -0.1290819 0.4896292
29.866667 -0.1780176 -0.0172375 -0.1142329 0.0443019 0.8510954 -0.1287480 0.5070481
30.600000 -0.1347367 -0.0226234 -0.1328482 0.0486893 0.7737760 -0.1145531 0.6211100
30.666667 -0.1308064 -0.0216732 -0.1333617 0.0481402 0.7698277 -0.1131416 0.6262960
30.933333 -0.1123540 -0.0202046 -0.1342131 0.0497155 0.7501717 -0.1061531 0.6507706
31.533333 -0.0729059 -0.0205100 -0.1320903 0.0502429 0.7006375 -0.0976523 0.7050155
31.666667 -0.0645006 -0.0197761 -0.1309454 0.0536979 0.6864103 -0.0997796 0.7183324
31.800000 -0.0566493 -0.0190980 -0.1301437 0.0567413 0.6744053 -0.1023653 0.7290262
33.000000 0.0168001 -0.0078701 -0.1112808 0.0733228 0.5415000 -0.0889049 0.8327649
33.333333 0.0360189 -0.0061414 -0.1036101 0.0766370 0.5150169 -0.0780141 0.8501754
33.833333 0.0618624 -0.0053503 -0.0901269 0.0745470 0.4652799 -0.0690576 0.8793113
34.433333 0.0895773 -0.0011897 -0.0669030 0.0850736 0.3990348 -0.0592730 0.9110546
34.833333 0.1074757 -0.0004404 -0.0514089 0.0870178 0.3438254 -0.0398084 0.9341452
35.466667 0.1259717 0.0038391 -0.0244905 0.0836660 0.2508653 -0.0248065 0.9640805
36.033333 0.1352974 0.0124148 0.0019978 0.0764111 0.2069621 -0.0062516 0.9753404
36.433333 0.1399697 0.0169855 0.0227047 0.0669758 0.1682776 -0.0021966 0.9834592
36.700000 0.1407265 0.0199747 0.0368596 0.0656149 0.1426486 0.0052534 0.9875821
37.500000 0.1428019 0.0260896 0.0880082 0.0466696 0.0771484 0.0117296 0.9958577
38.300000 0.1451468 0.0307220 0.1241743 0.0375286 0.0256924 0.0149663 0.9988531
39.300000 0.1354402 0.0433434 0.1813998 0.0039781 0.0164074 0.0036928 0.9998506
40.366667 0.1316628 0.0469068 0.2443304 0.0149105 0.0072817 -0.0022560 0.9998598
41.200000 0.1180004 0.0507035 0.2815206 0.0189952 -0.0420142 0.0185524 0.9987642
41.266667 0.1169153 0.0516548 0.2846732 0.0215920 -0.0426664 0.0187176 0.9986807
