#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520437771.418685 0.0407495 0.0070346 -0.0041032 0.0149655 0.0186517 0.0214388 0.9994841
1520437771.468687 0.0507952 0.0110283 -0.0031726 0.0160608 0.0167360 0.0211232 0.9995078
1520437771.518688 0.0588198 0.0095530 -0.0042255 0.0177364 0.0146883 0.0200315 0.9995341
1520437771.568681 0.0694340 0.0118819 -0.0038942 0.0199957 0.0117564 0.0164585 0.9995955
1520437771.618683 0.0816474 0.0078139 -0.0055125 0.0183241 0.0098548 0.0103292 0.9997302
1520437771.668684 0.0908650 0.0082791 -0.0053501 0.0189319 0.0106967 0.0059883 0.9997456
1520437771.718685 0.1016924 0.0067732 -0.0063437 0.0167533 0.0110697 0.0037506 0.9997913
1520437771.768687 0.1126849 0.0057075 -0.0070121 0.0147361 0.0108161 0.0029612 0.9998285
1520437771.818688 0.1222428 0.0070418 -0.0063247 0.0168784 0.0105279 0.0024521 0.9997991
1520437771.868690 0.1298726 0.0046218 -0.0062780 0.0171726 0.0121256 0.0024254 0.9997761
1520437771.918692 0.1389111 0.0032300 -0.0046424 0.0161025 0.0141133 0.0029413 0.9997664
1520437771.968685 0.1468594 0.0034586 -0.0033040 0.0162530 0.0168758 0.0052818 0.9997115
1520437772.018686 0.1543660 0.0027598 -0.0017872 0.0181017 0.0204716 0.0079309 0.9995951
1520437772.068688 0.1603360 0.0013315 0.0008568 0.0209067 0.0239569 0.0106283 0.9994379
1520437772.118689 0.1674310 0.0015464 0.0037155 0.0213229 0.0271703 0.0112368 0.9993402
1520437772.168690 0.1750802 0.0019092 0.0056551 0.0194223 0.0297197 0.0122403 0.9992946
1520437772.218692 0.1830759 0.0010603 0.0077768 0.0164643 0.0318797 0.0123897 0.9992793
1520437772.268694 0.1917472 0.0038543 0.0110323 0.0165180 0.0329955 0.0122450 0.9992440
1520437772.318695 0.2015918 0.0049083 0.0155570 0.0155361 0.0333669 0.0123087 0.9992466
1520437772.368691 0.2095812 0.0033636 0.0193445 0.0141278 0.0334349 0.0123589 0.9992646
1520437772.418693 0.2169553 0.0021742 0.0217907 0.0153181 0.0356342 0.0119764 0.9991757
1520437772.468694 0.2264910 0.0044088 0.0264650 0.0191965 0.0366178 0.0130008 0.9990604
1520437772.518695 0.2358401 0.0040461 0.0306796 0.0218574 0.0350457 0.0131189 0.9990605
1520437772.568697 0.2440485 0.0031348 0.0341663 0.0236469 0.0336563 0.0110114 0.9990930
1520437772.618698 0.2520325 0.0018571 0.0372445 0.0244635 0.0326823 0.0085948 0.9991294
1520437772.668700 0.2609832 0.0028010 0.0409863 0.0257103 0.0335381 0.0072996 0.9990800
1520437772.718702 0.2704645 0.0003048 0.0429982 0.0266881 0.0341449 0.0081642 0.9990271
1520437772.768703 0.2765611 -0.0004095 0.0447819 0.0272034 0.0372633 0.0090174 0.9988945
1520437772.818692 0.2865539 -0.0013569 0.0464273 0.0252557 0.0409353 0.0094490 0.9987978
1520437772.868693 0.2955303 -0.0031802 0.0484794 0.0221064 0.0448749 0.0103027 0.9986948
1520437772.918695 0.3055106 -0.0034287 0.0493201 0.0227518 0.0473594 0.0097934 0.9985707
1520437772.968696 0.3139808 -0.0040834 0.0510902 0.0258178 0.0483039 0.0107520 0.9984410
1520437773.018698 0.3246706 -0.0056080 0.0509615 0.0272244 0.0475827 0.0119851 0.9984243
1520437773.068700 0.3340788 -0.0067424 0.0512992 0.0270451 0.0477961 0.0125199 0.9984124
1520437773.118701 0.3455366 -0.0066668 0.0505647 0.0270159 0.0485052 0.0134302 0.9983672
1520437773.168703 0.3566605 -0.0062973 0.0501652 0.0247734 0.0471571 0.0172413 0.9984314
1520437773.218700 0.3664661 -0.0044796 0.0500968 0.0240679 0.0462846 0.0187476 0.9984623
1520437773.268701 0.3794845 -0.0061029 0.0500830 0.0273695 0.0440490 0.0152683 0.9985377
1520437773.318702 0.3913824 -0.0053808 0.0482317 0.0326099 0.0406387 0.0054246 0.9986269
1520437773.368704 0.4059314 -0.0053255 0.0473328 0.0338285 0.0386058 -0.0012603 0.9986809
1520437773.418706 0.4205596 -0.0031229 0.0454908 0.0310079 0.0367120 -0.0021297 0.9988424
1520437773.468707 0.4335397 -0.0055957 0.0432994 0.0266703 0.0314376 -0.0021529 0.9991475
1520437773.518710 0.4467157 -0.0045049 0.0432442 0.0290403 0.0271766 -0.0072158 0.9991827
1520437773.568711 0.4567527 -0.0040129 0.0446296 0.0326858 0.0272678 -0.0108018 0.9990352
1520437773.618725 0.4658591 -0.0031234 0.0442745 0.0309048 0.0332089 -0.0097614 0.9989228
1520437773.668727 0.4778110 -0.0035849 0.0457438 0.0246593 0.0371111 -0.0049213 0.9989947
1520437773.718728 0.4851596 -0.0035346 0.0473026 0.0203797 0.0411546 -0.0015804 0.9989437
1520437773.768730 0.4948129 -0.0023785 0.0508150 0.0208019 0.0413886 -0.0000871 0.9989265
1520437773.818731 0.5041522 -0.0024538 0.0535152 0.0204314 0.0416054 0.0023592 0.9989224
1520437773.868733 0.5127442 -0.0013331 0.0574724 0.0183184 0.0442028 0.0032040 0.9988495
1520437773.918734 0.5211557 0.0001095 0.0602631 0.0157179 0.0465091 0.0029769 0.9987898
1520437773.968736 0.5300112 -0.0010792 0.0654474 0.0149921 0.0478155 0.0014041 0.9987427
1520437774.018767 0.5379433 -0.0003688 0.0707639 0.0177406 0.0516241 -0.0005380 0.9985089
1520437774.068872 0.5451741 -0.0004937 0.0757407 0.0203172 0.0546908 -0.0008858 0.9982962
1520437774.118770 0.5542640 -0.0029862 0.0787849 0.0210256 0.0560666 -0.0021943 0.9982032
1520437774.168772 0.5626884 -0.0034433 0.0818587 0.0257336 0.0583817 -0.0037391 0.9979556
1520437774.218773 0.5696907 -0.0032535 0.0845816 0.0284056 0.0617086 -0.0044840 0.9976798
1520437774.268775 0.5736651 -0.0031507 0.0854409 0.0229963 0.0621692 -0.0044756 0.9977906
1520437774.318777 0.5810994 -0.0048541 0.0860352 0.0192373 0.0600599 -0.0068963 0.9979855
1520437774.368778 0.5836582 -0.0090948 0.0866303 0.0243866 0.0604845 -0.0087684 0.9978327
1520437774.418797 0.5843088 -0.0086968 0.0860634 0.0331102 0.0605343 -0.0113587 0.9975522
1520437774.468798 0.5877950 -0.0092331 0.0846301 0.0344165 0.0589472 -0.0111913 0.9976048
1520437774.518800 0.5834718 -0.0095230 0.0830923 0.0314616 0.0563119 -0.0089967 0.9978768
1520437774.568801 0.5850952 -0.0093111 0.0802970 0.0307688 0.0512930 -0.0063633 0.9981893
1520437774.618803 0.5835573 -0.0113275 0.0767934 0.0294877 0.0470780 -0.0030228 0.9984513
1520437774.668805 0.5854619 -0.0112215 0.0736205 0.0265681 0.0392054 0.0003062 0.9988779
1520437774.718806 0.5837751 -0.0134731 0.0711573 0.0241257 0.0335029 0.0029084 0.9991432
1520437774.768808 0.5814685 -0.0133935 0.0691876 0.0262313 0.0281330 0.0048733 0.9992481
1520437774.818815 0.5772126 -0.0143354 0.0660130 0.0269528 0.0236943 0.0075538 0.9993273
1520437774.868792 0.5735731 -0.0137325 0.0619821 0.0246887 0.0206026 0.0117757 0.9994135
1520437774.918792 0.5746892 -0.0150220 0.0592460 0.0185598 0.0193558 0.0160423 0.9995117
1520437774.968796 0.5684849 -0.0145138 0.0550051 0.0161273 0.0196542 0.0187587 0.9995008
1520437775.018796 0.5616083 -0.0136787 0.0521877 0.0184356 0.0196418 0.0170353 0.9994919
1520437775.068798 0.5548444 -0.0110637 0.0486354 0.0206002 0.0185308 0.0123973 0.9995391
1520437775.118799 0.5469435 -0.0114375 0.0465587 0.0190607 0.0138653 0.0074350 0.9996945
1520437775.168801 0.5375427 -0.0137906 0.0433310 0.0165340 0.0095476 0.0045443 0.9998074
