#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520530966.600366 0.0383164 -0.0340659 0.0273715 0.0011947 -0.0608056 0.0526047 0.9967617
1520530966.650339 0.0549331 -0.0404721 0.0329226 0.0069359 -0.0623694 0.0538022 0.9965778
1520530966.700341 0.0770840 -0.0503999 0.0394637 0.0115006 -0.0614605 0.0495885 0.9968106
1520530966.750344 0.0948590 -0.0596516 0.0452502 0.0168927 -0.0562625 0.0447774 0.9972683
1520530966.800344 0.1142525 -0.0661958 0.0498159 0.0251166 -0.0552505 0.0421320 0.9972669
1520530966.850345 0.1327660 -0.0745883 0.0559648 0.0342556 -0.0549684 0.0412884 0.9970458
1520530966.900348 0.1518649 -0.0863971 0.0622615 0.0402330 -0.0532833 0.0381011 0.9970409
1520530966.950350 0.1715994 -0.0972815 0.0662451 0.0441112 -0.0510387 0.0338426 0.9971479
1520530967.000350 0.1935300 -0.1034227 0.0713229 0.0489563 -0.0507500 0.0303193 0.9970499
1520530967.050353 0.2138453 -0.1158475 0.0738792 0.0524865 -0.0484193 0.0265164 0.9970946
1520530967.100197 0.2342097 -0.1258575 0.0783491 0.0591675 -0.0438223 0.0217230 0.9970491
1520530967.150194 0.2552694 -0.1375951 0.0819027 0.0672371 -0.0362292 0.0165439 0.9969418
1520530967.200196 0.2765193 -0.1463054 0.0863362 0.0791164 -0.0246261 0.0113493 0.9964966
1520530967.250197 0.2995658 -0.1579394 0.0893104 0.0883045 -0.0112007 0.0084219 0.9959949
1520530967.300199 0.3215194 -0.1668859 0.0928085 0.0948365 0.0048645 0.0030893 0.9954762
1520530967.350200 0.3430983 -0.1733944 0.0948350 0.0979820 0.0237461 -0.0034557 0.9948989
1520530967.400203 0.3693591 -0.1785564 0.0948771 0.0968950 0.0416233 -0.0139779 0.9943256
1520530967.450203 0.3900163 -0.1828596 0.0948535 0.0983973 0.0599994 -0.0244456 0.9930360
