#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520530962.750149 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
1520530966.600366 0.0396533 -0.0349427 0.0258286 -0.0011844 -0.0628972 0.0519723 0.9966651
1520530971.600719 0.5365040 0.0144343 0.0339789 -0.1114943 -0.0251587 0.0176140 0.9932904
1520530972.051132 0.7459751 0.0080933 -0.0420454 -0.1063243 0.0617026 -0.0937220 0.9879798
1520530972.201137 0.7774996 -0.0350267 -0.0388492 -0.0635997 0.0545940 -0.1909709 0.9780106
1520530972.800486 0.5205454 -0.0620690 -0.0461370 0.0624031 -0.3659840 -0.3473264 0.8611190
1520530972.950492 0.4199139 -0.0494287 -0.0693220 0.0502881 -0.4361594 -0.2086999 0.8738881
1520530973.100496 0.3404178 -0.0535862 -0.0892538 0.0190792 -0.4398632 -0.0606133 0.8958138
1520530973.250709 0.2857989 -0.0576410 -0.0936415 -0.0636053 -0.3882791 0.0716848 0.9165452
1520530975.200775 0.0012776 -0.0515218 0.0182225 -0.2322216 -0.3323938 0.0886599 0.9097950
1520530975.351278 0.0018430 -0.0738956 0.0410754 -0.2540751 -0.2055002 0.2903363 0.8994000
1520530976.101168 0.3665865 -0.1180119 0.0690702 0.0902513 0.5364114 0.0327923 0.8384761
1520530978.251440 0.4407752 -0.1013629 0.0812276 -0.0096814 0.4894739 0.0517875 0.8704250
1520530978.401445 0.4633182 -0.1360060 0.0716000 -0.0094062 0.4604053 -0.0536613 0.8860356
1520530988.451141 0.1745100 -0.0399792 0.2810939 0.0854684 -0.1217973 0.0335281 0.9882998
1520530988.751138 0.2434457 -0.0269641 0.3593711 0.0728084 -0.1143288 0.0391364 0.9899981
1520530989.201387 0.4098502 -0.0320729 0.4527124 0.0808511 0.0140561 0.0193759 0.9964387
1520530989.351392 0.4810005 -0.0276630 0.4697591 0.0833278 0.0373974 0.0248485 0.9955102
1520530989.501396 0.5574911 -0.0296183 0.4833228 0.0892201 0.0606716 0.0323638 0.9936354
1520530990.251919 0.9993622 -0.0172114 0.4513308 0.0482802 0.2585269 0.0391783 0.9640010
1520530990.551807 1.1824417 -0.0168625 0.3597540 0.0663388 0.4108088 0.0271669 0.9088989
1520530990.651811 1.2368269 -0.0212658 0.3199010 0.0706993 0.4463933 0.0270012 0.8916308
1520530990.751814 1.2803870 -0.0310773 0.2780156 0.0710375 0.4685119 0.0252365 0.8802348
1520530990.851412 1.3207972 -0.0399444 0.2307204 0.0769402 0.4919640 0.0219457 0.8669314
1520530991.051418 1.3926206 -0.0371890 0.1158037 0.0727345 0.5404726 -0.0105702 0.8381451
1520530991.151422 1.4206396 -0.0366421 0.0482424 0.0771817 0.5713369 -0.0263253 0.8166542
1520530991.351258 1.4478058 -0.0483889 -0.0979671 0.0762332 0.6709676 -0.0553774 0.7354756
1520530991.451198 1.4451529 -0.0522026 -0.1709074 0.0707051 0.7236246 -0.0673878 0.6832474
1520530991.851262 1.3358775 -0.0438162 -0.4417534 0.0455145 0.8617934 -0.0600534 0.5016316
1520530991.951265 1.2936971 -0.0477093 -0.5020362 0.0478043 0.8953125 -0.0634780 0.4382931
1520530992.151122 1.1998324 -0.0444941 -0.6115141 0.0408562 0.9393688 -0.0611810 0.3349238
1520530992.551366 0.9674801 -0.0612366 -0.7792074 0.0461529 0.9868052 -0.0770750 0.1347027
1520530992.651369 0.9035103 -0.0512058 -0.8073600 0.0540253 0.9922095 -0.0614765 0.0939265
