#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1403638522.127830 -0.0094659 -0.0195938 -0.0050379 -0.0061288 -0.0037685 -0.0034631 0.9999681
1403638522.177830 -0.0134940 -0.0430475 -0.0126414 -0.0072046 -0.0059046 -0.0024832 0.9999535
1403638522.227829 -0.0182511 -0.0789074 -0.0241228 -0.0058766 -0.0069727 -0.0034061 0.9999526
1403638522.277829 -0.0282444 -0.1457864 -0.0418453 -0.0049592 -0.0083941 -0.0057467 0.9999360
1403638522.327830 -0.0319956 -0.2281416 -0.0628859 -0.0055045 -0.0112978 -0.0049953 0.9999086
1403638522.377830 -0.0322689 -0.3133819 -0.0840306 -0.0075204 -0.0148216 -0.0042084 0.9998530
1403638522.427830 -0.0265344 -0.3572504 -0.0967608 -0.0094613 -0.0203415 -0.0001980 0.9997483
1403638522.477829 -0.0200981 -0.3749164 -0.1024732 -0.0118076 -0.0259103 0.0043201 0.9995852
1403638522.527829 -0.0167502 -0.4117764 -0.1137114 -0.0174292 -0.0299605 0.0086433 0.9993618
1403638522.577830 -0.0170846 -0.4714097 -0.1264522 -0.0231646 -0.0343490 0.0131426 0.9990550
1403638522.627830 -0.0140832 -0.4758100 -0.1278681 -0.0220082 -0.0377859 0.0149857 0.9989311
1403638522.677830 -0.0135929 -0.5362714 -0.1366169 -0.0215779 -0.0405378 0.0133774 0.9988554
1403638522.727829 -0.0148181 -0.5680131 -0.1401014 -0.0176285 -0.0432614 0.0102053 0.9988561
1403638522.777829 -0.0128485 -0.5907502 -0.1435862 -0.0130927 -0.0478202 0.0095480 0.9987245
1403638522.827830 -0.0140921 -0.5623214 -0.1395908 -0.0051400 -0.0525201 0.0123266 0.9985306
1403638522.877830 -0.0146181 -0.5937224 -0.1455001 -0.0018020 -0.0570241 0.0181232 0.9982067
1403638522.927830 -0.0135608 -0.6423634 -0.1553644 0.0001819 -0.0602450 0.0245002 0.9978829
1403638522.977829 -0.0059082 -0.6508788 -0.1607163 0.0047041 -0.0618679 0.0281837 0.9976752
1403638523.027829 -0.0021566 -0.6295221 -0.1597958 0.0098513 -0.0623938 0.0305431 0.9975355
1403638523.077830 0.0012113 -0.6334604 -0.1625323 0.0120608 -0.0621694 0.0305904 0.9975238
1403638523.127830 0.0061369 -0.6332328 -0.1657700 0.0134354 -0.0628561 0.0304314 0.9974681
1403638523.177830 0.0091484 -0.5734723 -0.1509341 0.0186419 -0.0624684 0.0311172 0.9973875
1403638523.227829 0.0132702 -0.5606982 -0.1488256 0.0216797 -0.0597954 0.0292926 0.9975452
1403638523.277829 0.0184539 -0.5504351 -0.1484726 0.0248641 -0.0551957 0.0258249 0.9978318
1403638523.327830 0.0204367 -0.5269514 -0.1379995 0.0277654 -0.0521091 0.0243176 0.9979591
1403638523.377830 0.0257843 -0.5037516 -0.1356738 0.0287566 -0.0511805 0.0238258 0.9979910
1403638523.427830 0.0301151 -0.4760037 -0.1277070 0.0281365 -0.0502085 0.0215885 0.9981089
1403638523.477829 0.0343752 -0.4196918 -0.1122567 0.0265413 -0.0491642 0.0183997 0.9982684
1403638523.527829 0.0378590 -0.3893297 -0.1054192 0.0205973 -0.0477611 0.0144903 0.9985413
1403638523.577830 0.0422917 -0.3571146 -0.0976777 0.0130720 -0.0464883 0.0102418 0.9987808
1403638523.627830 0.0469472 -0.3251313 -0.0892976 0.0053105 -0.0441832 0.0062504 0.9989898
1403638523.677830 0.0509429 -0.2919877 -0.0825564 -0.0007886 -0.0429146 0.0029505 0.9990741
1403638523.727829 0.0546415 -0.2610818 -0.0755078 -0.0048226 -0.0422275 0.0002749 0.9990963
1403638523.777829 0.0571938 -0.2298456 -0.0687649 -0.0066497 -0.0418133 -0.0020625 0.9991012
1403638523.827830 0.0588240 -0.1956078 -0.0609948 -0.0065542 -0.0416994 -0.0036270 0.9991021
1403638523.877830 0.0627808 -0.1674197 -0.0534951 -0.0050912 -0.0408140 -0.0064673 0.9991329
1403638523.927830 0.0660105 -0.1421600 -0.0507372 -0.0035571 -0.0383626 -0.0115545 0.9991907
1403638523.977829 0.0671414 -0.1183777 -0.0458031 -0.0030478 -0.0366275 -0.0169944 0.9991798
1403638524.027829 0.0681671 -0.1040778 -0.0443107 -0.0044522 -0.0353738 -0.0226998 0.9991064
1403638524.077830 0.0613871 -0.0874026 -0.0410957 -0.0070436 -0.0349591 -0.0275634 0.9989837
1403638524.127830 0.0613781 -0.0894668 -0.0447613 -0.0115402 -0.0358288 -0.0310308 0.9988094
1403638524.177830 0.0610238 -0.0997245 -0.0499213 -0.0159321 -0.0380546 -0.0314007 0.9986551
1403638524.227829 0.0606918 -0.1173555 -0.0564587 -0.0187343 -0.0411696 -0.0305228 0.9985101
1403638524.277829 0.0615167 -0.1407039 -0.0636699 -0.0191204 -0.0437472 -0.0285480 0.9984516
1403638524.327830 0.0622345 -0.1702156 -0.0750173 -0.0184497 -0.0473341 -0.0254325 0.9983848
1403638524.377830 0.0612000 -0.1989854 -0.0838440 -0.0160907 -0.0503291 -0.0221094 0.9983582
1403638524.427830 0.0613089 -0.2288085 -0.0918049 -0.0119668 -0.0528720 -0.0184383 0.9983593
1403638524.477829 0.0625779 -0.2603087 -0.0981374 -0.0060300 -0.0546616 -0.0157733 0.9983621
1403638524.527829 0.0608558 -0.2880833 -0.1043862 0.0011633 -0.0560126 -0.0141938 0.9983285
1403638524.577830 0.0611077 -0.3187650 -0.1112963 0.0080934 -0.0561530 -0.0123007 0.9983136
1403638524.627830 0.0593349 -0.3426031 -0.1154660 0.0142077 -0.0539260 -0.0102148 0.9983916
1403638524.677830 0.0512738 -0.3270833 -0.1082133 0.0216975 -0.0485838 -0.0099466 0.9985338
1403638524.727829 0.0467869 -0.3409382 -0.1074612 0.0259097 -0.0423449 -0.0109601 0.9987069
1403638524.777829 0.0458933 -0.3592445 -0.1111155 0.0286822 -0.0347174 -0.0123607 0.9989091
1403638524.827830 0.0456513 -0.3722731 -0.1137642 0.0302684 -0.0290006 -0.0135183 0.9990296
1403638524.877830 0.0419046 -0.3782192 -0.1099633 0.0314389 -0.0296967 -0.0121626 0.9989904
1403638524.927830 0.0396011 -0.3846413 -0.1099756 0.0322166 -0.0319947 -0.0109138 0.9989091
1403638524.977829 0.0417474 -0.3865064 -0.1129350 0.0335527 -0.0361563 -0.0103703 0.9987289
1403638525.027829 0.0457658 -0.3730125 -0.1052557 0.0366154 -0.0377253 -0.0116907 0.9985487
1403638525.077830 0.0446381 -0.3676428 -0.1062438 0.0388173 -0.0364081 -0.0147828 0.9984734
1403638525.127830 0.0431416 -0.3555721 -0.0962929 0.0408353 -0.0361552 -0.0173390 0.9983610
1403638525.177830 0.0434580 -0.3437020 -0.0881514 0.0413910 -0.0367471 -0.0198145 0.9982704
1403638525.227829 0.0488352 -0.3320397 -0.0823383 0.0400869 -0.0382047 -0.0224437 0.9982132
1403638525.277829 0.0542435 -0.3128068 -0.0748336 0.0366626 -0.0402458 -0.0240430 0.9982275
1403638525.327830 0.0561233 -0.2884171 -0.0684075 0.0305162 -0.0422868 -0.0261230 0.9982976
1403638525.377830 0.0562555 -0.2653315 -0.0637652 0.0218402 -0.0453394 -0.0271065 0.9983649
1403638525.427830 0.0365062 -0.2375242 -0.0611200 0.0118125 -0.0474761 -0.0268311 0.9984421
1403638525.477829 0.0347830 -0.2152422 -0.0566103 0.0009438 -0.0523324 -0.0246213 0.9983257
1403638525.527829 0.0342840 -0.1947798 -0.0519161 -0.0083997 -0.0555861 -0.0226163 0.9981624
1403638525.577830 0.0334687 -0.1740884 -0.0454094 -0.0150839 -0.0571633 -0.0212054 0.9980257
1403638525.627830 0.0335755 -0.1573685 -0.0408106 -0.0187785 -0.0574480 -0.0193868 0.9979836
1403638525.677830 0.0335629 -0.1410699 -0.0355693 -0.0199727 -0.0563297 -0.0182778 0.9980451
1403638525.727829 0.0338988 -0.1277667 -0.0308292 -0.0189853 -0.0536692 -0.0169364 0.9982346
1403638525.777829 0.0334064 -0.1156560 -0.0265325 -0.0162532 -0.0505175 -0.0153146 0.9984735
1403638525.827830 0.0335253 -0.1061082 -0.0218126 -0.0126927 -0.0465375 -0.0149807 0.9987236
1403638525.877830 0.0343583 -0.0986165 -0.0186344 -0.0089001 -0.0422383 -0.0155673 0.9989466
1403638525.927830 0.0367536 -0.0923510 -0.0170065 -0.0063900 -0.0376521 -0.0174887 0.9991174
1403638525.977829 0.0414551 -0.0880618 -0.0166725 -0.0058770 -0.0346776 -0.0192619 0.9991956
1403638526.027829 0.0485823 -0.0859641 -0.0171052 -0.0066029 -0.0325595 -0.0207671 0.9992322
1403638526.077830 0.0581264 -0.0855092 -0.0181360 -0.0085371 -0.0300264 -0.0201186 0.9993101
1403638526.127830 0.0698542 -0.0871648 -0.0201836 -0.0109269 -0.0269849 -0.0170063 0.9994314
1403638526.177830 0.0830533 -0.0899666 -0.0224828 -0.0128130 -0.0237313 -0.0136922 0.9995425
1403638526.227829 0.0980321 -0.0943248 -0.0256168 -0.0129344 -0.0200371 -0.0107035 0.9996583
1403638526.277829 0.1136237 -0.0987866 -0.0295512 -0.0110460 -0.0161442 -0.0080359 0.9997764
1403638526.327830 0.1306064 -0.1035911 -0.0331125 -0.0080208 -0.0131702 -0.0056052 0.9998654
1403638526.377830 0.1489030 -0.1078259 -0.0374939 -0.0038045 -0.0098569 -0.0019538 0.9999422
1403638526.427830 0.1686001 -0.1125798 -0.0433497 0.0003816 -0.0063295 0.0015881 0.9999786
1403638526.477829 0.1873443 -0.1151975 -0.0481583 0.0047332 -0.0029850 0.0065174 0.9999631
1403638526.527829 0.2095885 -0.1178545 -0.0534192 0.0091051 0.0004694 0.0112147 0.9998956
1403638526.577830 0.2285836 -0.1174090 -0.0573610 0.0138162 0.0037863 0.0152410 0.9997813
1403638526.627830 0.2475416 -0.1160684 -0.0604116 0.0185320 0.0078706 0.0174956 0.9996442
1403638526.677830 0.2688293 -0.1142923 -0.0638218 0.0226249 0.0122806 0.0194881 0.9994786
1403638526.727829 0.2926927 -0.1133946 -0.0690705 0.0252951 0.0162639 0.0205793 0.9993358
