#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1403638518.077830 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
1403638522.127830 -0.0015790 -0.0034505 -0.0009235 -0.0048686 -0.0045435 -0.0027060 0.9999742
1403638522.177830 -0.0023544 -0.0076296 -0.0025456 -0.0045146 -0.0068949 -0.0012079 0.9999653
1403638522.227829 -0.0028610 -0.0136579 -0.0047938 -0.0010571 -0.0089668 -0.0004360 0.9999592
1403638522.277829 -0.0032830 -0.0218048 -0.0075440 0.0039320 -0.0123791 0.0008954 0.9999152
1403638522.327830 -0.0033654 -0.0321007 -0.0109597 0.0093222 -0.0155535 0.0020183 0.9998335
1403638522.527829 -0.0028006 -0.0842333 -0.0296884 0.0067700 -0.0316304 0.0102768 0.9994239
1403638522.777829 -0.0031316 -0.1570414 -0.0499963 0.0183158 -0.0488662 0.0100155 0.9985872
1403638529.927830 0.0465154 -0.0515773 0.0046153 -0.0128311 0.0643258 0.0169689 0.9977022
1403638530.027829 0.0447879 -0.0456463 0.0110289 -0.0120762 0.0649819 0.0167914 0.9976721
1403638530.227829 0.0454210 -0.0405152 0.0317317 -0.0176232 0.0716727 0.0219165 0.9970316
1403638530.327830 0.0471847 -0.0384530 0.0427214 -0.0167587 0.0760667 0.0263590 0.9966134
1403638530.727829 0.0566766 -0.0311658 0.0691192 -0.0263089 0.0856454 0.0352093 0.9953557
1403638531.027829 0.0582893 -0.0254562 0.0753121 -0.0232230 0.0824670 0.0368848 0.9956402
1403638534.077830 0.0561554 -0.0239400 0.0761445 -0.0091283 0.0845038 0.0300145 0.9959292
1403638534.477829 0.0561485 -0.0239598 0.0761991 -0.0092214 0.0843027 0.0301995 0.9959398
1403638538.977829 0.0559224 -0.0274164 0.0784903 0.0029866 0.0833100 0.0298143 0.9960731
1403638539.077830 0.0563829 -0.0307327 0.0818266 0.0127299 0.0854257 0.0301218 0.9958078
1403638540.477829 0.0617523 -0.2212771 0.1776793 0.0114121 0.0702407 0.0214031 0.9972351
1403638541.027829 0.0381260 -0.3001027 0.3201390 0.0179169 -0.0392262 -0.0460863 0.9980062
1403638541.977829 -0.1876081 -0.5023443 0.5639094 0.0232441 -0.1287123 -0.0670345 0.9891406
1403638542.127830 -0.2430692 -0.5440871 0.5921246 0.0208770 -0.1609463 -0.0779902 0.9836554
1403638543.127830 -0.6685896 -0.7231383 0.7432046 0.0248499 -0.2660878 -0.1186791 0.9562923
1403638543.277829 -0.7469394 -0.7499487 0.7485285 0.0245912 -0.2642388 -0.1159305 0.9571485
1403638543.427830 -0.8275548 -0.7668425 0.7562290 0.0230929 -0.2651567 -0.1161691 0.9569030
1403638544.277829 -1.3184412 -0.8709980 0.7874224 0.0218149 -0.3972814 -0.1667220 0.9021615
1403638544.477829 -1.4363022 -0.8934744 0.7969201 0.0194072 -0.3999640 -0.1695118 0.9005098
1403638544.877830 -1.6790535 -0.9461895 0.8235718 0.0275915 -0.4057825 -0.1678036 0.8980096
1403638545.177830 -1.8543898 -0.9682193 0.8577293 0.0271647 -0.4078659 -0.1686135 0.8969264
1403638546.227829 -2.4516485 -1.0241767 0.9695687 0.0273669 -0.5239469 -0.2280482 0.8201979
1403638546.727829 -2.7449856 -1.0440040 1.0129213 0.0234018 -0.5498801 -0.2340104 0.8014508
1403638547.027829 -2.9284692 -1.0748074 1.0185335 0.0291588 -0.5566697 -0.2461893 0.7928805
1403638547.377830 -3.1532366 -1.0819006 1.0252235 0.0324312 -0.5560675 -0.2516327 0.7914658
1403638547.477829 -3.2210863 -1.0773385 1.0187011 0.0277105 -0.5574249 -0.2461291 0.7924204
1403638548.377830 -3.8758650 -0.9976682 0.9697437 0.0213551 -0.5880349 -0.2566152 0.7667513
1403638548.477829 -3.9529679 -1.0037469 0.9491885 0.0210568 -0.6005810 -0.2611263 0.7554284
1403638549.277829 -4.6194239 -1.0585719 0.7841886 0.0192351 -0.6267312 -0.2672889 0.7317067
1403638549.377830 -4.7077923 -1.0756774 0.7581915 0.0176219 -0.6272312 -0.2639010 0.7325481
1403638549.777829 -5.0583420 -1.1341039 0.6753759 0.0187345 -0.6271040 -0.2580041 0.7347268
1403638549.927830 -5.1867437 -1.1664665 0.6509494 0.0164544 -0.6263691 -0.2595702 0.7348567
1403638550.327830 -5.5407143 -1.2847314 0.5630208 0.0135065 -0.6274317 -0.2596371 0.7339861
1403638550.427830 -5.6288967 -1.3183085 0.5416143 0.0136645 -0.6286153 -0.2579229 0.7335747
1403638550.827830 -5.9822664 -1.4307230 0.4874945 0.0181710 -0.6354700 -0.2416894 0.7330989
1403638551.277829 -6.3418360 -1.5348643 0.4693240 0.0295351 -0.6425422 -0.2207902 0.7331568
1403638551.427830 -6.4434423 -1.5818329 0.4720740 0.0201017 -0.6318692 -0.2196136 0.7430391
1403638551.627830 -6.5664477 -1.6391261 0.4953912 0.0079644 -0.6033069 -0.2012253 0.7716642
1403638551.727829 -6.6264329 -1.6645012 0.5166053 0.0050535 -0.5863521 -0.1903082 0.7873681
1403638552.527829 -6.9471269 -1.9446092 0.7780802 0.0253016 -0.5270729 -0.1663707 0.8329915
1403638552.677830 -6.9782000 -1.9977758 0.8491498 0.0306960 -0.5296862 -0.1648000 0.8314633
1403638552.977829 -7.0120091 -2.0878329 1.0042163 0.0327616 -0.5303058 -0.1793389 0.8279734
1403638553.277829 -7.0081635 -2.1606383 1.1763120 0.0465407 -0.5382975 -0.1749968 0.8230710
1403638553.577830 -6.9596043 -2.2507491 1.3446648 0.0684530 -0.5387713 -0.1842111 0.8192106
1403638553.877830 -6.8566728 -2.3689966 1.4674795 0.0654384 -0.5363777 -0.1927877 0.8190541
1403638554.477829 -6.5513864 -2.5318244 1.6593134 0.0320570 -0.5255454 -0.2195866 0.8213136
1403638554.777829 -6.3961134 -2.5886974 1.7497168 0.0249645 -0.5313312 -0.2068665 0.8211396
1403638554.927830 -6.3210697 -2.6286073 1.7897524 0.0245684 -0.5331079 -0.2020823 0.8211913
1403638555.527829 -6.0155163 -2.7356303 2.0039275 0.0273110 -0.4911633 -0.1919548 0.8492150
1403638556.177830 -5.6886287 -2.8881967 2.2320845 0.0187263 -0.4868290 -0.1982328 0.8505002
1403638556.327830 -5.6200118 -2.9247241 2.2831242 0.0109395 -0.4854864 -0.2009453 0.8507669
1403638557.777829 -5.1218138 -3.3939464 3.0134559 0.0270348 -0.4863221 -0.1983359 0.8505427
1403638558.877830 -4.9419489 -3.8028700 3.6324978 -0.0070614 -0.4799395 -0.1984065 0.8545426
1403638559.027829 -4.9542232 -3.8696635 3.7310708 0.0055581 -0.4806917 -0.1971612 0.8544192
1403638559.327830 -4.9844360 -3.9729033 3.9362280 0.0208163 -0.4804177 -0.2009150 0.8534628
1403638559.927830 -5.0679221 -4.1111727 4.3466420 0.0291916 -0.4797791 -0.2060841 0.8523434
1403638560.077830 -5.0928068 -4.1429086 4.4406743 0.0275085 -0.4647555 -0.1959054 0.8630565
1403638560.977829 -5.2021260 -4.2175512 5.0168648 0.0453008 -0.2637230 -0.0713358 0.9608898
1403638561.277829 -5.1748362 -4.2699389 5.1590557 0.0605551 -0.2088255 -0.0448449 0.9750456
1403638561.577830 -5.1008754 -4.3095460 5.2718253 0.0439977 -0.1835443 -0.0652176 0.9798583
1403638561.777829 -5.0339499 -4.3226943 5.3380337 0.0403521 -0.1828346 -0.0720434 0.9796698
1403638561.977829 -4.9720116 -4.3237786 5.4074092 0.0417050 -0.1743941 -0.0734781 0.9810445
1403638562.877830 -4.6791739 -4.3856626 5.5801191 0.0448014 -0.0278158 0.0091788 0.9985664
1403638563.177830 -4.5458336 -4.3898630 5.6067061 0.0441240 0.0362595 0.0448596 0.9973595
1403638563.477829 -4.3947325 -4.3611403 5.6211696 0.0692397 0.0681510 0.0591150 0.9935123
1403638564.077830 -4.0325985 -4.2892008 5.5086365 0.0597041 0.0591251 0.0596193 0.9946784
1403638564.377830 -3.8170459 -4.2449722 5.3954868 0.0654380 0.0509250 0.0477139 0.9954134
1403638564.477829 -3.7362604 -4.2307925 5.3514700 0.0677971 0.0491399 0.0437737 0.9955263
1403638564.677830 -3.5725269 -4.2030888 5.2374029 0.0620686 0.0439488 0.0502410 0.9958373
1403638565.077830 -3.2105336 -4.0730863 5.0016055 0.0603347 0.0414952 0.0620404 0.9953838
1403638565.177830 -3.1104591 -4.0131302 4.9470415 0.0589932 0.0413227 0.0625481 0.9954396
1403638565.277829 -3.0039818 -3.9456334 4.8939443 0.0580169 0.0419513 0.0609999 0.9955667
1403638565.527829 -2.7360866 -3.7805181 4.7412338 0.0592858 0.0483909 0.0528985 0.9956632
1403638566.027829 -2.1663539 -3.4960992 4.3630505 0.0476176 0.0684532 0.0239671 0.9962291
1403638566.127830 -2.0588665 -3.4383645 4.2844715 0.0468414 0.0690761 0.0242420 0.9962162
1403638566.227829 -1.9547405 -3.3722372 4.2096133 0.0474796 0.0692724 0.0240233 0.9961777
1403638566.327830 -1.8471190 -3.2995851 4.1321845 0.0460488 0.0684296 0.0243400 0.9962954
1403638566.627830 -1.5507042 -3.0648293 3.9058146 0.0339221 0.0624589 0.0251824 0.9971530
1403638566.727829 -1.4543269 -2.9751613 3.8313231 0.0126829 0.0603566 0.0254788 0.9977710
1403638566.827830 -1.3664504 -2.8865128 3.7650001 -0.0047445 0.0593488 0.0228500 0.9979645
1403638567.077830 -1.1318251 -2.6702538 3.6192358 -0.0034091 0.0550057 0.0202976 0.9982739
1403638567.277829 -0.9496125 -2.5018692 3.5307550 0.0333594 0.0571220 0.0140414 0.9977109
1403638567.477829 -0.7822912 -2.3254249 3.4455466 0.0353174 0.0610901 0.0119390 0.9974358
1403638567.577830 -0.6999425 -2.2400076 3.3998535 0.0295679 0.0625600 0.0125963 0.9975236
1403638567.677830 -0.6250448 -2.1628745 3.3550179 0.0238252 0.0657184 0.0112408 0.9974904
1403638567.877830 -0.4832513 -2.0169282 3.2615833 0.0135360 0.0681119 0.0128744 0.9975028
1403638568.277829 -0.2308312 -1.8238090 3.0850513 0.0137260 0.0725528 0.0086474 0.9972326
1403638568.377830 -0.1769427 -1.7851754 3.0449927 0.0129420 0.0729587 0.0088882 0.9972114
1403638568.777829 0.0107383 -1.6232961 2.9188871 0.0033322 0.0738285 0.0063648 0.9972451
1403638568.977829 0.0816877 -1.5651364 2.8689995 0.0055386 0.0741251 0.0063821 0.9972131
1403638570.477829 0.2131262 -1.4149519 2.7846048 0.0194427 0.0753450 0.0406655 0.9961383
1403638571.427830 0.4238710 -1.1915787 2.7725909 0.0374128 0.2576998 0.1303998 0.9566541
1403638571.577830 0.4926966 -1.1669719 2.7300208 0.0393941 0.2689400 0.1305849 0.9534500
1403638571.777829 0.5881842 -1.1131033 2.6612730 0.0297687 0.2930652 0.1415327 0.9450900
1403638572.577830 1.0825534 -0.9178929 2.3066278 0.0046827 0.4379706 0.1968851 0.8771523
1403638572.677830 1.1522989 -0.8957399 2.2602048 0.0017539 0.4460163 0.1980719 0.8728310
1403638572.977829 1.3838583 -0.8502210 2.1178105 -0.0121383 0.4544143 0.1896029 0.8702937
1403638573.177830 1.5405908 -0.8310634 2.0375900 -0.0163176 0.4512983 0.1888424 0.8720104
1403638573.477829 1.7948602 -0.8064266 1.9420784 -0.0190964 0.4503879 0.1862389 0.8729841
1403638573.777829 2.0657570 -0.8268921 1.8690051 -0.0210570 0.4625578 0.1830318 0.8672349
1403638573.877830 2.1621003 -0.8401332 1.8549139 -0.0129009 0.4773814 0.1797893 0.8600095
1403638574.077830 2.3542652 -0.8626046 1.8272483 0.0165446 0.5109881 0.1988999 0.8360959
1403638574.277829 2.5396535 -0.8705832 1.8071362 0.0421111 0.5489029 0.2289167 0.8028259
1403638574.377830 2.6261854 -0.8649448 1.7930140 0.0409187 0.5697117 0.2382829 0.7854778
1403638574.677830 2.8814802 -0.8403715 1.7292922 0.0306512 0.6195467 0.2511583 0.7430626
1403638574.777829 2.9594524 -0.8360764 1.7004740 0.0212172 0.6296506 0.2469625 0.7362741
1403638575.027829 3.1469276 -0.8312554 1.6260304 0.0059616 0.6315619 0.2573716 0.7313370
1403638575.327830 3.3726957 -0.8010755 1.5460336 0.0166432 0.6231293 0.2720440 0.7330927
1403638575.577830 3.5660291 -0.7514123 1.4756374 0.0013327 0.6174100 0.2708032 0.7385585
1403638575.677830 3.6486673 -0.7341263 1.4430463 -0.0067739 0.6173064 0.2645611 0.7408740
1403638575.777829 3.7316489 -0.7226647 1.4086832 -0.0161213 0.6165417 0.2612132 0.7425524
1403638576.227829 4.1520157 -0.7391689 1.2515565 -0.0185019 0.6158697 0.2550539 0.7451910
1403638576.377830 4.3041649 -0.7516311 1.2076091 -0.0223091 0.6191281 0.2474956 0.7449353
1403638576.527829 4.4646454 -0.7534807 1.1724626 -0.0314807 0.6216943 0.2402608 0.7448355
1403638576.977829 4.9571872 -0.7644979 1.1475096 -0.0127204 0.6272403 0.2283320 0.7444947
1403638577.127830 5.1173925 -0.7702546 1.1598575 -0.0031767 0.6252181 0.2349147 0.7442495
1403638577.277829 5.2782531 -0.7863204 1.1740429 -0.0023118 0.6248979 0.2363013 0.7440826
1403638577.427830 5.4348702 -0.8122352 1.1890532 -0.0129501 0.6284596 0.2258485 0.7442200
1403638577.627830 5.6370459 -0.8587024 1.2183976 -0.0128347 0.6273105 0.2280535 0.7445189
1403638577.927830 5.9276032 -0.9028784 1.2947650 -0.0108391 0.6244230 0.2324136 0.7456288
1403638578.127830 6.1219492 -0.9354836 1.3582106 -0.0065169 0.6229578 0.2329500 0.7467365
1403638578.327830 6.3109303 -0.9879417 1.4216785 0.0093306 0.6167733 0.2478622 0.7470394
1403638578.527829 6.4951372 -1.0283021 1.4842430 0.0106522 0.6172731 0.2488265 0.7462881
1403638578.677830 6.6316442 -1.0487596 1.5316397 0.0106888 0.6189008 0.2464386 0.7457315
1403638578.877830 6.8108349 -1.0649167 1.5941436 0.0010601 0.6234912 0.2347488 0.7457551
1403638579.427830 7.2708449 -1.1736001 1.7749255 0.0107827 0.6192361 0.2411411 0.7471823
1403638579.627830 7.4200463 -1.2212688 1.8354392 0.0274344 0.6137059 0.2380666 0.7522876
1403638579.977829 7.6564326 -1.2554702 1.9562716 0.0187472 0.5514566 0.1945369 0.8109868
1403638580.527829 7.8902340 -1.2558007 2.1563087 0.0371181 0.3639303 0.1362491 0.9206591
1403638580.827830 7.9843206 -1.2349666 2.2390635 0.0178451 0.3105778 0.1214590 0.9425873
1403638581.027829 8.0464153 -1.2430587 2.2755823 0.0149505 0.2980649 0.1177902 0.9471321
1403638581.227829 8.1089973 -1.2710553 2.3075814 0.0136250 0.2998381 0.1137252 0.9470893
1403638584.127830 8.2091017 -1.9542803 2.5165589 0.0259336 0.3253176 0.1026170 0.9396625
1403638584.727829 8.0082607 -1.9964108 2.6041069 0.0483984 0.3264738 0.0973222 0.9389360
1403638584.927830 7.9158964 -2.0312452 2.5782831 0.0235122 0.3210820 0.1093208 0.9404268
1403638585.927830 7.3830366 -2.0975223 2.5802808 0.0002366 0.3168072 0.1215230 0.9406728
1403638586.827830 6.9380226 -2.2030716 2.6277821 0.0261710 0.3244913 0.1087916 0.9392470
1403638587.927830 6.2838640 -2.1742904 2.7302084 0.0211492 0.3224566 0.1167728 0.9391158
1403638588.327830 6.0439634 -2.1275930 2.7774513 0.0183135 0.3266877 0.1047442 0.9391317
1403638588.577830 5.8855958 -2.1219306 2.8007169 0.0197630 0.3251302 0.1082585 0.9392443
1403638588.977829 5.6216421 -2.1486068 2.8156767 0.0250092 0.3231370 0.1155514 0.9389382
1403638589.327830 5.3890605 -2.1278031 2.8371384 0.0258115 0.3246799 0.1146484 0.9384948
1403638589.727829 5.1276908 -2.1135123 2.8478978 0.0227756 0.3239052 0.1157706 0.9387033
