#TimeStamp Tx Ty Tz Qx Qy Qz Qw
0.518430 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
0.622045 -0.0003786 -0.0004185 0.0390050 0.0004904 -0.0022599 -0.0006783 0.9999971
0.725798 -0.0012150 -0.0000106 0.0786024 0.0012600 -0.0047192 -0.0021540 0.9999858
0.829420 -0.0020325 -0.0001435 0.1191180 0.0004969 -0.0068745 -0.0023677 0.9999734
0.933147 -0.0030399 -0.0004515 0.1598527 -0.0009213 -0.0089604 -0.0019958 0.9999574
1.036910 -0.0043414 -0.0010124 0.2011956 -0.0024006 -0.0105632 -0.0016112 0.9999400
1.140497 -0.0055152 -0.0012450 0.2430314 -0.0021413 -0.0120314 -0.0025029 0.9999222
1.244242 -0.0069035 -0.0011701 0.2855632 -0.0018166 -0.0130935 -0.0023157 0.9999099
1.347979 -0.0081768 -0.0014287 0.3282932 -0.0017069 -0.0139635 -0.0009638 0.9999006
1.451596 -0.0087527 -0.0014504 0.3716650 -0.0020773 -0.0154600 -0.0005663 0.9998782
1.555212 -0.0100729 -0.0017997 0.4154220 -0.0020309 -0.0162577 -0.0000408 0.9998658
1.658960 -0.0122130 -0.0019037 0.4594973 -0.0006514 -0.0170868 -0.0011654 0.9998531
1.762569 -0.0139521 -0.0022301 0.5037959 0.0005675 -0.0177758 -0.0013215 0.9998410
1.866302 -0.0159998 -0.0024262 0.5489784 0.0015351 -0.0187647 -0.0033067 0.9998173
1.969923 -0.0178845 -0.0030926 0.5942450 0.0011305 -0.0194213 -0.0036191 0.9998042
2.073666 -0.0197904 -0.0034357 0.6401194 0.0005100 -0.0201808 -0.0031085 0.9997914
2.177281 -0.0219565 -0.0038319 0.6862478 -0.0002821 -0.0208410 -0.0033780 0.9997771
2.281017 -0.0241586 -0.0042809 0.7322802 -0.0002489 -0.0211336 -0.0029789 0.9997722
2.384639 -0.0265808 -0.0047117 0.7788593 0.0001196 -0.0220060 -0.0029652 0.9997534
2.488250 -0.0288137 -0.0051473 0.8257666 0.0006182 -0.0225951 -0.0027369 0.9997408
2.591988 -0.0307211 -0.0054354 0.8728328 -0.0002933 -0.0231211 -0.0024583 0.9997296
2.695832 -0.0331125 -0.0058994 0.9199308 -0.0017339 -0.0230437 -0.0034331 0.9997271
2.799367 -0.0353136 -0.0066053 0.9676393 -0.0037758 -0.0227464 -0.0040005 0.9997261
2.903084 -0.0372927 -0.0066142 1.0153761 -0.0049341 -0.0220533 -0.0041513 0.9997360
3.006768 -0.0397277 -0.0064095 1.0636809 -0.0053114 -0.0211276 -0.0040649 0.9997544
3.110441 -0.0415256 -0.0063529 1.1116729 -0.0037478 -0.0205528 -0.0044780 0.9997717
3.214057 -0.0441215 -0.0065272 1.1601042 -0.0012595 -0.0198414 -0.0052687 0.9997885
3.317669 -0.0460865 -0.0068261 1.2091863 0.0002515 -0.0193537 -0.0053254 0.9997985
3.421285 -0.0481524 -0.0073352 1.2578244 -0.0003057 -0.0187574 -0.0042152 0.9998151
