#TimeStamp Tx Ty Tz Qx Qy Qz Qw
0.208254 -0.0001227 -0.0008929 0.0527381 0.0000061 -0.0003216 0.0005570 0.9999998
0.312504 -0.0004685 -0.0018554 0.1047943 0.0004131 -0.0003098 0.0013658 0.9999989
0.416625 -0.0010013 -0.0030803 0.1593870 0.0003004 -0.0001242 0.0014091 0.9999989
0.520755 -0.0013629 -0.0038541 0.2132256 -0.0000278 0.0000116 0.0017418 0.9999985
0.625004 -0.0017884 -0.0047666 0.2669552 -0.0006350 -0.0000012 0.0023871 0.9999970
0.729128 -0.0019319 -0.0055097 0.3206627 -0.0007264 -0.0001588 0.0022655 0.9999971
0.833252 -0.0020738 -0.0060494 0.3750759 0.0002858 -0.0003228 0.0017823 0.9999983
0.937506 -0.0028087 -0.0072028 0.4276595 0.0012476 -0.0002003 0.0005348 0.9999990
1.041630 -0.0030920 -0.0081478 0.4814046 0.0016542 -0.0000869 -0.0011306 0.9999980
1.145875 -0.0028229 -0.0091598 0.5355614 0.0017831 -0.0005550 -0.0023214 0.9999955
1.250003 -0.0038579 -0.0099361 0.5890851 0.0015058 -0.0003990 -0.0029895 0.9999943
1.354255 -0.0036947 -0.0110518 0.6432810 -0.0000601 -0.0005302 -0.0018803 0.9999981
1.458401 -0.0041213 -0.0124377 0.6975440 -0.0012428 -0.0001314 0.0002213 0.9999992
1.562526 -0.0024504 -0.0125861 0.7514055 0.0002851 -0.0018838 0.0017184 0.9999967
1.666754 -0.0040052 -0.0136819 0.8038063 0.0012236 -0.0012440 0.0016589 0.9999971
1.771007 -0.0053057 -0.0142314 0.8571543 0.0025067 -0.0003314 0.0005028 0.9999967
1.875129 -0.0053925 -0.0153901 0.9111251 0.0012863 0.0000820 -0.0006381 0.9999990
1.979377 -0.0049834 -0.0166048 0.9659289 -0.0006933 -0.0001205 -0.0009452 0.9999993
2.083502 -0.0065111 -0.0170445 1.0197176 -0.0014178 0.0009040 -0.0002134 0.9999986
2.187759 -0.0072009 -0.0175110 1.0738075 -0.0002204 0.0008906 0.0017299 0.9999981
2.291881 -0.0076537 -0.0188977 1.1288655 0.0006987 0.0010608 0.0021124 0.9999970
2.396132 -0.0069884 -0.0197005 1.1847694 0.0022338 0.0008532 0.0024093 0.9999942
