#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1403715894.584058 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
1403715894.734058 -0.0253717 -0.0151853 -0.0077661 -0.0060821 -0.0044369 0.0101456 0.9999202
1403715894.784058 -0.0354953 -0.0210360 -0.0098232 -0.0042474 -0.0060623 0.0143930 0.9998690
1403715894.884058 -0.0600630 -0.0346235 -0.0127700 0.0026147 -0.0072579 0.0202995 0.9997642
1403715894.934058 -0.0709435 -0.0425446 -0.0142230 0.0056438 -0.0075414 0.0212580 0.9997296
1403715895.084058 -0.1068159 -0.0659181 -0.0199199 0.0100209 -0.0076127 0.0233263 0.9996487
1403715895.984058 -0.3245482 -0.1813331 -0.0531630 0.0090526 -0.0077436 0.0328572 0.9993891
1403715896.184058 -0.3736561 -0.2074619 -0.0605806 0.0066198 -0.0123393 0.0470654 0.9987937
1403715896.284058 -0.3956244 -0.2157108 -0.0634274 0.0107361 -0.0178104 0.0630944 0.9977909
1403715896.634058 -0.4299826 -0.2613450 -0.0791026 0.0220296 -0.0342030 0.1063343 0.9934978
1403715896.734058 -0.4238591 -0.2663210 -0.0842072 0.0260887 -0.0366286 0.1104632 0.9928623
1403715897.234058 -0.2705300 -0.2917252 -0.1249130 0.0037622 -0.0508804 0.1383746 0.9890649
1403715897.334058 -0.2125825 -0.2943658 -0.1314816 0.0014289 -0.0391193 0.1100173 0.9931585
1403715897.734058 0.0770421 -0.2957233 -0.1444492 -0.0002027 -0.0262551 0.0734013 0.9969568
1403715897.834058 0.1490819 -0.2984312 -0.1455832 0.0024354 -0.0279277 0.0820807 0.9962313
1403715897.934058 0.2214722 -0.3083330 -0.1456234 0.0064237 -0.0248567 0.0796121 0.9964952
1403715898.034058 0.3023136 -0.3069629 -0.1461140 0.0152308 -0.0216766 0.0717445 0.9970711
1403715898.134058 0.3811813 -0.3029802 -0.1441591 0.0313530 -0.0133100 0.0614858 0.9975266
1403715898.234058 0.4608113 -0.3049601 -0.1464414 0.0399618 -0.0001376 0.0562325 0.9976177
1403715898.334058 0.5419738 -0.3024535 -0.1541047 0.0384790 0.0168220 0.0539401 0.9976607
1403715898.434058 0.6257694 -0.2913251 -0.1605168 0.0291526 0.0358285 0.0556126 0.9973834
1403715898.534058 0.7064788 -0.2845511 -0.1684711 0.0145900 0.0545985 0.0613618 0.9965144
1403715898.634058 0.7915117 -0.2700849 -0.1771498 0.0050307 0.0746390 0.0677246 0.9948955
1403715898.934058 1.0161246 -0.2134724 -0.1852312 -0.0021139 0.1313091 0.0836856 0.9878007
1403715899.134058 1.1555433 -0.1545719 -0.1814825 -0.0131492 0.1469959 0.0893436 0.9850061
1403715899.234058 1.2235026 -0.1196669 -0.1790006 -0.0259210 0.1513268 0.0861233 0.9843836
1403715899.484058 1.3872308 -0.0716756 -0.1636118 -0.0554096 0.1552609 0.0716975 0.9837090
1403715899.684058 1.5095116 -0.0608817 -0.1340715 -0.0541402 0.1497400 0.0730173 0.9845381
1403715899.784058 1.5682130 -0.0583621 -0.1121850 -0.0504689 0.1489433 0.0661236 0.9853408
1403715899.884058 1.6224141 -0.0588484 -0.0853213 -0.0404356 0.1514690 0.0520492 0.9862621
1403715900.184058 1.7561280 -0.0694940 0.0140955 -0.0290939 0.1588700 0.0177744 0.9867107
1403715900.284058 1.7885175 -0.0772229 0.0528168 -0.0278475 0.1592157 0.0129073 0.9867666
1403715900.384058 1.8120390 -0.0886590 0.0943010 -0.0291109 0.1596961 0.0109029 0.9866766
1403715900.684058 1.8445133 -0.1406122 0.2322389 0.0048448 0.1421765 0.0663140 0.9876056
1403715900.784058 1.8462739 -0.1605447 0.2776489 0.0295803 0.1405384 0.0774499 0.9865980
1403715900.984058 1.8483484 -0.1995160 0.3584653 0.0613293 0.1484304 0.0673092 0.9847216
1403715901.084058 1.8445524 -0.2159255 0.3875040 0.0760695 0.1511142 0.0639096 0.9835108
1403715901.334058 1.8223168 -0.2483909 0.4237627 0.0963505 0.1524054 0.0685328 0.9812199
1403715901.434058 1.8143902 -0.2512990 0.4218965 0.0845158 0.1467813 0.0759205 0.9826232
1403715901.584058 1.7872872 -0.2556722 0.4052886 0.0588054 0.1461862 0.0801936 0.9842461
1403715901.784058 1.7435143 -0.2610162 0.3661109 0.0432403 0.1482279 0.0789008 0.9848520
1403715901.934058 1.7048086 -0.2619400 0.3295214 0.0269096 0.1483670 0.0792311 0.9853860
1403715902.484058 1.5402091 -0.2346149 0.1655560 0.0041187 0.1515005 0.0634433 0.9864104
1403715902.634058 1.4823297 -0.2354924 0.1225424 -0.0087371 0.1428666 0.0804200 0.9864306
1403715902.784058 1.4306662 -0.2199537 0.0744665 -0.0208010 0.1207868 0.0829056 0.9889917
1403715902.934058 1.3809799 -0.1986924 0.0376143 -0.0317651 0.0913654 0.0753582 0.9924538
1403715903.384058 1.2220976 -0.1538464 -0.0176181 -0.0394074 0.0141581 0.0286594 0.9987118
1403715903.584058 1.1533210 -0.1619920 -0.0221213 -0.0451378 -0.0244620 0.0218451 0.9984423
1403715903.784058 1.0843552 -0.2072727 -0.0149442 -0.0307759 -0.0762453 0.0075106 0.9965857
1403715903.984058 1.0153508 -0.2719840 -0.0049779 0.0007476 -0.1438135 -0.0069151 0.9895804
1403715904.134058 0.9681644 -0.3356270 0.0118042 0.0110483 -0.2028392 -0.0224252 0.9788929
1403715904.284058 0.9281029 -0.3796182 0.0270015 0.0213587 -0.2574630 -0.0537921 0.9645533
1403715904.434058 0.8967989 -0.4242299 0.0475388 0.0375338 -0.3087223 -0.0853925 0.9465674
1403715904.584058 0.8601462 -0.4473291 0.0660405 0.0561098 -0.3487141 -0.1144984 0.9285151
1403715904.734058 0.8227704 -0.4608584 0.0836913 0.0712106 -0.3935547 -0.1339832 0.9066930
1403715904.934058 0.7719302 -0.4643802 0.0971704 0.0659333 -0.4717512 -0.1391989 0.8681747
1403715905.034058 0.7502987 -0.4540358 0.1019118 0.0720299 -0.5111726 -0.1449532 0.8440988
1403715905.184058 0.7261006 -0.4232324 0.1193870 0.0931746 -0.5636006 -0.1555564 0.8059002
1403715905.284058 0.7128764 -0.4130229 0.1231909 0.0960256 -0.5891834 -0.1732275 0.7833481
1403715905.484058 0.7000271 -0.3664876 0.1269356 0.0819734 -0.6297944 -0.2131764 0.7424252
1403715905.584058 0.6999769 -0.3444368 0.1244341 0.0720909 -0.6511673 -0.2266649 0.7206991
1403715905.884058 0.7030383 -0.2773263 0.0976531 0.0257947 -0.7318386 -0.2452344 0.6353006
1403715905.984058 0.7044998 -0.2549989 0.0980090 0.0155048 -0.7564032 -0.2681724 0.5964037
1403715906.084058 0.7115819 -0.2336518 0.0923705 0.0163999 -0.7786741 -0.2910183 0.5556132
1403715906.184058 0.7028165 -0.2116702 0.0875834 0.0372892 -0.8032633 -0.3039354 0.5108824
1403715906.384058 0.6954493 -0.1773544 0.0628415 -0.0670985 0.8450446 0.3238889 -0.4201111
