#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520617234.358239 -0.0239013 -0.0107937 -0.0013806 -0.0512809 -0.0268858 0.0151074 0.9982080
1520617234.408241 -0.0261449 -0.0138249 -0.0005483 -0.0416119 -0.0292580 0.0130998 0.9986194
1520617234.458242 -0.0284850 -0.0163103 0.0006358 -0.0371661 -0.0329218 0.0126620 0.9986864
1520617234.508243 -0.0338056 -0.0154066 0.0010978 -0.0381418 -0.0348166 0.0129732 0.9985813
1520617234.558245 -0.0379646 -0.0161175 0.0019396 -0.0434054 -0.0387608 0.0144866 0.9982002
1520617234.608360 -0.0428743 -0.0146377 0.0033233 -0.0473806 -0.0417678 0.0175512 0.9978489
1520617234.658362 -0.0479643 -0.0202143 0.0058683 -0.0501778 -0.0421532 0.0196077 0.9976577
1520617234.708364 -0.0543257 -0.0218510 0.0072676 -0.0473830 -0.0422872 0.0211992 0.9977561
1520617234.758365 -0.0586720 -0.0242526 0.0106235 -0.0428164 -0.0439690 0.0213768 0.9978860
1520617234.808367 -0.0660880 -0.0258277 0.0128556 -0.0384039 -0.0454734 0.0214683 0.9979962
1520617234.858368 -0.0744224 -0.0288027 0.0165526 -0.0362828 -0.0487136 0.0216314 0.9979191
1520617234.908370 -0.0843603 -0.0300034 0.0188937 -0.0343291 -0.0520888 0.0208417 0.9978346
1520617234.958371 -0.0965910 -0.0305145 0.0211826 -0.0332304 -0.0548866 0.0190587 0.9977575
1520617235.008370 -0.1084791 -0.0310715 0.0229484 -0.0308954 -0.0586342 0.0173234 0.9976509
1520617235.058372 -0.1217669 -0.0323135 0.0245894 -0.0287156 -0.0653115 0.0193128 0.9972647
1520617235.108373 -0.1346421 -0.0340636 0.0252054 -0.0246273 -0.0743530 0.0250388 0.9966134
1520617235.158375 -0.1508533 -0.0351429 0.0243165 -0.0220360 -0.0834135 0.0308195 0.9957945
1520617235.208376 -0.1645723 -0.0351674 0.0244300 -0.0213764 -0.0935745 0.0372824 0.9946843
1520617235.258378 -0.1788312 -0.0347878 0.0244447 -0.0245846 -0.1021603 0.0429841 0.9935347
1520617235.308379 -0.1905128 -0.0325333 0.0222410 -0.0303740 -0.1094346 0.0486790 0.9923366
1520617235.358381 -0.2018617 -0.0316291 0.0206560 -0.0390372 -0.1162374 0.0522279 0.9910788
1520617235.408336 -0.2104055 -0.0283009 0.0188657 -0.0465851 -0.1218457 0.0536310 0.9900036
1520617235.458338 -0.2176409 -0.0239759 0.0172210 -0.0529127 -0.1254006 0.0543826 0.9892004
1520617235.508339 -0.2215412 -0.0211339 0.0142198 -0.0582404 -0.1279652 0.0544467 0.9885689
1520617235.558341 -0.2262732 -0.0155539 0.0118309 -0.0602412 -0.1280053 0.0561777 0.9883469
1520617235.608342 -0.2269594 -0.0107153 0.0090714 -0.0613123 -0.1260884 0.0591188 0.9883559
1520617235.658343 -0.2252175 -0.0090224 0.0064087 -0.0629386 -0.1228449 0.0636886 0.9883783
1520617235.708345 -0.2194303 -0.0057889 0.0048621 -0.0640158 -0.1203002 0.0686151 0.9882924
1520617235.758349 -0.2137448 -0.0020815 0.0020399 -0.0630507 -0.1149909 0.0715949 0.9887750
1520617235.808436 -0.2043805 0.0004845 0.0000741 -0.0613401 -0.1094851 0.0727047 0.9894263
1520617235.858438 -0.1927839 0.0043775 -0.0014779 -0.0571031 -0.1012496 0.0716304 0.9906346
1520617235.908439 -0.1791174 0.0070691 -0.0038092 -0.0521587 -0.0909718 0.0678652 0.9921683
1520617235.958444 -0.1646108 0.0076871 -0.0049428 -0.0488771 -0.0796756 0.0612442 0.9937364
1520617236.008442 -0.1476339 0.0102226 -0.0075845 -0.0485362 -0.0677391 0.0557172 0.9949629
1520617236.058444 -0.1321480 0.0123673 -0.0101320 -0.0518576 -0.0551014 0.0505858 0.9958493
1520617236.108472 -0.1119537 0.0139025 -0.0135145 -0.0560312 -0.0436267 0.0458576 0.9964207
1520617236.158447 -0.0940515 0.0167891 -0.0181521 -0.0580856 -0.0328866 0.0442655 0.9967874
1520617236.208462 -0.0752598 0.0182412 -0.0218678 -0.0583024 -0.0249033 0.0417762 0.9971135
1520617236.258463 -0.0551455 0.0188624 -0.0254260 -0.0585073 -0.0175197 0.0366326 0.9974608
1520617236.308465 -0.0372961 0.0226749 -0.0283022 -0.0573657 -0.0116416 0.0328168 0.9977458
1520617236.358466 -0.0208785 0.0223683 -0.0312632 -0.0581789 -0.0081444 0.0333156 0.9977169
1520617236.408468 -0.0036600 0.0215092 -0.0336834 -0.0604447 -0.0053004 0.0336044 0.9975916
1520617236.458469 0.0144289 0.0228408 -0.0362938 -0.0632276 0.0003275 0.0329042 0.9974565
1520617236.508471 0.0315085 0.0256307 -0.0365314 -0.0671583 0.0079086 0.0342055 0.9971245
1520617236.558472 0.0486626 0.0228540 -0.0361380 -0.0748154 0.0155270 0.0358757 0.9964309
1520617236.608474 0.0677612 0.0232051 -0.0355573 -0.0807426 0.0253490 0.0359029 0.9957656
1520617236.658486 0.0864744 0.0227681 -0.0346715 -0.0857204 0.0389783 0.0371977 0.9948613
1520617236.708487 0.1036404 0.0230106 -0.0304784 -0.0875020 0.0543916 0.0398285 0.9938806
1520617236.758489 0.1247520 0.0220131 -0.0278301 -0.0864855 0.0672292 0.0421741 0.9930870
1520617236.808490 0.1456399 0.0248916 -0.0234686 -0.0811430 0.0781134 0.0420516 0.9927466
1520617236.858492 0.1675612 0.0232661 -0.0199521 -0.0779121 0.0870851 0.0399019 0.9923476
1520617236.908493 0.1908384 0.0249801 -0.0154543 -0.0759064 0.0970265 0.0352542 0.9917566
1520617236.958495 0.2159684 0.0279865 -0.0139969 -0.0768782 0.1067941 0.0288690 0.9908841
1520617237.008497 0.2385406 0.0277368 -0.0092642 -0.0810749 0.1212634 0.0236373 0.9890214
1520617237.058559 0.2597091 0.0245976 -0.0066573 -0.0868286 0.1369532 0.0206633 0.9865484
1520617237.108560 0.2802987 0.0240246 -0.0033474 -0.0887564 0.1520661 0.0183804 0.9842054
1520617237.158562 0.3023583 0.0195066 -0.0021499 -0.0879934 0.1625996 0.0224319 0.9825046
1520617237.208563 0.3207404 0.0123245 0.0002461 -0.0850701 0.1713988 0.0299962 0.9810636
1520617237.258565 0.3386176 0.0090286 0.0032899 -0.0814755 0.1788900 0.0351174 0.9798607
1520617237.308566 0.3572754 0.0073877 0.0059004 -0.0781550 0.1847376 0.0367769 0.9789848
1520617237.358568 0.3746183 0.0066337 0.0080196 -0.0772660 0.1880312 0.0369022 0.9784235
1520617237.408569 0.3928748 0.0055992 0.0101162 -0.0766707 0.1869128 0.0360113 0.9787177
1520617237.458640 0.4084870 0.0035953 0.0138100 -0.0761704 0.1831690 0.0352651 0.9794915
1520617237.508641 0.4245444 0.0032246 0.0158604 -0.0707436 0.1739783 0.0361654 0.9815391
