#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520617230.108111 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
1520617234.358239 -0.0204943 -0.0089833 -0.0013762 -0.0512985 -0.0264433 0.0149310 0.9982216
1520617237.758703 0.4807970 -0.0108433 0.0370807 -0.0571258 0.1378801 0.0272906 0.9884235
1520617237.858612 0.4950689 -0.0288232 0.0475761 -0.0578381 0.1172169 0.0126248 0.9913403
1520617237.958615 0.5009211 -0.0468950 0.0575308 -0.0369155 0.0988726 -0.0008436 0.9944147
1520617243.709068 -0.0909672 -0.0228290 -0.0684762 -0.0570723 -0.5118675 0.0499362 0.8557107
1520617243.859073 -0.1240066 -0.0817979 -0.0619892 -0.0072079 -0.5373774 0.1297800 0.8332651
1520617248.408611 0.2697620 0.0553494 -0.0949874 -0.2327391 0.2769614 0.0916049 0.9277572
1520617248.509355 0.2928468 0.0584657 -0.1040661 -0.2535396 0.3119878 0.0504906 0.9142385
1520617248.609358 0.3126427 0.0478280 -0.1077189 -0.2507812 0.3453701 0.0003028 0.9043385
1520617248.909759 0.3109151 -0.0521912 -0.0776753 -0.1157292 0.3510617 -0.1185615 0.9215778
1520617250.659073 -0.1448520 -0.0887412 -0.0770809 -0.0195231 -0.5212722 0.1423585 0.8412064
1520617250.759076 -0.1274688 -0.1017406 -0.0568051 -0.0244189 -0.4611958 0.1482152 0.8744910
1520617253.308673 0.5059124 -0.1758883 0.1932259 0.3667714 -0.0354369 0.0502045 0.9282793
1520617261.309308 0.1699046 0.0253641 -0.2676787 -0.0677027 -0.0433900 0.0963580 0.9920931
1520617261.509314 0.1082227 0.0312773 -0.2833563 -0.0699128 -0.0251353 0.0820231 0.9938574
1520617261.809271 0.0176747 0.0201036 -0.2770014 -0.0266888 0.0281340 -0.0920036 0.9950033
1520617261.909275 -0.0273155 0.0136121 -0.2689872 -0.0165846 -0.0116514 -0.0831459 0.9963313
1520617262.159277 -0.1366629 0.0044265 -0.2591999 -0.0763811 -0.2040427 0.1235746 0.9681228
1520617263.309208 -0.2859375 -0.0428555 0.0180904 0.0666387 -0.1771390 0.0436896 0.9809548
1520617263.459214 -0.2580856 -0.0448586 0.0589246 0.0667635 -0.1806422 -0.0397792 0.9804737
