#TimeStamp Tx Ty Tz Qx Qy Qz Qw
3192924612.931166 0.0000995 -0.0220431 0.0403372 -0.0235756 -0.0071477 -0.0027754 0.9996927
3192924612.964168 0.0009651 -0.0253108 0.0468871 -0.0267735 -0.0081284 -0.0035841 0.9996021
3192924612.997167 -0.0003523 -0.0272074 0.0528007 -0.0288754 -0.0078943 -0.0033456 0.9995462
3192924613.030168 -0.0006624 -0.0302035 0.0595924 -0.0320209 -0.0086370 -0.0038876 0.9994423
3192924613.063168 0.0006536 -0.0333258 0.0648360 -0.0354454 -0.0106325 -0.0038815 0.9993075
3192924613.096169 -0.0003965 -0.0376558 0.0713322 -0.0388655 -0.0122073 -0.0045901 0.9991593
3192924613.129168 -0.0008188 -0.0402874 0.0770247 -0.0417720 -0.0143224 -0.0057438 0.9990080
3192924613.162169 -0.0022491 -0.0440603 0.0833052 -0.0456808 -0.0151613 -0.0061833 0.9988219
3192924613.195169 -0.0018293 -0.0489713 0.0893817 -0.0483241 -0.0164985 -0.0068016 0.9986722
3192924613.228169 -0.0023801 -0.0547575 0.0961678 -0.0512561 -0.0166708 -0.0074263 0.9985188
3192924613.261169 -0.0039762 -0.0591318 0.1027785 -0.0541566 -0.0159243 -0.0081544 0.9983722
3192924613.294170 -0.0034403 -0.0625654 0.1085395 -0.0557322 -0.0165166 -0.0085195 0.9982728
3192924613.327169 -0.0036474 -0.0662316 0.1147746 -0.0589821 -0.0167181 -0.0089653 0.9980788
3192924613.360171 -0.0037787 -0.0694756 0.1201014 -0.0634405 -0.0164244 -0.0082802 0.9978161
3192924613.393171 -0.0044301 -0.0739445 0.1260494 -0.0673336 -0.0155403 -0.0075424 0.9975810
3192924613.426171 -0.0045745 -0.0769521 0.1297557 -0.0709098 -0.0144144 -0.0063821 0.9973581
3192924613.459172 -0.0042024 -0.0824622 0.1344700 -0.0757999 -0.0124660 -0.0042171 0.9970362
3192924613.492172 -0.0041430 -0.0881206 0.1383499 -0.0788014 -0.0092744 -0.0023186 0.9968445
3192924613.525172 -0.0036992 -0.0924105 0.1418630 -0.0824749 -0.0058700 -0.0003369 0.9965758
3192924613.558173 -0.0041315 -0.0974583 0.1448296 -0.0858527 -0.0020068 0.0014247 0.9963048
3192924613.591172 -0.0053156 -0.1023312 0.1465714 -0.0870779 0.0016013 0.0036256 0.9961936
3192924613.624173 -0.0057802 -0.1067389 0.1470553 -0.0901927 0.0046372 0.0053092 0.9958994
3192924613.657173 -0.0066369 -0.1119128 0.1480439 -0.0935652 0.0074527 0.0071515 0.9955596
3192924613.690174 -0.0064759 -0.1204055 0.1476856 -0.0968038 0.0092236 0.0083815 0.9952254
3192924613.723173 -0.0086919 -0.1282936 0.1480373 -0.1005635 0.0119789 0.0093354 0.9948147
3192924613.756175 -0.0095559 -0.1336397 0.1471685 -0.1035334 0.0131201 0.0104063 0.9944850
3192924613.789175 -0.0106666 -0.1410249 0.1460196 -0.1055650 0.0137582 0.0108856 0.9942576
3192924613.822175 -0.0124751 -0.1467637 0.1432217 -0.1072842 0.0147812 0.0119027 0.9940472
3192924613.855175 -0.0128220 -0.1520261 0.1396875 -0.1101455 0.0158904 0.0138918 0.9936913
3192924613.888175 -0.0151599 -0.1576281 0.1377983 -0.1117235 0.0198123 0.0173094 0.9933910
3192924613.921175 -0.0145767 -0.1638119 0.1356430 -0.1138673 0.0234822 0.0208470 0.9929996
3192924613.954176 -0.0145468 -0.1668742 0.1331071 -0.1159527 0.0291746 0.0241550 0.9925323
3192924613.987176 -0.0148831 -0.1710784 0.1300614 -0.1138095 0.0358792 0.0279638 0.9924606
3192924614.020176 -0.0145854 -0.1759914 0.1279882 -0.1095290 0.0427898 0.0318612 0.9925509
3192924614.053177 -0.0151935 -0.1796819 0.1279291 -0.1067050 0.0503931 0.0357594 0.9923688
3192924614.086177 -0.0148837 -0.1816678 0.1280339 -0.1062531 0.0573593 0.0407816 0.9918453
3192924614.119177 -0.0171207 -0.1836721 0.1283174 -0.1048191 0.0660316 0.0449358 0.9912788
3192924614.152178 -0.0181191 -0.1878704 0.1296558 -0.1040570 0.0742835 0.0498293 0.9905409
3192924614.185178 -0.0178030 -0.1896794 0.1288311 -0.1030243 0.0822231 0.0550240 0.9897463
3192924614.218178 -0.0174768 -0.1904095 0.1289438 -0.1004072 0.0906283 0.0607992 0.9889430
3192924614.251178 -0.0164476 -0.1927944 0.1291466 -0.0975107 0.0994859 0.0664447 0.9880179
3192924614.284179 -0.0164050 -0.1943226 0.1296905 -0.0941850 0.1100557 0.0723136 0.9868068
3192924614.317178 -0.0153928 -0.1943984 0.1301540 -0.0910076 0.1217622 0.0793262 0.9851898
3192924614.350180 -0.0152986 -0.1956462 0.1306572 -0.0888617 0.1356620 0.0862942 0.9829816
3192924614.383179 -0.0133811 -0.1972767 0.1323575 -0.0855507 0.1505205 0.0931482 0.9804836
3192924614.416180 -0.0122195 -0.1979573 0.1335382 -0.0821479 0.1664275 0.0998724 0.9775373
3192924614.449181 -0.0102036 -0.2005597 0.1343502 -0.0794821 0.1816691 0.1057730 0.9744183
3192924614.482181 -0.0065269 -0.2023118 0.1350248 -0.0736249 0.1968608 0.1123731 0.9711835
3192924614.515181 -0.0049759 -0.2058699 0.1365752 -0.0692540 0.2128516 0.1172839 0.9675446
3192924614.548181 -0.0018537 -0.2049363 0.1396986 -0.0639149 0.2275207 0.1233457 0.9638128
3192924614.581181 0.0036818 -0.2064174 0.1395384 -0.0587878 0.2398085 0.1305164 0.9602090
3192924614.614182 0.0071324 -0.2081557 0.1376796 -0.0556362 0.2520288 0.1370074 0.9563551
3192924614.647182 0.0079738 -0.2072207 0.1391007 -0.0523036 0.2651939 0.1424550 0.9521781
3192924614.680182 0.0126104 -0.2083133 0.1389906 -0.0497067 0.2761112 0.1480799 0.9483482
3192924614.713182 0.0162565 -0.2099712 0.1387521 -0.0466082 0.2863175 0.1526527 0.9447471
3192924614.746183 0.0259516 -0.2190268 0.1337477 -0.0481484 0.2926841 0.1625623 0.9410586
3192924614.779183 0.0304071 -0.2218717 0.1372685 -0.0474531 0.3010269 0.1679664 0.9375064
3192924614.812183 0.0310688 -0.2186847 0.1413259 -0.0437523 0.3104195 0.1686958 0.9344876
3192924614.845184 0.0344683 -0.2179581 0.1454147 -0.0413194 0.3193183 0.1719649 0.9309976
3192924614.878184 0.0366906 -0.2177587 0.1495158 -0.0378871 0.3293107 0.1766483 0.9267763
3192924614.911184 0.0392257 -0.2157369 0.1474306 -0.0336289 0.3381752 0.1807797 0.9229438
3192924614.944185 0.0459943 -0.2137185 0.1499594 -0.0300249 0.3451543 0.1851610 0.9196099
3192924614.977185 0.0469909 -0.2140817 0.1533117 -0.0262833 0.3562749 0.1917704 0.9141124
3192924615.010185 0.0524711 -0.2135003 0.1591012 -0.0228746 0.3640132 0.1955337 0.9103503
