#TimeStamp Tx Ty Tz Qx Qy Qz Qw
3192924612.667164 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
3192924612.931166 -0.0006161 -0.0174963 0.0367071 -0.0221416 -0.0066989 -0.0025432 0.9997292
3192924613.360171 -0.0055618 -0.0699769 0.1160532 -0.0652506 -0.0153169 -0.0083795 0.9977161
3192924613.426171 -0.0053237 -0.0767723 0.1252301 -0.0725369 -0.0138075 -0.0062920 0.9972503
3192924613.591172 -0.0065327 -0.0987044 0.1406565 -0.0872194 0.0025551 0.0040247 0.9961777
3192924613.657173 -0.0074462 -0.1088772 0.1426579 -0.0941251 0.0081816 0.0074773 0.9954987
3192924614.713182 0.0185658 -0.2035268 0.1345208 -0.0476368 0.2847968 0.1519362 0.9452708
3192924614.779183 0.0246459 -0.2052778 0.1238376 -0.0416476 0.3011086 0.1651281 0.9382600
3192924614.812183 0.0292072 -0.2047886 0.1288190 -0.0401541 0.3091430 0.1689028 0.9350348
3192924615.175187 0.1033202 -0.2061891 0.1830832 -0.0106382 0.3888722 0.2135298 0.8961419
3192924615.307187 0.1357367 -0.2082462 0.2073815 -0.0014693 0.4166393 0.2234092 0.8811911
3192924615.406189 0.1522207 -0.2092763 0.2163601 0.0002139 0.4297923 0.2271509 0.8738884
3192924615.505189 0.1666669 -0.2123062 0.2128905 0.0099663 0.4432438 0.2271800 0.8670784
3192924616.924201 0.3219605 -0.3159509 0.3370262 0.1052998 0.6313473 0.1979106 0.7423907
3192924616.990203 0.3290872 -0.3216546 0.3469167 0.1086497 0.6354407 0.1941340 0.7394068
3192924617.716209 0.5070295 -0.3298634 0.3822625 0.1302709 0.6170311 0.1976254 0.7504973
3192924617.914210 0.5752850 -0.3391971 0.3791106 0.1282990 0.6146511 0.1962041 0.7531582
3192924619.663226 1.1054994 -0.4429523 0.6151969 0.1344245 0.6335613 0.1932618 0.7370075
3192924621.214240 1.6743131 -0.5276467 0.8113214 0.0922597 0.6494839 0.2088865 0.7252760
3192924621.280241 1.7055725 -0.5209463 0.8081270 0.0941029 0.6446251 0.2134491 0.7280403
3192924621.808245 1.9235903 -0.5355548 0.8124812 0.1049723 0.6265180 0.2046459 0.7446986
3192924622.204248 2.0547500 -0.5452983 0.8727803 0.0918499 0.6423920 0.1959930 0.7351753
3192924622.963254 2.3291225 -0.5996383 0.9700159 0.0706903 0.6685225 0.2207010 0.7066622
3192924623.194256 2.4263103 -0.5936888 0.9706478 0.0752134 0.6799952 0.2441248 0.6872790
3192924623.458259 2.5342462 -0.6050371 0.9642181 0.0981124 0.6879470 0.2594073 0.6706794
3192924624.184265 2.7406127 -0.6502184 1.0634508 0.0898554 0.7541215 0.2389406 0.6050901
3192924624.283265 2.7736678 -0.6751443 1.0870817 0.0980307 0.7657681 0.2284714 0.5931190
3192924624.877270 2.9774473 -0.6921571 1.1494108 0.0794472 0.7640105 0.2594405 0.5853773
3192924625.075273 3.0680916 -0.6850067 1.1405604 0.0916499 0.7622828 0.2601909 0.5855134
3192924625.999281 3.4228458 -0.7201141 1.2010520 0.0896459 0.7898491 0.2531427 0.5513809
3192924626.098282 3.4662027 -0.7356126 1.2154746 0.0883984 0.8007009 0.2462527 0.5389095
3192924626.329285 3.5531504 -0.7489073 1.2368424 0.0697128 0.8137196 0.2496692 0.5202554
3192924627.682298 4.0270653 -0.7086007 1.1511737 0.0831364 0.8476900 0.2711618 0.4483095
3192924628.111301 4.2109199 -0.7437860 1.2209328 0.0871913 0.8827698 0.2564577 0.3838551
3192924628.804308 4.4364634 -0.7087955 1.1851825 0.0932572 0.8804850 0.2861679 0.3662747
3192924629.497315 4.6581683 -0.6807378 1.1160382 0.0542604 0.8922855 0.2981751 0.3346252
3192924629.695317 4.7344270 -0.6624106 1.1083155 0.0471338 0.8996112 0.2995422 0.3142492
3192924629.992320 4.8639231 -0.6624952 1.0908506 0.0359971 0.9161256 0.2811489 0.2835020
3192924630.289322 4.9538736 -0.6452460 1.0550066 0.0240460 0.9179522 0.2927714 0.2665904
3192924631.576333 5.2658086 -0.4955081 0.7881472 0.0174698 0.9091388 0.3408728 0.2386780
3192924631.873335 5.3643913 -0.4928597 0.7401178 0.0070167 0.9350219 0.3286760 0.1328790
3192924632.137337 5.4219503 -0.4732792 0.6953998 -0.0071479 0.9496168 0.3112945 0.0356733
3192924632.797342 5.5008807 -0.3865450 0.5574241 -0.0020848 0.9406332 0.3373028 0.0378372
3192924632.863343 5.5055103 -0.3771942 0.5349219 0.0029074 0.9387250 0.3412406 0.0483919
3192924633.061345 5.5263395 -0.3563387 0.4826704 0.0124095 0.9361197 0.3419081 0.0813925
3192924633.457347 5.5952525 -0.3128842 0.4063848 0.0063593 0.9210754 0.3569341 0.1554921
3192924633.556348 5.6164541 -0.3074613 0.3900385 0.0003832 0.9172435 0.3614118 0.1674686
3192924634.051353 5.7902613 -0.2522523 0.2931739 -0.0076524 0.9073445 0.3637517 0.2105992
3192924634.150353 5.8290544 -0.2542592 0.2702940 -0.0080339 0.9076995 0.3594437 0.2163730
3192924634.381355 5.9058561 -0.2683628 0.2116345 0.0009390 0.9142485 0.3336783 0.2297991
3192924635.371362 6.0697021 -0.1603045 -0.0583823 0.0271840 0.9114104 0.3157907 0.2624279
3192924635.767365 6.1789412 -0.1170754 -0.1190262 0.0104866 0.9147316 0.3184026 0.2485476
3192924636.427371 6.3992000 -0.0730093 -0.2231262 0.0009944 0.9261982 0.3182487 0.2021722
3192924636.691373 6.4583335 -0.0358579 -0.2801160 -0.0024322 0.9212427 0.3382463 0.1920816
3192924636.823374 6.4837637 -0.0155936 -0.3174301 -0.0010984 0.9193160 0.3451856 0.1889547
3192924637.021376 6.5331120 0.0061320 -0.3956414 0.0080384 0.9182355 0.3527158 0.1799176
3192924637.879384 6.7615943 0.0363215 -0.5584379 0.0010874 0.9281178 0.3310143 0.1703693
