#TimeStamp Tx Ty Tz Qx Qy Qz Qw
2.900000 0.0216967 0.0043456 -0.0054788 0.0079322 0.0673002 -0.0106669 0.9976442
2.933333 0.0230625 0.0038290 -0.0041774 0.0071322 0.0703440 -0.0114817 0.9974312
2.966667 0.0213476 0.0037733 -0.0051737 0.0070034 0.0746302 -0.0118970 0.9971157
3.000000 0.0209185 0.0040182 -0.0055353 0.0073124 0.0784884 -0.0130976 0.9968022
3.033333 0.0208390 0.0038764 -0.0052874 0.0071513 0.0816177 -0.0147361 0.9965291
3.066667 0.0208590 0.0038383 -0.0052768 0.0066724 0.0847699 -0.0160481 0.9962490
3.100000 0.0195149 0.0039061 -0.0055796 0.0055977 0.0889093 -0.0157272 0.9958998
3.133333 0.0200017 0.0042568 -0.0052460 0.0048535 0.0930762 -0.0156731 0.9955238
3.166667 0.0201981 0.0041264 -0.0057730 0.0040909 0.0972194 -0.0150095 0.9951414
3.200000 0.0216496 0.0048405 -0.0059137 0.0047102 0.1002037 -0.0153437 0.9948375
3.233333 0.0283732 0.0050805 -0.0056081 0.0048692 0.0999516 -0.0148562 0.9948695
3.266667 0.0306627 0.0055010 -0.0051305 0.0044807 0.1018317 -0.0135807 0.9946988
3.300000 0.0312323 0.0052620 -0.0049718 0.0044320 0.1048798 -0.0133216 0.9943858
3.333333 0.0325321 0.0063399 -0.0051168 0.0049114 0.1070522 -0.0124877 0.9941629
3.366667 0.0338544 0.0047510 -0.0043830 0.0034648 0.1085102 -0.0112728 0.9940254
3.400000 0.0354226 0.0054573 -0.0039510 0.0041935 0.1096162 -0.0113094 0.9939008
3.433333 0.0364678 0.0058218 -0.0041531 0.0043088 0.1105366 -0.0111020 0.9938007
3.466667 0.0406893 0.0068446 -0.0035926 0.0043180 0.1100558 -0.0101454 0.9938642
3.500000 0.0426533 0.0069801 -0.0039734 0.0039901 0.1102464 -0.0093720 0.9938521
3.533333 0.0460064 0.0072413 -0.0042572 0.0039909 0.1100428 -0.0089054 0.9938790
3.566667 0.0479386 0.0066139 -0.0031089 0.0034619 0.1101222 -0.0085103 0.9938756
3.600000 0.0519325 0.0068303 -0.0030593 0.0046836 0.1101794 -0.0086258 0.9938632
3.633333 0.0507988 0.0069301 -0.0020156 0.0055092 0.1113481 -0.0098531 0.9937174
3.666667 0.0536694 0.0061919 -0.0018340 0.0047282 0.1108814 -0.0098778 0.9937733
3.700000 0.0555488 0.0061766 -0.0017581 0.0046706 0.1110155 -0.0103621 0.9937537
3.733333 0.0562034 0.0063891 -0.0007341 0.0058361 0.1113433 -0.0103534 0.9937109
3.766667 0.0601274 0.0059894 -0.0005583 0.0064071 0.1106376 -0.0105319 0.9937844
3.800000 0.0632796 0.0063711 0.0000928 0.0074973 0.1109150 -0.0106893 0.9937441
3.833333 0.0635701 0.0051709 0.0003859 0.0076597 0.1129296 -0.0113343 0.9935088
3.866667 0.0662378 0.0048173 0.0002092 0.0091246 0.1141625 -0.0122246 0.9933450
3.900000 0.0661403 0.0045689 0.0002563 0.0114826 0.1165858 -0.0131751 0.9930269
3.933333 0.0685093 0.0053870 0.0018248 0.0136688 0.1175220 -0.0144608 0.9928709
3.966667 0.0722410 0.0060212 0.0034412 0.0144046 0.1179856 -0.0138609 0.9928141
4.000000 0.0754916 0.0068357 0.0034196 0.0147414 0.1195003 -0.0132775 0.9926359
4.033333 0.0767189 0.0066907 0.0036248 0.0154763 0.1224151 -0.0123947 0.9922809
