#TimeStamp Tx Ty Tz Qx Qy Qz Qw
2.266667 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
2.900000 0.0153670 0.0028306 -0.0045648 0.0074945 0.0687489 -0.0103015 0.9975526
2.966667 0.0162908 0.0027178 -0.0045889 0.0066053 0.0759215 -0.0113378 0.9970275
3.966667 0.0687587 0.0069012 0.0025095 0.0152188 0.1163080 -0.0140513 0.9929972
7.300000 0.1233893 0.0441503 0.1891524 -0.0219527 0.0786692 0.0134913 0.9965677
7.366667 0.1223352 0.0445225 0.1923166 -0.0217860 0.0802702 0.0140533 0.9964359
8.733333 0.0951616 0.0601537 0.2796676 -0.0150489 0.0320789 0.0270239 0.9990066
9.333333 0.0788250 0.0662570 0.3104578 -0.0116928 0.0173576 0.0305078 0.9993154
9.866667 0.0609631 0.0706783 0.3331443 -0.0110101 0.0176781 0.0348849 0.9991743
10.866667 0.0370788 0.0761220 0.3861056 0.0015355 -0.0791302 0.0688002 0.9944861
11.200000 0.0298845 0.0778370 0.4002167 -0.0064565 -0.1325499 0.0818142 0.9877729
11.433333 0.0213555 0.0802705 0.4094157 -0.0078731 -0.1638693 0.0955119 0.9818158
11.833333 0.0058728 0.0807818 0.4206207 -0.0152549 -0.2100825 0.1097073 0.9713892
11.933333 0.0006502 0.0817335 0.4238351 -0.0150325 -0.2183299 0.1106495 0.9694652
12.233333 -0.0227088 0.0842943 0.4318895 -0.0232266 -0.2419420 0.1118935 0.9635375
12.600000 -0.0465903 0.0837829 0.4344581 -0.0264392 -0.2677051 0.1132379 0.9564581
13.766667 -0.1086782 0.0800802 0.4506437 -0.0240335 -0.3941256 0.1430877 0.9075314
14.733333 -0.1525718 0.0779096 0.4607165 -0.0285670 -0.5340835 0.1624354 0.8291885
15.200000 -0.1730475 0.0764119 0.4650226 -0.0194515 -0.5810756 0.1620891 0.7973079
15.600000 -0.1894519 0.0745814 0.4682775 -0.0017782 -0.6110278 0.1591931 0.7754350
16.200000 -0.2023124 0.0706643 0.4712170 0.0360410 -0.6605386 0.1825169 0.7273771
16.433333 -0.2040680 0.0679843 0.4715313 0.0377670 -0.6836069 0.1922047 0.7030737
17.266667 -0.2132803 0.0685574 0.4734788 0.0242243 -0.7753732 0.2050204 0.5968050
