#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520437769.068617 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
1520437771.418685 0.0337882 0.0018584 -0.0041398 0.0127653 0.0176883 0.0212917 0.9995353
1520437788.919108 -0.1464495 -0.1088598 0.2494182 0.2059035 0.0804210 0.0064319 0.9752409
1520437789.019111 -0.1279715 -0.1286423 0.2486537 0.2156719 0.0761621 0.0105940 0.9734334
1520437789.119114 -0.1086317 -0.1399333 0.2449945 0.2215904 0.0579381 0.0064341 0.9733958
1520437799.419827 -0.2178798 -0.0437002 -0.1923796 -0.0022827 -0.3807609 0.1046523 0.9187295
1520437801.019991 -0.3122922 -0.0535069 -0.2184647 -0.0022645 -0.4177964 0.1695991 0.8925678
1520437804.819720 -0.2048225 0.0547793 -0.2088096 -0.0370862 -0.3032079 0.0526354 0.9507466
1520437809.320060 0.5630554 -0.0168868 -0.1143447 0.0914085 0.2473424 -0.0739325 0.9617693
1520437810.519858 0.0964172 0.0396636 -0.2069359 -0.0557521 -0.3623104 0.0410754 0.9294814
1520437812.070326 -0.1383898 -0.0086426 -0.0504888 -0.0565445 -0.4307777 0.1150194 0.8933106
1520437813.270363 -0.2973909 0.0713011 0.0483866 -0.1105153 -0.3326120 0.0270627 0.9361748
1520437813.420367 -0.3397149 0.0088737 0.0214350 -0.0885022 -0.3875384 0.1077227 0.9112503
1520437813.570372 -0.3474795 -0.0660069 0.0324717 0.0291442 -0.3721055 0.1825268 0.9096000
1520437813.720249 -0.3284377 -0.1159195 0.0628045 0.1685950 -0.2954510 0.1950292 0.9199174
1520437818.020241 0.5478232 -0.0107753 -0.0288591 0.0176863 0.3255379 -0.0950415 0.9405739
1520437818.170415 0.5562795 -0.0679123 -0.0025698 0.1090949 0.3139960 -0.1388389 0.9328604
1520437818.470425 0.4939901 -0.0781034 0.0737123 0.1906649 0.2002326 -0.1540936 0.9485826
1520437821.920512 -0.2167266 -0.0599598 -0.1648870 0.1243115 -0.4367083 0.1409857 0.8797475
1520437828.670380 -0.0047558 0.0150870 0.0422737 0.0329186 0.4100164 0.1212193 0.9033874
1520437830.120560 -0.0786161 0.0180588 -0.0522487 0.0129703 0.2940230 -0.0011389 0.9557096
1520437831.220588 0.0844737 0.0135422 0.0194998 0.0356524 0.3661047 0.0259000 0.9295297
1520437834.370738 0.2483459 0.0074174 0.0128559 0.0622803 -0.3488146 -0.0531134 0.9336104
1520437834.570657 0.1918381 0.0033562 -0.0196230 0.0641025 -0.4470082 -0.0177486 0.8920535
1520437834.770663 0.1584060 -0.0015445 -0.0340949 0.0754432 -0.4156264 0.0543084 0.9047727
1520437837.620816 0.1487896 0.0282315 -0.0254237 0.0244003 0.2123291 0.0083411 0.9768579
1520437838.670764 0.3354577 0.0124193 0.1454774 0.0697488 0.1481812 -0.0152980 0.9863790
1520437842.220917 0.4170188 0.0311342 0.1663870 0.0182228 0.1332225 0.0094342 0.9908737
1520437842.371000 0.4454531 0.0322330 0.1859839 0.0119221 0.1733329 0.0075989 0.9847618
1520437842.671010 0.5084299 0.0351429 0.2455915 0.0184132 0.2389718 -0.0096925 0.9708035
1520437842.821231 0.5367415 0.0257444 0.2792476 0.0345505 0.2505777 -0.0269405 0.9671046
1520437842.971238 0.5637091 0.0265172 0.3121118 0.0348486 0.2635056 -0.0221434 0.9637738
1520437843.121342 0.5915043 0.0332005 0.3504528 0.0360160 0.2605183 -0.0199862 0.9645898
1520437843.271347 0.6206278 0.0354693 0.3931117 0.0367351 0.2467625 -0.0156566 0.9682529
1520437843.421351 0.6453959 0.0290915 0.4379931 0.0448107 0.2264123 -0.0240784 0.9727023
1520437843.571796 0.6664276 0.0261251 0.4857476 0.0391656 0.1948757 -0.0340414 0.9794543
1520437843.721800 0.6881351 0.0300862 0.5357621 0.0499777 0.1867892 -0.0341921 0.9805319
1520437843.821803 0.7032440 0.0302924 0.5683483 0.0551905 0.1925239 -0.0304758 0.9792649
1520437843.922352 0.7169429 0.0272062 0.6016116 0.0531118 0.1923253 -0.0277978 0.9794986
1520437844.022355 0.7283363 0.0227615 0.6340931 0.0609838 0.1865043 -0.0311485 0.9800647
1520437844.122358 0.7378865 0.0226590 0.6664946 0.0543078 0.1767322 -0.0209431 0.9825364
1520437844.222361 0.7484430 0.0252598 0.7020880 0.0634867 0.1630699 -0.0200946 0.9843647
1520437844.322622 0.7572848 0.0293146 0.7388961 0.0721738 0.1403086 -0.0259530 0.9871327
1520437844.422626 0.7672025 0.0303497 0.7749712 0.0739641 0.1124627 -0.0241892 0.9906040
1520437844.622632 0.7768753 0.0187367 0.8405037 0.0596569 0.0464963 -0.0192933 0.9969488
1520437844.722684 0.7763144 0.0171746 0.8742456 0.0604752 0.0107884 -0.0258004 0.9977779
1520437844.822687 0.7715005 0.0249652 0.9110155 0.0692065 -0.0143245 -0.0297365 0.9970562
1520437844.922781 0.7680064 0.0292845 0.9453356 0.0690838 -0.0358678 -0.0326214 0.9964320
1520437845.022693 0.7578353 0.0244361 0.9793178 0.0585266 -0.0595407 -0.0326426 0.9959739
1520437845.122696 0.7480108 0.0188356 1.0089482 0.0650832 -0.0952617 -0.0284953 0.9929136
1520437845.223310 0.7316167 0.0223213 1.0372685 0.0650431 -0.1322680 -0.0233096 0.9888029
1520437845.323313 0.7126902 0.0271894 1.0685065 0.0678324 -0.1727165 -0.0231711 0.9823599
1520437845.523320 0.6635104 0.0402352 1.1190844 0.0766778 -0.2782871 -0.0147999 0.9573180
1520437845.626336 0.6367303 0.0374485 1.1390437 0.0630135 -0.3334218 -0.0077401 0.9406377
1520437845.676337 0.6244450 0.0338301 1.1462682 0.0666703 -0.3625956 -0.0059111 0.9295400
1520437845.776341 0.5942307 0.0329970 1.1592970 0.0630630 -0.4212620 -0.0070581 0.9047163
1520437846.079830 0.4976404 0.0365141 1.1922711 0.0736322 -0.5122469 0.0160855 0.8555248
1520437846.279836 0.4427982 0.0272290 1.2063234 0.0758668 -0.5517415 0.0295598 0.8300312
1520437846.379839 0.4144557 0.0300220 1.2134361 0.0620881 -0.5721563 0.0317023 0.8171763
1520437846.579845 0.3550287 0.0413704 1.2271099 0.0553670 -0.6074728 0.0360500 0.7915881
1520437846.779852 0.2934726 0.0372868 1.2366204 0.0534457 -0.6494346 0.0421821 0.7573631
1520437846.879855 0.2645171 0.0339182 1.2370235 0.0463772 -0.6702134 0.0407104 0.7395984
1520437846.979858 0.2340441 0.0324476 1.2356187 0.0455826 -0.6834619 0.0457328 0.7271248
1520437847.079861 0.2019749 0.0361010 1.2325301 0.0470771 -0.6888975 0.0503263 0.7215756
1520437847.379870 0.1092096 0.0311713 1.2285496 0.0472055 -0.6887982 0.0541259 0.7213869
1520437847.479874 0.0806559 0.0282468 1.2285615 0.0416532 -0.6856516 0.0641665 0.7238989
1520437847.579877 0.0502659 0.0315719 1.2278559 0.0312917 -0.6851240 0.0584271 0.7254048
1520437848.079892 -0.1117340 0.0293272 1.2183264 0.0333143 -0.7098253 0.0587071 0.7011359
1520437848.179895 -0.1439179 0.0324522 1.2139311 0.0432197 -0.7135028 0.0601009 0.6967307
1520437848.329900 -0.1933149 0.0352569 1.2060217 0.0443077 -0.7136139 0.0668943 0.6959289
1520437848.779914 -0.3185134 0.0306602 1.1849923 0.0318261 -0.7105733 0.0572687 0.7005661
1520437848.879917 -0.3487805 0.0343021 1.1833324 0.0362413 -0.7119890 0.0581180 0.6988422
1520437848.979920 -0.3794032 0.0360162 1.1835690 0.0356486 -0.7129610 0.0609820 0.6976367
