#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520530965.400303 -0.0288408 0.0047617 -0.0074304 -0.0278681 -0.0521956 0.0219938 0.9980056
1520530965.450306 -0.0288749 0.0041889 -0.0069863 -0.0276009 -0.0524367 0.0218431 0.9980037
1520530965.500314 -0.0295406 0.0010995 -0.0075098 -0.0286872 -0.0528746 0.0221521 0.9979432
1520530965.550309 -0.0275964 0.0020534 -0.0060247 -0.0294202 -0.0542808 0.0224976 0.9978386
1520530965.600310 -0.0277318 0.0009167 -0.0065931 -0.0322138 -0.0546753 0.0240771 0.9976940
1520530965.650312 -0.0276864 0.0006100 -0.0055205 -0.0337373 -0.0541084 0.0260241 0.9976256
1520530965.700313 -0.0267638 0.0009258 -0.0054977 -0.0336277 -0.0530344 0.0267655 0.9976674
1520530965.750315 -0.0269421 -0.0002825 -0.0048068 -0.0334951 -0.0525509 0.0273805 0.9976807
1520530965.800317 -0.0267856 -0.0008978 -0.0044626 -0.0333349 -0.0525340 0.0269510 0.9976987
1520530965.850329 -0.0267665 -0.0014808 -0.0040376 -0.0329406 -0.0520746 0.0262213 0.9977553
1520530965.900331 -0.0256737 -0.0014731 -0.0038088 -0.0327993 -0.0527457 0.0255450 0.9977422
1520530965.950332 -0.0255429 -0.0008193 -0.0042236 -0.0328931 -0.0536233 0.0249776 0.9977067
1520530966.000334 -0.0254296 0.0002365 -0.0047746 -0.0329081 -0.0529078 0.0257567 0.9977246
1520530966.050335 -0.0257458 -0.0010103 -0.0043753 -0.0358571 -0.0515681 0.0287232 0.9976121
1520530966.100337 -0.0243957 -0.0007324 -0.0039750 -0.0381390 -0.0513231 0.0306160 0.9974838
1520530966.150339 -0.0242598 -0.0008711 -0.0036756 -0.0411253 -0.0495052 0.0314150 0.9974322
1520530966.200340 -0.0232679 -0.0034151 -0.0023029 -0.0436930 -0.0496818 0.0324714 0.9972804
1520530966.250354 -0.0223236 -0.0044759 -0.0015225 -0.0434996 -0.0517539 0.0354199 0.9970831
1520530966.300354 -0.0223454 -0.0061385 -0.0004144 -0.0409833 -0.0518089 0.0384963 0.9970728
1520530966.350357 -0.0222619 -0.0066840 0.0001976 -0.0367731 -0.0508361 0.0401886 0.9972203
1520530966.400357 -0.0212599 -0.0091274 0.0017730 -0.0307331 -0.0499667 0.0442444 0.9972970
1520530966.450360 -0.0202246 -0.0122391 0.0034747 -0.0226217 -0.0480867 0.0485309 0.9974070
1520530966.500362 -0.0190542 -0.0179014 0.0066937 -0.0143920 -0.0449102 0.0519968 0.9975331
1520530966.550363 -0.0047979 -0.0135253 0.0168029 -0.0009223 -0.0481208 0.0542263 0.9973680
1520530966.600366 0.0033203 -0.0169951 0.0227786 0.0062344 -0.0490030 0.0587334 0.9970508
1520530966.650339 0.0109138 -0.0240197 0.0299050 0.0114409 -0.0480794 0.0620271 0.9968501
1520530966.700341 0.0217830 -0.0244911 0.0367192 0.0207480 -0.0445009 0.0580327 0.9971065
1520530966.750344 0.0355488 -0.0302065 0.0433369 0.0273216 -0.0402522 0.0533188 0.9973918
1520530966.800344 0.0491305 -0.0340441 0.0491856 0.0369266 -0.0379595 0.0517155 0.9972568
1520530966.850345 0.0669881 -0.0367991 0.0552922 0.0482490 -0.0398014 0.0504717 0.9967650
1520530966.900348 0.0805057 -0.0414231 0.0616954 0.0581541 -0.0364874 0.0482119 0.9964750
1520530966.950350 0.0988208 -0.0451275 0.0662287 0.0638029 -0.0372722 0.0427036 0.9963515
1520530967.000350 0.1165856 -0.0541739 0.0670570 0.0648941 -0.0376417 0.0391669 0.9964125
1520530967.050353 0.1317525 -0.0643284 0.0694368 0.0680485 -0.0347582 0.0366364 0.9964030
1520530967.100197 0.1505024 -0.0699141 0.0715479 0.0754061 -0.0319070 0.0308225 0.9961656
1520530967.150194 0.1657465 -0.0793628 0.0729920 0.0819958 -0.0244209 0.0259394 0.9959957
1520530967.200196 0.1833405 -0.0875916 0.0739920 0.0922978 -0.0131392 0.0200209 0.9954435
1520530967.250197 0.1999541 -0.0902428 0.0773786 0.1045019 0.0002428 0.0176450 0.9943681
1520530967.300199 0.2187670 -0.0974228 0.0788464 0.1110066 0.0155070 0.0121304 0.9936246
1520530967.350200 0.2359251 -0.1022081 0.0798105 0.1133002 0.0335841 0.0055537 0.9929775
1520530967.400203 0.2543743 -0.1050863 0.0805042 0.1131761 0.0520211 -0.0043027 0.9922028
1520530967.450203 0.2685553 -0.1093793 0.0788907 0.1126771 0.0701743 -0.0146647 0.9910421
1520530967.500070 0.2829190 -0.1087894 0.0786912 0.1176920 0.0869270 -0.0282930 0.9888335
1520530967.550071 0.2986103 -0.1116339 0.0759723 0.1188872 0.1004996 -0.0439012 0.9868325
1520530967.600073 0.3126729 -0.1052171 0.0742853 0.1196807 0.1118201 -0.0580470 0.9847859
1520530967.650074 0.3230305 -0.0994930 0.0709555 0.1107636 0.1222260 -0.0641675 0.9842128
1520530967.700076 0.3312415 -0.0910601 0.0682763 0.0936716 0.1319501 -0.0645773 0.9847053
1520530967.750078 0.3385096 -0.0825480 0.0647344 0.0726058 0.1415447 -0.0608100 0.9853911
1520530967.800079 0.3448235 -0.0706737 0.0612136 0.0562013 0.1508121 -0.0567706 0.9853295
1520530967.850081 0.3466924 -0.0594276 0.0590183 0.0421356 0.1601665 -0.0537115 0.9847265
1520530967.900036 0.3495006 -0.0458869 0.0556834 0.0335163 0.1663034 -0.0543023 0.9840077
1520530967.950038 0.3500440 -0.0359698 0.0531845 0.0228434 0.1719039 -0.0549841 0.9833127
1520530968.000039 0.3468685 -0.0243107 0.0509909 0.0113286 0.1749278 -0.0558554 0.9829304
1520530968.050041 0.3420997 -0.0136227 0.0476761 -0.0022934 0.1755215 -0.0567005 0.9828387
1520530968.100043 0.3347401 -0.0007210 0.0473239 -0.0146721 0.1757874 -0.0566117 0.9826895
1520530968.150045 0.3242211 0.0109440 0.0462709 -0.0257004 0.1748756 -0.0500153 0.9829835
1520530968.200046 0.3126550 0.0210000 0.0458414 -0.0344703 0.1715623 -0.0419750 0.9836749
