#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520530962.750149 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
1520530965.400303 -0.0180229 -0.0001112 -0.0049746 -0.0297677 -0.0521720 0.0212427 0.9979683
1520530971.750724 0.4173245 0.0205749 -0.0011333 -0.1188624 0.0043459 0.0100097 0.9928508
1520530972.051132 0.5157057 0.0060349 -0.0282510 -0.1064136 0.0626902 -0.0937769 0.9879028
1520530972.151135 0.5337179 -0.0128406 -0.0287366 -0.0828322 0.0637449 -0.1577107 0.9819382
1520530972.251138 0.5376787 -0.0322563 -0.0251705 -0.0406755 0.0425404 -0.2206960 0.9735652
1520530972.750734 0.3860625 -0.0485755 -0.0247046 0.0667069 -0.3351719 -0.3766165 0.8610285
1520530972.950492 0.2931509 -0.0344798 -0.0477277 0.0504075 -0.4367737 -0.2085176 0.8736179
1520530973.050495 0.2545366 -0.0361653 -0.0572348 0.0345380 -0.4493283 -0.1027766 0.8867627
1520530973.150498 0.2243567 -0.0374659 -0.0625657 -0.0013031 -0.4310211 -0.0159618 0.9021997
1520530973.350712 0.1834771 -0.0429375 -0.0587544 -0.1212403 -0.3254305 0.1648670 0.9231547
1520530975.050719 0.0270356 -0.0282190 0.0141107 -0.1661145 -0.3853462 -0.1013896 0.9020169
1520530975.150722 0.0080309 -0.0334869 0.0112972 -0.2134290 -0.3609576 0.0270175 0.9074292
1520530975.251275 -0.0004429 -0.0404050 0.0175054 -0.2461852 -0.2960506 0.1517337 0.9103427
1520530975.951382 0.2169699 -0.0690024 0.0580985 0.0673824 0.4892996 0.1928089 0.8478622
1520530976.351177 0.2626515 -0.0931513 0.0543830 -0.0199906 0.4527245 -0.2221727 0.8632962
1520530978.151437 0.2855024 -0.0643299 0.0652253 -0.0078487 0.4813708 0.1221604 0.8679271
1520530978.251440 0.3043829 -0.0760279 0.0565652 -0.0131570 0.4907693 0.0518919 0.8696434
1520530978.451446 0.3204075 -0.1044283 0.0496303 0.0011298 0.4399242 -0.0925629 0.8932511
1520530987.851059 0.0925853 -0.0369969 0.1196877 0.0086034 0.0027577 0.0344258 0.9993664
1520530988.151252 0.1004086 -0.0328385 0.1566956 0.0201905 -0.0630266 0.0246515 0.9975030
1520530988.301257 0.1093411 -0.0312768 0.1768282 0.0620372 -0.0914572 0.0195360 0.9936827
