#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1403638522.227829  0.0756422 -0.0807494 -0.0184558 -0.0062290 -0.0034124  0.7044976  0.7096709
1403638522.277829  0.1340694 -0.0831108 -0.0347415 -0.0029821 -0.0054201  0.7069229  0.7072636
1403638522.327830  0.2074232 -0.0809173 -0.0521919  0.0004954 -0.0085774  0.7098474  0.7043031
1403638522.377830  0.2928940 -0.0751086 -0.0719674  0.0016231 -0.0141064  0.7129927  0.7010277
1403638522.427830  0.3863327 -0.0679750 -0.0925865  0.0014464 -0.0227272  0.7166015  0.6971110
1403638522.477829  0.4865167 -0.0588996 -0.1114119 -0.0006930 -0.0335043  0.7214778  0.6916262
1403638522.527829  0.5872435 -0.0477950 -0.1260319 -0.0047803 -0.0447525  0.7264887  0.6857029
1403638522.577830  0.6919317 -0.0359203 -0.1389153 -0.0076092 -0.0560420  0.7323028  0.6786265
1403638522.627830  0.7957300 -0.0185136 -0.1425558 -0.0089627 -0.0648510  0.7368244  0.6729069
1403638522.677830  0.9022898 -0.0027106 -0.1452760 -0.0091410 -0.0704542  0.7382787  0.6707437
1403638522.727829  1.0076650  0.0126319 -0.1413376 -0.0082419 -0.0751876  0.7393349  0.6690760
1403638522.777829  1.1213847  0.0256408 -0.1367293 -0.0073660 -0.0802092  0.7419613  0.6655867
1403638522.827830  1.2384869  0.0401908 -0.1276945 -0.0067876 -0.0868854  0.7469404  0.6591547
1403638522.877830  1.3568483  0.0602158 -0.1182624 -0.0065617 -0.0932076  0.7541238  0.6500512
1403638522.927830  1.4391764  0.0355581 -0.1004244 -0.0078778 -0.0934141  0.7604302  0.6426178
1403638522.977829  1.5477769  0.0511968 -0.0841790 -0.0103485 -0.0970384  0.7649712  0.6366282
1403638523.027829  1.5503819  0.0533534 -0.0818716 -0.0079211 -0.0944598  0.7665796  0.6351144
1403638523.077830  1.5880933  0.0482474 -0.0810888 -0.0095513 -0.0940523  0.7670931  0.6345322
1403638523.127830  1.5994180  0.0474570 -0.0804357 -0.0090567 -0.0936860  0.7675059  0.6340943
1403638523.177830  1.6039845  0.0521728 -0.0790239 -0.0090262 -0.0927057  0.7674459  0.6343114
1403638523.227829  1.6078407  0.0508920 -0.0803999 -0.0101226 -0.0897824  0.7662599  0.6361465
1403638523.277829  1.6039076  0.0533417 -0.0830445 -0.0116824 -0.0848579  0.7638630  0.6396687
1403638523.327830  1.5997093  0.0549315 -0.0862585 -0.0126341 -0.0820883  0.7628303  0.6412424
1403638523.377830  1.5946954  0.0552749 -0.0915666 -0.0134083 -0.0815991  0.7621571  0.6420891
1403638523.427830  1.5847980  0.0579754 -0.0909664 -0.0151821 -0.0826892  0.7605349  0.6438312
1403638523.477829  1.5706196  0.0632029 -0.0943064 -0.0182204 -0.0858061  0.7580151  0.6463114
1403638523.527829  1.5658558  0.0595422 -0.0970314 -0.0243746 -0.0907071  0.7547361  0.6492700
1403638523.577830  1.5385414  0.0571639 -0.1016684 -0.0301802 -0.0956309  0.7509101  0.6527464
1403638523.627830  1.4804076  0.0466556 -0.1075875 -0.0353815 -0.0979495  0.7464107  0.6572861
1403638523.677830  1.4253064  0.0416877 -0.1134432 -0.0388781 -0.0999041  0.7425185  0.6611913
1403638523.727829  1.2806660  0.0200169 -0.1298443 -0.0353335 -0.0944099  0.7376643  0.6675999
1403638523.777829  1.2000573  0.0221639 -0.1302881 -0.0332569 -0.0927769  0.7342641  0.6716715
1403638523.827830  1.1139603  0.0297060 -0.1304955 -0.0290232 -0.0898715  0.7309992  0.6758113
1403638523.877830  1.0325106 -0.0280324 -0.1798493 -0.0279369 -0.0823000  0.7274327  0.6806525
1403638523.927830  1.0113234 -0.1028627 -0.2378356 -0.0322886 -0.0764323  0.7237418  0.6850645
1403638523.977829  0.9439270 -0.1878189 -0.3140346 -0.0348101 -0.0686956  0.7192265  0.6904943
1403638524.027829  0.9662488 -0.2437533 -0.4620386 -0.0452156 -0.0729340  0.7184132  0.6903033
1403638524.077830  0.9564364 -0.2543103 -0.5075284 -0.0488031 -0.0763335  0.7148282  0.6934061
1403638524.127830  0.9639701 -0.2547396 -0.5067939 -0.0506605 -0.0797402  0.7119651  0.6958310
1403638524.177830  0.9638417 -0.2636513 -0.4439657 -0.0502312 -0.0760625  0.7088838  0.6994106
1403638524.227829  0.9617907 -0.2683271 -0.3204162 -0.0471920 -0.0665093  0.7048024  0.7047006
1403638524.277829  0.9599549 -0.3036213 -0.1953947 -0.0436215 -0.0474070  0.6993597  0.7118608
1403638524.327830  0.9570534 -0.3340092 -0.0841355 -0.0359485 -0.0286357  0.6929475  0.7195217
1403638524.377830  0.9536640 -0.3410406  0.0241881 -0.0236421 -0.0102813  0.6858379  0.7272975
1403638524.427830  0.9571544 -0.3676490  0.0993013 -0.0094843  0.0096875  0.6776934  0.7352196
1403638524.477829  0.9466220 -0.3978360  0.1512842 0.0051705 0.0328727 0.6697948 0.7418002
1403638524.527829  0.9736149 -0.4569965  0.2295646 0.0053458 0.0443412 0.6708897 0.7402109
1403638524.577830  1.0045791 -0.4509285  0.2547575 0.0105288 0.0495879 0.6729255 0.7379712
1403638524.627830  1.0174834 -0.4638860  0.2732281 0.0130500 0.0572296 0.6741310 0.7362757
1403638524.677830  1.0197002 -0.4669102  0.2758911 0.0143188 0.0653292 0.6740868 0.7356182
1403638524.727829  1.0227938 -0.4670837  0.2756081 0.0135198 0.0729186 0.6725794 0.7362995
1403638524.777829  1.0248390 -0.4701271  0.2799891 0.0104226 0.0815172 0.6708502 0.7370254
1403638524.827830  1.0276567 -0.4746720  0.2888882 0.0074289 0.0878513 0.6696601 0.7374160
1403638524.877830  1.0259489 -0.4739454  0.2914957 0.0098180 0.0885810 0.6707872 0.7362754
1403638524.927830  1.0281471 -0.4753013  0.2932067 0.0121871 0.0879980 0.6716485 0.7355244
1403638524.977829  1.0269959 -0.4746566  0.2939859 0.0164305 0.0859845 0.6719706 0.7353858
1403638525.027829  1.0260781 -0.4752337  0.2928835 0.0188359 0.0865685 0.6710216 0.7361257
1403638525.077830  1.0250409 -0.4738733  0.2928163 0.0190387 0.0886626 0.6686107 0.7380625
1403638525.127830  1.0248236 -0.4730844  0.2906463 0.0193955 0.0889576 0.6661217 0.7402650
1403638525.177830  1.0235148 -0.4722835  0.2909833 0.0196909 0.0881678 0.6644552 0.7418477
1403638525.227829  1.0208496 -0.4722927  0.2906888 0.0189248 0.0861300 0.6628641 0.7435285
1403638525.277829  1.0192139 -0.4712075  0.2899027 0.0168435 0.0815444 0.6621783 0.7447058
1403638525.327830  1.0161744 -0.4681300  0.2868198 0.0127765 0.0744149 0.6614483 0.7461805
1403638525.377830  1.0127059 -0.4652260  0.2823744 0.0078213 0.0646414 0.6616783 0.7469553
1403638525.427830  1.0088989 -0.4646930  0.2785510 0.0015586 0.0539272 0.6631066 0.7465782
1403638525.477829  1.0056454 -0.4590560  0.2742138 -0.0033250  0.0412308  0.6657945  0.7449877
1403638525.527829  1.0050005 -0.4588889  0.2769448 -0.0089920  0.0312156  0.6680369  0.7434187
1403638525.577830  1.0055508 -0.4536481  0.2753807 -0.0131418  0.0236301  0.6700143  0.7418556
1403638525.627830  1.0055712 -0.4486663  0.2726695 -0.0159880  0.0197348  0.6713293  0.7407239
1403638525.677830  1.0040484 -0.4447299  0.2696312 -0.0177853  0.0187289  0.6724790  0.7396654
1403638525.727829  1.0047738 -0.4438035  0.2697262 -0.0199021  0.0204005  0.6730550  0.7390431
1403638525.777829  0.9980737 -0.4398768  0.2587155 -0.0194126  0.0238631  0.6744063  0.7377194
1403638525.827830  0.9760306 -0.4374205  0.2038752 -0.0183092  0.0276218  0.6729149  0.7389772
