#frame_time_stamp time_proc time_total
0.103736 0.023677 0.023816
0.207338 0.029475 0.029567
0.311075 0.028084 0.028174
0.414692 0.025046 0.025136
0.518430 0.022293 0.022383
0.622045 0.020234 0.020323
0.725798 0.016469 0.016566
0.829420 0.013371 0.013460
0.933147 0.026237 0.026340
1.036910 0.031632 0.031729
1.140497 0.028138 0.028234
1.244242 0.024231 0.024325
1.347979 0.025250 0.025455
1.451596 0.013846 0.013874
1.555212 0.013190 0.013218
1.658960 0.011406 0.011436
1.762569 0.011633 0.011678
1.866302 0.011114 0.011152
1.969923 0.016805 0.016870
2.073666 0.013496 0.013546
2.177281 0.012647 0.012699
2.281017 0.013385 0.013430
2.384639 0.014381 0.014425
2.488250 0.011847 0.011921
2.591988 0.014169 0.014234
2.695832 0.013125 0.013214
2.799367 0.013966 0.014027
2.903084 0.013105 0.013179
3.006768 0.012272 0.012337
3.110441 0.013700 0.013790
3.214057 0.012080 0.012150
3.317669 0.012297 0.012400
3.421285 0.012648 0.012721
3.524925 0.013836 0.013914
3.628545 0.014428 0.014503
3.732256 0.012398 0.012482
3.835871 0.014252 0.014338
3.939488 0.012102 0.012202
4.043107 0.011554 0.011651
4.146888 0.015054 0.015173
4.250460 0.014024 0.014114
4.354202 0.011780 0.011891
4.457940 0.012957 0.013066
4.561559 0.013388 0.013504
4.665293 0.013570 0.013683
4.768912 0.012568 0.012683
4.872532 0.012864 0.012968
4.976146 0.014579 0.014694
5.079909 0.014750 0.014863
5.183503 0.013170 0.013296
5.287117 0.013494 0.013610
5.390861 0.013316 0.013437
5.494473 0.014060 0.014176
5.598233 0.012625 0.012763
5.701829 0.012759 0.012885
5.805571 0.014484 0.014633
5.909185 0.016176 0.016300
6.012921 0.013417 0.013558
6.116541 0.013284 0.013423
6.220278 0.014181 0.014332
6.323895 0.013601 0.013748
6.427659 0.014731 0.015038
6.531383 0.013683 0.013821
6.634992 0.015024 0.015190
6.738741 0.012732 0.012889
6.842350 0.012741 0.012949
6.945963 0.014820 0.015003
7.049705 0.013891 0.014078
7.153323 0.017134 0.017305
7.256934 0.017448 0.017624
7.360549 0.018161 0.018336
7.464167 0.016882 0.017066
7.567786 0.019254 0.019424
7.671396 0.017451 0.017626
7.775144 0.018291 0.018460
7.878754 0.018327 0.018521
7.982493 0.017983 0.018173
8.086111 0.017152 0.017348
8.189849 0.016854 0.017040
8.293470 0.014832 0.015026
8.397102 0.014840 0.015023
8.500847 0.013086 0.013277
8.604438 0.014338 0.014527
8.708175 0.012284 0.012493
8.811795 0.012837 0.013036
8.915403 0.014129 0.014354
9.019162 0.013479 0.013697
9.122890 0.012356 0.012579
9.226512 0.014525 0.014735
9.330247 0.015012 0.015219
9.433986 0.011125 0.011336
9.537749 0.013294 0.013618
9.641587 0.012065 0.012296
9.745342 0.013408 0.013652
9.849229 0.014680 0.014892
9.953059 0.013116 0.013340
10.056930 0.014471 0.014693
10.160830 0.013634 0.013868
10.264660 0.013091 0.013318
10.368670 0.016662 0.016900
10.472640 0.015832 0.016063
10.576630 0.014751 0.015006
10.680620 0.016962 0.017202
10.784610 0.014479 0.014738
10.888750 0.014343 0.014638
10.992720 0.015345 0.015711
11.096590 0.016482 0.016775
11.200570 0.015304 0.015567
11.304310 0.016290 0.016585
11.408180 0.014170 0.014474
11.511920 0.014370 0.014697
11.615530 0.013705 0.013998
11.719270 0.014988 0.015269
11.822770 0.017893 0.018198
11.926380 0.017614 0.017882
12.030000 0.018467 0.018741
12.133610 0.017122 0.017384
12.237100 0.017356 0.017598
12.340600 0.016008 0.016238
12.444110 0.014838 0.015077
12.547670 0.014688 0.014904
12.651070 0.014046 0.014281
12.754690 0.012801 0.013015
12.858060 0.012843 0.013074
12.961670 0.013454 0.013677
13.065200 0.011873 0.012100
13.168770 0.015931 0.016141
13.272350 0.015196 0.015428
13.375880 0.014335 0.014548
13.479500 0.012301 0.012525
13.583110 0.012616 0.012833
13.686720 0.011998 0.012234
13.790340 0.011317 0.011542
13.893950 0.013385 0.013629
13.997670 0.013593 0.013810
14.101300 0.012235 0.012451
14.204920 0.013304 0.013527
14.308540 0.011447 0.011672
14.412270 0.014948 0.015249
14.515890 0.015148 0.015376
14.619680 0.015226 0.015445
14.723260 0.013662 0.013892
14.826860 0.015658 0.015875
14.930480 0.013847 0.014147
15.034100 0.017443 0.017676
15.137840 0.016509 0.017123
15.241450 0.014527 0.014860
15.345080 0.018144 0.018442
15.448810 0.016264 0.016611
15.552550 0.018004 0.018280
15.656170 0.021269 0.021503
15.759900 0.019304 0.019556
15.863640 0.019140 0.019428
15.967390 0.021968 0.022227
16.071020 0.017375 0.017634
16.174740 0.016472 0.016685
16.278450 0.015230 0.015541
16.382090 0.018164 0.018414
16.485710 0.016082 0.016312
16.589330 0.014177 0.014414
16.693090 0.018504 0.018732
16.796680 0.017863 0.018122
16.900430 0.019090 0.019334
17.004190 0.019151 0.019382
17.107900 0.021514 0.022016
17.211650 0.019966 0.020486
17.315390 0.013613 0.013972
17.419150 0.014463 0.014733
17.522870 0.016498 0.016738
17.626480 0.017848 0.018374
17.730220 0.016827 0.017092
17.833840 0.019337 0.019566
17.937460 0.015231 0.015528
18.041200 0.015560 0.015814
18.144820 0.015255 0.015533
18.248550 0.015958 0.016200
18.352170 0.017913 0.018139
18.455930 0.023448 0.023945
18.559570 0.018259 0.018505
18.663260 0.014147 0.014510
18.766880 0.016624 0.016858
18.870490 0.018451 0.018694
18.974110 0.017146 0.017640
19.077720 0.018301 0.018871
19.181410 0.015223 0.015478
19.285020 0.015648 0.015912
19.388680 0.014343 0.014600
19.492240 0.012587 0.012839
19.595800 0.012340 0.012578
19.699410 0.014725 0.015082
19.802910 0.015404 0.015630
19.906520 0.014289 0.014546
20.010020 0.017100 0.017383
20.113500 0.017014 0.017269
20.217140 0.017200 0.017448
20.320610 0.016989 0.017276
20.424100 0.016958 0.017253
20.527470 0.018883 0.019170
20.630960 0.014245 0.014576
20.734440 0.017836 0.018129
20.837960 0.022206 0.022506
20.941510 0.023506 0.023826
21.045020 0.025705 0.025997
21.148370 0.025709 0.025998
21.251900 0.021140 0.021425
21.355440 0.024670 0.024967
21.459000 0.021578 0.021870
21.562720 0.022534 0.022826
21.666360 0.021970 0.022291
21.770100 0.022639 0.022934
21.873950 0.023012 0.023300
21.977710 0.022102 0.022412
22.081440 0.021097 0.021381
22.185310 0.019824 0.020103
22.289170 0.019881 0.020142
22.393170 0.018493 0.018773
22.497160 0.018561 0.018864
22.601290 0.013689 0.013963
22.705510 0.012450 0.012749
22.809640 0.014808 0.015212
22.913660 0.013868 0.014133
23.017610 0.014466 0.014819
23.121720 0.013521 0.013769
23.225710 0.013056 0.013400
23.329700 0.011791 0.012087
23.433600 0.013712 0.014068
23.537560 0.011494 0.011765
23.641430 0.015331 0.015716
23.745190 0.014891 0.015140
23.848990 0.013848 0.014150
23.952650 0.015264 0.015512
24.056420 0.012042 0.012334
24.160010 0.013540 0.013793
24.263960 0.013136 0.013470
24.367270 0.014441 0.014702
24.471000 0.015100 0.015353
24.574560 0.014151 0.014402
24.678100 0.015948 0.016203
24.781830 0.016301 0.016552
24.885470 0.014618 0.014865
24.989130 0.013828 0.014083
25.092670 0.014758 0.015007
25.196320 0.015079 0.015327
25.299900 0.015616 0.015867
25.403640 0.017149 0.017390
25.507250 0.018597 0.018837
25.610880 0.017973 0.018213
25.714630 0.017519 0.017776
25.818220 0.017360 0.017602
25.921980 0.015943 0.016199
26.025680 0.015958 0.016205
26.129230 0.015297 0.015546
26.232990 0.015983 0.016219
26.336550 0.016183 0.016441
26.440340 0.016554 0.016797
26.544050 0.014848 0.015093
26.647670 0.017019 0.017257
26.751260 0.017325 0.017562
26.854880 0.017253 0.017493
26.958500 0.017220 0.017463
27.062230 0.018962 0.019210
27.165870 0.019315 0.019553
27.269470 0.017473 0.017721
27.373230 0.015633 0.015885
27.476870 0.015928 0.016170
27.580440 0.015294 0.015545
27.684070 0.015578 0.015820
27.787700 0.016516 0.016772
27.891280 0.017894 0.018154
27.995100 0.016975 0.017224
28.098650 0.017190 0.017437
28.202280 0.015681 0.015928
28.305870 0.017473 0.017710
28.409630 0.016829 0.017080
28.513230 0.016402 0.016643
28.616840 0.015481 0.015728
28.722280 0.019567 0.019796
28.824220 0.020055 0.020289
28.927940 0.016056 0.016339
29.031560 0.017827 0.018071
29.135300 0.018447 0.018687
29.238910 0.018572 0.018827
29.342530 0.017892 0.018128
29.446140 0.020390 0.020622
29.549760 0.019951 0.020182
29.653420 0.017521 0.017765
29.757120 0.022345 0.022575
29.860880 0.019867 0.020111
29.964620 0.019267 0.019505
30.068210 0.018274 0.018515
30.172000 0.018699 0.018927
30.275700 0.019145 0.019373
30.379310 0.018313 0.018532
30.483050 0.018585 0.018805
30.586670 0.017007 0.017234
30.690400 0.018733 0.019399
30.794050 0.019757 0.020059
30.897640 0.017605 0.017846
31.001380 0.018651 0.018870
31.105010 0.019919 0.020157
31.208610 0.019042 0.019273
31.312350 0.019105 0.019368
31.416200 0.019263 0.019514
31.520060 0.017558 0.017801
31.623420 0.018397 0.018642
31.726940 0.017277 0.017516
31.830690 0.018249 0.018497
31.934300 0.017600 0.017852
32.038040 0.018214 0.018461
32.141650 0.017318 0.017569
32.245260 0.016277 0.016551
32.348880 0.015422 0.015757
32.452660 0.015496 0.015815
32.556240 0.017462 0.017757
32.659980 0.016470 0.016787
32.763730 0.016090 0.016390
32.867470 0.015180 0.015462
32.971200 0.016493 0.016766
33.074830 0.017903 0.018204
33.178560 0.016616 0.016950
33.282310 0.015673 0.015952
33.386030 0.015974 0.016276
33.489780 0.016496 0.016776
33.593560 0.015683 0.015965
33.697130 0.016904 0.017170
33.800870 0.014498 0.014784
33.904610 0.016576 0.016855
34.008350 0.017305 0.017647
34.112090 0.016972 0.017249
34.215840 0.014189 0.014483
34.319570 0.012438 0.012724
34.423340 0.014203 0.014578
34.526940 0.014410 0.014699
34.630670 0.012076 0.012347
34.734300 0.012529 0.012822
34.837900 0.015701 0.015984
34.941520 0.015558 0.015850
35.045260 0.015895 0.016189
35.148870 0.014178 0.014501
35.252510 0.017395 0.017685
35.356230 0.019135 0.019421
35.459850 0.020805 0.021094
35.563620 0.019204 0.019483
35.667200 0.018172 0.018460
35.770940 0.017244 0.017556
35.874680 0.016920 0.017201
35.978300 0.018799 0.019094
36.082080 0.017652 0.017933
36.185780 0.016709 0.016995
36.289500 0.013746 0.014039
36.393220 0.012999 0.013284
36.496880 0.014362 0.014643
36.600490 0.016099 0.016388
36.704360 0.013330 0.013631
36.807990 0.013856 0.014142
36.911770 0.012800 0.013104
37.015480 0.013879 0.014158
37.119060 0.015945 0.016256
37.222810 0.014662 0.014961
37.326430 0.014763 0.015055
37.430160 0.014721 0.015011
37.533780 0.014202 0.014227
37.637390 0.018444 0.018449
37.741030 0.022315 0.022320
37.844750 0.020207 0.020212
37.948360 0.021192 0.021197
38.052310 0.018511 0.018837
38.155720 0.016436 0.016442
38.259670 0.017875 0.018175
38.362940 0.015603 0.015886
38.466570 0.014213 0.014520
38.570230 0.015705 0.016006
38.673810 0.016531 0.016827
38.777460 0.015076 0.015372
38.881060 0.016031 0.016328
38.984720 0.015305 0.015603
39.088300 0.016595 0.016889
39.192020 0.014767 0.015061
39.295720 0.016528 0.016814
39.399320 0.017080 0.017376
39.502980 0.018337 0.018647
39.606730 0.018043 0.018329
39.710390 0.016817 0.017105
39.814160 0.016116 0.016413
39.917810 0.016291 0.016586
40.021440 0.015979 0.016263
40.125180 0.016458 0.016742
40.228960 0.014556 0.014846
40.332560 0.016328 0.016609
40.436270 0.017729 0.018012
40.540000 0.017674 0.017949
40.643620 0.018816 0.019115
40.747350 0.019704 0.019980
40.850980 0.019051 0.019332
40.954720 0.019139 0.019410
41.058450 0.017780 0.018078
41.162090 0.017141 0.017419
41.265810 0.018209 0.018478
41.370360 0.013952 0.014223
41.473270 0.018003 0.018280
41.576790 0.014838 0.015148
41.680520 0.014358 0.014640
41.784260 0.013757 0.014023
41.887680 0.015824 0.016090
41.991400 0.014481 0.014744
42.094800 0.014917 0.015202
42.198260 0.013632 0.013898
42.301840 0.014934 0.015200
42.405330 0.015291 0.015555
42.508850 0.012143 0.012415
42.612350 0.011988 0.012243
42.715820 0.011991 0.012262
42.819320 0.013695 0.013934
42.922650 0.012423 0.012671
43.026190 0.011508 0.011513
43.129650 0.015089 0.015412
43.233030 0.014563 0.014808
43.336520 0.012500 0.012743
43.440050 0.015969 0.016217
43.543500 0.017936 0.018184
43.647150 0.012162 0.012169
43.750710 0.016364 0.016636
43.854350 0.014963 0.015213
43.957960 0.017643 0.017911
44.061680 0.019841 0.020100
44.165420 0.018831 0.019088
44.268910 0.017829 0.018092
44.372740 0.016226 0.016490
44.476270 0.019970 0.020248
44.580030 0.018227 0.018489
44.683750 0.018360 0.018613
44.787490 0.018123 0.018386
44.891360 0.016924 0.017196
44.995090 0.014553 0.014803
45.098960 0.012420 0.012686
45.203360 0.019231 0.019488
45.306930 0.017784 0.018050
45.410680 0.017179 0.017436
45.514850 0.015696 0.015961
45.618560 0.016017 0.016278
45.722540 0.016373 0.016642
45.826510 0.014284 0.014555
45.930510 0.015642 0.015906
46.034570 0.015236 0.015507
46.138420 0.014625 0.014881
46.242420 0.014027 0.014297
46.346350 0.013587 0.013870
46.450210 0.014272 0.014576
46.554100 0.013632 0.013893
46.657810 0.012246 0.012522
46.761680 0.015283 0.015625
46.865420 0.015638 0.015902
46.969180 0.015427 0.015705
47.072900 0.015668 0.015942
47.176650 0.015490 0.015754
47.280390 0.014048 0.014320
47.384120 0.014408 0.014679
47.487740 0.015923 0.016194
47.591510 0.015504 0.015776
47.695090 0.015316 0.015586
47.798710 0.016057 0.016328
47.902330 0.014638 0.014910
48.006070 0.013645 0.013908
48.109680 0.012882 0.013164
48.213880 0.016018 0.016321
48.316910 0.018949 0.019223
48.420530 0.017751 0.018015
48.524140 0.015117 0.015415
48.627780 0.016096 0.016377
48.731400 0.015898 0.016190
48.835360 0.015213 0.015485
48.938730 0.016785 0.017094
49.042590 0.018108 0.018374
49.146090 0.018210 0.018488
49.249830 0.019804 0.020085
49.353850 0.020233 0.020442
49.457610 0.017357 0.017578
49.560950 0.020075 0.020293
49.664690 0.018352 0.018557
49.768340 0.020941 0.021145
49.872030 0.020197 0.020398
49.975760 0.018387 0.018598
50.079370 0.019607 0.019814
50.183130 0.019938 0.020153
50.286730 0.019369 0.019574
50.390360 0.019505 0.019712
50.494100 0.019346 0.019554
50.597700 0.016435 0.016650
50.701310 0.015284 0.015484
50.805050 0.015405 0.015606
50.908670 0.016312 0.016517
51.012410 0.016190 0.016390
51.116030 0.015787 0.015997
51.219640 0.016547 0.016747
51.323380 0.017572 0.017765
51.427120 0.015998 0.016197
51.530760 0.017679 0.017876
51.634350 0.018747 0.018943
51.738100 0.019363 0.019558
51.841860 0.020381 0.020584
51.945450 0.019275 0.019471
52.049190 0.019336 0.019534
52.152940 0.017530 0.017725
52.256550 0.019805 0.019999
52.360310 0.015667 0.015862
52.463930 0.016065 0.016265
52.567650 0.015987 0.016187
52.671390 0.015611 0.015809
52.775000 0.015396 0.015594
52.878630 0.015648 0.015844
52.982360 0.015101 0.015308
53.085970 0.016397 0.016597
53.189580 0.016699 0.016905
53.293220 0.016083 0.016286
53.396940 0.015362 0.015554
53.500560 0.016778 0.016980
53.604330 0.016124 0.016318
53.707910 0.013296 0.013504
53.811530 0.015259 0.015467
53.915140 0.014618 0.014822
54.018910 0.013788 0.013990
54.122510 0.013826 0.014033
54.226140 0.014252 0.014454
54.329880 0.012393 0.012592
54.433600 0.012754 0.012984
54.537210 0.011393 0.011598
54.640830 0.009622 0.009627
54.744460 0.022170 0.022379
54.848060 0.015459 0.015660
54.951700 0.013820 0.014030
55.055430 0.014495 0.014994
55.159030 0.015234 0.015570
55.262650 0.016583 0.016809
55.366390 0.012816 0.013188
55.470020 0.011281 0.011519
55.573750 0.012275 0.012646
55.677360 0.009843 0.010048
55.780970 0.011901 0.012234
55.884590 0.010047 0.010289
55.988350 0.012149 0.012571
56.091960 0.009046 0.009259
56.195600 0.013137 0.013555
56.299200 0.011123 0.011328
56.402790 0.009363 0.009598
56.506450 0.009273 0.009584
56.610040 0.013518 0.014039
56.713640 0.010392 0.010594
56.817260 0.009721 0.009961
56.921000 0.009448 0.009775
57.024630 0.012355 0.012859
57.128230 0.009753 0.009961
57.231970 0.009805 0.010125
57.335740 0.011448 0.011892
57.439330 0.008837 0.009171
57.542960 0.011145 0.011584
57.646570 0.009301 0.009586
57.750390 0.012548 0.012990
57.853970 0.009479 0.009680
57.957680 0.009997 0.010313
58.061270 0.012082 0.012496
58.164910 0.010391 0.010592
58.268620 0.012686 0.013127
58.372240 0.009741 0.009942
58.475980 0.011563 0.012006
58.579590 0.009434 0.009642
58.683350 0.008181 0.008188
58.786950 0.019378 0.019593
58.890710 0.011890 0.012099
58.994310 0.010009 0.010268
59.098080 0.017007 0.017214
59.201790 0.015115 0.015319
59.305420 0.009709 0.009714
59.409140 0.017053 0.017262
59.513100 0.007511 0.007521
59.616750 0.014567 0.014571
59.720500 0.014201 0.014422
59.824230 0.008926 0.008929
59.928100 0.019128 0.019347
60.032120 0.013628 0.013829
60.135780 0.011383 0.011612
60.239770 0.019177 0.019400
60.343300 0.021789 0.022005
60.447190 0.010343 0.010352
60.551000 0.023151 0.023394
60.654780 0.023319 0.023563
60.758610 0.022237 0.022478
60.862280 0.016651 0.016890
60.966000 0.022821 0.023063
61.069630 0.023212 0.023488
61.173270 0.020130 0.020375
61.276850 0.019975 0.020229
61.380460 0.024803 0.025083
61.483950 0.017983 0.018243
61.587570 0.018896 0.019172
61.691060 0.021092 0.021334
61.794550 0.016419 0.016661
61.897900 0.020311 0.020545
62.002740 0.013749 0.013996
62.104790 0.017754 0.017986
62.208130 0.017474 0.017733
62.311500 0.017547 0.017787
62.414860 0.019300 0.019536
62.518230 0.017555 0.017794
62.621740 0.017416 0.017664
62.725220 0.019525 0.019765
62.828700 0.019794 0.020029
62.932200 0.017862 0.018101
63.035810 0.018321 0.018564
63.139420 0.018867 0.019109
63.242920 0.018113 0.018359
63.346530 0.018089 0.018331
63.450150 0.016826 0.017101
63.553890 0.015980 0.016271
63.657500 0.015437 0.015680
63.761250 0.017270 0.017502
63.864990 0.018440 0.018693
63.968620 0.017742 0.017996
64.072220 0.018810 0.019047
64.175970 0.017565 0.017813
64.279620 0.019451 0.019685
64.383180 0.018508 0.018742
64.486930 0.019542 0.019782
64.590710 0.020066 0.020291
64.694300 0.018740 0.018982
64.797940 0.020421 0.020651
64.901640 0.017848 0.018083
65.005340 0.019174 0.019402
65.108990 0.018530 0.018761
65.212830 0.018033 0.018256
65.316220 0.019971 0.020193
65.419850 0.018694 0.018915
65.523620 0.018776 0.019003
65.627110 0.018764 0.018988
65.730790 0.019002 0.019256
65.834430 0.018365 0.018583
65.938040 0.018175 0.018394
66.041660 0.017543 0.017751
66.145270 0.017838 0.018060
66.248940 0.015733 0.015946
66.352630 0.015108 0.015317
66.456240 0.014784 0.014989
66.559860 0.015403 0.015622
66.663590 0.016406 0.016614
66.767240 0.014683 0.014887
66.870960 0.016137 0.016348
66.974570 0.017152 0.017363
67.078310 0.017328 0.017528
67.181930 0.016687 0.016889
67.285670 0.017232 0.017443
67.389280 0.018141 0.018366
67.492970 0.019462 0.019667
