#TimeStamp Tx Ty Tz Qx Qy Qz Qw
4.355725  0.0863980 -0.0021503  0.0000924  0.4890610 -0.5114332  0.5151843 -0.4835706
4.459611  0.1081263 -0.0033850  0.0005723  0.4848593 -0.5159086  0.5192825 -0.4786392
4.563456  0.1288124 -0.0052403  0.0010726  0.4796256 -0.5204547  0.5238903 -0.4739463
4.667325  0.1492499 -0.0074469  0.0012921  0.4738769 -0.5253178  0.5286336 -0.4690719
4.771058  0.1696022 -0.0101379  0.0015749  0.4675149 -0.5309194  0.5328986 -0.4642988
4.874947  0.1898179 -0.0133449  0.0018577  0.4608570 -0.5377028  0.5363182 -0.4591833
4.978668  0.2096721 -0.0169173  0.0021930  0.4535026 -0.5446926  0.5401204 -0.4537789
5.082534  0.2292756 -0.0209622  0.0025311  0.4452902 -0.5512885  0.5445428 -0.4486322
5.186400  0.2483837 -0.0255359  0.0027196  0.4359256 -0.5579484  0.5493078 -0.4437606
5.290138  0.2673750 -0.0305139  0.0030051  0.4274895 -0.5648416  0.5542901 -0.4370002
5.394003  0.2858227 -0.0359122  0.0032440  0.4193885 -0.5720054  0.5593096 -0.4290640
5.497872  0.3041066 -0.0418801  0.0033646  0.4105190 -0.5796659  0.5639577 -0.4212046
5.601734  0.3218644 -0.0483262  0.0035380  0.4006334 -0.5864718  0.5696537 -0.4135678
5.705475  0.3392346 -0.0550832  0.0037465  0.3903300 -0.5918566  0.5769680 -0.4055321
5.809345  0.3565122 -0.0625690  0.0039442  0.3787706 -0.5971521  0.5840439 -0.3985411
5.913083  0.3732795 -0.0703398  0.0042620  0.3675821 -0.6032716  0.5902852 -0.3905255
6.016968  0.3900059 -0.0788436  0.0044626  0.3582638 -0.6102484  0.5958046 -0.3798169
6.120823  0.4063560 -0.0876451  0.0046253  0.3496328 -0.6176087  0.6015125 -0.3667413
6.224565  0.4223938 -0.0972143  0.0047661  0.3393708 -0.6248162  0.6073896 -0.3542738
6.328440  0.4377178 -0.1070223  0.0048660  0.3278950 -0.6290467  0.6161902 -0.3421911
6.432181  0.4526407 -0.1174954  0.0049201  0.3158803 -0.6323922  0.6251291 -0.3309280
6.535919  0.4672624 -0.1284863  0.0051368  0.3042626 -0.6373824  0.6317362 -0.3194955
6.639619  0.4813365 -0.1401360  0.0054106  0.2929457 -0.6439884  0.6361542 -0.3078467
6.743256  0.4948763 -0.1521305  0.0057858  0.2813012 -0.6495614  0.6412844 -0.2961317
6.847019  0.5078913 -0.1646202  0.0060224  0.2689434 -0.6537839  0.6473028 -0.2850177
6.950676  0.5203888 -0.1774191  0.0062325  0.2567434 -0.6578142  0.6531271 -0.2734747
7.054434  0.5324805 -0.1906899  0.0064825  0.2453595 -0.6618703  0.6584398 -0.2611198
7.158126  0.5440977 -0.2044939  0.0067770  0.2332270 -0.6658871  0.6633915 -0.2492211
7.261837  0.5552715 -0.2187504  0.0070143  0.2208717 -0.6676986  0.6700741 -0.2374763
7.365577  0.5661537 -0.2333887  0.0073606  0.2077906 -0.6683566  0.6776549 -0.2256243
7.469315  0.5763627 -0.2484193  0.0078299  0.1949490 -0.6692366  0.6845081 -0.2134617
7.572928  0.5862931 -0.2641165  0.0082654  0.1829179 -0.6714089  0.6896886 -0.2002017
7.676672  0.5954569 -0.2801617  0.0089382  0.1713828 -0.6754915  0.6924985 -0.1865072
7.780431  0.6040853 -0.2967838  0.0096766  0.1609581 -0.6798241  0.6945965 -0.1716609
7.884150  0.6122899 -0.3137663  0.0103447  0.1496818 -0.6828551  0.6976175 -0.1569525
7.987818  0.6199173 -0.3311013  0.0108875  0.1391840 -0.6850841  0.7009664 -0.1411870
8.091556  0.6269099 -0.3489258  0.0115453  0.1278684 -0.6873421  0.7037843 -0.1260883
8.195302  0.6331886 -0.3670535  0.0120917  0.1157470 -0.6900104  0.7056903 -0.1117562
8.299053  0.6387522 -0.3855508  0.0126229  0.1029832 -0.6922261  0.7075203 -0.0981454
8.402730  0.6435156 -0.4043672  0.0132532  0.0900266 -0.6941592  0.7090622 -0.0852581
8.506356  0.6476336 -0.4235841  0.0137184  0.0767942 -0.6959246  0.7102370 -0.0731777
8.610085  0.6509185 -0.4429822  0.0143419  0.0617879 -0.6973121  0.7112691 -0.0635175
8.713700  0.6535864 -0.4625056  0.0149715  0.0491482 -0.6970374  0.7134313 -0.0523356
8.817441  0.6558115 -0.4820201  0.0156126  0.0373222 -0.6960282  0.7158711 -0.0409914
8.921074  0.6572355 -0.5017890  0.0162737  0.0247406 -0.6950720  0.7177521 -0.0330862
9.024545  0.6583534 -0.5218727  0.0169894  0.0152383 -0.6960711  0.7173916 -0.0245386
9.128182  0.6590609 -0.5420333  0.0177412  0.0069673 -0.6973861  0.7164588 -0.0170567
9.231657  0.6593287 -0.5623147  0.0185024  0.0003665 -0.6984628  0.7155694 -0.0104903
9.335267  0.6593758 -0.5825929  0.0192518 -0.0060191 -0.6974428  0.7165968 -0.0051256
9.438799  0.6590556 -0.6030017  0.0199312 -0.0121471 -0.6959056  0.7180299 -0.0008947
9.542373  0.6584074 -0.6234407  0.0207368 -0.0177928 -0.6940237  0.7197298  0.0018785
9.646095  0.6576575 -0.6438630  0.0216483 -0.0229311 -0.6928498  0.7207097  0.0032847
9.749609  0.6567560 -0.6643095  0.0227269 -0.0263369 -0.6910030  0.7223603  0.0040962
9.853097  0.6557561 -0.6848748  0.0237901 -0.0281748 -0.6893362  0.7238782  0.0047077
9.956711  0.6547876 -0.7054880  0.0250084 -0.0299090 -0.6878855  0.7251850  0.0050622
10.060450  0.6538220 -0.7261539  0.0262462 -0.0309344 -0.6868249  0.7261393  0.0060255
10.164070  0.6528357 -0.7469253  0.0276004 -0.0322048 -0.6855835  0.7272509  0.0066523
10.267680  0.6516298 -0.7675156  0.0290718 -0.0331761 -0.6843063  0.7284058  0.0070159
10.371450  0.6506242 -0.7883145  0.0304972 -0.0350986 -0.6838371  0.7287571  0.0069239
10.475040  0.6494769 -0.8091543  0.0320339 -0.0359303 -0.6843424  0.7282340  0.0077339
10.578780  0.6481789 -0.8301878  0.0335897 -0.0365519 -0.6844921  0.7280531  0.0085619
10.682420  0.6469750 -0.8513631  0.0350337 -0.0373346 -0.6839498  0.7285125  0.0093950
10.786180  0.6456018 -0.8724584  0.0365483 -0.0377662 -0.6831538  0.7292182  0.0107397
10.889870  0.6443310 -0.8938869  0.0382263 -0.0381788 -0.6824289  0.7298496  0.0123548
10.993530  0.6431114 -0.9150108  0.0398501 -0.0382808 -0.6810884  0.7310629  0.0141505
11.097270  0.6420207 -0.9363235  0.0413644 -0.0379669 -0.6793626  0.7326401  0.0162314
11.201020  0.6406509 -0.9577957  0.0431709 -0.0381152 -0.6784885  0.7333982  0.0181029
11.304710  0.6393569 -0.9795297  0.0447868 -0.0384485 -0.6788747  0.7329711  0.0201052
11.408450  0.6380290 -1.0014170  0.0466042 -0.0384883 -0.6803823  0.7315027  0.0224137
11.512140  0.6362583 -1.0232471  0.0484544 -0.0393702 -0.6810172  0.7308425  0.0231255
11.615900  0.6347292 -1.0453776  0.0501656 -0.0398280 -0.6807858  0.7309955  0.0242893
11.719550  0.6327146 -1.0672442  0.0519985 -0.0406537 -0.6797798  0.7318826  0.0243841
11.823280  0.6311708 -1.0894210  0.0538262 -0.0412397 -0.6788515  0.7327025  0.0246380
11.927030  0.6293769 -1.1118960  0.0556988 -0.0409729 -0.6785621  0.7329612  0.0253483
12.030770  0.6275403 -1.1343953  0.0576558 -0.0397847 -0.6790278  0.7325637  0.0262460
12.134510  0.6258411 -1.1567154  0.0595022 -0.0385312 -0.6791809  0.7324383  0.0276175
12.238130  0.6243582 -1.1795516  0.0614221 -0.0372052 -0.6786697  0.7329153  0.0292975
12.341890  0.6226900 -1.2023136  0.0635084 -0.0358904 -0.6786716  0.7329153  0.0308547
12.445490  0.6209878 -1.2252214  0.0655235 -0.0348423 -0.6788436  0.7327453  0.0322746
12.549220  0.6190170 -1.2482496  0.0672553 -0.0351236 -0.6807117  0.7310001  0.0321988
12.652870  0.6168388 -1.2719634  0.0690284 -0.0363994 -0.6839067  0.7279974  0.0310875
12.756590  0.6146989 -1.2951901  0.0707110 -0.0385009 -0.6860587  0.7259436  0.0291038
12.860200  0.6124333 -1.3182668  0.0722173 -0.0412015 -0.6853941  0.7265362  0.0261272
12.963810  0.6102802 -1.3415293  0.0737376 -0.0428888 -0.6834979  0.7283001  0.0238776
13.067550  0.6083084 -1.3647079  0.0752818 -0.0438809 -0.6813593  0.7302845  0.0225517
13.171180  0.6066075 -1.3884441  0.0771381 -0.0440665 -0.6797629  0.7317624  0.0224594
13.274910  0.6045808 -1.4124615  0.0789731 -0.0429322 -0.6808097  0.7308272  0.0233784
13.378650  0.6029182 -1.4363943  0.0808399 -0.0428237 -0.6825544  0.7291932  0.0237232
13.482410  0.6012809 -1.4603774  0.0825598 -0.0421121 -0.6832582  0.7285467  0.0245856
13.586010  0.5997360 -1.4846266  0.0845021 -0.0416957 -0.6830888  0.7287027  0.0253682
13.689750  0.5978501 -1.5089279  0.0863803 -0.0419743 -0.6812074  0.7304490  0.0252777
13.793480  0.5961561 -1.5332762  0.0883314 -0.0417831 -0.6803359  0.7312665  0.0254272
13.897120  0.5946808 -1.5581377  0.0903603 -0.0421406 -0.6808132  0.7307988  0.0255088
