#TimeStamp Tx Ty Tz Qx Qy Qz Qw
0.729128 0.1783519 0.0008114 0.0027601  0.4990185 -0.5016475  0.4981462 -0.5011793
0.833252 0.2083534 0.0013066 0.0033432  0.4989425 -0.5008491  0.4989300 -0.5012738
0.937506 0.2386980 0.0015655 0.0038633  0.4991267 -0.4995380  0.5000897 -0.5012431
1.041630 0.2691220 0.0020751 0.0044027  0.4996815 -0.4984878  0.5012703 -0.5005561
1.145875 0.2996717 0.0024059 0.0050287  0.5002670 -0.4978572  0.5018799 -0.4999877
1.250003 0.3300864 0.0028980 0.0055855  0.5006398 -0.4979171  0.5020100 -0.4994240
1.354255 0.3609132 0.0030502 0.0060962  0.5006287 -0.4993241  0.5006897 -0.4993558
1.458401 0.3916680 0.0031584 0.0066597  0.5000576 -0.5008002  0.4992179 -0.4999230
1.562526 0.4225085 0.0033251 0.0070134  0.4990057 -0.5005343  0.4991548 -0.5013016
1.666754 0.4533267 0.0037494 0.0075240  0.4981464 -0.5004368  0.4993837 -0.5020250
1.771007 0.4841093 0.0042353 0.0082942  0.4982386 -0.4996758  0.5005407 -0.5015391
1.875129 0.5153386 0.0047377 0.0086794  0.4991294 -0.4996540  0.5010587 -0.5001559
1.979377 0.5466365 0.0051552 0.0091721  0.5000717 -0.5005105  0.5004140 -0.4990024
2.083502 0.5781482 0.0055327 0.0095306  0.4997980 -0.5017151  0.4994703 -0.4990124
2.187759 0.6098508 0.0060030 0.0099882  0.4983444 -0.5022700  0.4987632 -0.5006127
2.291881 0.6415352 0.0066051 0.0104220  0.4975183 -0.5019566  0.4992264 -0.5012864
2.396132 0.6737705 0.0071093 0.0109809  0.4966852 -0.5015420  0.5000008 -0.5017555
2.500257 0.7056039 0.0082446 0.0112666  0.4968737 -0.5007645  0.5014742 -0.5008743
2.604383 0.7381022 0.0089988 0.0120052  0.4964782 -0.5001465  0.5023921 -0.5009642
2.708628 0.7708262 0.0102649 0.0123670  0.4965031 -0.5003389  0.5025408 -0.5005980
