#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1403715893.584058 -0.0098320 -0.0695185  0.0071392 0.0159206 0.0275044 0.7058869 0.7076113
1403715893.634058 -0.0074315 -0.0720081  0.0067349 0.0220374 0.0319159 0.7078741 0.7052730
1403715893.684058 -0.0059085 -0.0747995  0.0056695 0.0252144 0.0338798 0.7091048 0.7038372
1403715893.734058 -0.0037627 -0.0777584  0.0043514 0.0263684 0.0342229 0.7103953 0.7024757
1403715893.784058 -0.0007297 -0.0809281  0.0019726 0.0252464 0.0339273 0.7103578 0.7025691
1403715893.834058  0.0021105 -0.0839320  0.0000738 0.0211542 0.0314741 0.7087716 0.7044180
1403715893.884058  0.0052965 -0.0867869 -0.0022500 0.0158503 0.0270601 0.7087761 0.7047361
1403715893.934058  0.0089834 -0.0901908 -0.0054665 0.0122412 0.0245625 0.7090343 0.7046397
1403715893.984058  0.0127424 -0.0936311 -0.0085329 0.0069356 0.0204816 0.7088882 0.7049893
1403715894.034058  0.0146897 -0.0973537 -0.0115231 0.0010882 0.0160671 0.7090584 0.7049658
1403715894.084058  0.0170222 -0.1018584 -0.0143237 -0.0055928  0.0114008  0.7083290  0.7057682
1403715894.134058  0.0200753 -0.1054993 -0.0166517 -0.0092326  0.0106708  0.7058458  0.7082250
1403715894.184058  0.0232321 -0.1095272 -0.0183846 -0.0093259  0.0153685  0.7013942  0.7125469
1403715894.234058  0.0288733 -0.1154974 -0.0199848 -0.0083335  0.0217427  0.6967143  0.7169707
1403715894.284058  0.0361267 -0.1208779 -0.0219882 -0.0073376  0.0278300  0.6911715  0.7221174
1403715894.334058  0.0436268 -0.1277997 -0.0230688 -0.0077684  0.0323555  0.6863627  0.7264977
1403715894.384058  0.0515671 -0.1349655 -0.0247035 -0.0083347  0.0359811  0.6824936  0.7299578
1403715894.434058  0.0584312 -0.1436831 -0.0254482 -0.0097397  0.0383171  0.6805908  0.7315962
1403715894.484058  0.0630472 -0.1541899 -0.0260982 -0.0126407  0.0382909  0.6808476  0.7313142
1403715894.534058  0.0682315 -0.1643446 -0.0267040 -0.0159550  0.0356894  0.6823119  0.7300152
1403715894.584058  0.0705153 -0.1759390 -0.0269156 -0.0187445  0.0349954  0.6833025  0.7290553
1403715894.634058  0.0718668 -0.1863909 -0.0262086 -0.0200929  0.0336704  0.6848899  0.7275908
1403715894.684058  0.0738000 -0.1975769 -0.0251050 -0.0210801  0.0316759  0.6879034  0.7248042
1403715894.734058  0.0750413 -0.2089408 -0.0240227 -0.0193661  0.0323010  0.6907864  0.7220774
1403715894.784058  0.0790896 -0.2218177 -0.0219061 -0.0172654  0.0332594  0.6934959  0.7194853
1403715894.834058  0.0822165 -0.2351245 -0.0188475 -0.0139925  0.0358880  0.6955950  0.7174008
1403715894.884058  0.0851005 -0.2494160 -0.0161969 -0.0108046  0.0395627  0.6965175  0.7163668
1403715894.934058  0.0892662 -0.2639290 -0.0145699 -0.0085458  0.0430272  0.6964724  0.7162415
1403715894.984058  0.0943444 -0.2786107 -0.0112029 -0.0070688  0.0454743  0.6968233  0.7157649
1403715895.034058  0.0999195 -0.2924628 -0.0082444 -0.0061712  0.0469132  0.6968058  0.7156974
1403715895.084058  0.1020717 -0.3061452 -0.0048079 -0.0055319  0.0493610  0.6959761  0.7163450
1403715895.134058  0.1078616 -0.3185921 -0.0033351 -0.0049906  0.0494358  0.6971510  0.7152005
1403715895.184058  0.1098268 -0.3331440  0.0002667 -0.0045766  0.0510381  0.6972454  0.7149986
1403715895.234058  0.1132843 -0.3456574  0.0015280 -0.0040317  0.0512227  0.6983291  0.7139303
