#frame_time_stamp time_proc time_total
1403715886.584058 0.018691 0.018800
1403715886.634058 0.010138 0.010236
1403715886.684058 0.014156 0.014226
1403715886.734058 0.015586 0.015656
1403715886.784058 0.014942 0.015012
1403715886.834058 0.013557 0.013627
1403715886.884058 0.016134 0.016204
1403715886.934058 0.013856 0.013925
1403715886.984058 0.014551 0.014621
1403715887.034058 0.016495 0.016624
1403715887.084058 0.014679 0.014749
1403715887.134058 0.012923 0.012993
1403715887.184058 0.015955 0.016024
1403715887.234058 0.016124 0.016194
1403715887.284058 0.014566 0.014638
1403715887.334058 0.015694 0.015764
1403715887.384058 0.014612 0.014682
1403715887.434058 0.015428 0.015498
1403715887.484058 0.014964 0.015035
1403715887.534058 0.014466 0.014536
1403715887.584058 0.014917 0.014988
1403715887.634058 0.016154 0.016312
1403715887.684058 0.014546 0.014617
1403715887.734058 0.014961 0.015032
1403715887.784058 0.013768 0.013838
1403715887.834058 0.016507 0.016578
1403715887.884058 0.013546 0.013617
1403715887.934058 0.014227 0.014298
1403715887.984058 0.016198 0.016357
1403715888.034058 0.015368 0.015439
1403715888.084058 0.016244 0.016315
1403715888.134058 0.015715 0.015786
1403715888.184058 0.015432 0.015504
1403715888.234058 0.016044 0.016115
1403715888.284058 0.015436 0.015508
1403715888.334058 0.016097 0.016168
1403715888.384058 0.015081 0.015151
1403715888.434058 0.015226 0.015297
1403715888.484058 0.015937 0.016009
1403715888.534058 0.015383 0.015456
1403715888.584058 0.016351 0.016424
1403715888.634058 0.016407 0.016479
1403715888.684058 0.015640 0.015712
1403715888.734058 0.013071 0.013144
1403715888.784058 0.015906 0.015979
1403715888.834058 0.015342 0.015416
1403715888.884058 0.015042 0.015115
1403715888.934058 0.016437 0.016510
1403715888.984058 0.016325 0.016397
1403715889.034058 0.014846 0.014919
1403715889.084058 0.015914 0.015987
1403715889.134058 0.014863 0.014935
1403715889.184058 0.014145 0.014218
1403715889.234058 0.014686 0.014760
1403715889.284058 0.015366 0.015440
1403715889.334058 0.016179 0.016252
1403715889.384058 0.016558 0.016631
1403715889.434058 0.014597 0.014670
1403715889.484058 0.015729 0.015802
1403715889.534058 0.016816 0.016889
1403715889.584058 0.015646 0.015720
1403715889.634058 0.014967 0.015041
1403715889.684058 0.016165 0.016239
1403715889.734058 0.016596 0.016830
1403715889.784058 0.016346 0.016420
1403715889.834058 0.014855 0.014929
1403715889.884058 0.016333 0.016406
1403715889.934058 0.016941 0.017016
1403715889.984058 0.016734 0.016808
1403715890.034058 0.014943 0.015021
1403715890.084058 0.016350 0.016424
1403715890.134058 0.016512 0.016589
1403715890.184058 0.014969 0.015085
1403715890.234058 0.015282 0.015357
1403715890.284058 0.016230 0.016303
1403715890.334058 0.016482 0.016557
