#frame_time_stamp time_proc time_total
1311870427.231132 0.019780 0.019896
1311870427.263210 0.017119 0.017199
1311870427.299143 0.018124 0.018205
1311870427.331187 0.018343 0.018423
1311870427.363116 0.017753 0.017833
1311870427.399237 0.017534 0.017614
1311870427.431127 0.017696 0.017783
1311870427.463385 0.019241 0.019321
1311870427.499447 0.019050 0.019130
1311870427.531159 0.017988 0.018068
1311870427.563190 0.017656 0.017736
1311870427.599086 0.017446 0.017528
1311870427.631114 0.015083 0.015164
1311870427.663429 0.018477 0.018558
1311870427.699151 0.016912 0.016994
1311870427.731118 0.017301 0.017381
1311870427.763327 0.016917 0.016998
1311870427.799196 0.016747 0.016828
1311870427.831457 0.018658 0.018739
1311870427.863134 0.017221 0.017301
1311870427.899231 0.016873 0.016955
1311870427.931111 0.017171 0.017252
1311870427.963137 0.017250 0.017331
1311870427.999083 0.016421 0.016510
1311870428.031250 0.016708 0.016789
1311870428.063193 0.016655 0.016737
1311870428.099167 0.016469 0.016552
1311870428.131267 0.016618 0.016754
1311870428.163279 0.016620 0.016701
1311870428.199270 0.018020 0.018102
1311870428.231191 0.015480 0.015594
1311870428.263420 0.018724 0.018805
1311870428.299170 0.016617 0.016705
1311870428.331174 0.015090 0.015199
1311870428.363160 0.017101 0.017181
1311870428.399340 0.017966 0.018047
1311870428.431153 0.013770 0.013865
1311870428.463176 0.017043 0.017124
1311870428.499303 0.018396 0.018477
1311870428.531230 0.013632 0.013727
1311870428.563181 0.017460 0.017554
1311870428.599270 0.018375 0.018458
1311870428.631378 0.014187 0.014270
1311870428.663196 0.016998 0.017079
1311870428.699275 0.018261 0.018343
1311870428.731171 0.014477 0.014559
1311870428.763173 0.017074 0.017155
1311870428.799280 0.018361 0.018444
1311870428.831376 0.014394 0.014476
1311870428.863232 0.017100 0.017184
1311870428.899406 0.018440 0.018522
1311870428.931143 0.015068 0.015149
1311870428.963255 0.016987 0.017070
1311870428.999316 0.018160 0.018242
1311870429.031368 0.014400 0.014482
1311870429.063298 0.016791 0.016873
1311870429.099362 0.018023 0.018105
1311870429.131434 0.018378 0.018682
1311870429.163291 0.016570 0.016652
1311870429.199396 0.017951 0.018035
1311870429.231437 0.016456 0.016539
1311870429.263266 0.015404 0.015486
1311870429.299443 0.015990 0.016073
1311870429.331255 0.017169 0.017251
1311870429.363267 0.015511 0.015594
1311870429.399320 0.016185 0.016278
1311870429.431354 0.016331 0.016480
1311870429.463269 0.017008 0.017097
1311870429.499243 0.015084 0.015166
1311870429.531208 0.015378 0.015460
1311870429.563312 0.015300 0.015386
1311870429.599449 0.016019 0.016102
1311870429.631293 0.015469 0.015552
1311870429.663354 0.015193 0.015277
1311870429.699491 0.015890 0.015974
1311870429.731303 0.015352 0.015434
1311870429.763313 0.015421 0.015504
1311870429.799489 0.016014 0.016099
1311870429.831318 0.015396 0.015481
1311870429.863196 0.015611 0.015694
1311870429.899470 0.017183 0.017278
1311870429.931446 0.015642 0.015728
1311870429.963465 0.016488 0.016580
1311870429.999478 0.016306 0.016392
1311870430.031269 0.015432 0.015516
1311870430.063451 0.016251 0.016350
1311870430.099355 0.016257 0.016345
1311870430.131369 0.016327 0.016411
1311870430.163315 0.015341 0.015426
1311870430.199392 0.015922 0.016007
1311870430.231223 0.015487 0.015572
1311870430.263346 0.015374 0.015459
1311870430.299384 0.015755 0.015842
1311870430.331664 0.016129 0.016214
1311870430.363389 0.015419 0.015503
1311870430.399281 0.016730 0.016817
1311870430.431391 0.015836 0.015921
1311870430.463459 0.016501 0.016586
1311870430.499344 0.016589 0.016676
1311870430.531454 0.015399 0.015485
1311870430.563500 0.016404 0.016490
1311870430.599385 0.016527 0.016614
