#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1225719852.513375  0.0185418 -0.0023621  0.0874666 -0.0197532 -0.0377106  0.7067565  0.7061749
1225719852.563376  0.0182706 -0.0016033  0.0942822 -0.0200433 -0.0375387  0.7067419  0.7061905
1225719852.613376  0.0197382 -0.0018068  0.0988832 -0.0207759 -0.0373857  0.7066458  0.7062736
1225719852.663369  0.0210186 -0.0022041  0.1046294 -0.0212736 -0.0366309  0.7065582  0.7063859
1225719852.713369  0.0223654 -0.0025026  0.1099094 -0.0212694 -0.0351722  0.7064920  0.7065265
1225719852.763369  0.0237926 -0.0027582  0.1155629 -0.0210250 -0.0335372  0.7065037  0.7066015
1225719852.813368  0.0253392 -0.0028099  0.1215154 -0.0207095 -0.0323903  0.7065345  0.7066336
1225719852.863361  0.0269669 -0.0029794  0.1275308 -0.0202103 -0.0317948  0.7065508  0.7066587
1225719852.913360  0.0285376 -0.0030311  0.1339743 -0.0190633 -0.0316232  0.7066269  0.7066222
1225719852.963360  0.0302672 -0.0030939  0.1403275 -0.0177651 -0.0316395  0.7067599  0.7065223
1225719853.013353  0.0322151 -0.0029936  0.1471442 -0.0164051 -0.0315487  0.7069506  0.7063684
1225719853.063354  0.0341349 -0.0029679  0.1540690 -0.0150423 -0.0308383  0.7071098  0.7062708
1225719853.113354  0.0359901 -0.0031165  0.1608711 -0.0142040 -0.0295048  0.7071847  0.7062701
1225719853.163354  0.0378212 -0.0034404  0.1679763 -0.0140483 -0.0278419  0.7071677  0.7063578
1225719853.213347  0.0397135 -0.0038958  0.1751575 -0.0140617 -0.0260445  0.7070199  0.7065740
1225719853.263346  0.0415270 -0.0043435  0.1825941 -0.0137907 -0.0241742  0.7066701  0.7069956
1225719853.313346  0.0433428 -0.0048615  0.1902067 -0.0133635 -0.0224740  0.7063521  0.7073776
1225719853.363347  0.0453390 -0.0052877  0.1978222 -0.0129839 -0.0211250  0.7061156  0.7076623
1225719853.413338  0.0471126 -0.0055505  0.2058424 -0.0125476 -0.0201723  0.7060143  0.7077990
1225719853.463338  0.0490669 -0.0058311  0.2138661 -0.0119279 -0.0198559  0.7057735  0.7080588
1225719853.513339  0.0509558 -0.0059592  0.2220160 -0.0108352 -0.0204642  0.7057217  0.7081107
1225719853.563332  0.0529506 -0.0062363  0.2303924 -0.0091721 -0.0220709  0.7054140  0.7083925
1225719853.613333  0.0550010 -0.0064714  0.2385040 -0.0067829 -0.0243056  0.7051724  0.7085867
1225719853.663332  0.0570397 -0.0066872  0.2466908 -0.0040801 -0.0268040  0.7048009  0.7088869
1225719853.713332  0.0592595 -0.0071735  0.2549044 -0.0014952 -0.0293072  0.7042696  0.7093259
1225719853.763324  0.0612905 -0.0078313  0.2633887  0.0006289 -0.0319754  0.7036959  0.7097811
1225719853.813325  0.0633065 -0.0087157  0.2716907  0.0023876 -0.0345429  0.7029793  0.7103670
1225719853.863323  0.0653179 -0.0096377  0.2802246  0.0038088 -0.0366408  0.7022119  0.7110144
1225719853.913324  0.0675163 -0.0107192  0.2885668  0.0045185 -0.0379235  0.7013606  0.7117828
1225719853.963316  0.0694640 -0.0119277  0.2972287  0.0040513 -0.0384160  0.7006215  0.7124868
1225719854.013316  0.0713476 -0.0133154  0.3057314  0.0028849 -0.0381332  0.6997287  0.7133844
1225719854.063317  0.0733745 -0.0147892  0.3142847  0.0017343 -0.0374100  0.6988747  0.7142630
1225719854.113317  0.0754940 -0.0162839  0.3227736  0.0012229 -0.0371459  0.6978845  0.7152453
1225719854.163309  0.0773856 -0.0176323  0.3314321  0.0013538 -0.0379342  0.6969410  0.7161232
1225719854.213310  0.0793169 -0.0186685  0.3400437  0.0020697 -0.0398330  0.6963265  0.7166160
1225719854.263310  0.0813980 -0.0192384  0.3487491  0.0033287 -0.0424253  0.6961018  0.7166808
1225719854.313301  0.0834097 -0.0194203  0.3576259  0.0048752 -0.0450608  0.6962834  0.7163345
1225719854.363302  0.0854688 -0.0194873  0.3666457  0.0060956 -0.0472918  0.6966718  0.7158036
1225719854.413301  0.0877676 -0.0197355  0.3757097  0.0062876 -0.0486814  0.6968337  0.7155511
1225719854.463301  0.0899578 -0.0207646  0.3849595  0.0053043 -0.0491221  0.6965415  0.7158134
1225719854.513294  0.0921047 -0.0224252  0.3941282  0.0038375 -0.0494922  0.6955724  0.7167390
1225719854.563293  0.0941732 -0.0248430  0.4034236  0.0030027 -0.0504710  0.6938980  0.7182960
1225719854.613293  0.0962639 -0.0273809  0.4125140  0.0036189 -0.0523062  0.6918346  0.7201499
1225719854.663294  0.0984460 -0.0297210  0.4213841  0.0053812 -0.0540092  0.6901428  0.7216350
1225719854.713287  0.1006873 -0.0315633  0.4303319  0.0072348 -0.0546225  0.6889698  0.7226926
1225719854.763286  0.1030118 -0.0330099  0.4396195  0.0086981 -0.0544096  0.6883319  0.7233001
1225719854.813286  0.1054317 -0.0343283  0.4487703  0.0098927 -0.0541765  0.6878083  0.7238002
1225719854.863285  0.1078220 -0.0359247  0.4583023  0.0111806 -0.0545912  0.6871594  0.7243664
1225719854.913279  0.1101545 -0.0377401  0.4679941  0.0126757 -0.0559297  0.6862276  0.7251226
1225719854.963279  0.1124559 -0.0392591  0.4776001  0.0147103 -0.0584722  0.6856062  0.7254714
1225719855.013282  0.1150257 -0.0404626  0.4874942  0.0171913 -0.0619069  0.6850506  0.7256567
1225719855.063272  0.1172072 -0.0411198  0.4977846  0.0196552 -0.0655251  0.6853706  0.7249740
1225719855.113271  0.1198222 -0.0412889  0.5080296  0.0214112 -0.0689076  0.6861646  0.7238588
1225719855.163272  0.1225883 -0.0413858  0.5184854  0.0227178 -0.0716471  0.6871573  0.7226101
1225719855.213272  0.1252274 -0.0417320  0.5290755  0.0237927 -0.0738767  0.6879451  0.7216008
1225719855.263263  0.1275948 -0.0427033  0.5395868  0.0247810 -0.0754291  0.6885280  0.7208506
1225719855.313262  0.1302179 -0.0438945  0.5502047  0.0254853 -0.0764794  0.6888304  0.7204263
1225719855.363267  0.1329966 -0.0452139  0.5608732  0.0259872 -0.0771012  0.6891444  0.7200417
1225719855.413264  0.1357390 -0.0465868  0.5716654  0.0263009 -0.0774638  0.6894250  0.7197227
1225719855.463257  0.1385241 -0.0479342  0.5826081  0.0264910 -0.0774861  0.6898031  0.7193509
1225719855.513256  0.1414542 -0.0491653  0.5935240  0.0264166 -0.0771022  0.6903618  0.7188588
1225719855.563256  0.1441803 -0.0505319  0.6047847  0.0259016 -0.0763804  0.6908091  0.7185248
1225719855.613250  0.1469027 -0.0519342  0.6159558  0.0252559 -0.0754602  0.6913278  0.7181461
1225719855.663249  0.1496902 -0.0535538  0.6274431  0.0246232 -0.0745363  0.6915441  0.7180563
1225719855.713249  0.1524000 -0.0553180  0.6389002  0.0241710 -0.0737467  0.6917072  0.7179961
1225719855.763248  0.1551434 -0.0569615  0.6505016  0.0236698 -0.0733432  0.6917618  0.7180015
1225719855.813242  0.1579846 -0.0585691  0.6624830  0.0226167 -0.0733957  0.6919156  0.7178818
