#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1.166667 0.0149443 0.0097616 0.0012065 -0.0207950  0.0100248  0.6977112  0.7160071
1.200000 0.0124675 0.0096942 0.0013776 -0.0222542  0.0135482  0.6962480  0.7173283
1.233333 0.0115268 0.0091784 0.0020212 -0.0272366  0.0193017  0.6930941  0.7200737
1.266667 0.0132322 0.0105579 0.0023955 -0.0302666  0.0213321  0.6915229  0.7214048
1.300000 0.0139349 0.0106881 0.0028824 -0.0334350  0.0237930  0.6902331  0.7224225
1.333333 0.0137078 0.0106676 0.0032807 -0.0362460  0.0268977  0.6888590  0.7234888
1.366667 0.0136128 0.0111419 0.0034863 -0.0384328  0.0305375  0.6874877  0.7245351
1.400000 0.0137939 0.0121397 0.0038399 -0.0411283  0.0340347  0.6858613  0.7257716
1.433333 0.0129700 0.0117083 0.0040784 -0.0447226  0.0382726  0.6839820  0.7271201
1.466667 0.0135252 0.0126476 0.0045540 -0.0484608  0.0411371  0.6821008  0.7284901
1.500000 0.0144347 0.0174781 0.0047021 -0.0489535  0.0419792  0.6782809  0.7319674
1.533333 0.0161714 0.0309402 0.0055487 -0.0457572  0.0388345  0.6769562  0.7335724
1.566667 0.0156616 0.0317114 0.0052446 -0.0490918  0.0423059  0.6751969  0.7347853
1.600000 0.0156646 0.0315946 0.0057045 -0.0528006  0.0464098  0.6736344  0.7357139
1.633333 0.0165016 0.0333864 0.0044444 -0.0557807  0.0491784  0.6722129  0.7366138
1.666667 0.0165473 0.0334606 0.0044459 -0.0592391  0.0528679  0.6706291  0.7375313
1.700000 0.0168056 0.0340810 0.0045059 -0.0625904  0.0562575  0.6690346  0.7384512
1.733333 0.0164167 0.0348328 0.0044870 -0.0656935  0.0600881  0.6675147  0.7392550
1.766667 0.0162862 0.0354400 0.0048733 -0.0690206  0.0639554  0.6657071  0.7402566
1.800000 0.0160536 0.0359317 0.0049280 -0.0727641  0.0673071  0.6642203  0.7409362
1.833333 0.0165848 0.0354606 0.0049209 -0.0773661  0.0702490  0.6623821  0.7418420
1.866667 0.0170386 0.0364828 0.0049103 -0.0808043  0.0733054  0.6604991  0.7428579
1.900000 0.0172648 0.0364088 0.0052202 -0.0843719  0.0765415  0.6580105  0.7443420
1.933333 0.0166789 0.0367017 0.0048644 -0.0877497  0.0801656  0.6553737  0.7458946
1.966667 0.0166860 0.0374157 0.0049308 -0.0909421  0.0836158  0.6530844  0.7471404
2.000000 0.0172114 0.0372930 0.0051618 -0.0944692  0.0873611  0.6503081  0.7486942
2.033333 0.0169787 0.0380028 0.0048617 -0.0971717  0.0908167  0.6476144  0.7502703
2.066667 0.0173689 0.0383139 0.0045646 -0.1008332  0.0940803  0.6448894  0.7517308
2.100000 0.0174136 0.0399795 0.0045068 -0.1039737  0.0970421  0.6425916  0.7528933
2.133333 0.0168439 0.0410750 0.0034990 -0.1067665  0.1008018  0.6402246  0.7540241
2.166667 0.0172396 0.0418010 0.0027001 -0.1100203  0.1043116  0.6379153  0.7550356
2.200000 0.0173657 0.0423336 0.0025439 -0.1136878  0.1082763  0.6354805  0.7559867
2.233333 0.0178050 0.0434586 0.0017790 -0.1172788  0.1117255  0.6328434  0.7571475
2.266667 0.0181408 0.0433858 0.0016642 -0.1210819  0.1153902  0.6300475  0.7583300
2.300000 0.0184393 0.0444961 0.0010920 -0.1241340  0.1189504  0.6272851  0.7595755
2.333333 0.0183543 0.0448521 0.0008748 -0.1268619  0.1227397  0.6245648  0.7607626
2.366667 0.0184065 0.0460875 0.0000323 -0.1297999  0.1259851  0.6216992  0.7620826
2.400000  0.0185374  0.0468387 -0.0004879 -0.1329432  0.1297504  0.6190140  0.7630941
