#frame_time_stamp time_proc time_total
0.066667 0.013646 0.013723
0.100000 0.013191 0.013235
0.133333 0.011368 0.011412
0.166667 0.012239 0.012338
0.200000 0.012779 0.012893
0.233333 0.010911 0.010955
0.266667 0.011692 0.011803
0.300000 0.011300 0.011400
0.333333 0.011406 0.011513
0.366667 0.011008 0.011114
0.400000 0.011223 0.011322
0.433333 0.011204 0.011304
0.466667 0.010976 0.011083
0.500000 0.010968 0.011067
0.533333 0.010699 0.010799
0.566667 0.010862 0.010960
0.600000 0.010715 0.010814
0.633333 0.010824 0.010923
0.666667 0.010225 0.010316
0.700000 0.010457 0.010556
0.733333 0.008741 0.008798
0.766667 0.009974 0.010072
0.800000 0.009838 0.009937
0.833333 0.007887 0.007930
0.866667 0.009546 0.009657
0.900000 0.009782 0.009880
0.933333 0.007948 0.007995
0.966667 0.009683 0.009783
1.000000 0.009877 0.009976
1.033333 0.010037 0.010156
1.066667 0.009722 0.009821
1.100000 0.009876 0.009974
1.133333 0.010162 0.010260
1.166667 0.011989 0.012074
1.200000 0.012191 0.012240
1.233333 0.009163 0.009211
1.266667 0.011079 0.011126
1.300000 0.011894 0.011942
1.333333 0.010288 0.010309
1.366667 0.009598 0.009647
1.400000 0.010492 0.010540
1.433333 0.010660 0.010714
1.466667 0.011052 0.011117
1.500000 0.011659 0.011725
1.533333 0.012502 0.012559
1.566667 0.011444 0.011504
1.600000 0.012674 0.012731
1.633333 0.012645 0.012702
1.666667 0.012951 0.013010
1.700000 0.012574 0.012633
1.733333 0.011236 0.011293
1.766667 0.010651 0.010707
1.800000 0.012233 0.012294
1.833333 0.011417 0.011480
1.866667 0.012246 0.012310
1.900000 0.010586 0.010649
1.933333 0.012763 0.012825
1.966667 0.012659 0.012721
2.000000 0.010935 0.010997
2.033333 0.011546 0.011616
2.066667 0.011959 0.012025
2.100000 0.010811 0.010885
2.133333 0.011186 0.011253
2.166667 0.010600 0.010665
2.200000 0.011723 0.011789
2.233333 0.010111 0.010194
2.266667 0.012048 0.012077
2.300000 0.009691 0.009751
2.333333 0.012118 0.012187
2.366667 0.012777 0.012846
2.400000 0.011097 0.011165
2.433333 0.013214 0.013283
2.466667 0.011199 0.011274
2.500000 0.013028 0.013096
2.533333 0.011643 0.011712
2.566667 0.012154 0.012226
2.600000 0.013054 0.013132
2.633333 0.010943 0.011019
2.666667 0.008967 0.009044
2.700000 0.012160 0.012233
2.733333 0.011210 0.011289
2.766667 0.010898 0.010970
2.800000 0.011403 0.011475
2.833333 0.011034 0.011109
2.866667 0.012526 0.012605
2.900000 0.011398 0.011475
2.933333 0.013295 0.013441
2.966667 0.009716 0.009795
3.000000 0.012159 0.012247
3.033333 0.012081 0.012175
3.066667 0.012332 0.012420
3.100000 0.011183 0.011258
3.133333 0.012002 0.012077
3.166667 0.012213 0.012292
3.200000 0.011682 0.011760
3.233333 0.010328 0.010406
3.266667 0.011030 0.011118
3.300000 0.010812 0.010905
3.333333 0.011534 0.011612
3.366667 0.012361 0.012440
3.400000 0.010149 0.010227
3.433333 0.012030 0.012108
3.466667 0.011612 0.011690
3.500000 0.009188 0.009267
3.533333 0.011669 0.011748
3.566667 0.011286 0.011364
3.600000 0.011009 0.011088
3.633333 0.009438 0.009521
3.666667 0.012895 0.012976
3.700000 0.011107 0.011186
3.733333 0.010466 0.010547
3.766667 0.010499 0.010584
3.800000 0.010675 0.010780
3.833333 0.008703 0.008798
3.866667 0.011886 0.011969
3.900000 0.011412 0.011495
3.933333 0.011380 0.011462
3.966667 0.011137 0.011220
4.000000 0.009800 0.009882
4.033333 0.012081 0.012165
4.066667 0.011140 0.011216
4.100000 0.012798 0.012880
4.133333 0.012086 0.012168
4.166667 0.012099 0.012183
4.200000 0.012039 0.012127
4.233333 0.013189 0.013275
4.266667 0.010771 0.010866
4.300000 0.012183 0.012269
4.333333 0.014066 0.014190
4.366667 0.014812 0.014907
4.400000 0.013498 0.013536
4.433333 0.012178 0.012251
4.466667 0.014879 0.014967
4.500000 0.014421 0.014460
4.533333 0.010709 0.010779
4.566667 0.015033 0.015124
4.600000 0.013842 0.013882
4.633333 0.011376 0.011458
4.666667 0.013577 0.013668
4.700000 0.013469 0.013509
4.733333 0.011074 0.011151
4.766667 0.014147 0.014235
4.800000 0.014048 0.014103
4.833333 0.013644 0.013741
4.866667 0.015114 0.015209
4.900000 0.014496 0.014539
4.933333 0.010735 0.010818
4.966667 0.014672 0.014770
5.000000 0.014953 0.014994
5.033333 0.010888 0.010968
5.066667 0.013054 0.013158
5.100000 0.013937 0.013978
5.133333 0.011927 0.012002
5.166667 0.012835 0.012941
5.200000 0.012847 0.012941
5.233333 0.015684 0.015726
5.266667 0.013181 0.013225
5.300000 0.012288 0.012374
5.333333 0.013458 0.013552
5.366667 0.015082 0.015183
5.400000 0.014189 0.014231
5.433333 0.011332 0.011413
5.466667 0.014776 0.014871
5.500000 0.013580 0.013623
5.533333 0.011211 0.011294
5.566667 0.015116 0.015217
5.600000 0.014183 0.014234
5.633333 0.010715 0.010795
5.666667 0.014626 0.014725
5.700000 0.013486 0.013530
5.733333 0.011446 0.011545
5.766667 0.013589 0.013688
5.800000 0.013936 0.013981
5.833333 0.014706 0.014749
5.866667 0.013392 0.013436
5.900000 0.014332 0.014376
5.933333 0.010276 0.010355
5.966667 0.015460 0.015558
6.000000 0.013952 0.013996
6.033333 0.011799 0.011882
6.066667 0.013311 0.013404
6.100000 0.013758 0.013803
6.133333 0.010404 0.010486
6.166667 0.014246 0.014360
6.200000 0.012618 0.012721
6.233333 0.013748 0.013850
6.266667 0.015092 0.015194
6.300000 0.014933 0.014978
6.333333 0.009764 0.009845
6.366667 0.014077 0.014180
6.400000 0.013894 0.013940
6.433333 0.010582 0.010664
6.466667 0.012698 0.012744
6.500000 0.012703 0.012785
6.533333 0.013719 0.013829
6.566667 0.013547 0.013654
6.600000 0.013516 0.013564
6.633333 0.012272 0.012367
6.666667 0.014378 0.014502
6.700000 0.014195 0.014242
6.733333 0.010086 0.010171
6.766667 0.014055 0.014168
6.800000 0.013660 0.013707
6.833333 0.013825 0.013932
6.866667 0.011761 0.011881
6.900000 0.013056 0.013162
6.933333 0.013932 0.014043
6.966667 0.014208 0.014302
7.000000 0.011047 0.011146
7.033333 0.012147 0.012260
7.066667 0.010370 0.010491
7.100000 0.012049 0.012159
7.133333 0.010240 0.010350
7.166667 0.009924 0.010034
7.200000 0.010521 0.010636
7.233333 0.013843 0.013938
7.266667 0.009824 0.009927
7.300000 0.010070 0.010186
7.333333 0.009293 0.009372
7.366667 0.009589 0.009704
7.400000 0.008786 0.008898
7.433333 0.009145 0.009216
7.466667 0.012279 0.012391
7.500000 0.011498 0.011631
7.533333 0.009567 0.009643
7.566667 0.010748 0.010871
7.600000 0.010646 0.010771
7.633333 0.008128 0.008191
7.666667 0.009660 0.009787
7.700000 0.009352 0.009475
7.733333 0.008009 0.008078
7.766667 0.008747 0.008873
7.800000 0.010251 0.010389
7.833333 0.009937 0.010067
7.866667 0.009426 0.009556
7.900000 0.009078 0.009223
7.933333 0.009246 0.009374
7.966667 0.009826 0.009958
8.000000 0.009926 0.010032
8.033333 0.009474 0.009594
8.066667 0.009460 0.009591
8.100000 0.009376 0.009520
8.133333 0.010110 0.010263
8.166667 0.007880 0.008012
8.200000 0.009011 0.009164
8.233333 0.009502 0.009608
8.266667 0.009668 0.009803
8.300000 0.010048 0.010188
8.333333 0.010092 0.010245
8.366667 0.010695 0.010885
8.400000 0.008006 0.008160
8.433333 0.008827 0.008975
8.466667 0.009745 0.009891
8.500000 0.009902 0.010014
8.533333 0.009459 0.009588
8.566667 0.010180 0.010325
8.600000 0.009542 0.009699
8.633333 0.009701 0.009850
8.666667 0.009263 0.009404
8.700000 0.008895 0.009062
8.733333 0.009369 0.009548
8.766667 0.009501 0.009610
8.800000 0.010322 0.010458
8.833333 0.010439 0.010586
8.866667 0.008998 0.009143
