#frame_time_stamp time_proc time_total
3192918780.391208 0.015895 0.015981
3192918780.424208 0.015245 0.015298
3192918780.457209 0.015210 0.015303
3192918780.490209 0.016284 0.016335
3192918780.523209 0.012612 0.012706
3192918780.556210 0.014739 0.014792
3192918780.589210 0.012641 0.012735
3192918780.622210 0.015697 0.015749
3192918780.655211 0.011765 0.011865
3192918780.688210 0.014215 0.014266
3192918780.721211 0.010414 0.010521
3192918780.754211 0.012116 0.012232
3192918780.787212 0.012049 0.012164
3192918780.820211 0.011104 0.011220
3192918780.853213 0.011174 0.011289
3192918780.886212 0.010495 0.010612
3192918780.919213 0.009633 0.009749
3192918780.952212 0.009576 0.009692
3192918780.985214 0.009541 0.009657
3192918781.018213 0.009268 0.009384
3192918781.051214 0.008979 0.009094
3192918781.084214 0.009889 0.010004
3192918781.117214 0.008823 0.008938
3192918781.150214 0.008565 0.008679
3192918781.183215 0.008563 0.008679
3192918781.216215 0.008200 0.008316
3192918781.249215 0.007973 0.008088
3192918781.282215 0.007711 0.007840
3192918781.315216 0.007951 0.008066
3192918781.348216 0.008063 0.008178
3192918781.381216 0.007902 0.008018
3192918781.414216 0.007736 0.007852
3192918781.447217 0.007870 0.007985
3192918781.480217 0.007367 0.007484
3192918781.513217 0.007585 0.007701
3192918781.546217 0.007554 0.007671
3192918781.579217 0.007285 0.007403
3192918781.612217 0.004511 0.004585
3192918781.645217 0.006883 0.006999
3192918781.678218 0.007332 0.007448
3192918781.711219 0.007426 0.007543
3192918781.744218 0.007149 0.007265
3192918781.777220 0.007108 0.007226
3192918781.810219 0.007066 0.007184
3192918781.843220 0.007162 0.007279
3192918781.876219 0.007052 0.007169
3192918781.909220 0.006955 0.007073
3192918781.942220 0.006838 0.006954
3192918781.975220 0.006862 0.006978
3192918782.008221 0.006710 0.006827
3192918782.041221 0.006656 0.006773
3192918782.074221 0.006781 0.006899
3192918782.107221 0.006688 0.006806
3192918782.140222 0.006840 0.006957
3192918782.173222 0.006843 0.006960
3192918782.206222 0.006807 0.006925
3192918782.239223 0.006890 0.007007
3192918782.272223 0.006696 0.006813
3192918782.305223 0.006643 0.006760
3192918782.338223 0.006704 0.006822
3192918782.371224 0.006730 0.006860
3192918782.404223 0.006768 0.006884
3192918782.437224 0.006715 0.006832
3192918782.470224 0.006615 0.006731
3192918782.503225 0.006585 0.006701
3192918782.536224 0.006655 0.006772
3192918782.569225 0.006694 0.006811
3192918782.602225 0.006809 0.006926
3192918782.635226 0.006747 0.006864
3192918782.668225 0.006893 0.007010
3192918782.701226 0.006979 0.007096
3192918782.734226 0.007001 0.007117
3192918782.767226 0.006937 0.007053
3192918782.800226 0.006940 0.007058
3192918782.833227 0.007073 0.007190
3192918782.866227 0.006881 0.006998
3192918782.899227 0.006826 0.006942
3192918782.932228 0.006923 0.007040
3192918782.965228 0.011130 0.011275
3192918782.998228 0.010151 0.010204
3192918783.031228 0.012959 0.012983
3192918783.064229 0.012297 0.012340
3192918783.097229 0.013042 0.013066
3192918783.130229 0.011829 0.011874
3192918783.163229 0.012824 0.012877
3192918783.196229 0.013935 0.013958
3192918783.229229 0.011823 0.011870
3192918783.262229 0.015983 0.016006
3192918783.295231 0.013403 0.013449
3192918783.328230 0.013364 0.013423
3192918783.361231 0.013248 0.013271
3192918783.394230 0.010791 0.010835
3192918783.427232 0.012306 0.012362
3192918783.460231 0.014352 0.014387
3192918783.493232 0.013027 0.013054
3192918783.526232 0.011474 0.011527
3192918783.559232 0.016049 0.016077
3192918783.592232 0.011325 0.011375
3192918783.625232 0.014861 0.014938
3192918783.658233 0.016198 0.016229
3192918783.691233 0.015609 0.015690
3192918783.724233 0.011843 0.011907
3192918783.757235 0.013942 0.013974
3192918783.790234 0.011408 0.011469
3192918783.823234 0.012682 0.012780
3192918783.864410 0.013397 0.013430
3192918783.893323 0.009590 0.009648
3192918783.928367 0.012950 0.012980
3192918783.960345 0.010092 0.010150
