#frame_time_stamp time_proc time_total
1520617230.108111 0.013316 0.013389
1520617230.158112 0.009364 0.009442
1520617230.208114 0.009882 0.009960
1520617230.258116 0.009739 0.009817
1520617230.308117 0.009647 0.009725
1520617230.358119 0.009430 0.009509
1520617230.408120 0.008778 0.008856
1520617230.458122 0.009361 0.009439
1520617230.508143 0.008904 0.008983
1520617230.558146 0.009254 0.009332
1520617230.608147 0.009754 0.009833
1520617230.658149 0.009667 0.009745
1520617230.708150 0.009420 0.009499
1520617230.758152 0.009431 0.009509
1520617230.808153 0.009088 0.009166
1520617230.858155 0.009096 0.009174
1520617230.908147 0.009205 0.009283
1520617230.958149 0.009009 0.009105
1520617231.008150 0.008895 0.008973
1520617231.058152 0.008500 0.008534
1520617231.108153 0.008909 0.008988
1520617231.158155 0.008856 0.008951
1520617231.208247 0.009062 0.009139
1520617231.258158 0.008714 0.008793
1520617231.308139 0.008719 0.008798
1520617231.358140 0.008722 0.008757
1520617231.408142 0.008892 0.008970
1520617231.458143 0.008812 0.008847
1520617231.508146 0.009109 0.009187
1520617231.558146 0.008847 0.008925
1520617231.608149 0.008918 0.008996
1520617231.658149 0.008909 0.008987
1520617231.708106 0.009807 0.009884
1520617231.758107 0.008939 0.009017
1520617231.808109 0.008599 0.008678
1520617231.858111 0.008956 0.009033
1520617231.908112 0.008642 0.008720
1520617231.958114 0.008653 0.008732
1520617232.008115 0.008336 0.008415
1520617232.058117 0.008359 0.008444
1520617232.108118 0.008725 0.008803
1520617232.158113 0.008421 0.008505
1520617232.208113 0.008135 0.008213
1520617232.258116 0.008158 0.008235
1520617232.308117 0.008348 0.008426
1520617232.358119 0.008225 0.008303
1520617232.408120 0.007895 0.007966
1520617232.458122 0.008342 0.008420
1520617232.508125 0.008400 0.008478
1520617232.558158 0.008457 0.008534
1520617232.608160 0.008395 0.008474
1520617232.658163 0.008510 0.008587
1520617232.708168 0.008906 0.008983
1520617232.758165 0.008686 0.008763
1520617232.808167 0.008565 0.008643
1520617232.858168 0.008134 0.008210
1520617232.908170 0.008223 0.008301
1520617232.958165 0.008082 0.008159
1520617233.008166 0.008022 0.008099
1520617233.058168 0.007945 0.008022
1520617233.108170 0.007841 0.007918
1520617233.158171 0.007767 0.007844
1520617233.208173 0.007797 0.007874
1520617233.258174 0.008042 0.008119
1520617233.308176 0.007864 0.007942
1520617233.358197 0.007720 0.007799
1520617233.408199 0.007664 0.007741
1520617233.458201 0.007762 0.007839
1520617233.508202 0.007807 0.007885
1520617233.558204 0.007779 0.007857
1520617233.608205 0.007650 0.007727
1520617233.658207 0.007875 0.007953
1520617233.708208 0.007900 0.007978
1520617233.758235 0.007931 0.008010
1520617233.808237 0.007644 0.007721
1520617233.858239 0.007900 0.007973
1520617233.908240 0.007881 0.007959
1520617233.958242 0.007884 0.007976
1520617234.008243 0.007921 0.007999
1520617234.058245 0.007711 0.007789
1520617234.108246 0.008602 0.008680
1520617234.158233 0.007772 0.007851
1520617234.208234 0.007156 0.007194
1520617234.258236 0.007175 0.007249
1520617234.308237 0.007603 0.007680
1520617234.358239 0.007527 0.007605
1520617234.408241 0.007403 0.007482
1520617234.458242 0.007529 0.007607
1520617234.508243 0.007625 0.007703
1520617234.558245 0.007430 0.007508
1520617234.608360 0.008894 0.008971
1520617234.658362 0.007425 0.007516
1520617234.708364 0.007675 0.007752
1520617234.758365 0.007473 0.007550
1520617234.808367 0.007718 0.007796
1520617234.858368 0.007472 0.007550
1520617234.908370 0.017047 0.017092
1520617234.958371 0.009714 0.009756
1520617235.008370 0.010489 0.010581
1520617235.058372 0.006718 0.006773
1520617235.108373 0.011145 0.011241
1520617235.158375 0.011038 0.011129
1520617235.208376 0.010611 0.010704
1520617235.258378 0.013775 0.013909
1520617235.308379 0.015151 0.015173
1520617235.358381 0.012697 0.012744
1520617235.408336 0.016966 0.017119
1520617235.458338 0.014654 0.014690
1520617235.508339 0.013833 0.013857
1520617235.558341 0.012495 0.012523
1520617235.608342 0.013305 0.013400
1520617235.658343 0.012957 0.012983
1520617235.708345 0.014757 0.014781
1520617235.758349 0.014150 0.014201
1520617235.808436 0.014576 0.014601
1520617235.858438 0.013077 0.013101
1520617235.908439 0.014826 0.014852
1520617235.958444 0.015271 0.015295
1520617236.008442 0.014351 0.014380
1520617236.058444 0.015546 0.015584
1520617236.108472 0.015082 0.015115
1520617236.158447 0.016056 0.016082
1520617236.208462 0.014495 0.014521
1520617236.258463 0.015562 0.015587
1520617236.308465 0.014261 0.014287
1520617236.358466 0.015105 0.015130
1520617236.408468 0.014461 0.014489
1520617236.458469 0.015465 0.015507
1520617236.508471 0.014767 0.014853
1520617236.558472 0.015888 0.015916
1520617236.608474 0.014388 0.014416
1520617236.658486 0.015630 0.015693
1520617236.708487 0.013643 0.013674
1520617236.758489 0.013382 0.013443
1520617236.808490 0.014339 0.014381
1520617236.858492 0.014233 0.014383
1520617236.908493 0.012829 0.012896
1520617236.958495 0.015272 0.015302
1520617237.008497 0.014076 0.014108
1520617237.058559 0.014862 0.014894
1520617237.108560 0.013970 0.014001
1520617237.158562 0.014508 0.014573
1520617237.208563 0.013533 0.013589
1520617237.258565 0.015010 0.015043
1520617237.308566 0.013314 0.013348
1520617237.358568 0.016367 0.016403
1520617237.408569 0.013816 0.013860
1520617237.458640 0.014539 0.014575
1520617237.508641 0.013755 0.013792
1520617237.558643 0.015970 0.016009
1520617237.608644 0.014510 0.014597
1520617237.658646 0.014869 0.014909
1520617237.708647 0.016471 0.016511
1520617237.758703 0.015629 0.015669
1520617237.808650 0.013586 0.013625
1520617237.858612 0.015098 0.015137
1520617237.908614 0.013852 0.013891
1520617237.958615 0.013638 0.013724
1520617238.008617 0.014043 0.014084
1520617238.058618 0.016138 0.016180
1520617238.108620 0.013777 0.013818
1520617238.158621 0.014762 0.014805
1520617238.208623 0.014281 0.014390
1520617238.258472 0.015129 0.015172
1520617238.308473 0.014484 0.014531
1520617238.358475 0.015594 0.015639
1520617238.408476 0.014305 0.014352
1520617238.458478 0.015242 0.015290
1520617238.508479 0.014332 0.014378
1520617238.558481 0.015798 0.015844
1520617238.608482 0.013564 0.013621
1520617238.658516 0.014965 0.015012
1520617238.708519 0.013813 0.013860
1520617238.758520 0.014981 0.015029
1520617238.808521 0.015827 0.015943
1520617238.858523 0.014791 0.014840
1520617238.908524 0.015474 0.015588
1520617238.958526 0.013708 0.013823
1520617239.008528 0.013150 0.013202
1520617239.058529 0.014575 0.014673
1520617239.109113 0.014038 0.014045
1520617239.159115 0.015794 0.015798
1520617239.209116 0.014506 0.014510
1520617239.259118 0.015794 0.015798
1520617239.309121 0.013703 0.013707
1520617239.359121 0.015293 0.015302
1520617239.409203 0.014029 0.014033
1520617239.459124 0.014857 0.014867
1520617239.509168 0.014078 0.014156
1520617239.559169 0.009902 0.010024
1520617239.609171 0.012807 0.012941
1520617239.659172 0.016455 0.016521
1520617239.709174 0.016062 0.016124
1520617239.759175 0.016459 0.016525
1520617239.809177 0.014850 0.014917
1520617239.859179 0.015695 0.015774
1520617239.909082 0.014105 0.014171
1520617239.959084 0.015954 0.016019
1520617240.009085 0.014419 0.014486
1520617240.059087 0.016316 0.016382
1520617240.109088 0.015090 0.015157
1520617240.159090 0.014147 0.014216
1520617240.209092 0.015001 0.015068
1520617240.259093 0.017059 0.017127
1520617240.308762 0.016220 0.016287
1520617240.358763 0.014815 0.014882
1520617240.408766 0.015890 0.015958
1520617240.458766 0.015731 0.015803
1520617240.508768 0.012047 0.012135
1520617240.558770 0.014942 0.015026
1520617240.608771 0.013212 0.013288
1520617240.658773 0.013297 0.013375
1520617240.708356 0.015739 0.015811
1520617240.758358 0.016291 0.016362
1520617240.808360 0.016237 0.016307
1520617240.858361 0.018470 0.018540
1520617240.908363 0.015935 0.016014
1520617240.958364 0.017873 0.017952
1520617241.008366 0.016293 0.016365
1520617241.058367 0.017589 0.017661
1520617241.108386 0.016757 0.016829
1520617241.158386 0.017332 0.017405
1520617241.208389 0.017242 0.017315
1520617241.258389 0.018040 0.018112
1520617241.308392 0.015080 0.015153
1520617241.358392 0.017086 0.017159
1520617241.408395 0.013488 0.013562
1520617241.458397 0.010887 0.011047
1520617241.508398 0.012033 0.012183
1520617241.558933 0.014730 0.014805
1520617241.608934 0.013300 0.013481
1520617241.658937 0.014943 0.015031
1520617241.708937 0.015948 0.016023
1520617241.758940 0.016325 0.016403
1520617241.808940 0.015902 0.015979
1520617241.858943 0.014913 0.014996
1520617241.908944 0.014439 0.014670
1520617241.959463 0.016034 0.016129
1520617242.009465 0.015916 0.016004
1520617242.059467 0.013637 0.013750
1520617242.109468 0.016008 0.016090
1520617242.159469 0.016438 0.016520
1520617242.209471 0.018827 0.018930
1520617242.259473 0.016039 0.016124
1520617242.309474 0.016586 0.016686
1520617242.358908 0.016655 0.016752
1520617242.408910 0.016256 0.016349
1520617242.458911 0.015005 0.015098
1520617242.508913 0.015587 0.015683
1520617242.558914 0.014168 0.014251
1520617242.608916 0.016996 0.017081
1520617242.658917 0.014389 0.014477
1520617242.708919 0.015098 0.015189
1520617242.758375 0.015603 0.015698
1520617242.808377 0.015361 0.015445
1520617242.858378 0.014131 0.014213
1520617242.908380 0.014505 0.014585
1520617242.958381 0.015954 0.016039
1520617243.008383 0.014778 0.014864
1520617243.058385 0.015614 0.015696
1520617243.108386 0.012019 0.012180
1520617243.158609 0.014332 0.014409
1520617243.208610 0.012471 0.012630
1520617243.258612 0.014100 0.014246
1520617243.308613 0.014313 0.014487
1520617243.358615 0.013607 0.013772
1520617243.408617 0.012506 0.012595
1520617243.458618 0.014361 0.014443
1520617243.508620 0.015151 0.015317
1520617243.559063 0.014089 0.014170
1520617243.609065 0.011746 0.011936
1520617243.659067 0.013187 0.013265
1520617243.709068 0.014616 0.014694
1520617243.759070 0.016277 0.016364
1520617243.809072 0.015163 0.015238
1520617243.859073 0.015709 0.015889
1520617243.909075 0.014527 0.014609
1520617243.959076 0.015476 0.015651
