#TimeStamp Tx Ty Tz Qx Qy Qz Qw
3192924612.733164 0.0291337 0.0242856 0.0367552 -0.0204843 -0.0480242  0.7025141  0.7097521
3192924612.766166 0.0279003 0.0211661 0.0406022 -0.0219405 -0.0489828  0.7027014  0.7094576
3192924612.799166 0.0292933 0.0210837 0.0456624 -0.0229778 -0.0516272  0.7023452  0.7095900
3192924612.832166 0.0282626 0.0202072 0.0485903 -0.0237115 -0.0528981  0.7022613  0.7095552
3192924612.865166 0.0299171 0.0185851 0.0536257 -0.0250247 -0.0541422  0.7020458  0.7096295
3192924612.898167 0.0312967 0.0171347 0.0603828 -0.0262901 -0.0553048  0.7018984  0.7096399
3192924612.931166 0.0338869 0.0178562 0.0668276 -0.0276116 -0.0578271  0.7011736  0.7101051
3192924612.964168 0.0369534 0.0198541 0.0741711 -0.0285420 -0.0611448  0.7005195  0.7104359
3192924612.997167 0.0384280 0.0178504 0.0801339 -0.0302972 -0.0621278  0.7005907  0.7102076
3192924613.030168 0.0393057 0.0197346 0.0857329 -0.0307251 -0.0651260  0.7004561  0.7100534
3192924613.063168 0.0416277 0.0202508 0.0906262 -0.0318306 -0.0683274  0.6999710  0.7101822
3192924613.096169 0.0438933 0.0215264 0.0988983 -0.0314712 -0.0721449  0.6996616  0.7101256
3192924613.129168 0.0464893 0.0199359 0.1059539 -0.0323377 -0.0749904  0.6987385  0.7107006
3192924613.162169 0.0468096 0.0209683 0.1139754 -0.0315652 -0.0782907  0.6991121  0.7100116
3192924613.195169 0.0492735 0.0210735 0.1202952 -0.0316478 -0.0799405  0.6989839  0.7099503
3192924613.228169 0.0494980 0.0200671 0.1275009 -0.0314160 -0.0797645  0.6989992  0.7099654
3192924613.261169 0.0512697 0.0196432 0.1332875 -0.0323882 -0.0809175  0.6987289  0.7100572
3192924613.294170 0.0520545 0.0197802 0.1400846 -0.0324183 -0.0815946  0.6985884  0.7101166
3192924613.327169 0.0540884 0.0188126 0.1453798 -0.0342733 -0.0829080  0.6986036  0.7098623
3192924613.360171 0.0566289 0.0178555 0.1521123 -0.0376779 -0.0856545  0.6988041  0.7091660
3192924613.393171 0.0586846 0.0171709 0.1584678 -0.0402823 -0.0870792  0.6993827  0.7082785
3192924613.426171 0.0614695 0.0180524 0.1637744 -0.0432358 -0.0893251  0.7000227  0.7071915
3192924613.459172 0.0626245 0.0174371 0.1695760 -0.0468343 -0.0893699  0.7014603  0.7055303
3192924613.492172 0.0644473 0.0173871 0.1745344 -0.0499885 -0.0883402  0.7025615  0.7043468
3192924613.525172 0.0654553 0.0187693 0.1811866 -0.0531230 -0.0877528  0.7042795  0.7024726
3192924613.558173 0.0666770 0.0184602 0.1860911 -0.0561874 -0.0861946  0.7062902  0.7004053
3192924613.591172 0.0678019 0.0174823 0.1900713 -0.0581866 -0.0832327  0.7083179  0.6985502
3192924613.624173 0.0701701 0.0182931 0.1889605 -0.0610554 -0.0828465  0.7096276  0.6970204
3192924613.657173 0.0727992 0.0178049 0.1926086 -0.0639008 -0.0827543  0.7111931  0.6951782
3192924613.690174 0.0761722 0.0184786 0.1924431 -0.0654614 -0.0822621  0.7120559  0.6942075
3192924613.723173 0.0794347 0.0169559 0.1945320 -0.0678766 -0.0820402  0.7123976  0.6936511
3192924613.756175 0.0813243 0.0162074 0.1973785 -0.0694451 -0.0818425  0.7132231  0.6926702
3192924613.789175 0.0832708 0.0165337 0.2004488 -0.0685199 -0.0814254  0.7143441  0.6916555
3192924613.822175 0.0842350 0.0162590 0.2030102 -0.0675949 -0.0809205  0.7155858  0.6905214
3192924613.855175 0.0848097 0.0155652 0.2048100 -0.0687886 -0.0801874  0.7167924  0.6892364
3192924613.888175 0.0845332 0.0150124 0.2085210 -0.0693771 -0.0776330  0.7185631  0.6876241
3192924613.921175 0.0849485 0.0140090 0.2127548 -0.0716673 -0.0739480  0.7208327  0.6854165
3192924613.954176 0.0849896 0.0146167 0.2154356 -0.0754742 -0.0710307  0.7229895  0.6830406
3192924613.987176 0.0848264 0.0136039 0.2170298 -0.0776860 -0.0631733  0.7258940  0.6804791
3192924614.020176 0.0854893 0.0127559 0.2207020 -0.0782264 -0.0538956  0.7288667  0.6780333
3192924614.053177 0.0857438 0.0120998 0.2219969 -0.0803149 -0.0461117  0.7320993  0.6748732
3192924614.086177 0.0850279 0.0119771 0.2224257 -0.0841665 -0.0400583  0.7347148  0.6719416
3192924614.119177 0.0855216 0.0116655 0.2217286 -0.0880614 -0.0336074  0.7378969  0.6682993
3192924614.152178 0.0856449 0.0113120 0.2214898 -0.0918248 -0.0263559  0.7412778  0.6643650
3192924614.185178 0.0856835 0.0110186 0.2205673 -0.0963954 -0.0192093  0.7447081  0.6601127
3192924614.218178 0.0862479 0.0110304 0.2203005 -0.1009333 -0.0115167  0.7482065  0.6556423
3192924614.251178 0.0863389 0.0110116 0.2199108 -0.1047256 -0.0023209  0.7520632  0.6507135
3192924614.284179 0.0869692 0.0112207 0.2195846 -0.1098027  0.0076080  0.7560230  0.6452246
3192924614.317178 0.0871635 0.0110431 0.2193536 -0.1163736  0.0179005  0.7593829  0.6399018
3192924614.350180 0.0874099 0.0112458 0.2194599 -0.1244176  0.0293252  0.7632904  0.6332835
3192924614.383179 0.0875400 0.0108787 0.2201433 -0.1332500  0.0432328  0.7672360  0.6258789
3192924614.416180 0.0877385 0.0116583 0.2203298 -0.1419869  0.0566383  0.7707614  0.6185133
3192924614.449181 0.0878116 0.0117627 0.2216744 -0.1511863  0.0706112  0.7735957  0.6113154
3192924614.482181 0.0880988 0.0126325 0.2217832 -0.1584229  0.0864587  0.7765886  0.6036036
3192924614.515181 0.0887609 0.0136523 0.2233326 -0.1661633  0.1012599  0.7787482  0.5963954
3192924614.548181 0.0892911 0.0147236 0.2250539 -0.1738923  0.1152800  0.7810388  0.5886004
3192924614.581181 0.0895793 0.0159564 0.2253913 -0.1800383  0.1289769  0.7833001  0.5808547
3192924614.614182 0.0895369 0.0168456 0.2273363 -0.1869864  0.1408766  0.7852520  0.5732095
3192924614.647182 0.0894677 0.0178498 0.2277135 -0.1939742  0.1514109  0.7871323  0.5655718
3192924614.680182 0.0894796 0.0184638 0.2282829 -0.2002838  0.1622225  0.7884705  0.5584663
3192924614.713182 0.0894578 0.0197470 0.2294463 -0.2057820  0.1724944  0.7893275  0.5521426
3192924614.746183 0.0897120 0.0209259 0.2304422 -0.2110735  0.1815022  0.7906141  0.5453753
3192924614.779183 0.0897184 0.0219819 0.2310487 -0.2158250  0.1889070  0.7918990  0.5391007
3192924614.812183 0.0898118 0.0237380 0.2316805 -0.2203804  0.1950800  0.7931031  0.5332577
3192924614.845184 0.0901359 0.0249413 0.2317308 -0.2249045  0.2023597  0.7939315  0.5273910
3192924614.878184 0.0899129 0.0265527 0.2324560 -0.2286953  0.2106328  0.7944697  0.5216802
3192924614.911184 0.0900343 0.0286641 0.2342112 -0.2322462  0.2184958  0.7948546  0.5162630
3192924614.944185 0.0899187 0.0307668 0.2351463 -0.2355403  0.2263888  0.7958182  0.5098453
3192924614.977185 0.0896458 0.0330985 0.2370799 -0.2387003  0.2343289  0.7967178  0.5033416
3192924615.010185 0.0898702 0.0352483 0.2393404 -0.2418167  0.2421292  0.7973222  0.4971675
3192924615.043186 0.0901515 0.0381390 0.2400411 -0.2436716  0.2486707  0.7983552  0.4913411
3192924615.076186 0.0901160 0.0404926 0.2409715 -0.2458366  0.2552809  0.7992136  0.4854417
3192924615.109186 0.0900298 0.0427170 0.2420280 -0.2484177  0.2615933  0.7993261  0.4805574
3192924615.142187 0.0902580 0.0457287 0.2433100 -0.2514063  0.2679404  0.7992837  0.4755506
3192924615.175187 0.0903669 0.0487257 0.2457725 -0.2546209  0.2746081  0.7990912  0.4703317
3192924615.208187 0.0907501 0.0517841 0.2483426 -0.2582503  0.2820956  0.7982037  0.4654027
3192924615.241187 0.0905593 0.0533945 0.2497246 -0.2612987  0.2901346  0.7972953  0.4602881
3192924615.274188 0.0906427 0.0566594 0.2507454 -0.2641207  0.2964778  0.7967725  0.4555159
3192924615.307187 0.0906594 0.0590012 0.2518837 -0.2666099  0.3017735  0.7963110  0.4513764
3192924615.340189 0.0904601 0.0610396 0.2529278 -0.2684278  0.3065777  0.7958487  0.4478633
3192924615.373188 0.0901690 0.0629419 0.2547023 -0.2709488  0.3106852  0.7948606  0.4452619
3192924615.406189 0.0901014 0.0640633 0.2555260 -0.2739746  0.3138476  0.7936903  0.4432756
3192924615.439189 0.0898790 0.0649711 0.2563435 -0.2761876  0.3190461  0.7921666  0.4409105
3192924615.472189 0.0893540 0.0659903 0.2576814 -0.2771038  0.3261144  0.7896195  0.4397316
3192924615.505189 0.0888683 0.0667905 0.2580398 -0.2771882  0.3327686  0.7873680  0.4387293
3192924615.538189 0.0890678 0.0676437 0.2586341 -0.2783013  0.3373979  0.7858902  0.4371357
3192924615.571190 0.0888384 0.0685053 0.2592172 -0.2802420  0.3407616  0.7847726  0.4352906
3192924615.604190 0.0884638 0.0694152 0.2599274 -0.2823725  0.3440499  0.7832630  0.4340445
3192924615.637191 0.0880679 0.0697869 0.2607759 -0.2846040  0.3480222  0.7808863  0.4337023
3192924615.670191 0.0878193 0.0705133 0.2616167 -0.2862281  0.3517909  0.7788351  0.4332811
3192924615.703191 0.0876518 0.0707818 0.2622529 -0.2872053  0.3554153  0.7768770  0.4331919
3192924615.736192 0.0872832 0.0717592 0.2627354 -0.2875504  0.3598480  0.7749738  0.4327120
3192924615.769192 0.0867387 0.0728326 0.2634723 -0.2872586  0.3656489  0.7725157  0.4324383
3192924615.802192 0.0863036 0.0734666 0.2639764 -0.2870971  0.3717338  0.7698385  0.4321318
3192924615.835193 0.0861252 0.0741312 0.2643826 -0.2876235  0.3757496  0.7683054  0.4310357
3192924615.868193 0.0860343 0.0749060 0.2650685 -0.2890891  0.3783854  0.7672408  0.4296435
3192924615.901193 0.0855743 0.0758547 0.2655139 -0.2906210  0.3804547  0.7664142  0.4282557
3192924615.934193 0.0852430 0.0767910 0.2662035 -0.2936139  0.3809408  0.7665232  0.4255786
3192924615.967194 0.0848707 0.0776084 0.2666516 -0.2972952  0.3810616  0.7669396  0.4221508
3192924616.000194 0.0846566 0.0782990 0.2666373 -0.3007320  0.3808258  0.7675235  0.4188551
3192924616.033195 0.0842996 0.0791846 0.2672746 -0.3039711  0.3816208  0.7679673  0.4149618
3192924616.066195 0.0840096 0.0798126 0.2676201 -0.3065285  0.3832636  0.7679448  0.4115945
3192924616.099195 0.0833667 0.0802532 0.2684700 -0.3093359  0.3864589  0.7665560  0.4090878
3192924616.132195 0.0832617 0.0810179 0.2688158 -0.3128763  0.3886088  0.7655471  0.4062379
3192924616.165195 0.0829495 0.0817852 0.2693183 -0.3165323  0.3907206  0.7647753  0.4028194
3192924616.198195 0.0828170 0.0821433 0.2698441 -0.3205015  0.3933736  0.7636323  0.3992514
3192924616.231195 0.0826592 0.0827468 0.2701206 -0.3240340  0.3961237  0.7626810  0.3954815
3192924616.264197 0.0827241 0.0834429 0.2702301 -0.3268954  0.3996814  0.7614279  0.3919460
3192924616.297196 0.0824261 0.0838229 0.2706346 -0.3285271  0.4049631  0.7593678  0.3891470
3192924616.330198 0.0823647 0.0845043 0.2711021 -0.3302615  0.4102806  0.7570949  0.3865287
3192924616.363197 0.0821966 0.0851052 0.2717333 -0.3317135  0.4163911  0.7544550  0.3839040
3192924616.396198 0.0821055 0.0855522 0.2722487 -0.3328054  0.4229416  0.7515531  0.3814826
3192924616.429198 0.0819340 0.0861802 0.2727845 -0.3338206  0.4287900  0.7487228  0.3796275
3192924616.462198 0.0816857 0.0870358 0.2731617 -0.3339178  0.4354649  0.7461655  0.3769698
3192924616.495198 0.0813652 0.0879104 0.2739968 -0.3331488  0.4438784  0.7426970  0.3746798
3192924616.528198 0.0810375 0.0888163 0.2743984 -0.3322194  0.4520576  0.7391320  0.3727708
3192924616.561199 0.0805991 0.0896087 0.2753087 -0.3314931  0.4610848  0.7349699  0.3705839
3192924616.594199 0.0801884 0.0903014 0.2762029 -0.3307438  0.4709918  0.7299687  0.3686746
3192924616.627199 0.0801768 0.0905838 0.2761907 -0.3301085  0.4808671  0.7241991  0.3678733
3192924616.660200 0.0796320 0.0910179 0.2764098 -0.3283627  0.4914629  0.7180879  0.3674126
3192924616.693200 0.0795158 0.0911903 0.2767605 -0.3267268  0.5016625  0.7119830  0.3669666
3192924616.726200 0.0794609 0.0917978 0.2771502 -0.3246123  0.5112648  0.7062148  0.3667367
3192924616.759201 0.0792079 0.0923619 0.2775224 -0.3225752  0.5199794  0.7006719  0.3669135
3192924616.792201 0.0788692 0.0928407 0.2779104 -0.3210900  0.5275063  0.6961312  0.3661144
3192924616.825201 0.0787126 0.0929766 0.2780268 -0.3194577  0.5353226  0.6913660  0.3652252
3192924616.858202 0.0785325 0.0933567 0.2782078 -0.3177083  0.5429859  0.6860724  0.3654208
3192924616.891201 0.0786245 0.0938654 0.2782925 -0.3172604  0.5483223  0.6817002  0.3660235
3192924616.924201 0.0783558 0.0942239 0.2786149 -0.3171672  0.5518289  0.6787320  0.3663503
3192924616.957202 0.0781911 0.0947842 0.2788850 -0.3167708  0.5547790  0.6763863  0.3665761
3192924616.990203 0.0780266 0.0952549 0.2791739 -0.3158105  0.5578793  0.6742359  0.3666609
3192924617.023203 0.0778865 0.0956619 0.2793826 -0.3149361  0.5593032  0.6731899  0.3671654
3192924617.056203 0.0775848 0.0958818 0.2794913 -0.3145251  0.5587520  0.6734177  0.3679385
3192924617.089203 0.0773929 0.0961979 0.2797152 -0.3147049  0.5576753  0.6735108  0.3692455
3192924617.122205 0.0773309 0.0965320 0.2797164 -0.3151008  0.5566473  0.6733427  0.3707627
3192924617.155204 0.0772702 0.0971062 0.2799037 -0.3154184  0.5562090  0.6725647  0.3725581
3192924617.188204 0.0771401 0.0977356 0.2800714 -0.3142884  0.5576033  0.6708423  0.3745289
3192924617.221204 0.0770531 0.0982879 0.2802251 -0.3128427  0.5588973  0.6694431  0.3763101
3192924617.254206 0.0770770 0.0984741 0.2802492 -0.3116138  0.5590689  0.6694585  0.3770464
3192924617.287205 0.0770961 0.0991282 0.2803885 -0.3106194  0.5587381  0.6705804  0.3763633
3192924617.320206 0.0771729 0.0995887 0.2805421 -0.3098787  0.5590311  0.6715535  0.3748004
3192924617.353206 0.0772941 0.1000617 0.2804772 -0.3091292  0.5594725  0.6723509  0.3733282
3192924617.386207 0.0773344 0.1008184 0.2805237 -0.3081958  0.5607512  0.6725189  0.3718759
3192924617.419206 0.0773609 0.1014351 0.2806514 -0.3069602  0.5626615  0.6720557  0.3708486
3192924617.452207 0.0771445 0.1022250 0.2807017 -0.3043193  0.5649701  0.6711710  0.3711172
3192924617.485207 0.0771694 0.1027599 0.2805459 -0.3009510  0.5659494  0.6717058  0.3714042
3192924617.518207 0.0771596 0.1033757 0.2806290 -0.2969026  0.5661015  0.6732050  0.3717162
3192924617.551208 0.0772091 0.1041836 0.2806961 -0.2925422  0.5664073  0.6743660  0.3726021
3192924617.584208 0.0771930 0.1047135 0.2807063 -0.2885623  0.5668731  0.6754019  0.3731205
3192924617.617208 0.0771367 0.1055864 0.2807614 -0.2858474  0.5662208  0.6768664  0.3735466
3192924617.650209 0.0770261 0.1063514 0.2806645 -0.2839665  0.5638273  0.6794053  0.3739923
