#frame_time_stamp time_proc time_total
3192924609.730139 0.016001 0.016114
3192924609.763139 0.019127 0.019198
3192924609.796140 0.017753 0.017826
3192924609.829139 0.016301 0.016374
3192924609.862140 0.017186 0.017256
3192924609.895140 0.017807 0.017878
3192924609.928140 0.017297 0.017368
3192924609.961141 0.014132 0.014202
3192924609.994141 0.014892 0.014962
3192924610.027141 0.016305 0.016489
3192924610.060143 0.015771 0.015847
3192924610.093142 0.011368 0.011503
3192924610.126143 0.013504 0.013576
3192924610.159142 0.013072 0.013142
3192924610.192143 0.010213 0.010294
3192924610.225142 0.013060 0.013217
3192924610.258144 0.010657 0.010728
3192924610.291143 0.011009 0.011155
3192924610.324144 0.011739 0.011897
3192924610.357144 0.011634 0.011790
3192924610.390145 0.011502 0.011660
3192924610.423144 0.010838 0.010995
3192924610.456146 0.010840 0.010996
3192924610.489145 0.010746 0.010902
3192924610.522146 0.007918 0.007996
3192924610.555146 0.010184 0.010341
3192924610.588146 0.010101 0.010257
3192924610.621146 0.010177 0.010334
3192924610.654148 0.009901 0.010059
3192924610.687147 0.009775 0.009932
3192924610.720147 0.009588 0.009744
3192924610.753148 0.009712 0.009882
3192924610.786149 0.009795 0.009952
3192924610.819148 0.009867 0.010024
3192924610.852149 0.009856 0.010012
3192924610.885149 0.010004 0.010172
3192924610.918149 0.009572 0.009728
3192924610.951149 0.008968 0.009124
3192924610.984150 0.008775 0.008931
3192924611.017149 0.007536 0.007690
3192924611.050150 0.018099 0.018176
3192924611.083150 0.021099 0.021171
3192924611.116151 0.019119 0.019190
3192924611.149150 0.017492 0.017565
3192924611.182152 0.015495 0.015565
3192924611.215151 0.014759 0.014830
3192924611.248152 0.012958 0.013086
3192924611.281152 0.012938 0.013008
3192924611.314153 0.011525 0.011653
3192924611.347152 0.011386 0.011542
3192924611.380154 0.011688 0.011846
3192924611.413153 0.010741 0.010899
3192924611.446154 0.009526 0.009695
3192924611.479154 0.008270 0.008426
3192924611.512155 0.006901 0.007057
3192924611.545154 0.006613 0.006769
3192924611.578155 0.006317 0.006473
3192924611.611155 0.018594 0.018670
3192924611.644155 0.020754 0.020827
3192924611.677156 0.017704 0.017774
3192924611.710156 0.015762 0.015831
3192924611.743155 0.015018 0.015088
3192924611.776157 0.013838 0.013964
3192924611.809157 0.015485 0.015555
3192924611.842157 0.012076 0.012201
3192924611.875158 0.016324 0.016393
3192924611.908158 0.012720 0.012852
3192924611.941158 0.013424 0.013579
3192924611.974159 0.011465 0.011619
3192924612.007158 0.011479 0.011632
3192924612.040159 0.010899 0.011070
3192924612.073159 0.009712 0.009865
3192924612.106160 0.009389 0.009542
3192924612.139159 0.008078 0.008146
3192924612.172161 0.007349 0.007501
3192924612.205160 0.007531 0.007684
3192924612.238161 0.007442 0.007594
3192924612.271161 0.007242 0.007394
3192924612.304162 0.009186 0.009652
3192924612.337161 0.017950 0.018024
3192924612.370162 0.021473 0.021544
3192924612.403162 0.018726 0.018796
3192924612.436162 0.017453 0.017521
3192924612.469163 0.015125 0.015194
