#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520530966.900348 -0.1024081 -0.0943320  0.0011391  0.0040395 -0.6616348  0.7460448 -0.0751012
1520530966.950350 -0.1208134 -0.0987363  0.0085020  0.0058069 -0.6584842  0.7492507 -0.0706271
1520530967.000350 -0.1392813 -0.1028718  0.0169590  0.0076234 -0.6559727  0.7517950 -0.0666786
1520530967.050353 -0.1576597 -0.1062078  0.0281633  0.0085225 -0.6535167  0.7542929 -0.0623330
1520530967.100197 -0.1757151 -0.1091849  0.0357800  0.0086198 -0.6483445  0.7592627 -0.0556347
1520530967.150194 -0.1962783 -0.1130843  0.0480036  0.0070602 -0.6432126  0.7642562 -0.0462628
1520530967.200196 -0.2166238 -0.1150647  0.0566839  0.0028854 -0.6353763  0.7713830 -0.0354520
1520530967.250197 -0.2366003 -0.1180377  0.0648694 -0.0050706 -0.6277353  0.7780485 -0.0237343
1520530967.300199 -0.2565544 -0.1205755  0.0740793 -0.0129970 -0.6234624  0.7816947 -0.0088923
1520530967.350200 -0.2779554 -0.1222183  0.0802909 -0.0216312 -0.6216978  0.7829124  0.0084896
1520530967.400203 -0.2986800 -0.1232428  0.0855964 -0.0282267 -0.6224787  0.7816044  0.0286037
1520530967.450203 -0.3189234 -0.1240457  0.0895061 -0.0330539 -0.6211893  0.7814723  0.0482932
1520530967.500070 -0.3382242 -0.1239394  0.0923039 -0.0345435 -0.6177927  0.7825273  0.0692093
1520530967.550071 -0.3570845 -0.1220236  0.0904170 -0.0338757 -0.6134197  0.7839330  0.0895419
1520530967.600073 -0.3728218 -0.1209005  0.0852138 -0.0328074 -0.6130068  0.7820976  0.1070965
1520530967.650074 -0.3867704 -0.1186688  0.0780606 -0.0351805 -0.6191316  0.7753806  0.1192613
1520530967.700076 -0.3962806 -0.1140969  0.0695235 -0.0422001 -0.6321985  0.7631325  0.1271733
1520530967.750078 -0.4048002 -0.1098511  0.0575700 -0.0514934 -0.6470407  0.7493179  0.1311847
1520530967.800079 -0.4092373 -0.1060572  0.0438001 -0.0614447 -0.6594713  0.7368894  0.1353375
1520530967.850081 -0.4175654 -0.1001937  0.0281492 -0.0680760 -0.6676255  0.7282184  0.1390674
1520530967.900036 -0.4169070 -0.0981259  0.0150411 -0.0730173 -0.6749849  0.7198092  0.1447017
1520530967.950038 -0.4218456 -0.0914018 -0.0184097 -0.0745959 -0.6740529  0.7196679  0.1488836
1520530968.000039 -0.4153425 -0.0896147 -0.0321509 -0.0758807 -0.6823326  0.7110301  0.1519885
1520530968.050041 -0.4072977 -0.0880021 -0.0413802 -0.0776862 -0.6932633  0.7000624  0.1525240
1520530968.100043 -0.3968752 -0.0882578 -0.0519912 -0.0778464 -0.7033101  0.6897253  0.1535378
1520530968.150045 -0.3833121 -0.0871949 -0.0676818 -0.0810946 -0.7105925  0.6829558  0.1485040
1520530968.200046 -0.3688231 -0.0862291 -0.0829014 -0.0854494 -0.7171670  0.6772718  0.1402596
1520530968.250047 -0.3484647 -0.0873792 -0.0931565 -0.0908511 -0.7238559  0.6711657  0.1315880
1520530968.300315 -0.3254678 -0.0889296 -0.0939232 -0.0938896 -0.7321711  0.6632467  0.1233453
1520530968.350316 -0.3046242 -0.0915424 -0.0985232 -0.0932923 -0.7368380  0.6596026  0.1152855
1520530968.400318 -0.2811898 -0.0962564 -0.1002412 -0.0931797 -0.7402348  0.6574214  0.1056741
1520530968.450320 -0.2575919 -0.1016968 -0.0991034 -0.0923584 -0.7421413  0.6567956  0.0965185
1520530968.500321 -0.2167917 -0.1083672 -0.0793957 -0.0950797 -0.7446466  0.6541525  0.0924431
1520530968.550323 -0.1890843 -0.1166159 -0.0658281 -0.0922392 -0.7385085  0.6627579  0.0827593
1520530968.600323 -0.1595587 -0.1255343 -0.0491709 -0.0887918 -0.7251973  0.6791830  0.0701094
1520530968.650326 -0.1331852 -0.1324207 -0.0276637 -0.0805043 -0.7080943  0.6992105  0.0568003
1520530968.700678 -0.0521839 -0.1351567  0.0689267 -0.0816189 -0.7159055  0.6900859  0.0678174
1520530968.750758  0.0061117 -0.1625812  0.1349427 -0.0736654 -0.7125708  0.6938917  0.0730110
1520530968.800681  0.0828805 -0.1935262  0.1761804 -0.0800996 -0.6976486  0.7074803  0.0796378
1520530968.850683  0.1453358 -0.2214727  0.2180203 -0.0811486 -0.6906093  0.7143650  0.0784630
1520530968.900684  0.1999811 -0.2447867  0.2321105 -0.0839184 -0.6813424  0.7232852  0.0747577
1520530968.950686  0.2300868 -0.2495605  0.2384293 -0.0804529 -0.6778842  0.7285749  0.0563831
1520530969.000688  0.2555856 -0.2508503  0.2394436 -0.0728963 -0.6799897  0.7289972  0.0293812
1520530969.050689  0.2826427 -0.2497034  0.2367955 -0.0631373 -0.6849802  0.7258187 -0.0017355
1520530969.100154  0.3080704 -0.2445800  0.2340870 -0.0518493 -0.6922577  0.7190405 -0.0327370
1520530969.150155  0.3319439 -0.2388052  0.2232141 -0.0402551 -0.6977520  0.7130370 -0.0556770
1520530969.200157  0.3499537 -0.2311050  0.2126862 -0.0277462 -0.7055153  0.7043720 -0.0730647
1520530969.250158  0.3691371 -0.2238810  0.1984205 -0.0172310 -0.7144812  0.6941109 -0.0861961
1520530969.300160  0.3929063 -0.2152578  0.1795599 -0.0117426 -0.7226341  0.6846711 -0.0942735
1520530969.350162  0.3999714 -0.2071762  0.1647846 -0.0022857 -0.7340559  0.6711450 -0.1035429
1520530969.400163  0.4193998 -0.1967562  0.1421733  0.0004646 -0.7430628  0.6612442 -0.1030221
1520530969.450165  0.4275651 -0.1888203  0.1235255  0.0086217 -0.7541450  0.6487721 -0.1014185
1520530969.500166  0.4328723 -0.1790957  0.1077133  0.0138712 -0.7644938  0.6368712 -0.0987517
1520530969.550136  0.4328328 -0.1730775  0.0904197  0.0156008 -0.7730848  0.6265845 -0.0974080
1520530969.600137  0.4319174 -0.1679414  0.0735732  0.0152343 -0.7794057  0.6193596 -0.0932113
1520530969.650139  0.4264304 -0.1658547  0.0604675  0.0138426 -0.7848836  0.6132591 -0.0876321
1520530969.700140  0.4169206 -0.1648005  0.0488790  0.0148028 -0.7899762  0.6077405 -0.0798119
1520530969.750142  0.4073766 -0.1664631  0.0386790  0.0190467 -0.7942262  0.6034923 -0.0681097
1520530969.800143  0.3961968 -0.1698885  0.0305175  0.0225402 -0.7973096  0.6004855 -0.0566251
1520530969.850146  0.3809526 -0.1770724  0.0239920  0.0231643 -0.7988400  0.5993323 -0.0460304
1520530969.900146  0.3638173 -0.1855083  0.0217685  0.0181253 -0.7997989  0.5989895 -0.0347085
1520530970.000601  0.3459718 -0.1755423 -0.0143350  0.0027465 -0.7840724  0.6205978  0.0090193
1520530970.100605  0.2371458 -0.1484882  0.1557238  0.1576822 -0.8212763  0.5449672  0.0604354
1520530970.150606  0.2324501 -0.1745748  0.1544881  0.1433513 -0.8129409  0.5598533  0.0717060
1520530970.200608  0.2268327 -0.2050878  0.1514144  0.1346862 -0.8024480  0.5756067  0.0813246
1520530970.250609  0.2091321 -0.2326467  0.1535971  0.1333515 -0.7915360  0.5902178  0.0856217
1520530970.300610  0.1839264 -0.2584156  0.1617596  0.1356846 -0.7815498  0.6031859  0.0832843
1520530970.351098  0.1644461 -0.2820948  0.1676390  0.1390737 -0.7710744  0.6156247  0.0843144
1520530970.401066  0.1406052 -0.3038699  0.1775915  0.1446961 -0.7621761  0.6251770  0.0854655
1520530970.451067  0.1184441 -0.3256587  0.1856583  0.1488757 -0.7522554  0.6358064  0.0877392
1520530970.501069  0.1005255 -0.3427634  0.1966447  0.1511356 -0.7443471  0.6441956  0.0900974
1520530970.551070  0.0844257 -0.3549545  0.2074942  0.1530978 -0.7381536  0.6506388  0.0914302
1520530970.601072  0.0677205 -0.3653266  0.2159155  0.1562384 -0.7331144  0.6552804  0.0934903
1520530970.651073  0.0526475 -0.3714236  0.2241725  0.1553822 -0.7302278  0.6584999  0.0948774
1520530970.701075  0.0361062 -0.3761209  0.2323233  0.1534472 -0.7286341  0.6606884  0.0950641
1520530970.750898  0.0186356 -0.3785042  0.2405297  0.1502631 -0.7284997  0.6617295  0.0939323
1520530970.800900  0.0019727 -0.3785845  0.2493803  0.1484853 -0.7298813  0.6608102  0.0924945
1520530970.850901 -0.0141563 -0.3746642  0.2567931  0.1470111 -0.7319039  0.6588354  0.0929533
1520530970.900903 -0.0295942 -0.3680198  0.2638855  0.1463459 -0.7347551  0.6553395  0.0961665
1520530970.950905 -0.0454182 -0.3581513  0.2692823  0.1456243 -0.7384253  0.6511510  0.0975916
1520530971.000906 -0.0608141 -0.3463780  0.2780748  0.1460097 -0.7456313  0.6428985  0.0969366
1520530971.050908 -0.0753547 -0.3293576  0.2812850  0.1447958 -0.7523441  0.6356624  0.0945824
1520530971.100909 -0.0879064 -0.3112545  0.2881923  0.1432249 -0.7610803  0.6263252  0.0892196
1520530971.150839 -0.1027134 -0.2915991  0.2878069  0.1393038 -0.7667232  0.6210600  0.0837522
1520530971.200840 -0.1161955 -0.2702671  0.2936627  0.1357244 -0.7726685  0.6147967  0.0811623
1520530971.250842 -0.1303820 -0.2507276  0.3007068  0.1351503 -0.7773340  0.6090082  0.0812116
1520530971.300843 -0.1460787 -0.2302009  0.3081962  0.1372458 -0.7816222  0.6027173  0.0834394
1520530971.350845 -0.1620692 -0.2095990  0.3123197  0.1403746 -0.7868388  0.5946406  0.0870766
1520530971.400846 -0.1795965 -0.1876896  0.3171473  0.1401050 -0.7954760  0.5823341  0.0920626
1520530971.450848 -0.1993174 -0.1675094  0.3215401  0.1352803 -0.8068369  0.5667398  0.0975673
1520530971.500849 -0.2210969 -0.1444110  0.3188506  0.1261929 -0.8163651  0.5543758  0.1014440
1520530971.550717 -0.2401045 -0.1248624  0.3190184  0.1140253 -0.8251263  0.5430760  0.1059870
1520530971.600719 -0.2640006 -0.1092911  0.3146088  0.1037376 -0.8292515  0.5380257  0.1100400
1520530971.650721 -0.2869521 -0.0962407  0.3148351  0.0969659 -0.8302650  0.5362445  0.1170452
1520530971.700722 -0.3066485 -0.0841565  0.3209697  0.0923615 -0.8304497  0.5344697  0.1271404
1520530971.750724 -0.3316176 -0.0764542  0.3261519  0.0913018 -0.8281949  0.5359899  0.1359119
1520530971.800726 -0.3514489 -0.0663205  0.3362693  0.0908809 -0.8260353  0.5356674  0.1498894
1520530971.850727 -0.3785423 -0.0602433  0.3400553  0.0923887 -0.8211328  0.5393603  0.1621594
1520530971.900728 -0.4009446 -0.0542043  0.3468033  0.0950938 -0.8161714  0.5414331  0.1779654
1520530971.950730 -0.4235257 -0.0496663  0.3595923  0.1043498 -0.8109404  0.5411418  0.1966022
1520530972.001130 -0.4425779 -0.0502977  0.3695880  0.1180276 -0.8028843  0.5422630  0.2177085
1520530972.051132 -0.4608240 -0.0482740  0.3830305  0.1369987 -0.7936274  0.5417928  0.2405151
1520530972.101133 -0.4709035 -0.0492292  0.4000220  0.1598924 -0.7821983  0.5424520  0.2614308
1520530972.151135 -0.4772629 -0.0526301  0.4151009  0.1867564 -0.7666817  0.5482638  0.2769984
1520530972.201137 -0.4783709 -0.0575048  0.4293977  0.2176641 -0.7488069  0.5559154  0.2878691
1520530972.251138 -0.4736125 -0.0627323  0.4417035  0.2508919 -0.7293132  0.5644684  0.2941613
1520530972.301140 -0.4650625 -0.0675860  0.4520113  0.2904420 -0.7077098  0.5694379  0.3008833
1520530972.351141 -0.4546789 -0.0717770  0.4598073  0.3364581 -0.6836434  0.5718381  0.3040209
1520530972.400723 -0.4328337 -0.0742667  0.4582087  0.3822107 -0.6579160  0.5741066  0.3024289
1520530972.450724 -0.4181711 -0.0787377  0.4634038  0.4327593 -0.6335170  0.5718959  0.2903630
