#frame_time_stamp time_proc time_total
1520530962.750149 0.013016 0.013087
1520530962.800151 0.010053 0.010131
1520530962.850152 0.009886 0.009963
1520530962.900154 0.009643 0.009721
1520530962.950156 0.008924 0.009003
1520530963.000158 0.008405 0.008484
1520530963.050160 0.008757 0.008834
1520530963.100161 0.008341 0.008412
1520530963.150163 0.009248 0.009327
1520530963.200164 0.009123 0.009201
1520530963.250167 0.009460 0.009539
1520530963.300168 0.009137 0.009215
1520530963.350170 0.008545 0.008624
1520530963.400187 0.005752 0.005805
1520530963.450189 0.008680 0.008758
1520530963.500190 0.008551 0.008629
1520530963.550193 0.008419 0.008498
1520530963.600194 0.008174 0.008252
1520530963.650196 0.008291 0.008370
1520530963.700197 0.008147 0.008226
1520530963.750199 0.008478 0.008562
1520530963.800219 0.003735 0.003770
1520530963.850221 0.007917 0.007996
1520530963.900270 0.008007 0.008085
1520530963.950224 0.007989 0.008069
1520530964.000225 0.008032 0.008111
1520530964.050227 0.007739 0.007819
1520530964.100228 0.008195 0.008274
1520530964.150230 0.008000 0.008079
1520530964.200250 0.003718 0.003753
1520530964.250252 0.008102 0.008181
1520530964.300253 0.008075 0.008155
1520530964.350254 0.008030 0.008110
1520530964.400256 0.008160 0.008241
1520530964.450257 0.007969 0.008049
1520530964.500259 0.007938 0.008017
1520530964.550260 0.007691 0.007770
1520530964.600252 0.007649 0.007740
1520530964.650303 0.008616 0.008695
1520530964.700304 0.008076 0.008154
1520530964.750306 0.008390 0.008468
1520530964.800307 0.007883 0.007961
1520530964.850309 0.007507 0.007586
1520530964.900311 0.007507 0.007586
1520530964.950312 0.007541 0.007619
1520530965.000314 0.007617 0.007695
1520530965.050293 0.007335 0.007412
1520530965.100294 0.007431 0.007522
1520530965.150295 0.007407 0.007485
1520530965.200297 0.007383 0.007462
1520530965.250298 0.007395 0.007474
1520530965.300300 0.007402 0.007495
1520530965.350301 0.007356 0.007433
1520530965.400303 0.007253 0.007331
1520530965.450306 0.007370 0.007448
1520530965.500314 0.007508 0.007586
1520530965.550309 0.007474 0.007554
1520530965.600310 0.007510 0.007588
1520530965.650312 0.007393 0.007472
1520530965.700313 0.007448 0.007526
1520530965.750315 0.007440 0.007520
1520530965.800317 0.007488 0.007567
1520530965.850329 0.007518 0.007597
1520530965.900331 0.007599 0.007678
1520530965.950332 0.007504 0.007583
1520530966.000334 0.007595 0.007675
1520530966.050335 0.007784 0.007863
1520530966.100337 0.007751 0.007831
1520530966.150339 0.007677 0.007756
1520530966.200340 0.007459 0.007541
1520530966.250354 0.007667 0.007747
1520530966.300354 0.007777 0.007856
1520530966.350357 0.007642 0.007721
1520530966.400357 0.007710 0.007789
1520530966.450360 0.007784 0.007864
1520530966.500362 0.008075 0.008154
1520530966.550363 0.007938 0.008017
1520530966.600366 0.007741 0.007820
1520530966.650339 0.007850 0.007929
1520530966.700341 0.007780 0.007859
1520530966.750344 0.008386 0.008464
1520530966.800344 0.007604 0.007685
1520530966.850345 0.007855 0.007934
1520530966.900348 0.013936 0.014102
1520530966.950350 0.011658 0.011713
1520530967.000350 0.012254 0.012309
1520530967.050353 0.010975 0.011031
1520530967.100197 0.012320 0.012381
1520530967.150194 0.013282 0.013343
1520530967.200196 0.013082 0.013143
