#frame_time_stamp time_pre_proc time_post_proc
1403638522.477829 0.011116 0.011242
1403638522.527829 0.014215 0.014354
1403638522.577830 0.009741 0.009810
1403638522.627830 0.008551 0.008657
1403638522.677830 0.010017 0.010095
1403638522.727829 0.009489 0.009571
1403638522.777829 0.007106 0.007192
1403638522.827830 0.011178 0.011254
1403638522.877830 0.009770 0.009863
1403638522.927830 0.013024 0.013108
1403638522.977829 0.008499 0.008579
1403638523.027829 0.008592 0.008668
1403638523.077830 0.010170 0.010248
1403638523.127830 0.010553 0.010632
1403638523.177830 0.006805 0.006916
1403638523.227829 0.010699 0.010775
1403638523.277829 0.011630 0.011705
1403638523.327830 0.008437 0.008510
1403638523.377830 0.009578 0.009648
1403638523.427830 0.009872 0.009957
1403638523.477829 0.010012 0.010085
1403638523.527829 0.014172 0.014256
1403638523.577830 0.013400 0.013486
1403638523.627830 0.008363 0.008440
1403638523.677830 0.007395 0.007479
1403638523.727829 0.008235 0.008315
1403638523.777829 0.009687 0.009765
1403638523.827830 0.011321 0.011396
1403638523.877830 0.007337 0.007456
1403638523.927830 0.008721 0.008807
1403638523.977829 0.009503 0.009583
1403638524.027829 0.007564 0.007650
1403638524.077830 0.008772 0.008850
1403638524.127830 0.006753 0.006830
1403638524.177830 0.007155 0.007233
1403638524.227829 0.009055 0.009135
1403638524.277829 0.006402 0.006500
1403638524.327830 0.008822 0.008895
1403638524.377830 0.009555 0.009630
1403638524.427830 0.006362 0.006435
1403638524.477829 0.007023 0.007099
1403638524.527829 0.011018 0.011097
1403638524.577830 0.010457 0.010534
1403638524.627830 0.009074 0.009163
1403638524.677830 0.008595 0.008670
1403638524.727829 0.009906 0.009984
1403638524.777829 0.008154 0.008234
1403638524.827830 0.007690 0.007774
1403638524.877830 0.010583 0.010657
1403638524.927830 0.006583 0.006678
1403638524.977829 0.007660 0.007739
1403638525.027829 0.010469 0.010543
1403638525.077830 0.008459 0.008543
1403638525.127830 0.008885 0.009002
1403638525.177830 0.009130 0.009201
1403638525.227829 0.006913 0.007002
1403638525.277829 0.008695 0.008776
1403638525.327830 0.008814 0.008891
1403638525.377830 0.009239 0.009317
1403638525.427830 0.009051 0.009127
1403638525.477829 0.008865 0.008938
1403638525.527829 0.008932 0.009019
1403638525.577830 0.050312 0.050385
1403638525.627830 0.008329 0.008406
1403638525.677830 0.013581 0.013689
1403638525.727829 0.008298 0.008387
1403638525.777829 0.010381 0.010434
1403638525.827830 0.006910 0.006978
1403638525.877830 0.008938 0.008999
1403638525.927830 0.009826 0.009889
1403638525.977829 0.007270 0.007346
1403638526.027829 0.008922 0.008970
1403638526.077830 0.006829 0.006879
1403638526.127830 0.007056 0.007157
1403638526.177830 0.010202 0.010299
1403638526.227829 0.010210 0.010262
1403638526.277829 0.008625 0.008714
1403638526.327830 0.009812 0.009868
1403638526.377830 0.007524 0.007579
1403638526.427830 0.008488 0.008554
1403638526.477829 0.009943 0.010044
1403638526.527829 0.012631 0.012721
1403638526.577830 0.010492 0.010597
1403638526.627830 0.008661 0.008721
1403638526.677830 0.009504 0.009608
1403638526.727829 0.007397 0.007500
1403638526.777829 0.008336 0.008416
1403638526.827830 0.039368 0.039432
1403638526.877830 0.008938 0.009024
1403638526.927830 0.009266 0.009339
1403638526.977829 0.009674 0.009753
1403638527.027829 0.009346 0.009420
1403638527.077830 0.005022 0.005102
1403638527.127830 0.005423 0.005496
1403638527.177830 0.009307 0.009393
1403638527.227829 0.009130 0.009213
1403638527.277829 0.008282 0.008382
1403638527.327830 0.009928 0.010003
1403638527.377830 0.007175 0.007254
1403638527.427830 0.006771 0.006869
1403638527.477829 0.006882 0.006985
1403638527.527829 0.009488 0.009608
1403638527.577830 0.007067 0.007162
1403638527.627830 0.009252 0.009329
1403638527.677830 0.008279 0.008390
1403638527.727829 0.006665 0.006736
1403638527.777829 0.008747 0.008821
1403638527.827830 0.008988 0.009065
1403638527.877830 0.005614 0.005705
1403638527.927830 0.012365 0.012515
1403638527.977829 0.007598 0.007659
1403638528.027829 0.008508 0.008563
1403638528.077830 0.007031 0.007137
1403638528.127830 0.009273 0.009352
1403638528.177830 0.009682 0.009815
1403638528.227829 0.008758 0.008835
1403638528.277829 0.008589 0.008663
1403638528.327830 0.008734 0.008812
1403638528.377830 0.009200 0.009271
1403638528.427830 0.009712 0.009790
1403638528.477829 0.010507 0.010602
1403638528.527829 0.009869 0.009998
1403638528.577830 0.010073 0.010150
1403638528.627830 0.009624 0.009703
1403638528.677830 0.007993 0.008071
1403638528.727829 0.010514 0.010598
1403638528.777829 0.009177 0.009257
1403638528.827830 0.007206 0.007284
1403638528.877830 0.009035 0.009149
1403638528.927830 0.006035 0.006125
1403638528.977829 0.006176 0.006247
1403638529.027829 0.010081 0.010163
1403638529.077830 0.008634 0.008720
1403638529.127830 0.006833 0.006920
1403638529.177830 0.009434 0.009574
1403638529.227829 0.009703 0.009781
1403638529.277829 0.008174 0.008257
1403638529.327830 0.010532 0.010622
1403638529.377830 0.007239 0.007296
1403638529.427830 0.007401 0.007505
1403638529.477829 0.005315 0.005402
1403638529.527829 0.006939 0.007014
1403638529.577830 0.005161 0.005238
1403638529.627830 0.005249 0.005325
1403638529.677830 0.009575 0.009651
1403638529.727829 0.010742 0.010825
1403638529.777829 0.021130 0.021200
1403638529.827830 0.008811 0.008900
1403638529.877830 0.007958 0.008060
1403638529.927830 0.007835 0.007913
1403638529.977829 0.008822 0.008906
1403638530.027829 0.009701 0.009778
1403638530.077830 0.010347 0.010426
1403638530.127830 0.008812 0.008889
1403638530.177830 0.009660 0.009744
1403638530.227829 0.016400 0.016475
1403638530.277829 0.014068 0.014135
1403638530.327830 0.005706 0.005787
1403638530.377830 0.005919 0.005998
1403638530.427830 0.008165 0.008281
1403638530.477829 0.009000 0.009076
1403638530.527829 0.009499 0.009573
1403638530.577830 0.008873 0.008950
1403638530.627830 0.010058 0.010143
1403638530.677830 0.008556 0.008635
1403638530.727829 0.010347 0.010424
1403638530.777829 0.009966 0.010045
1403638530.827830 0.011027 0.011110
1403638530.877830 0.007511 0.007605
1403638530.927830 0.010397 0.010478
1403638530.977829 0.009063 0.009134
1403638531.027829 0.009063 0.009181
1403638531.077830 0.009071 0.009150
1403638531.127830 0.007436 0.007512
1403638531.177830 0.009895 0.009968
1403638531.227829 0.010960 0.011043
1403638531.277829 0.013490 0.013560
1403638531.327830 0.009657 0.009755
1403638531.377830 0.008295 0.008378
1403638531.427830 0.010982 0.011061
1403638531.477829 0.009487 0.009558
1403638531.527829 0.008521 0.008604
1403638531.577830 0.009647 0.009736
1403638531.627830 0.009362 0.009469
1403638531.677830 0.009861 0.009939
1403638531.727829 0.008972 0.009058
1403638531.777829 0.009050 0.009157
1403638531.827830 0.008963 0.009042
1403638531.877830 0.009153 0.009230
1403638531.927830 0.008925 0.009044
1403638531.977829 0.010412 0.010499
1403638532.027829 0.008878 0.008957
1403638532.077830 0.008870 0.008979
1403638532.127830 0.010421 0.010502
1403638532.177830 0.010247 0.010325
1403638532.227829 0.009003 0.009115
1403638532.277829 0.008652 0.008727
1403638532.327830 0.010270 0.010348
1403638532.377830 0.006943 0.007017
1403638532.427830 0.009733 0.009817
1403638532.477829 0.008851 0.008937
1403638532.527829 0.007454 0.007549
1403638532.577830 0.007651 0.007728
1403638532.627830 0.009561 0.009642
1403638532.677830 0.008192 0.008274
1403638532.727829 0.018656 0.018844
1403638532.777829 0.006972 0.007054
1403638532.827830 0.008368 0.008429
1403638532.877830 0.008435 0.008493
1403638532.927830 0.009870 0.009979
1403638532.977829 0.007316 0.007382
1403638533.027829 0.010170 0.010230
1403638533.077830 0.006915 0.006978
1403638533.127830 0.007612 0.007684
1403638533.177830 0.008164 0.008246
1403638533.227829 0.007358 0.007426
1403638533.277829 0.009000 0.009055
1403638533.327830 0.009988 0.010044
1403638533.377830 0.008222 0.008280
1403638533.427830 0.007403 0.007455
1403638533.477829 0.010040 0.010092
1403638533.527829 0.008360 0.008416
1403638533.577830 0.005199 0.005291
1403638533.627830 0.009565 0.009637
1403638533.677830 0.005241 0.005308
1403638533.727829 0.009111 0.009206
1403638533.777829 0.007980 0.008025
1403638533.827830 0.008837 0.008918
1403638533.877830 0.006559 0.006654
1403638533.927830 0.009619 0.009703
1403638533.977829 0.006100 0.006184
1403638534.027829 0.009643 0.009722
1403638534.077830 0.010431 0.010503
1403638534.127830 0.010746 0.010830
1403638534.177830 0.007821 0.007913
1403638534.227829 0.009227 0.009300
1403638534.277829 0.009153 0.009228
1403638534.327830 0.008858 0.008938
1403638534.377830 0.008570 0.008650
1403638534.427830 0.009255 0.009334
1403638534.477829 0.010571 0.010645
1403638534.527829 0.010059 0.010121
1403638534.577830 0.009687 0.009762
1403638534.627830 0.009690 0.009766
1403638534.677830 0.008516 0.008563
1403638534.727829 0.010108 0.010191
1403638534.777829 0.010298 0.010371
1403638534.827830 0.010303 0.010390
1403638534.877830 0.009981 0.010112
1403638534.927830 0.009691 0.009762
1403638534.977829 0.009419 0.009498
1403638535.027829 0.008797 0.008884
1403638535.077830 0.008529 0.008601
1403638535.127830 0.010662 0.010758
1403638535.177830 0.008688 0.008771
1403638535.227829 0.010256 0.010400
1403638535.277829 0.007190 0.007282
1403638535.327830 0.008557 0.008640
1403638535.377830 0.010093 0.010171
1403638535.427830 0.009792 0.009869
1403638535.477829 0.009397 0.009469
1403638535.527829 0.007328 0.007382
1403638535.577830 0.008857 0.008940
1403638535.627830 0.009519 0.009570
1403638535.677830 0.008653 0.008710
1403638535.727829 0.009549 0.009632
1403638535.777829 0.009815 0.009894
1403638535.827830 0.009579 0.009675
1403638535.877830 0.010200 0.010298
1403638535.927830 0.009541 0.009627
1403638535.977829 0.009512 0.009582
