#TimeStamp Tx Ty Tz Qx Qy Qz Qw
0.933038 -0.0024726 -0.0029456  0.2250238 -0.0000525 -0.0054183 -0.0016997 0.9999839
1.036778 -0.0027093 -0.0031811  0.2526735 0.0000515 -0.0059261 -0.0017867 0.9999808
1.140398 -0.0031237 -0.0034854  0.2802153 -0.0002233 -0.0063045 -0.0024353 0.9999771
1.244137 -0.0036771 -0.0038362  0.3078059 -0.0005611 -0.0065089 -0.0032469 0.9999734
1.347751 -0.0044582 -0.0041445  0.3351408 -0.0009917 -0.0068478 -0.0035677 0.9999697
1.451492 -0.0049728 -0.0044768  0.3623853 -0.0009530 -0.0070366 -0.0035131 0.9999686
1.555107 -0.0056721 -0.0048816  0.3891928 -0.0011211 -0.0074069 -0.0035965 0.9999655
1.658847 -0.0062618 -0.0052496  0.4161432 -0.0014461 -0.0075083 -0.0035814 0.9999644
1.762586 -0.0068352 -0.0056217  0.4431907 -0.0020975 -0.0074752 -0.0038491 0.9999625
1.866202 -0.0073804 -0.0060069  0.4702564 -0.0014802 -0.0074595 -0.0038269 0.9999638
1.969964 -0.0079275 -0.0063586  0.4969930 -0.0004924 -0.0074289 -0.0039413 0.9999645
2.073559 -0.0084366 -0.0067056  0.5237035 -0.0003961 -0.0072373 -0.0029408 0.9999694
2.177298 -0.0089336 -0.0070706  0.5500586 -0.0017696 -0.0071073 -0.0023997 0.9999703
2.281050 -0.0094239 -0.0073573  0.5763763 -0.0023397 -0.0070219 -0.0015841 0.9999714
2.384674 -0.0098660 -0.0076663  0.6024517 -0.0020423 -0.0069165 -0.0011485 0.9999733
2.488425 -0.0103522 -0.0080339  0.6281364 -0.0011587 -0.0066796 -0.0011478 0.9999764
2.592012 -0.0108505 -0.0084143  0.6535916 -0.0007951 -0.0064331 -0.0016107 0.9999777
2.695755 -0.0112697 -0.0088424  0.6787201 -0.0003237 -0.0059986 -0.0018546 0.9999802
2.799368 -0.0117031 -0.0092391  0.7035388 -0.0008739 -0.0053566 -0.0021052 0.9999831
2.903108 -0.0121152 -0.0096174  0.7280989 -0.0019401 -0.0045730 -0.0022664 0.9999851
3.006750 -0.0124486 -0.0099646  0.7521983 -0.0024401 -0.0037357 -0.0019627 0.9999881
3.110482 -0.0127182 -0.0103001  0.7760424 -0.0027496 -0.0025998 -0.0021477 0.9999905
3.214204 -0.0128664 -0.0106435  0.7993658 -0.0024632 -0.0009531 -0.0019696 0.9999946
3.317943 -0.0129123 -0.0109784  0.8225501 -0.0015729 0.0008592 -0.0016304 0.9999971
3.421685 -0.0129193 -0.0112899  0.8453745 -0.0006811 0.0025834 -0.0016229 0.9999951
3.525427 -0.0128557 -0.0116442  0.8679538 -0.0010076 0.0046715 -0.0017304 0.9999871
3.629166 -0.0126783 -0.0120137  0.8905037 -0.0009191 0.0073913 -0.0020557 0.9999701
3.732909 -0.0124264 -0.0123669  0.9126886 -0.0004808 0.0106603 -0.0028572 0.9999390
3.836660 -0.0119960 -0.0127133  0.9347871 -0.0005256 0.0143854 -0.0035609 0.9998900
3.940409 -0.0113663 -0.0130669  0.9566511 -0.0010683 0.0185817 -0.0040641 0.9998185
4.044264 -0.0105689 -0.0134144  0.9782608 -0.0014277 0.0237655 -0.0052320 0.9997028
4.148122 -0.0095575 -0.0137385  0.9995085 -0.0014506 0.0302585 -0.0064033 0.9995205
4.251862 -0.0082510 -0.0140332  1.0204979 -0.0017659 0.0377401 -0.0075192 0.9992577
4.355725 -0.0066268 -0.0143285  1.0411963 -0.0025237 0.0458829 -0.0087163 0.9989056
4.459611 -0.0045893 -0.0146337  1.0616062 -0.0029963 0.0547621 -0.0088011 0.9984561
4.563456 -0.0022005 -0.0149142  1.0816384 -0.0025812 0.0643735 -0.0086524 0.9978850
