#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1403715893.084058  0.0000295  0.0004204 -0.0003933 0.0026474 -0.0003075 0.0013274 0.9999956
1403715893.134058 -0.0000989  0.0013998 -0.0001432 0.0034104 -0.0002176 0.0016725 0.9999928
1403715893.184058 -0.0000692  0.0013687 -0.0001100 0.0043203 -0.0003131 0.0018917 0.9999888
1403715893.234058 -0.0001913  0.0015869 -0.0002838 0.0049687 -0.0002923 0.0019779 0.9999857
1403715893.284058 -0.0001614  0.0019256 -0.0002345 0.0054491 -0.0005244 0.0022753 0.9999824
1403715893.334058 -0.0001505  0.0020168 -0.0003511 0.0065702 -0.0006282 0.0025890 0.9999749
1403715893.384058 -0.0001055  0.0014013 -0.0002511 0.0067055 -0.0005839 0.0026592 0.9999738
1403715893.434058 -0.0001879  0.0024525 -0.0004286 0.0089686 -0.0008726 0.0031585 0.9999544
1403715893.484058 -0.0004427  0.0027603 -0.0011555 0.0160113 -0.0022206 0.0044831 0.9998593
1403715893.534058 -0.0003764  0.0048111 -0.0018750 0.0268317 -0.0045807 0.0064732 0.9996085
1403715893.584058 -0.0007734  0.0062861 -0.0026521 0.0368054 -0.0063242 0.0086718 0.9992648
1403715893.634058 -0.0010851  0.0073414 -0.0038715 0.0457660 -0.0083480 0.0119781 0.9988455
1403715893.684058 -0.0023810  0.0075451 -0.0053219 0.0501399 -0.0098985 0.0140272 0.9985946
1403715893.734058 -0.0022566  0.0081616 -0.0076712 0.0526440 -0.0116199 0.0161172 0.9984157
1403715893.784058 -0.0028486  0.0095003 -0.0102319 0.0535731 -0.0121638 0.0164360 0.9983546
1403715893.834058 -0.0033245  0.0111151 -0.0130882 0.0509241 -0.0120446 0.0144573 0.9985252
1403715893.884058 -0.0045837  0.0119606 -0.0160737 0.0458401 -0.0120240 0.0144961 0.9987712
1403715893.934058 -0.0057535  0.0130082 -0.0198940 0.0434766 -0.0122577 0.0149964 0.9988667
1403715893.984058 -0.0068090  0.0158880 -0.0236785 0.0403939 -0.0122248 0.0140853 0.9990098
1403715894.034058 -0.0076752  0.0178162 -0.0275989 0.0349470 -0.0124870 0.0142945 0.9992089
1403715894.084058 -0.0085475  0.0192840 -0.0313985 0.0285481 -0.0125861 0.0135219 0.9994217
1403715894.134058 -0.0093627  0.0207656 -0.0347207 0.0274990 -0.0115865 0.0104307 0.9995003
1403715894.184058 -0.0098092  0.0223755 -0.0379010 0.0329836 -0.0093778 0.0046186 0.9994012
1403715894.234058 -0.0112164  0.0248124 -0.0405049 0.0419766 -0.0070671 -0.0004275 0.9990935
1403715894.284058 -0.0126412  0.0275363 -0.0432180 0.0515955 -0.0045062 -0.0069625 0.9986336
1403715894.334058 -0.0143051  0.0308827 -0.0465809 0.0596742 -0.0025477 -0.0124480 0.9981370
1403715894.384058 -0.0164294  0.0368633 -0.0499615 0.0686338 -0.0007421 -0.0171255 0.9974946
1403715894.434058 -0.0183692  0.0403507 -0.0539523 0.0740089 -0.0003192 -0.0187562 0.9970811
1403715894.484058 -0.0209636  0.0433586 -0.0577930 0.0753548 -0.0013646 -0.0178285 0.9969965
1403715894.534058 -0.0234506  0.0469074 -0.0625931 0.0750627 -0.0037539 -0.0152046 0.9970558
1403715894.584058 -0.0260822  0.0500155 -0.0672575 0.0748955 -0.0058007 -0.0134652 0.9970836
1403715894.634058 -0.0275008  0.0558523 -0.0722418 0.0767397 -0.0091666 -0.0120142 0.9969366
1403715894.684058 -0.0300960  0.0589677 -0.0773871 0.0767500 -0.0133561 -0.0078255 0.9969302
1403715894.734058 -0.0326798  0.0610376 -0.0829849 0.0794469 -0.0177871 -0.0038148 0.9966731
1403715894.784058 -0.0353688  0.0639408 -0.0884445 0.0845868 -0.0225754 0.0007834 0.9961600
1403715894.834058 -0.0385414  0.0678181 -0.0940989 0.0917677 -0.0270451 0.0045003 0.9954029
1403715894.884058 -0.0415791  0.0734383 -0.0993846 0.1004755 -0.0311745 0.0069804 0.9944265
1403715894.934058 -0.0447455  0.0772175 -0.1051349 0.1081020 -0.0345759 0.0083823 0.9935030
1403715894.984058 -0.0478856  0.0814476 -0.1109052 0.1150519 -0.0383342 0.0100617 0.9925685
1403715895.034058 -0.0512478  0.0859515 -0.1157322 0.1213219 -0.0415642 0.0116112 0.9916746
1403715895.084058 -0.0543031  0.0899875 -0.1217525 0.1262200 -0.0442831 0.0115640 0.9909459
1403715895.134058 -0.0572831  0.0935296 -0.1278383 0.1302964 -0.0482428 0.0135294 0.9902083
1403715895.184058 -0.0604083  0.0993292 -0.1334841 0.1355807 -0.0516526 0.0149730 0.9893057
1403715895.234058 -0.0631847  0.1033355 -0.1398170 0.1390495 -0.0557824 0.0169026 0.9885686
1403715895.284058 -0.0656436  0.1070147 -0.1460507 0.1431876 -0.0592482 0.0174087 0.9877671
1403715895.334058 -0.0689428  0.1106336 -0.1510619 0.1465923 -0.0624031 0.0182762 0.9870575
1403715895.384058 -0.0716634  0.1144991 -0.1576107 0.1505677 -0.0656840 0.0184082 0.9862434
1403715895.434058 -0.0743811  0.1183061 -0.1642890 0.1541288 -0.0687381 0.0183515 0.9854860
1403715895.484058 -0.0763493  0.1225767 -0.1700469 0.1570753 -0.0725004 0.0189130 0.9847402
1403715895.534058 -0.0787915  0.1259616 -0.1764788 0.1598147 -0.0758322 0.0187214 0.9840520
1403715895.584058 -0.0811447  0.1290817 -0.1833986 0.1614867 -0.0793931 0.0191843 0.9834891
1403715895.634058 -0.0820448  0.1318662 -0.1900891 0.1650723 -0.0827505 0.0189114 0.9826219
1403715895.684058 -0.0841950  0.1352103 -0.1969475 0.1672943 -0.0860263 0.0183983 0.9819743
1403715895.734058 -0.0863514  0.1386611 -0.2040564 0.1695899 -0.0895320 0.0182801 0.9812691
1403715895.784058 -0.0878454  0.1427115 -0.2093964 0.1724467 -0.0931161 0.0184573 0.9804340
1403715895.834058 -0.0897396  0.1458910 -0.2164255 0.1749542 -0.0965445 0.0178360 0.9796694
1403715895.884058 -0.0913485  0.1487336 -0.2231952 0.1768302 -0.0997470 0.0165905 0.9790334
1403715895.934058 -0.0933253  0.1540409 -0.2299032 0.1809959 -0.1037590 0.0172217 0.9778435
