#frame_time_stamp time_pre_proc time_post_proc
1311870428.663196 0.014463 0.014628
1311870428.699275 0.013277 0.013371
1311870428.731171 0.011878 0.012002
1311870428.763173 0.010997 0.011086
1311870428.799280 0.012407 0.012531
1311870428.831376 0.013029 0.013131
1311870428.863232 0.012940 0.013050
1311870428.899406 0.012995 0.013091
1311870428.931143 0.011126 0.011226
1311870428.963255 0.011086 0.011186
1311870428.999316 0.011394 0.011535
1311870429.031368 0.013131 0.013234
1311870429.063298 0.013259 0.013360
1311870429.099362 0.012049 0.012145
1311870429.131434 0.011397 0.011502
1311870429.163291 0.009548 0.009649
1311870429.199396 0.011424 0.011538
1311870429.231437 0.013236 0.013329
1311870429.263266 0.013781 0.013879
1311870429.299443 0.011808 0.011899
1311870429.331255 0.011935 0.012033
1311870429.363267 0.013571 0.013663
1311870429.399320 0.013028 0.013123
1311870429.431354 0.010983 0.011096
1311870429.463269 0.013311 0.013398
1311870429.499243 0.014206 0.014349
1311870429.531208 0.009085 0.009181
1311870429.563312 0.010612 0.010758
1311870429.599449 0.012643 0.012730
1311870429.631293 0.010444 0.010545
1311870429.663354 0.013383 0.013482
1311870429.699491 0.013893 0.014046
1311870429.731303 0.013675 0.013792
1311870429.763313 0.010990 0.011105
1311870429.799489 0.013060 0.013146
1311870429.831318 0.014126 0.014265
1311870429.863196 0.010904 0.011006
1311870429.899470 0.012382 0.012468
1311870429.931446 0.011875 0.012017
1311870429.963465 0.010576 0.010665
1311870429.999478 0.012756 0.012841
1311870430.031269 0.010998 0.011107
1311870430.063451 0.010802 0.010931
1311870430.099355 0.012120 0.012222
1311870430.131369 0.013319 0.013406
1311870430.163315 0.013774 0.013875
1311870430.199392 0.012348 0.012440
1311870430.231223 0.010858 0.010952
1311870430.263346 0.012854 0.012951
1311870430.299384 0.015053 0.015144
1311870430.331664 0.013528 0.013700
1311870430.363389 0.012296 0.012392
1311870430.399281 0.010790 0.010884
1311870430.431391 0.011958 0.012085
1311870430.463459 0.009964 0.010065
1311870430.499344 0.012875 0.012970
1311870430.531454 0.011127 0.011228
1311870430.563500 0.010447 0.010559
1311870430.599385 0.013091 0.013178
1311870430.631310 0.011717 0.011805
1311870430.663444 0.013636 0.013744
1311870430.699258 0.013169 0.013275
1311870430.731345 0.010036 0.010136
1311870430.763500 0.013801 0.013905
1311870430.799409 0.014862 0.014965
1311870430.831480 0.007708 0.007815
1311870430.863574 0.011851 0.011950
1311870430.899451 0.010077 0.010201
1311870430.931499 0.009271 0.009365
1311870430.963601 0.010916 0.011059
1311870430.999454 0.011044 0.011176
1311870431.031523 0.012069 0.012164
1311870431.063647 0.008407 0.008511
1311870431.099270 0.012642 0.012736
1311870431.131475 0.012303 0.012401
1311870431.163490 0.009854 0.009970
1311870431.199595 0.015164 0.015258
1311870431.231528 0.012824 0.012924
1311870431.263518 0.012333 0.012440
1311870431.299516 0.011821 0.011915
1311870431.331676 0.012063 0.012160
1311870431.363631 0.011890 0.011979
1311870431.399293 0.012297 0.012405
1311870431.431480 0.012715 0.012815
1311870431.463503 0.007935 0.008059
1311870431.499459 0.009352 0.009448
1311870431.531388 0.011554 0.011715
1311870431.563325 0.007763 0.007891
1311870431.599430 0.011534 0.011673
1311870431.631542 0.009340 0.009440
1311870431.663486 0.013127 0.013263
1311870431.699385 0.012590 0.012676
1311870431.731529 0.009888 0.010011
1311870431.763721 0.013355 0.013516
1311870431.799486 0.013348 0.013486
1311870431.831541 0.010013 0.010103
1311870431.863694 0.013878 0.014016
1311870431.899573 0.012893 0.013039
1311870431.931488 0.010663 0.010744
1311870431.963564 0.012493 0.012583
1311870431.999553 0.012298 0.012395
1311870432.031509 0.012012 0.012134
1311870432.063526 0.011971 0.012074
1311870432.099459 0.009453 0.009562
1311870432.131603 0.011356 0.011436
1311870432.163607 0.010370 0.010453
1311870432.199461 0.013143 0.013273
1311870432.231754 0.013234 0.013372
1311870432.263643 0.012866 0.012972
1311870432.299615 0.012974 0.013113
1311870432.331460 0.009634 0.009731
1311870432.363365 0.012996 0.013210
1311870432.399630 0.013051 0.013195
1311870432.431690 0.015247 0.015343
1311870432.463520 0.010120 0.010213
1311870432.499674 0.013654 0.013794
1311870432.531554 0.011058 0.011172
1311870432.563517 0.013482 0.013625
1311870432.599522 0.013166 0.013306
1311870432.631484 0.012625 0.012704
1311870432.663494 0.010621 0.010706
1311870432.699551 0.014138 0.014261
1311870432.731507 0.012352 0.012461
1311870432.763511 0.011903 0.011999
1311870432.799641 0.012180 0.012276
1311870432.831541 0.012251 0.012337
1311870432.863631 0.011647 0.011739
1311870432.899615 0.012853 0.012992
