#frame_time_stamp time_pre_proc time_post_proc
1225719823.814503 0.009518 0.009707
1225719823.864503 0.011810 0.011900
1225719823.914496 0.010277 0.010389
1225719823.964496 0.009656 0.009763
1225719824.014495 0.125713 0.125763
1225719824.064495 0.008389 0.008482
1225719824.114489 0.010465 0.010583
1225719824.164488 0.009738 0.009845
1225719824.214489 0.009527 0.009634
1225719824.264481 0.009955 0.010016
1225719824.314483 0.010793 0.010900
1225719824.364482 0.011003 0.011060
1225719824.414482 0.012049 0.012179
1225719824.464475 0.010574 0.010635
1225719824.514475 0.011140 0.011197
1225719824.564475 0.010843 0.010895
1225719824.614467 0.013761 0.013817
1225719824.664469 0.014046 0.014107
1225719824.714467 0.015863 0.015920
1225719824.764468 0.014365 0.014419
1225719824.814462 0.015706 0.015763
1225719824.864463 0.012045 0.012109
1225719824.914461 0.014934 0.014988
1225719824.964461 0.012247 0.012302
1225719825.014454 0.014671 0.014728
1225719825.064453 0.013222 0.013281
1225719825.114456 0.012330 0.012386
1225719825.164447 0.013826 0.013880
1225719825.214448 0.014232 0.014289
1225719825.264449 0.012987 0.013045
1225719825.314446 0.016609 0.016698
1225719825.364441 0.011350 0.011416
1225719825.414442 0.014368 0.014420
1225719825.464440 0.013666 0.013729
1225719825.514441 0.012091 0.012198
1225719825.564433 0.013289 0.013344
1225719825.614434 0.011402 0.011454
1225719825.664434 0.012793 0.012847
1225719825.714426 0.012212 0.012275
1225719825.764426 0.013143 0.013203
1225719825.814426 0.011369 0.011425
1225719825.864427 0.010078 0.010135
1225719825.914418 0.011322 0.011443
1225719825.964418 0.012535 0.012589
1225719826.014419 0.011262 0.011366
1225719826.064419 0.131035 0.131090
1225719826.114411 0.007069 0.007159
1225719826.164410 0.009780 0.009891
1225719826.214411 0.013177 0.013265
1225719826.264411 0.009835 0.009941
1225719826.314405 0.010706 0.010818
1225719826.364405 0.011795 0.011849
1225719826.414404 0.011691 0.011814
1225719826.464398 0.010914 0.010974
1225719826.514396 0.009662 0.009759
1225719826.564398 0.011309 0.011364
1225719826.614397 0.013035 0.013085
1225719826.664389 0.010442 0.010501
1225719826.714389 0.011726 0.011833
1225719826.764390 0.011136 0.011196
1225719826.814391 0.013659 0.013713
1225719826.864383 0.011368 0.011427
1225719826.914382 0.011763 0.011923
1225719826.964381 0.012025 0.012080
1225719827.014375 0.013038 0.013092
1225719827.064377 0.011979 0.012036
1225719827.114376 0.013338 0.013389
1225719827.164375 0.011618 0.011674
1225719827.214370 0.013188 0.013240
1225719827.264369 0.011742 0.011802
1225719827.314369 0.013172 0.013224
1225719827.364369 0.012050 0.012102
1225719827.414361 0.012734 0.012843
1225719827.464363 0.012144 0.012203
1225719827.514362 0.013446 0.013503
1225719827.564355 0.012248 0.012301
1225719827.614355 0.013434 0.013494
1225719827.664355 0.012454 0.012513
1225719827.714355 0.011139 0.011193
1225719827.764347 0.012366 0.012419
1225719827.814349 0.012826 0.012935
1225719827.864347 0.012266 0.012326
1225719827.914348 0.013409 0.013464
1225719827.964343 0.012415 0.012472
1225719828.014342 0.013562 0.013622
1225719828.064342 0.012396 0.012452
1225719828.114340 0.013214 0.013269
1225719828.164336 0.012375 0.012425
1225719828.214334 0.013978 0.014049
1225719828.264334 0.012678 0.012735
1225719828.314326 0.011785 0.011838
1225719828.364327 0.012896 0.012957
1225719828.414327 0.014132 0.014184
1225719828.464326 0.013023 0.013084
1225719828.514319 0.013632 0.013686
1225719828.564320 0.011509 0.011563
1225719828.614320 0.013536 0.013589
1225719828.664313 0.011912 0.011968
1225719828.714313 0.011374 0.011466
1225719828.764312 0.152679 0.152740
1225719828.814313 0.007186 0.007256
1225719828.864305 0.010012 0.010117
1225719828.914307 0.151044 0.151084
1225719828.964306 0.007264 0.007329
1225719829.014305 0.013355 0.013403
1225719829.064299 0.012508 0.012574
1225719829.114300 0.013492 0.013591
1225719829.164299 0.011762 0.011809
1225719829.214299 0.013045 0.013160
1225719829.264291 0.011385 0.011434
1225719829.314290 0.010031 0.010076
1225719829.364295 0.011061 0.011160
1225719829.414292 0.010046 0.010092
1225719829.464289 0.011016 0.011063
1225719829.514285 0.010032 0.010079
1225719829.564283 0.009080 0.009127
1225719829.614277 0.012456 0.012557
1225719829.664277 0.011668 0.011725
1225719829.714277 0.013268 0.013370
