#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520617231.108153 -0.0134581 -0.0398592  0.0201695 0.0005146 -0.0020844 0.0102569 0.9999451
1520617231.158155 -0.0132367 -0.0420026  0.0214323 0.0021069 -0.0017012 0.0110365 0.9999354
1520617231.208247 -0.0162906 -0.0455352  0.0230324 0.0084174 0.0008454 0.0087847 0.9999256
1520617231.258158 -0.0180546 -0.0504173  0.0255223 0.0179302 0.0028003 0.0050718 0.9998225
1520617231.308139 -0.0183746 -0.0538367  0.0272985 0.0256561 0.0006884 0.0046087 0.9996600
1520617231.358140 -0.0204820 -0.0566089  0.0285932 0.0288034 -0.0022108 0.0066339 0.9995606
1520617231.408142 -0.0189199 -0.0574088  0.0291483 0.0283317 -0.0053353 0.0083842 0.9995492
1520617231.458143 -0.0199279 -0.0579841  0.0293853 0.0261885 -0.0097202 0.0121358 0.9995361
1520617231.508146 -0.0231738 -0.0597167  0.0299923 0.0249437 -0.0144014 0.0158285 0.9994598
1520617231.558146 -0.0232923 -0.0613140  0.0308516 0.0244426 -0.0143883 0.0153546 0.9994798
1520617231.608149 -0.0248913 -0.0618347  0.0309467 0.0261135 -0.0171439 0.0164972 0.9993758
1520617231.658149 -0.0260270 -0.0631337  0.0315677 0.0298903 -0.0189741 0.0190251 0.9991920
1520617231.708106 -0.0265959 -0.0659197  0.0329583 0.0345413 -0.0192980 0.0215534 0.9989845
1520617231.758107 -0.0255717 -0.0658965  0.0330676 0.0362076 -0.0194076 0.0220410 0.9989127
1520617231.808109 -0.0269674 -0.0671244  0.0335311 0.0340308 -0.0187110 0.0225099 0.9989920
1520617231.858111 -0.0283648 -0.0663718  0.0330108 0.0303375 -0.0195568 0.0225086 0.9990949
1520617231.908112 -0.0235840 -0.0661163  0.0333448 0.0264613 -0.0184293 0.0221324 0.9992349
1520617231.958114 -0.0231884 -0.0635290  0.0320040 0.0241408 -0.0151783 0.0201130 0.9993910
1520617232.008115 -0.0253213 -0.0647711  0.0324590 0.0230204 -0.0118441 0.0189950 0.9994844
1520617232.058117 -0.0253847 -0.0640386  0.0320135 0.0236062 -0.0098468 0.0183850 0.9995038
1520617232.108118 -0.0272955 -0.0646233  0.0320870 0.0238739 -0.0098092 0.0214286 0.9994372
1520617232.158113 -0.0253059 -0.0629278  0.0313866 0.0243196 -0.0082376 0.0216344 0.9994362
1520617232.208113 -0.0291357 -0.0626158  0.0308162 0.0219908 -0.0059822 0.0215927 0.9995071
1520617232.258116 -0.0270554 -0.0600882  0.0296354 0.0154337 -0.0023507 0.0197699 0.9996827
1520617232.308117 -0.0205867 -0.0550936  0.0276569 0.0073713 0.0004008 0.0193056 0.9997864
1520617232.358119 -0.0189179 -0.0528951  0.0266923 0.0016962 0.0016973 0.0202789 0.9997915
1520617232.408120 -0.0290678 -0.0536284  0.0259610 -0.0017247 0.0025404 0.0238810 0.9997101
1520617232.458122 -0.0209830 -0.0480316  0.0237812 -0.0038404 0.0017516 0.0263020 0.9996451
1520617232.508125 -0.0194383 -0.0471640  0.0234700 -0.0027601 0.0011070 0.0274331 0.9996192
1520617232.558158 -0.0211157 -0.0509862  0.0254109 0.0029915 0.0004643 0.0285444 0.9995879
1520617232.608160 -0.0228657 -0.0496619  0.0245080 0.0117891 0.0000126 0.0306460 0.9994608
1520617232.658163 -0.0275865 -0.0525947  0.0256571 0.0204874 -0.0013668 0.0349815 0.9991770
1520617232.708168 -0.0234749 -0.0519002  0.0256910 0.0262324 -0.0035242 0.0397851 0.9988576
1520617232.758165 -0.0250259 -0.0553148  0.0274231 0.0286040 -0.0026831 0.0413661 0.9987309
1520617232.808167 -0.0231972 -0.0530737  0.0263436 0.0287133 -0.0007904 0.0392577 0.9988162
1520617232.858168 -0.0227748 -0.0515755  0.0255593 0.0280516 0.0008351 0.0360521 0.9989558
1520617232.908170 -0.0160776 -0.0480756  0.0242958 0.0275699 0.0028571 0.0328904 0.9990746
1520617232.958165 -0.0147604 -0.0473366  0.0240299 0.0256084 0.0055217 0.0306708 0.9991862
1520617233.008166 -0.0145612 -0.0402212  0.0202390 0.0189509 0.0090671 0.0290389 0.9993575
1520617233.058168 -0.0141719 -0.0370967  0.0186053 0.0076268 0.0122809 0.0279546 0.9995047
1520617233.108170 -0.0122208 -0.0367172  0.0185046 -0.0029662 0.0143345 0.0269023 0.9995309
1520617233.158171 -0.0093367 -0.0310849  0.0157832 -0.0069221 0.0157551 0.0287046 0.9994398
1520617233.208173 -0.0088336 -0.0312805  0.0158952 -0.0029933 0.0167167 0.0305126 0.9993901
1520617233.258174 -0.0088374 -0.0333728  0.0170334 0.0067612 0.0176246 0.0304713 0.9993574
1520617233.308176 -0.0034012 -0.0367628  0.0193646 0.0164583 0.0192085 0.0267278 0.9993227
1520617233.358197 -0.0065875 -0.0368782  0.0191357 0.0204706 0.0192985 0.0254112 0.9992811
1520617233.408199 -0.0073917 -0.0359505  0.0185907 0.0160993 0.0185262 0.0223936 0.9994479
1520617233.458201 -0.0106100 -0.0346447  0.0175678 0.0038419 0.0165776 0.0218819 0.9996157
1520617233.508202 -0.0072996 -0.0289046  0.0148134 -0.0084341 0.0128774 0.0229971 0.9996170
1520617233.558204 -0.0075785 -0.0254776  0.0129411 -0.0171977 0.0102757 0.0234082 0.9995252
1520617233.608205 -0.0078627 -0.0248673  0.0125852 -0.0207847 0.0073795 0.0243885 0.9994592
1520617233.658207 -0.0082940 -0.0241485  0.0122088 -0.0190980 0.0037162 0.0253455 0.9994894
1520617233.708208 -0.0115126 -0.0249882  0.0124149 -0.0143723 0.0010030 0.0246342 0.9995927
1520617233.758235 -0.0125329 -0.0253255  0.0124853 -0.0083663 -0.0015174 0.0236459 0.9996842
1520617233.808237 -0.0182825 -0.0270596  0.0129528 -0.0017393 -0.0033837 0.0238075 0.9997093
1520617233.858239 -0.0257763 -0.0295754  0.0135633 0.0059873 -0.0046030 0.0261032 0.9996307
1520617233.908240 -0.0330334 -0.0315739  0.0139333 0.0124446 -0.0049535 0.0270502 0.9995443
1520617233.958242 -0.0344976 -0.0326037  0.0144142 0.0156380 -0.0076014 0.0255300 0.9995228
1520617234.008243 -0.0398445 -0.0306980  0.0128733 0.0154929 -0.0117155 0.0214556 0.9995811
1520617234.058245 -0.0494792 -0.0264375  0.0097510 0.0095605 -0.0153252 0.0196756 0.9996432
1520617234.108246 -0.0476985 -0.0210799  0.0069402 -0.0061208 -0.0182286 0.0198837 0.9996174
1520617234.158233 -0.0523087 -0.0151466  0.0033656 -0.0271592 -0.0205237 0.0227671 0.9991611
1520617234.208234 -0.0676622 -0.0082860 -0.0017510 -0.0466433 -0.0214939 0.0242463 0.9983860
1520617234.258236 -0.0701046 -0.0076990 -0.0023055 -0.0575119 -0.0227089 0.0225204 0.9978324
1520617234.308237 -0.0745863 -0.0097571 -0.0016261 -0.0569209 -0.0239546 0.0193710 0.9979033
1520617234.358239 -0.0814171 -0.0136920 -0.0001798 -0.0485921 -0.0258162 0.0168078 0.9983435
1520617234.408241 -0.0889427 -0.0186144  0.0018463 -0.0388065 -0.0283765 0.0151207 0.9987293
