#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520437770.718671 -0.0180421  0.0064715 -0.0073935 0.0067908 -0.0002468 0.0124727 0.9998991
1520437770.768672 -0.0168228  0.0069421 -0.0075268 0.0068761 0.0006614 0.0114709 0.9999103
1520437770.818678 -0.0157839  0.0072204 -0.0075508 0.0058104 0.0023329 0.0113492 0.9999160
1520437770.868675 -0.0142181  0.0074847 -0.0075861 0.0051109 0.0051362 0.0117112 0.9999052
1520437770.918676 -0.0124833  0.0072571 -0.0072217 0.0050037 0.0088046 0.0131888 0.9998617
1520437770.968678 -0.0097239  0.0075436 -0.0068434 0.0039477 0.0104969 0.0153155 0.9998198
1520437771.018679 -0.0061677  0.0071396 -0.0065502 0.0045898 0.0130099 0.0154966 0.9997847
1520437771.068681 -0.0013992  0.0067883 -0.0060828 0.0060808 0.0157005 0.0168137 0.9997169
1520437771.118684  0.0032931  0.0060878 -0.0062371 0.0064813 0.0174106 0.0193330 0.9996405
1520437771.168677  0.0105321  0.0054651 -0.0064955 0.0075784 0.0181456 0.0212999 0.9995797
1520437771.218679  0.0184286  0.0045040 -0.0067703 0.0092626 0.0179882 0.0219953 0.9995533
1520437771.268680  0.0290196  0.0045810 -0.0068120 0.0109632 0.0178376 0.0213377 0.9995531
1520437771.318682  0.0404828  0.0041301 -0.0073814 0.0124426 0.0182809 0.0207448 0.9995402
1520437771.368683  0.0526781  0.0038134 -0.0077810 0.0135899 0.0190718 0.0214048 0.9994966
1520437771.418685  0.0724844  0.0050357 -0.0097821 0.0129216 0.0183604 0.0215571 0.9995155
1520437771.468687  0.0888982  0.0046796 -0.0108717 0.0126501 0.0169070 0.0210332 0.9995558
1520437771.518688  0.1071049  0.0047314 -0.0112357 0.0147891 0.0145405 0.0195139 0.9995944
1520437771.568681  0.1261878  0.0049195 -0.0121189 0.0160903 0.0116930 0.0160529 0.9996733
1520437771.618683  0.1447606  0.0053694 -0.0125223 0.0164245 0.0101243 0.0105718 0.9997580
1520437771.668684  0.1653245  0.0055779 -0.0132552 0.0167731 0.0104178 0.0060701 0.9997866
1520437771.718685  0.1833772  0.0063763 -0.0132246 0.0157318 0.0110933 0.0037489 0.9998077
1520437771.768687  0.2024722  0.0059364 -0.0141615 0.0142370 0.0108968 0.0029596 0.9998349
1520437771.818688  0.2224713  0.0057332 -0.0135323 0.0155424 0.0107830 0.0022208 0.9998186
1520437771.868690  0.2396551  0.0055268 -0.0127095 0.0166050 0.0118194 0.0021039 0.9997901
1520437771.918692  0.2557789  0.0046483 -0.0115425 0.0156019 0.0138482 0.0027283 0.9997787
1520437771.968685  0.2722319  0.0038795 -0.0089776 0.0155963 0.0167798 0.0049485 0.9997253
1520437772.018686  0.2874029  0.0026401 -0.0057501 0.0175735 0.0202203 0.0073986 0.9996137
1520437772.068688  0.3026154  0.0019620 -0.0017672 0.0204777 0.0229681 0.0100319 0.9994761
1520437772.118689 0.3179672 0.0015268 0.0028563 0.0209183 0.0259613 0.0108056 0.9993856
1520437772.168690 0.3339917 0.0016833 0.0069675 0.0186071 0.0281144 0.0115646 0.9993646
1520437772.218692 0.3483799 0.0023728 0.0119377 0.0163998 0.0302147 0.0119841 0.9993370
1520437772.268694 0.3634991 0.0027681 0.0178055 0.0148726 0.0318936 0.0115881 0.9993134
1520437772.318695 0.3786224 0.0034244 0.0242258 0.0137041 0.0327967 0.0117846 0.9992986
1520437772.368691 0.3932796 0.0042147 0.0318774 0.0139637 0.0332011 0.0117486 0.9992821
1520437772.418693 0.4089301 0.0031417 0.0393935 0.0153764 0.0348633 0.0114421 0.9992083
1520437772.468694 0.4246463 0.0022494 0.0464678 0.0175974 0.0354405 0.0123359 0.9991407
1520437772.518695 0.4401267 0.0007583 0.0529899 0.0200014 0.0343064 0.0125599 0.9991323
1520437772.568697  0.4559468 -0.0003235  0.0593863 0.0217935 0.0329451 0.0103368 0.9991661
1520437772.618698 0.4708059 0.0007314 0.0670517 0.0240860 0.0320480 0.0078524 0.9991652
1520437772.668700  0.4873992 -0.0000958  0.0718938 0.0248434 0.0331413 0.0066609 0.9991197
1520437772.718702  0.5020424 -0.0018180  0.0761388 0.0259658 0.0339625 0.0080890 0.9990530
1520437772.768703  0.5190888 -0.0029061  0.0803000 0.0267891 0.0362929 0.0083277 0.9989474
1520437772.818692  0.5358565 -0.0042963  0.0834125 0.0249574 0.0404784 0.0090139 0.9988280
1520437772.868693  0.5525351 -0.0054042  0.0858625 0.0220808 0.0446604 0.0097212 0.9987109
1520437772.918695  0.5687793 -0.0075925  0.0887695 0.0224526 0.0472944 0.0094633 0.9985838
1520437772.968696  0.5883369 -0.0092112  0.0910896 0.0255956 0.0476435 0.0102724 0.9984836
1520437773.018698  0.6076314 -0.0096887  0.0926897 0.0275617 0.0473750 0.0113572 0.9984323
1520437773.068700  0.6272076 -0.0089447  0.0937811 0.0283526 0.0473439 0.0119352 0.9984048
1520437773.118701  0.6491830 -0.0085247  0.0934135 0.0282772 0.0478447 0.0131605 0.9983677
1520437773.168703  0.6717837 -0.0075689  0.0922977 0.0261058 0.0469868 0.0166020 0.9984163
1520437773.218700  0.6954632 -0.0070423  0.0908825 0.0247235 0.0453481 0.0178550 0.9985056
1520437773.268701  0.7187212 -0.0070312  0.0901892 0.0285752 0.0431269 0.0140415 0.9985622
1520437773.318702  0.7453677 -0.0088479  0.0881605 0.0333067 0.0399523 0.0050402 0.9986336
1520437773.368704  0.7715469 -0.0087779  0.0855545 0.0343034 0.0382213 -0.0022079 0.9986779
1520437773.418706  0.7968599 -0.0088486  0.0819765 0.0306798 0.0369781 -0.0027575 0.9988412
1520437773.468707  0.8199588 -0.0084331  0.0793418 0.0274703 0.0319871 -0.0019194 0.9991089
1520437773.518710  0.8427836 -0.0080906  0.0784522 0.0294995 0.0274986 -0.0071304 0.9991610
1520437773.568711  0.8643030 -0.0071947  0.0793124 0.0331449 0.0278886 -0.0113821 0.9989965
1520437773.618725  0.8852845 -0.0056199  0.0806978 0.0315199 0.0324184 -0.0099021 0.9989282
