#frame_time_stamp time_pre_proc time_post_proc
1520437770.718671 0.007555 0.007691
1520437770.768672 0.007337 0.007425
1520437770.818678 0.009776 0.009837
1520437770.868675 0.009454 0.009527
1520437770.918676 0.009317 0.009385
1520437770.968678 0.011329 0.011399
1520437771.018679 0.009926 0.009988
1520437771.068681 0.011140 0.011199
1520437771.118684 0.009947 0.010007
1520437771.168677 0.012325 0.012385
1520437771.218679 0.010564 0.010622
1520437771.268680 0.011540 0.011602
1520437771.318682 0.010845 0.010905
1520437771.368683 0.012305 0.012363
1520437771.418685 0.010993 0.011081
1520437771.468687 0.010362 0.010430
1520437771.518688 0.009378 0.009448
1520437771.568681 0.011189 0.011260
1520437771.618683 0.010595 0.010666
1520437771.668684 0.009251 0.009311
1520437771.718685 0.009821 0.009887
1520437771.768687 0.010816 0.010877
1520437771.818688 0.011590 0.011683
1520437771.868690 0.010752 0.010812
1520437771.918692 0.011592 0.011717
1520437771.968685 0.010026 0.010088
1520437772.018686 0.012604 0.012669
1520437772.068688 0.010994 0.011057
1520437772.118689 0.013123 0.013210
1520437772.168690 0.010716 0.010771
1520437772.218692 0.010657 0.010720
1520437772.268694 0.010887 0.010945
1520437772.318695 0.009120 0.009177
1520437772.368691 0.007577 0.007669
1520437772.418693 0.009504 0.009568
1520437772.468694 0.010817 0.010878
1520437772.518695 0.010542 0.010657
1520437772.568697 0.010670 0.010734
1520437772.618698 0.011084 0.011287
1520437772.668700 0.011236 0.011298
1520437772.718702 0.009716 0.009780
1520437772.768703 0.007592 0.007664
1520437772.818692 0.010002 0.010073
1520437772.868693 0.011291 0.011360
1520437772.918695 0.009866 0.009976
1520437772.968696 0.010768 0.010833
1520437773.018698 0.009602 0.009670
1520437773.068700 0.008833 0.008901
1520437773.118701 0.010374 0.010437
1520437773.168703 0.011105 0.011171
1520437773.218700 0.011199 0.011314
1520437773.268701 0.011043 0.011105
1520437773.318702 0.010683 0.010773
1520437773.368704 0.011742 0.011804
1520437773.418706 0.009703 0.009768
1520437773.468707 0.009428 0.009539
1520437773.518710 0.010311 0.010371
1520437773.568711 0.011078 0.011169
1520437773.618725 0.012200 0.012259
1520437773.668727 0.011538 0.011604
1520437773.718728 0.010824 0.010887
1520437773.768730 0.011158 0.011218
1520437773.818731 0.009506 0.009577
