#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520530963.650196 -0.0345790 -0.0098119  0.0007114 -0.0235356 -0.0246637 0.0231347 0.9991509
1520530963.700197 -0.0341724 -0.0106297  0.0007971 -0.0214457 -0.0252570 0.0237047 0.9991698
1520530963.750199 -0.0343238 -0.0112453  0.0011131 -0.0198867 -0.0251060 0.0231861 0.9992180
1520530963.800219 -0.0340790 -0.0113686  0.0010797 -0.0196634 -0.0249358 0.0218677 0.9992564
1520530963.850221 -0.0336754 -0.0105578  0.0011248 -0.0201360 -0.0242387 0.0208015 0.9992869
1520530963.900270 -0.0352492 -0.0102004  0.0004139 -0.0199896 -0.0258725 0.0202390 0.9992604
1520530963.950224 -0.0361926 -0.0096542 -0.0011165 -0.0188645 -0.0298615 0.0201560 0.9991727
1520530964.000225 -0.0367649 -0.0085627 -0.0037590 -0.0193246 -0.0350385 0.0196710 0.9990055
1520530964.050227 -0.0393606 -0.0064641 -0.0077048 -0.0230538 -0.0406963 0.0184218 0.9987357
1520530964.100228 -0.0407751 -0.0035188 -0.0104922 -0.0272380 -0.0432676 0.0169910 0.9985476
1520530964.150230 -0.0426231 -0.0017051 -0.0137259 -0.0316863 -0.0461909 0.0207627 0.9982141
1520530964.200250 -0.0448201 -0.0001453 -0.0168959 -0.0371918 -0.0479871 0.0261333 0.9978131
1520530964.250252 -0.0431296 -0.0021587 -0.0209146 -0.0417146 -0.0485448 0.0297812 0.9975051
1520530964.300253 -0.0437310 -0.0018252 -0.0211168 -0.0414632 -0.0479595 0.0297504 0.9975448
1520530964.350254 -0.0444746 -0.0027042 -0.0201641 -0.0374350 -0.0472445 0.0282076 0.9977830
1520530964.400256 -0.0451623 -0.0033924 -0.0189195 -0.0329505 -0.0465711 0.0260303 0.9980320
1520530964.450257 -0.0454216 -0.0041372 -0.0186815 -0.0307018 -0.0463788 0.0249602 0.9981400
1520530964.500259 -0.0465884 -0.0044701 -0.0186965 -0.0305857 -0.0461472 0.0241126 0.9981751
1520530964.550260 -0.0469051 -0.0047239 -0.0189994 -0.0307422 -0.0466095 0.0238964 0.9981540
1520530964.600252 -0.0484239 -0.0052942 -0.0191341 -0.0305511 -0.0479170 0.0238304 0.9980995
1520530964.650303 -0.0482473 -0.0058453 -0.0197614 -0.0301917 -0.0494007 0.0235499 0.9980448
1520530964.700304 -0.0497436 -0.0062089 -0.0198083 -0.0294035 -0.0503544 0.0229994 0.9980335
1520530964.750306 -0.0502082 -0.0066345 -0.0197238 -0.0285828 -0.0503703 0.0223144 0.9980721
1520530964.800307 -0.0504155 -0.0064806 -0.0194626 -0.0279520 -0.0498245 0.0215650 0.9981338
1520530964.850309 -0.0511576 -0.0060538 -0.0192561 -0.0274437 -0.0494537 0.0211705 0.9981748
1520530964.900311 -0.0519738 -0.0060437 -0.0195768 -0.0277674 -0.0499353 0.0214360 0.9981362
1520530964.950312 -0.0522389 -0.0054734 -0.0199106 -0.0283984 -0.0500141 0.0213175 0.9981171
1520530965.000314 -0.0524987 -0.0050765 -0.0197407 -0.0287260 -0.0495345 0.0207319 0.9981439
1520530965.050293 -0.0527472 -0.0046758 -0.0193501 -0.0283957 -0.0492587 0.0207106 0.9981675
1520530965.100294 -0.0536049 -0.0046068 -0.0192697 -0.0280469 -0.0495220 0.0210629 0.9981570
1520530965.150295 -0.0537631 -0.0041121 -0.0195014 -0.0284166 -0.0500636 0.0207232 0.9981266
1520530965.200297 -0.0548500 -0.0035447 -0.0194419 -0.0291330 -0.0504518 0.0209225 0.9980822
1520530965.250298 -0.0555447 -0.0034842 -0.0193412 -0.0298486 -0.0510040 0.0218195 0.9980138
1520530965.300300 -0.0560029 -0.0028069 -0.0192973 -0.0305378 -0.0511606 0.0221683 0.9979773
1520530965.350301 -0.0569440 -0.0025482 -0.0191384 -0.0307712 -0.0516228 0.0220384 0.9979492
1520530965.400303 -0.0580035 -0.0028679 -0.0188333 -0.0303462 -0.0520726 0.0214710 0.9979512
1520530965.450306 -0.0597397 -0.0032108 -0.0185192 -0.0296299 -0.0528219 0.0213385 0.9979362
1520530965.500314 -0.0606959 -0.0032827 -0.0185015 -0.0297773 -0.0536237 0.0220714 0.9978731
1520530965.550309 -0.0620216 -0.0036442 -0.0180001 -0.0310940 -0.0538807 0.0229903 0.9977983
1520530965.600310 -0.0631889 -0.0036308 -0.0177898 -0.0330950 -0.0539779 0.0248470 0.9976842
1520530965.650312 -0.0627948 -0.0032908 -0.0171682 -0.0345578 -0.0534517 0.0262761 0.9976263
1520530965.700313 -0.0626746 -0.0038958 -0.0160318 -0.0347611 -0.0525548 0.0271819 0.9976426
1520530965.750315 -0.0640747 -0.0043791 -0.0150633 -0.0340458 -0.0521699 0.0279970 0.9976650
1520530965.800317 -0.0643959 -0.0045556 -0.0142304 -0.0333846 -0.0516724 0.0275204 0.9977264
1520530965.850329 -0.0645330 -0.0045642 -0.0137881 -0.0329419 -0.0513566 0.0269571 0.9977728
1520530965.900331 -0.0647377 -0.0045742 -0.0137124 -0.0328819 -0.0517152 0.0263188 0.9977733
1520530965.950332 -0.0651730 -0.0042155 -0.0134410 -0.0330827 -0.0523025 0.0259344 0.9977462
1520530966.000334 -0.0650226 -0.0036631 -0.0126052 -0.0337942 -0.0516215 0.0265081 0.9977427
1520530966.050335 -0.0641443 -0.0031164 -0.0114339 -0.0357014 -0.0507827 0.0293140 0.9976408
1520530966.100337 -0.0623495 -0.0031204 -0.0102489 -0.0386346 -0.0506037 0.0316657 0.9974688
1520530966.150339 -0.0594926 -0.0027291 -0.0077440 -0.0411290 -0.0493750 0.0322355 0.9974123
1520530966.200340 -0.0550137 -0.0032433 -0.0048107 -0.0423712 -0.0498741 0.0334333 0.9972961
1520530966.250354 -0.0499415 -0.0057762 -0.0011075 -0.0420309 -0.0523929 0.0359649 0.9970932
1520530966.300354 -0.0417509 -0.0105283  0.0038412 -0.0402901 -0.0540511 0.0378750 0.9970058
1520530966.350357 -0.0308477 -0.0170506  0.0097608 -0.0369988 -0.0548621 0.0391300 0.9970407
1520530966.400357 -0.0165556 -0.0257963  0.0164996 -0.0315686 -0.0558446 0.0410329 0.9970963
1520530966.450360  0.0016305 -0.0360143  0.0247142 -0.0239843 -0.0563692 0.0433964 0.9971780
1520530966.500362  0.0246504 -0.0482742  0.0343580 -0.0150274 -0.0573543 0.0457500 0.9971919
1520530966.550363  0.0543031 -0.0646579  0.0431958 -0.0075517 -0.0600193 0.0489673 0.9969668
1520530966.600366  0.0849279 -0.0781316  0.0540907 -0.0011940 -0.0624235 0.0519605 0.9966955
1520530966.650339  0.1196995 -0.0931838  0.0656763 0.0046624 -0.0640937 0.0532870 0.9965093
1520530966.700341  0.1586695 -0.1084666  0.0783288 0.0105105 -0.0623625 0.0497177 0.9967590
1520530966.750344  0.2021235 -0.1258734  0.0896101 0.0158090 -0.0584731 0.0449199 0.9971525
1520530966.800344  0.2437197 -0.1446794  0.1013040 0.0231819 -0.0573935 0.0426386 0.9971713
1520530966.850345  0.2841910 -0.1641586  0.1129757 0.0320206 -0.0572719 0.0419982 0.9969608
1520530966.900348  0.3265507 -0.1834316  0.1239841 0.0390509 -0.0554384 0.0387665 0.9969447
1520530966.950350  0.3682289 -0.2023232  0.1341638 0.0435493 -0.0535227 0.0344346 0.9970221
1520530967.000350  0.4088134 -0.2222788  0.1435453 0.0473670 -0.0519717 0.0303950 0.9970614
1520530967.050353  0.4485575 -0.2417990  0.1526432 0.0523226 -0.0491346 0.0265096 0.9970684
1520530967.100197  0.4901198 -0.2637895  0.1609380 0.0588879 -0.0446264 0.0217538 0.9970293
1520530967.150194  0.5334700 -0.2877809  0.1689022 0.0673026 -0.0366417 0.0162353 0.9969274
1520530967.200196  0.5771136 -0.3127334  0.1767583 0.0773287 -0.0253565 0.0112340 0.9966198
1520530967.250197  0.6218743 -0.3373683  0.1837439 0.0866192 -0.0116563 0.0078993 0.9961420
1520530967.300199  0.6684454 -0.3585596  0.1897768 0.0927741 0.0041137 0.0029225 0.9956744
1520530967.350200  0.7156674 -0.3769208  0.1941565 0.0945219 0.0227168 -0.0038510 0.9952561
1520530967.400203  0.7636036 -0.3890201  0.1960190 0.0938021 0.0416318 -0.0136604 0.9946262
