#frame_time_stamp time_pre_proc time_post_proc
1520530963.650196 0.011615 0.011751
1520530963.700197 0.012327 0.012401
1520530963.750199 0.011203 0.011274
1520530963.800219 0.007082 0.007154
1520530963.850221 0.009635 0.009708
1520530963.900270 0.011502 0.011568
1520530963.950224 0.011258 0.011332
1520530964.000225 0.010971 0.011090
1520530964.050227 0.010336 0.010404
1520530964.100228 0.011665 0.011734
1520530964.150230 0.009751 0.009818
1520530964.200250 0.010779 0.010860
1520530964.250252 0.012303 0.012385
1520530964.300253 0.011587 0.011655
1520530964.350254 0.009723 0.009795
1520530964.400256 0.011369 0.011441
1520530964.450257 0.010974 0.011042
1520530964.500259 0.010461 0.010529
1520530964.550260 0.008695 0.008774
1520530964.600252 0.012156 0.012226
1520530964.650303 0.010351 0.010422
1520530964.700304 0.010951 0.011026
1520530964.750306 0.009687 0.009755
1520530964.800307 0.011138 0.011209
1520530964.850309 0.009591 0.009660
1520530964.900311 0.008799 0.008867
1520530964.950312 0.009653 0.009724
1520530965.000314 0.010977 0.011044
1520530965.050293 0.009879 0.009949
1520530965.100294 0.010822 0.010887
1520530965.150295 0.009411 0.009476
1520530965.200297 0.011084 0.011156
1520530965.250298 0.010424 0.010492
1520530965.300300 0.010989 0.011124
1520530965.350301 0.009718 0.009784
1520530965.400303 0.006628 0.006697
1520530965.450306 0.009679 0.009747
1520530965.500314 0.010711 0.010820
1520530965.550309 0.010248 0.010316
1520530965.600310 0.011331 0.011398
1520530965.650312 0.010555 0.010623
1520530965.700313 0.011688 0.011757
1520530965.750315 0.008566 0.008634
1520530965.800317 0.011382 0.011461
1520530965.850329 0.010366 0.010433
1520530965.900331 0.012479 0.012547
1520530965.950332 0.010111 0.010175
1520530966.000334 0.011472 0.011541
1520530966.050335 0.007987 0.008059
1520530966.100337 0.008271 0.008338
1520530966.150339 0.009513 0.009588
1520530966.200340 0.011516 0.011582
1520530966.250354 0.010077 0.010147
1520530966.300354 0.011090 0.011166
1520530966.350357 0.009536 0.009616
1520530966.400357 0.010903 0.010975
1520530966.450360 0.010640 0.010709
1520530966.500362 0.011023 0.011092
1520530966.550363 0.012634 0.012717
1520530966.600366 0.010865 0.010935
1520530966.650339 0.011067 0.011134
1520530966.700341 0.011733 0.011802
1520530966.750344 0.012390 0.012484
1520530966.800344 0.011947 0.012022
1520530966.850345 0.015043 0.015170
1520530966.900348 0.011540 0.011674
1520530966.950350 0.008424 0.008529
1520530967.000350 0.011336 0.011409
1520530967.050353 0.008854 0.008952
1520530967.100197 0.009836 0.009941
1520530967.150194 0.009566 0.009665
1520530967.200196 0.011901 0.011980
1520530967.250197 0.016817 0.016891
1520530967.300199 0.009418 0.009463
1520530967.350200 0.016023 0.016115
1520530967.400203 0.011307 0.011350
1520530967.450203 0.010816 0.010901
1520530967.500070 0.010869 0.010938
1520530967.550071 0.011709 0.011795
1520530967.600073 0.012552 0.012631
1520530967.650074 0.012627 0.012712
1520530967.700076 0.012570 0.012641
1520530967.750078 0.009112 0.009198
1520530967.800079 0.010621 0.010738
1520530967.850081 0.015829 0.015928
1520530967.900036 0.010716 0.010761
1520530967.950038 0.011501 0.011585
1520530968.000039 0.009695 0.009768
1520530968.050041 0.009281 0.009372
1520530968.100043 0.010167 0.010299
1520530968.150045 0.010781 0.010852
1520530968.200046 0.012186 0.012260
1520530968.250047 0.009905 0.010047
1520530968.300315 0.152041 0.152099
1520530968.350316 0.010810 0.010907
1520530968.400318 0.007617 0.007730
1520530968.450320 0.009953 0.009994
1520530968.500321 0.012484 0.012568
1520530968.550323 0.010379 0.010420
1520530968.600323 0.011525 0.011577
1520530968.650326 0.011694 0.011773
1520530968.700678 0.137986 0.138025
1520530968.750758 0.009885 0.010004
1520530968.800681 0.009759 0.009807
1520530968.850683 0.011077 0.011166
1520530968.900684 0.009483 0.009555
1520530968.950686 0.012282 0.012368
1520530969.000688 0.010670 0.010711
1520530969.050689 0.006945 0.007030
1520530969.100154 0.017944 0.018038
1520530969.150155 0.010024 0.010122
1520530969.200157 0.012649 0.012728
1520530969.250158 0.010258 0.010301
1520530969.300160 0.012764 0.012847
1520530969.350162 0.011191 0.011270
1520530969.400163 0.011213 0.011313
1520530969.450165 0.010120 0.010170
1520530969.500166 0.007129 0.007172
1520530969.550136 0.010601 0.010658
1520530969.600137 0.009289 0.009331
1520530969.650139 0.012075 0.012142
1520530969.700140 0.011918 0.011965
1520530969.750142 0.013497 0.013591
1520530969.800143 0.011800 0.011852
1520530969.850146 0.010630 0.010680
1520530969.900146 0.012067 0.012200
1520530969.950599 0.118628 0.118694
1520530970.000601 0.009017 0.009103
1520530970.050603 0.009650 0.009737
1520530970.100605 0.009849 0.009932
1520530970.150606 0.010800 0.010927
1520530970.200608 0.010301 0.010386
1520530970.250609 0.009485 0.009637
1520530970.300610 0.011373 0.011450
1520530970.351098 0.142805 0.142870
1520530970.401066 0.008024 0.008097
1520530970.451067 0.009520 0.009569
1520530970.501069 0.011964 0.012046
1520530970.551070 0.011190 0.011276
1520530970.601072 0.009303 0.009385
1520530970.651073 0.011278 0.011323
1520530970.701075 0.005974 0.006060
1520530970.750898 0.010899 0.010977
1520530970.800900 0.010182 0.010250
1520530970.850901 0.010394 0.010478
1520530970.900903 0.009416 0.009483
1520530970.950905 0.010774 0.010861
1520530971.000906 0.009761 0.009834
1520530971.050908 0.009771 0.009928
1520530971.100909 0.012014 0.012098
1520530971.150839 0.010552 0.010645
1520530971.200840 0.011562 0.011649
1520530971.250842 0.011510 0.011620
1520530971.300843 0.010245 0.010331
1520530971.350845 0.010786 0.010878
1520530971.400846 0.010277 0.010345
1520530971.450848 0.011337 0.011421
1520530971.500849 0.010160 0.010246
1520530971.550717 0.010312 0.010432
1520530971.600719 0.016882 0.017081
1520530971.650721 0.010370 0.010432
1520530971.700722 0.011257 0.011341
1520530971.750724 0.011118 0.011163
1520530971.800726 0.011235 0.011324
1520530971.850727 0.010984 0.011053
1520530971.900728 0.010630 0.010713
1520530971.950730 0.011549 0.011628
1520530972.001130 0.012482 0.012568
1520530972.051132 0.013286 0.013370
1520530972.101133 0.011033 0.011075
1520530972.151135 0.011126 0.011212
1520530972.201137 0.012654 0.012697
1520530972.251138 0.010579 0.010664
1520530972.301140 0.012653 0.012696
1520530972.351141 0.010838 0.010924
1520530972.400723 0.011811 0.011894
1520530972.450724 0.011646 0.011749
1520530972.500726 0.008277 0.008371
1520530972.550727 0.009211 0.009290
1520530972.600729 0.009537 0.009616
1520530972.650731 0.005866 0.005946
1520530972.700732 0.005711 0.005797
1520530972.750734 0.010526 0.010660
1520530972.800486 0.010541 0.010626
1520530972.850487 0.009582 0.009665
1520530972.900490 0.006334 0.006421
1520530972.950492 0.009641 0.009725
1520530973.000493 0.009897 0.009981
1520530973.050495 0.010786 0.010916
1520530973.100496 0.006704 0.006766
1520530973.150498 0.012984 0.013123
1520530973.200707 0.014162 0.014266
1520530973.250709 0.005757 0.005838
1520530973.300709 0.005606 0.005693
1520530973.350712 0.005290 0.005379
1520530973.400713 0.005378 0.005468
1520530973.450715 0.005942 0.006029
1520530973.500715 0.005611 0.005697
1520530973.550718 0.005296 0.005365
1520530973.600754 0.005039 0.005127
1520530973.650658 0.005240 0.005327
1520530973.700660 0.004710 0.004796
1520530973.750661 0.006207 0.006306
1520530973.800663 0.010763 0.010847
1520530973.850664 0.013648 0.013756
1520530973.900666 0.010816 0.010903
1520530973.950667 0.011270 0.011355
1520530974.000669 0.010809 0.010896
1520530974.050812 0.011524 0.011611
1520530974.100814 0.012635 0.012705
1520530974.150815 0.008541 0.008634
1520530974.200817 0.005993 0.006080
1520530974.250819 0.010511 0.010597
1520530974.300820 0.010519 0.010604
1520530974.350822 0.011927 0.012073
1520530974.400823 0.007667 0.007774
