#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1403638523.677830 0.0049218 0.0117020 0.0044822 -0.0219276 0.0206399 -0.0224185 0.9992951
1403638523.727829 0.0042369 0.0134866 0.0043796 -0.0276809 0.0222049 -0.0250403 0.9990564
1403638523.777829 0.0066846 0.0196812 0.0056124 -0.0295321 0.0218627 -0.0271550 0.9989557
1403638523.827830 0.0077068 0.0228738 0.0063366 -0.0304771 0.0216570 -0.0286220 0.9988908
1403638523.877830 0.0081589 0.0265895 0.0061755 -0.0297394 0.0226818 -0.0314492 0.9988053
1403638523.927830 0.0086526 0.0287842 0.0065030 -0.0293627 0.0248845 -0.0359242 0.9986131
1403638523.977829 0.0087178 0.0300646 0.0065969 -0.0303212 0.0265652 -0.0415282 0.9983237
1403638524.027829 0.0089027 0.0306726 0.0067743 -0.0328375 0.0279048 -0.0471478 0.9979579
1403638524.077830 0.0094040 0.0309031 0.0058260 -0.0366794 0.0274848 -0.0514662 0.9976224
1403638524.127830 0.0094016 0.0311602 0.0055157 -0.0411909 0.0267496 -0.0550145 0.9972769
1403638524.177830 0.0094922 0.0316396 0.0055659 -0.0446644 0.0245439 -0.0550955 0.9971796
1403638524.227829 0.0093010 0.0292672 0.0047482 -0.0470229 0.0217887 -0.0542496 0.9971816
1403638524.277829 0.0095508 0.0264554 0.0035902 -0.0470260 0.0190318 -0.0523379 0.9973400
1403638524.327830 0.0093516 0.0228485 0.0026105 -0.0455705 0.0154996 -0.0489817 0.9976392
1403638524.377830 0.0096908 0.0195857 0.0010597 -0.0422830 0.0120403 -0.0445767 0.9980381
1403638524.427830 0.0091331 0.0152168 0.0002381 -0.0376025 0.0095920 -0.0414397 0.9983871
1403638524.477829 0.0089337 0.0108161 -0.0006299 -0.0312197 0.0077401 -0.0392637 0.9987110
1403638524.527829 0.0078825 0.0062456 -0.0018782 -0.0237866 0.0061096 -0.0376975 0.9989874
1403638524.577830 0.0076123 0.0025057 -0.0026483 -0.0161475 0.0060109 -0.0369450 0.9991688
1403638524.627830 0.0073341 -0.0010621 -0.0032690 -0.0096296 0.0079348 -0.0356311 0.9992871
1403638524.677830 0.0071534 -0.0042373 -0.0034886 -0.0045809 0.0126124 -0.0354801 0.9992803
1403638524.727829 0.0065534 -0.0067838 -0.0035829 -0.0003701 0.0186011 -0.0369579 0.9991436
1403638524.777829 0.0061682 -0.0089496 -0.0035503 0.0028379 0.0262397 -0.0389551 0.9988924
1403638524.827830 0.0060659 -0.0112666 -0.0042602 0.0043187 0.0317953 -0.0402012 0.9986762
1403638524.877830 0.0055574 -0.0127074 -0.0043487 0.0052912 0.0310064 -0.0389151 0.9987473
1403638524.927830 0.0054384 -0.0139661 -0.0042039 0.0059357 0.0286211 -0.0380753 0.9988472
1403638524.977829 0.0050689 -0.0143468 -0.0043359 0.0072695 0.0246252 -0.0372052 0.9989777
1403638525.027829 0.0063759 -0.0133401 -0.0040361 0.0096070 0.0227495 -0.0384853 0.9989540
1403638525.077830 0.0060003 -0.0123902 -0.0040502 0.0117394 0.0240679 -0.0418521 0.9987649
1403638525.127830 0.0049183 -0.0117944 -0.0030110 0.0127536 0.0245461 -0.0445382 0.9986246
1403638525.177830 0.0049964 -0.0095271 -0.0019531 0.0133419 0.0238910 -0.0469283 0.9985234
1403638525.227829 0.0054245 -0.0061052 -0.0010182 0.0125621 0.0227585 -0.0492616 0.9984475
1403638525.277829 0.0064652 -0.0039381 -0.0006685 0.0084223 0.0207116 -0.0505985 0.9984688
1403638525.327830 0.0061670 -0.0002211 0.0004814 0.0020466 0.0192065 -0.0519020 0.9984654
1403638525.377830 0.0064001 0.0031770 0.0014742 -0.0069528 0.0163237 -0.0519810 0.9984905
1403638525.427830 0.0067085 0.0064050 0.0020771 -0.0178359 0.0131175 -0.0507488 0.9984660
1403638525.477829 0.0068084 0.0096697 0.0027499 -0.0287168 0.0085734 -0.0473881 0.9984269
1403638525.527829 0.0069709 0.0128515 0.0034601 -0.0380840 0.0057677 -0.0449613 0.9982459
1403638525.577830 0.0072255 0.0157509 0.0040280 -0.0449896 0.0041095 -0.0425788 0.9980712
1403638525.627830 0.0072018 0.0176270 0.0046414 -0.0489975 0.0039865 -0.0407456 0.9979595
1403638525.677830 0.0075581 0.0201671 0.0053340 -0.0501477 0.0051942 -0.0393923 0.9979511
1403638525.727829 0.0077379 0.0221820 0.0059363 -0.0490588 0.0078199 -0.0381284 0.9980372
1403638525.777829 0.0076993 0.0235144 0.0063719 -0.0465121 0.0109913 -0.0365729 0.9981875
1403638525.827830 0.0077109 0.0246143 0.0068824 -0.0431403 0.0149671 -0.0364126 0.9982930
1403638525.877830 0.0076988 0.0250854 0.0070377 -0.0397568 0.0194004 -0.0378915 0.9983022
1403638525.927830 0.0081036 0.0260160 0.0072959 -0.0372822 0.0240139 -0.0400098 0.9982147
1403638525.977829 0.0087622 0.0264587 0.0071081 -0.0369732 0.0268015 -0.0418174 0.9980811
1403638526.027829 0.0099069 0.0270387 0.0069340 -0.0375097 0.0290983 -0.0434905 0.9979253
1403638526.077830 0.0112814 0.0269713 0.0065213 -0.0394305 0.0315026 -0.0423456 0.9978275
1403638526.127830 0.0129746 0.0266640 0.0061500 -0.0414650 0.0345881 -0.0390374 0.9977777
1403638526.177830 0.0157510 0.0276573 0.0058215 -0.0425025 0.0380026 -0.0361720 0.9977179
1403638526.227829 0.0179385 0.0268961 0.0051594 -0.0422394 0.0417328 -0.0332719 0.9976809
1403638526.277829 0.0196809 0.0253111 0.0042531 -0.0405244 0.0461860 -0.0311820 0.9976233
1403638526.327830 0.0221010 0.0243622 0.0033375 -0.0371654 0.0493000 -0.0287417 0.9976784
