#TimeStamp Tx Ty Tz Qx Qy Qz Qw
0.208254 -0.0001040 -0.0008887 0.0542937 0.0000346 -0.0003526 0.0005499 0.9999998
0.312504 -0.0005397 -0.0019186 0.1078351 0.0003913 -0.0002577 0.0014407 0.9999989
0.416625 -0.0011655 -0.0031716 0.1621826 0.0002275 0.0000745 0.0014214 0.9999989
0.520755 -0.0014448 -0.0037880 0.2163949 0.0000040 0.0001733 0.0017035 0.9999985
0.625004 -0.0019390 -0.0049115 0.2704385 -0.0006960 0.0002676 0.0024620 0.9999967
0.729128 -0.0022451 -0.0054891 0.3247915 -0.0006298 0.0001526 0.0022094 0.9999973
0.833252 -0.0024885 -0.0060762 0.3802033 0.0003385 0.0000175 0.0016478 0.9999986
0.937506 -0.0031010 -0.0072064 0.4337320 0.0013720 0.0001590 0.0003775 0.9999990
1.041630 -0.0036889 -0.0081454 0.4855717 0.0019049 0.0005970 -0.0014375 0.9999970
1.145875 -0.0035691 -0.0090913 0.5396448 0.0019027 0.0002026 -0.0025212 0.9999950
1.250003 -0.0044030 -0.0099042 0.5920362 0.0016735 0.0004054 -0.0032445 0.9999933
1.354255 -0.0036055 -0.0109109 0.6343973 -0.0000226 -0.0001877 -0.0018089 0.9999983
1.458401 -0.0040437 -0.0122539 0.6893895 -0.0011866 0.0001423 0.0002159 0.9999993
1.562526 -0.0032172 -0.0127698 0.7386605 -0.0000202 -0.0006675 0.0017485 0.9999982
1.666754 -0.0037488 -0.0137353 0.7920350 0.0011112 -0.0007885 0.0019027 0.9999973
1.771007 -0.0050424 -0.0142558 0.8447203 0.0024372 0.0002201 0.0003143 0.9999970
1.875129 -0.0053535 -0.0151314 0.8984422 0.0014393 0.0007334 -0.0008889 0.9999983
1.979377 -0.0051419 -0.0160910 0.9531268 -0.0004588 0.0008213 -0.0010997 0.9999989
2.083502 -0.0066992 -0.0166219 1.0065056 -0.0012881 0.0015738 -0.0004963 0.9999978
2.187759 -0.0071041 -0.0174295 1.0601379 -0.0003791 0.0012001 0.0014453 0.9999982
2.291881 -0.0067861 -0.0177344 1.1151971 0.0014101 0.0011810 0.0009565 0.9999979
2.396132 -0.0064121 -0.0185813 1.1700979 0.0027447 0.0011949 0.0010025 0.9999950
2.500257 -0.0062808 -0.0204328 1.2259284 0.0025991 0.0012438 0.0000251 0.9999958
2.604383 -0.0068359 -0.0214692 1.2801955 0.0038018 0.0017732 -0.0005915 0.9999910
2.708628 -0.0067701 -0.0226848 1.3358238 0.0037995 0.0016443 -0.0013092 0.9999906
2.812757 -0.0060904 -0.0238737 1.3923104 0.0030681 0.0007252 -0.0008025 0.9999947
2.916881 -0.0071576 -0.0250826 1.4465408 0.0023963 0.0010543 -0.0019354 0.9999947
3.021006 -0.0077772 -0.0259882 1.5025618 0.0025151 0.0008034 -0.0037535 0.9999894
3.125256 -0.0077703 -0.0269705 1.5570749 0.0027348 0.0008805 -0.0047805 0.9999844
3.229379 -0.0085321 -0.0282697 1.6106298 0.0023166 0.0013544 -0.0059438 0.9999787
3.333502 -0.0081752 -0.0292449 1.6658909 0.0024599 0.0010088 -0.0065328 0.9999751
3.437629 -0.0078049 -0.0302953 1.7207012 0.0025199 0.0005160 -0.0058996 0.9999793
3.541754 -0.0075870 -0.0317427 1.7780674 0.0024935 -0.0002628 -0.0048509 0.9999851
3.645880 -0.0075223 -0.0325709 1.8344430 0.0026991 -0.0011883 -0.0046780 0.9999847
3.750007 -0.0085727 -0.0337997 1.8888044 0.0020650 -0.0009461 -0.0051721 0.9999840
3.854131 -0.0087986 -0.0350294 1.9450642 0.0022050 -0.0015216 -0.0051801 0.9999830
3.958276 -0.0092956 -0.0359584 2.0066381 0.0023122 -0.0018639 -0.0054866 0.9999805
4.062383 -0.0100296 -0.0371710 2.0625975 0.0018444 -0.0021989 -0.0054478 0.9999810
4.166506 -0.0103403 -0.0386851 2.1192763 0.0012743 -0.0026747 -0.0044399 0.9999858
4.270633 -0.0108806 -0.0395160 2.1749148 0.0013411 -0.0029501 -0.0041570 0.9999861
4.374756 -0.0115803 -0.0408173 2.2298176 0.0015847 -0.0029389 -0.0032934 0.9999890
4.478884 -0.0123559 -0.0418509 2.2853487 0.0015770 -0.0027766 -0.0027299 0.9999912
4.583132 -0.0127365 -0.0429196 2.3402398 0.0011787 -0.0024101 -0.0021751 0.9999940
4.687259 -0.0128666 -0.0439461 2.3966036 0.0009591 -0.0022043 -0.0012888 0.9999962
4.791384 -0.0132037 -0.0454775 2.4521718 0.0011874 -0.0018804 -0.0008059 0.9999972
4.895505 -0.0134363 -0.0464451 2.5097024 0.0015752 -0.0018489 0.0003679 0.9999970
4.999630 -0.0140231 -0.0476536 2.5653512 0.0017328 -0.0015012 -0.0002412 0.9999973
5.103758 -0.0149566 -0.0493763 2.6246367 0.0017683 -0.0009117 -0.0008459 0.9999977
5.207869 -0.0149442 -0.0502153 2.6794746 0.0011912 -0.0007119 -0.0021844 0.9999967
5.311998 -0.0159322 -0.0511848 2.7367175 0.0008091 -0.0002256 -0.0044286 0.9999898
5.416245 -0.0168748 -0.0526316 2.7925255 0.0006786 0.0004230 -0.0070611 0.9999747
5.520244 -0.0174799 -0.0533960 2.8477879 0.0009903 0.0007742 -0.0094770 0.9999543
5.624505 -0.0187415 -0.0541956 2.9008174 0.0011804 0.0012748 -0.0109640 0.9999384
5.728633 -0.0192422 -0.0553293 2.9542460 0.0012740 0.0018332 -0.0123291 0.9999215
5.832639 -0.0192168 -0.0565232 3.0097749 0.0008831 0.0018020 -0.0119632 0.9999264
5.936757 -0.0196899 -0.0574062 3.0622482 0.0010169 0.0020235 -0.0113909 0.9999326
6.040889 -0.0188883 -0.0585667 3.1168118 0.0013255 0.0015470 -0.0099570 0.9999483
6.145012 -0.0189858 -0.0597528 3.1747370 0.0010762 0.0011847 -0.0093660 0.9999549
6.249010 -0.0190543 -0.0606622 3.2284663 0.0010126 0.0009343 -0.0090126 0.9999585
6.353135 -0.0187757 -0.0613432 3.2809949 0.0012116 0.0003575 -0.0084281 0.9999637
6.457260 -0.0195954 -0.0624859 3.3380325 0.0009502 0.0002972 -0.0087156 0.9999615
6.561386 -0.0208553 -0.0634486 3.3946316 0.0007813 0.0000577 -0.0088225 0.9999608
6.665511 -0.0210800 -0.0645683 3.4480844 0.0003081 -0.0005587 -0.0076343 0.9999707
6.769636 -0.0201408 -0.0663321 3.5012300 -0.0003420 -0.0014160 -0.0066386 0.9999769
6.873636 -0.0207633 -0.0674242 3.5566378 -0.0004369 -0.0018919 -0.0051113 0.9999850
6.977759 -0.0209929 -0.0684518 3.6107047 -0.0003089 -0.0022398 -0.0042363 0.9999885
7.081885 -0.0206737 -0.0691600 3.6647284 -0.0002981 -0.0028318 -0.0033606 0.9999903
7.186013 -0.0219088 -0.0701917 3.7185812 -0.0000094 -0.0025810 -0.0036583 0.9999900
7.290011 -0.0224403 -0.0712291 3.7719812 0.0000790 -0.0026341 -0.0032953 0.9999911
7.394135 -0.0232296 -0.0721287 3.8249505 0.0003140 -0.0025794 -0.0034059 0.9999908
7.498256 -0.0241100 -0.0731278 3.8789940 -0.0000501 -0.0025139 -0.0036107 0.9999903
7.602386 -0.0244460 -0.0737550 3.9342048 -0.0004284 -0.0025551 -0.0041115 0.9999882
7.706383 -0.0256735 -0.0747544 3.9875035 -0.0011642 -0.0023218 -0.0045212 0.9999864
7.810511 -0.0253450 -0.0754881 4.0391207 -0.0006204 -0.0022862 -0.0039210 0.9999895
7.914632 -0.0257892 -0.0769893 4.0910301 -0.0000557 -0.0023933 -0.0037130 0.9999902
8.018763 -0.0261407 -0.0778588 4.1424613 0.0006576 -0.0023406 -0.0034825 0.9999910
8.122760 -0.0271251 -0.0787972 4.1969476 0.0000088 -0.0021610 -0.0022278 0.9999952
8.226883 -0.0270378 -0.0794295 4.2478242 -0.0009227 -0.0019504 -0.0007788 0.9999974
8.331011 -0.0277294 -0.0801306 4.3016038 -0.0015195 -0.0015572 0.0004398 0.9999976
8.435138 -0.0266715 -0.0814992 4.3561649 -0.0010194 -0.0018459 0.0013716 0.9999968
8.539282 -0.0283510 -0.0816847 4.4085379 0.0005113 -0.0010551 0.0002608 0.9999993
8.643387 -0.0280881 -0.0827644 4.4595284 0.0014245 -0.0005947 -0.0008612 0.9999985
8.747509 -0.0289848 -0.0830676 4.5115352 0.0018400 0.0002116 -0.0029710 0.9999939
8.851635 -0.0295771 -0.0845045 4.5619483 0.0006744 0.0009608 -0.0038064 0.9999921
8.955763 -0.0296231 -0.0850863 4.6157198 -0.0001992 0.0013843 -0.0037618 0.9999920
9.059886 -0.0297842 -0.0857104 4.6675601 -0.0002807 0.0018256 -0.0032345 0.9999931
9.164012 -0.0291173 -0.0865727 4.7196259 -0.0002762 0.0021131 -0.0028875 0.9999936
9.268135 -0.0293716 -0.0875817 4.7699971 -0.0002421 0.0028841 -0.0034553 0.9999898
9.372259 -0.0295910 -0.0881391 4.8218846 0.0001017 0.0035416 -0.0045526 0.9999834
9.476392 -0.0288212 -0.0896986 4.8755636 0.0005515 0.0036111 -0.0053622 0.9999790
9.580513 -0.0293438 -0.0902303 4.9286947 0.0011999 0.0043133 -0.0059089 0.9999725
9.684640 -0.0293294 -0.0912724 4.9806070 0.0012080 0.0047553 -0.0052944 0.9999740
9.788784 -0.0298462 -0.0919286 5.0325980 0.0007217 0.0056617 -0.0054235 0.9999690
9.892888 -0.0296049 -0.0926849 5.0857420 0.0003351 0.0059571 -0.0044810 0.9999722
9.997010 -0.0292521 -0.0938948 5.1401486 0.0001357 0.0059495 -0.0046990 0.9999713
10.101140 -0.0282952 -0.0951512 5.1942854 0.0000383 0.0058247 -0.0036704 0.9999763
10.205260 -0.0276327 -0.0963968 5.2459641 -0.0006180 0.0057689 -0.0028591 0.9999791
10.309390 -0.0275700 -0.0969809 5.2999082 -0.0002348 0.0054999 -0.0018795 0.9999831
10.413390 -0.0270095 -0.0979415 5.3521218 -0.0001929 0.0047400 -0.0012252 0.9999880
10.517510 -0.0264145 -0.0990236 5.4048491 -0.0005402 0.0042320 -0.0007614 0.9999906
10.621640 -0.0260111 -0.1005746 5.4578290 -0.0006714 0.0037341 -0.0001688 0.9999928
10.725760 -0.0262473 -0.1010592 5.5100985 -0.0002906 0.0034950 -0.0006256 0.9999936
10.829890 -0.0264098 -0.1016504 5.5612130 0.0000336 0.0032156 -0.0004873 0.9999947
10.934020 -0.0259522 -0.1025612 5.6132140 0.0003331 0.0028923 -0.0005891 0.9999956
11.038140 -0.0261277 -0.1035599 5.6642175 0.0014113 0.0024462 0.0005132 0.9999959
11.142270 -0.0260290 -0.1046104 5.7174211 0.0015898 0.0018511 0.0033865 0.9999913
11.246390 -0.0259497 -0.1054500 5.7691731 0.0005699 0.0015425 0.0067746 0.9999757
11.350520 -0.0249319 -0.1063841 5.8205786 -0.0002406 0.0004710 0.0104678 0.9999450
11.454640 -0.0254012 -0.1074428 5.8741689 0.0014265 0.0000670 0.0119447 0.9999276
11.558780 -0.0252889 -0.1086765 5.9265075 0.0029208 0.0003655 0.0115093 0.9999294
11.663020 -0.0258574 -0.1096352 5.9791746 0.0041020 0.0008884 0.0098135 0.9999430
11.767160 -0.0257570 -0.1119535 6.0318170 0.0034662 0.0011016 0.0102621 0.9999408
11.871260 -0.0258379 -0.1129409 6.0845098 0.0018497 0.0015133 0.0115777 0.9999301
11.975390 -0.0253719 -0.1141211 6.1371450 0.0002935 0.0018755 0.0141272 0.9998984
12.079640 -0.0254170 -0.1146167 6.1901140 -0.0001408 0.0018807 0.0159245 0.9998714
12.183770 -0.0250651 -0.1157721 6.2438769 -0.0003270 0.0017867 0.0168820 0.9998558
12.287890 -0.0256569 -0.1163633 6.2965875 -0.0002313 0.0026776 0.0155241 0.9998759
12.392020 -0.0253666 -0.1171330 6.3498998 0.0002380 0.0031082 0.0135175 0.9999038
12.496260 -0.0249680 -0.1187421 6.4046087 0.0009041 0.0030398 0.0122403 0.9999201
12.600390 -0.0255372 -0.1183238 6.4563231 0.0019418 0.0036934 0.0097934 0.9999433
12.704520 -0.0252751 -0.1203978 6.5090165 0.0007954 0.0038694 0.0096838 0.9999453
12.808640 -0.0248297 -0.1211849 6.5637145 0.0009596 0.0036546 0.0084363 0.9999573
12.912790 -0.0238692 -0.1226426 6.6160569 0.0018128 0.0031829 0.0076727 0.9999639
13.016890 -0.0251080 -0.1234359 6.6674681 0.0035741 0.0034956 0.0050288 0.9999748
13.121140 -0.0251572 -0.1245911 6.7245102 0.0043927 0.0032591 0.0023437 0.9999823
13.225270 -0.0257295 -0.1256248 6.7810135 0.0039869 0.0035011 -0.0002887 0.9999859
13.329390 -0.0258194 -0.1271714 6.8361349 0.0027461 0.0037251 -0.0013245 0.9999884
13.433520 -0.0256806 -0.1285592 6.8899260 0.0017831 0.0038312 -0.0024077 0.9999882
13.537640 -0.0262165 -0.1296427 6.9448242 0.0013783 0.0036107 -0.0012036 0.9999918
13.641770 -0.0260933 -0.1306845 6.9969630 0.0014415 0.0030750 -0.0002191 0.9999942
13.745910 -0.0256230 -0.1318029 7.0523005 0.0035017 0.0018079 -0.0000897 0.9999923
13.850020 -0.0259181 -0.1330891 7.1073613 0.0057904 0.0010257 -0.0011453 0.9999821
13.954150 -0.0259531 -0.1345023 7.1614795 0.0061282 0.0005393 -0.0034269 0.9999752
14.058400 -0.0264214 -0.1360496 7.2164073 0.0056583 0.0005007 -0.0051590 0.9999706
14.162520 -0.0264659 -0.1374028 7.2700591 0.0038213 0.0004870 -0.0063289 0.9999725
14.266640 -0.0268097 -0.1381379 7.3250022 0.0029210 0.0005838 -0.0066702 0.9999733
14.370770 -0.0272200 -0.1389226 7.3812656 0.0024587 0.0004030 -0.0054480 0.9999821
14.474890 -0.0275052 -0.1400926 7.4369459 0.0022382 0.0004013 -0.0044933 0.9999873
14.579010 -0.0269729 -0.1413622 7.4948068 0.0019846 0.0001671 -0.0032742 0.9999927
14.683140 -0.0275889 -0.1425072 7.5504384 0.0023237 0.0004905 -0.0020875 0.9999950
14.787290 -0.0286752 -0.1430131 7.6047511 0.0018952 0.0009374 -0.0009586 0.9999973
14.891390 -0.0273978 -0.1449112 7.6577172 0.0007676 0.0007522 0.0015999 0.9999982
14.995520 -0.0269398 -0.1458825 7.7120295 0.0008389 0.0009432 0.0025597 0.9999959
15.099640 -0.0265709 -0.1468365 7.7695551 0.0031042 0.0009296 0.0013660 0.9999938
15.203790 -0.0276852 -0.1482761 7.8267250 0.0057474 0.0013374 -0.0026945 0.9999790
15.308020 -0.0285974 -0.1495774 7.8825941 0.0058308 0.0023182 -0.0077104 0.9999506
15.412140 -0.0291390 -0.1515561 7.9395170 0.0038498 0.0029308 -0.0116804 0.9999201
15.516270 -0.0298202 -0.1522673 7.9951353 0.0030423 0.0035697 -0.0123544 0.9999127
15.620390 -0.0291965 -0.1533702 8.0512886 0.0028806 0.0031747 -0.0114218 0.9999256
15.724520 -0.0293744 -0.1545060 8.1075563 0.0030818 0.0028115 -0.0100767 0.9999405
