#TimeStamp Tx Ty Tz Qx Qy Qz Qw
0.104128 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 1.0000000
0.208254 -0.0002416 -0.0011040 0.0517876 -0.0001411 -0.0002951 0.0005952 0.9999998
0.312504 -0.0007409 -0.0019955 0.1035320 0.0002920 -0.0001657 0.0012747 0.9999991
0.416625 -0.0010920 -0.0030448 0.1549773 0.0001860 -0.0000778 0.0014433 0.9999989
0.520755 -0.0012207 -0.0038566 0.2074349 -0.0001757 -0.0000339 0.0017024 0.9999985
0.625004 -0.0012045 -0.0046767 0.2595715 -0.0007310 -0.0000924 0.0024803 0.9999967
0.729128 -0.0014754 -0.0054369 0.3123896 -0.0008033 -0.0001833 0.0021753 0.9999973
0.833252 -0.0017842 -0.0060871 0.3654439 0.0001610 -0.0003897 0.0017284 0.9999984
0.937506 -0.0022208 -0.0071482 0.4179507 0.0012101 -0.0003974 0.0004084 0.9999991
1.041630 -0.0027208 -0.0081525 0.4705928 0.0016227 -0.0002632 -0.0013123 0.9999978
1.145875 -0.0028645 -0.0089196 0.5242201 0.0018117 -0.0004186 -0.0024122 0.9999954
1.250003 -0.0034920 -0.0098281 0.5772130 0.0015803 -0.0002273 -0.0031443 0.9999938
1.354255 -0.0034054 -0.0109860 0.6301224 0.0000146 -0.0001022 -0.0019952 0.9999980
1.458401 -0.0036746 -0.0120429 0.6836945 -0.0010105 0.0000928 0.0001293 0.9999995
1.562526 -0.0034525 -0.0130675 0.7367554 -0.0000139 -0.0002972 0.0013130 0.9999991
1.666754 -0.0035472 -0.0138289 0.7903836 0.0011223 -0.0003804 0.0015505 0.9999981
1.771007 -0.0041329 -0.0147254 0.8442612 0.0021257 0.0000037 0.0004255 0.9999976
1.875129 -0.0043856 -0.0155743 0.8984631 0.0011438 0.0002305 -0.0009313 0.9999989
1.979377 -0.0047781 -0.0163598 0.9530764 -0.0005176 0.0006230 -0.0014392 0.9999986
2.083502 -0.0048537 -0.0172483 1.0073065 -0.0016386 0.0006532 -0.0002622 0.9999984
2.187759 -0.0050994 -0.0177606 1.0615448 -0.0005811 0.0004135 0.0017515 0.9999982
2.291881 -0.0057625 -0.0181865 1.1158645 0.0008728 0.0007975 0.0014128 0.9999983
2.396132 -0.0057527 -0.0190889 1.1707937 0.0023254 0.0009163 0.0016718 0.9999955
2.500257 -0.0057992 -0.0203156 1.2254213 0.0027544 0.0011136 0.0001394 0.9999956
2.604383 -0.0059758 -0.0215704 1.2798719 0.0036889 0.0012705 -0.0000365 0.9999924
2.708628 -0.0062405 -0.0227676 1.3348614 0.0035363 0.0013429 -0.0007890 0.9999925
2.812757 -0.0064034 -0.0238564 1.3901191 0.0028996 0.0010815 -0.0005692 0.9999951
2.916881 -0.0068497 -0.0251189 1.4447198 0.0021461 0.0011788 -0.0015673 0.9999958
3.021006 -0.0075205 -0.0259890 1.5002064 0.0021415 0.0012794 -0.0032100 0.9999917
3.125256 -0.0078437 -0.0272457 1.5554087 0.0022648 0.0014133 -0.0044078 0.9999867
3.229379 -0.0082207 -0.0284497 1.6107630 0.0019913 0.0014418 -0.0054715 0.9999820
3.333502 -0.0085400 -0.0296329 1.6657561 0.0020064 0.0014639 -0.0060703 0.9999785
3.437629 -0.0082382 -0.0308321 1.7218637 0.0020922 0.0010962 -0.0054925 0.9999821
3.541754 -0.0081869 -0.0319218 1.7775686 0.0023171 0.0007180 -0.0048629 0.9999852
3.645880 -0.0084354 -0.0330300 1.8333306 0.0022421 0.0002308 -0.0044835 0.9999874
3.750007 -0.0087023 -0.0343074 1.8897516 0.0016645 -0.0002002 -0.0047603 0.9999872
3.854131 -0.0093382 -0.0353102 1.9455435 0.0018751 -0.0007036 -0.0051379 0.9999848
3.958276 -0.0099966 -0.0364374 2.0016525 0.0016316 -0.0011434 -0.0051492 0.9999847
4.062383 -0.0103429 -0.0375020 2.0580621 0.0012272 -0.0017788 -0.0049002 0.9999856
4.166506 -0.0105875 -0.0389288 2.1148241 0.0006615 -0.0022362 -0.0039544 0.9999894
4.270633 -0.0108005 -0.0398952 2.1716831 0.0006844 -0.0026374 -0.0034933 0.9999902
4.374756 -0.0114168 -0.0410008 2.2280719 0.0010176 -0.0027276 -0.0024112 0.9999928
4.478884 -0.0118644 -0.0422423 2.2843952 0.0007877 -0.0028229 -0.0016726 0.9999943
4.583132 -0.0124781 -0.0434402 2.3403621 0.0003682 -0.0025578 -0.0009844 0.9999962
4.687259 -0.0130502 -0.0445815 2.3962610 0.0000434 -0.0022026 -0.0005262 0.9999974
4.791384 -0.0131682 -0.0457217 2.4527979 0.0002087 -0.0020732 0.0007886 0.9999975
4.895505 -0.0134603 -0.0467151 2.5102882 0.0006156 -0.0020415 0.0016601 0.9999964
4.999630 -0.0139044 -0.0478541 2.5668249 0.0007775 -0.0018417 0.0011968 0.9999973
5.103758 -0.0148667 -0.0492460 2.6242745 0.0008861 -0.0013818 0.0005720 0.9999985
5.207869 -0.0147585 -0.0501337 2.6788983 0.0003430 -0.0010676 -0.0008222 0.9999990
5.311998 -0.0155450 -0.0511335 2.7353086 -0.0003070 -0.0008547 -0.0022785 0.9999970
5.416245 -0.0161883 -0.0522737 2.7912433 -0.0005671 -0.0003865 -0.0046365 0.9999890
5.520244 -0.0166936 -0.0532071 2.8468957 -0.0003583 -0.0001454 -0.0065748 0.9999783
5.624505 -0.0173124 -0.0541157 2.9028430 -0.0001434 0.0000498 -0.0077813 0.9999697
5.728633 -0.0178633 -0.0550342 2.9573836 -0.0001419 0.0005096 -0.0086884 0.9999621
5.832639 -0.0181226 -0.0561121 3.0123301 -0.0002443 0.0006937 -0.0089107 0.9999600
5.936757 -0.0185480 -0.0572196 3.0665975 -0.0001495 0.0008404 -0.0084428 0.9999640
6.040889 -0.0188032 -0.0584035 3.1211474 0.0001702 0.0007478 -0.0077674 0.9999695
